# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Georgian (ka)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| სიმართლესთან ახლოს (simart'lestan axlos) | სიმართლესთან შორს (simart'lestan shors) | simart'lestan axlos vs. simart'lestan shors | close to the truth vs. far from the truth | Constructional opposition using spatial metaphors for epistemic distance. Both use postposition -თან "with/near" with truth in genitive, but contrast spatial adverbs ახლოს "close" versus შორს "far." | constructional | [CORE] |
| ეს სიმართლეა (es simart'lea) | ეს არ არის სიმართლე (es ar aris simart'le) | es simart'lea vs. es ar aris simart'le | this is the truth vs. this is not the truth | Constructional opposition through syntactic negation. Affirmative predicative construction contrasts with negated form using particle არ (ar) before copula. | constructional | [CORE] |
| მართალია (mart'alia) | არ არის მართალი (ar aris mart'ali) | mart'alia vs. ar aris mart'ali | it is true vs. it is not true | Constructional opposition through syntactic negation of predicative adjective. Affirmative copular construction contrasts with negation using particle არ. | constructional | [CORE] |
| სიმართლეს შეესაბამება (simart'les sheesabameba) | სიმართლეს არ შეესაბამება (simart'les ar sheesabameba) | simart'les sheesabameba vs. simart'les ar sheesabameba | corresponds to the truth vs. does not correspond to the truth | Constructional opposition in correspondence constructions through syntactic negation. Both use dative case marking with verb შეესაბამება "corresponds," contrasting affirmative versus negated forms. | constructional | [CORE] |
| ნამდვილი (namdvili) [modifying concrete nouns] | ნამდვილი (namdvili) [modifying abstract nouns] | namdvili vs. namdvili | real/genuine [concrete] vs. true/essential [abstract] | Semantic opposition within single lexical item based on noun class modified. With concrete nouns (ნამდვილი მეგობარი "true friend"), emphasizes authenticity; with abstract nouns (ნამდვილი ბუნება "true nature"), emphasizes essential versus accidental properties. | lexical (semantic shift by context) | [CORE] |
| მართალი (mart'ali) [epistemic sense] | მართალი (mart'ali) [moral sense] | mart'ali vs. mart'ali | correct/right [factual] vs. righteous/just [moral] | Semantic opposition within single lexical item spanning epistemic and moral domains. In epistemic contexts means "factually correct," in moral contexts means "morally righteous" or "just." | lexical (semantic shift by domain) | [CORE] |
| ჭეშმარიტი (č'ešmarit'i) [everyday contexts] | ჭეშმარიტი (č'ešmarit'i) [religious contexts] | č'ešmarit'i vs. č'ešmarit'i | true/genuine [general] vs. true [sacred/theological] | Register-based opposition within single lexical item. In everyday contexts means "true/genuine," in religious contexts carries solemn or sacred connotations (ჭეშმარიტი ღმერთი "true God"). | lexical (register shift) | [CORE] |
| მოტყუება (moṭq'ueba) | თვითმოტყუება (tviṭmoṭq'ueba) | moṭq'ueba vs. tviṭmoṭq'ueba | deception [of others] vs. self-deception | Morphological opposition created by reflexive prefix თვით- (tviṭ-) "self." Base form denotes deceiving others, reflexive form denotes deceiving oneself. | morphological | [CORE] |
| სიმართლე გამოაჩინა (simart'le gamoač'ina) [transitive] | სიმართლე გამოვლინდა (simart'le gamovlinda) [intransitive] | simart'le gamoač'ina vs. simart'le gamovlinda | revealed the truth [agent reveals] vs. the truth was revealed [truth reveals itself] | Constructional opposition based on voice/transitivity. Transitive construction has agent revealing truth as object; intransitive construction has truth as subject revealing itself. | constructional | [CORE] |
| სიმართლე გაარკვია (simart'le gaark'via) [completive] | სიმართლე იძიოს (simart'le iʒios) [processual] | simart'le gaark'via vs. simart'le iʒios | to find out the truth [completed] vs. to search for the truth [ongoing] | Constructional opposition based on aspectual distinction. First construction with preverb გა- emphasizes completion of discovery; second emphasizes ongoing process of searching. | constructional | [CORE] |
| ნამდვილი ან ყალბი (namdvili an q'albi) | (no single contrasting construction) | namdvili an q'albi | real or fake, genuine or counterfeit | Fixed disjunctive construction contrasting authenticity with falseness. This represents a lexicalized opposition used in evaluative contexts to question or establish authenticity. | constructional | [CORE] |
| ბუნებრივი და ხელოვნური (bunebrivi da xelovnuri) | (no single contrasting construction) | bunebrivi da xelovnuri | natural and artificial | Fixed conjunctive construction pairing natural with artificial as complementary categories. Common in scientific and philosophical discourse for categorizing phenomena by mode of production. | constructional | [CORE] |
| სწორია თუ არა (sc'oria tu ara) | (no single contrasting construction) | sc'oria tu ara | is it correct or not | Disjunctive question construction presenting binary choice between affirmation and negation. Particle თუ "or/whether" marks alternative, არა "not" provides negative option. | constructional | [CORE] |
| მართლაც (mart'lac) [affirmative] | მართლაც? (mart'lac?) [interrogative] | mart'lac vs. mart'lac? | really/truly [statement] vs. really? [question] | Constructional opposition based on intonation/illocutionary force. Same lexical form functions as emphatic affirmation in statements versus confirmation-seeking question in interrogatives. | constructional | [CORE] |
| ნამდვილად (namdvilad) [affirmative] | ნამდვილად? (namdvilad?) [interrogative] | namdvilad vs. namdvilad? | really/actually [statement] vs. really? [question] | Constructional opposition based on intonation/illocutionary force. Same adverbial form functions as emphatic affirmation versus reality-checking question depending on intonation. | constructional | [CORE] |
| ვითომ მართალია (vitom mart'alia) | მართალია (mart'alia) | vitom mart'alia vs. mart'alia | supposedly it's true vs. it is true | Constructional opposition marking epistemic stance. Particle ვითომ "supposedly" marks doubt or distance from claim, contrasting with unmarked predicative construction expressing commitment to truth. | constructional | [CORE] |
| მართალია რომ (mart'alia rom) [concessive] | მართალია (mart'alia) [simple assertion] | mart'alia rom vs. mart'alia | it is true that [admittedly] vs. it is true | Constructional opposition based on discourse function. Construction with რომ "that" functions as concessive marker acknowledging truth while preparing qualification, versus simple assertion of truth. | constructional | [CORE] |
| ზუსტი (zusti) | არაზუსტი (arazusti) | zusti vs. arazusti | precise/exact vs. imprecise/inexact | Morphological opposition created by negative prefix არა- (ara-). ზუსტი denotes precision and exactness, while არაზუსტი is its negation, denoting imprecision or inexactness. | morphological | [CORE] |
| სწორი (sc'ori) | არასწორი (arasc'ori) | sc'ori vs. arasc'ori | correct/right vs. incorrect/wrong | Morphological opposition created by negative prefix არა- (ara-). სწორი denotes correctness or rightness, while არასწორი is its negation, denoting incorrectness or wrongness. | morphological | [CORE] |
| კანონიერი (k'anonieri) | უკანონო (uk'aono) | k'anonieri vs. uk'aono | legal/lawful vs. illegal/unlawful | Morphological opposition in legal domain created by negative prefix უ- (u-). კანონიერი denotes legality or lawfulness, while უკანონო is its negation, denoting illegality. | morphological | [CORE] |
| ნამდვილი ფასი (namdvili p'asi) | (apparent/nominal price - not lexicalized) | namdvili p'asi | true price/real cost | Constructional opposition distinguishing actual price from advertised or nominal price. The contrast is implicit—ნამდვილი "true/real" presupposes existence of non-true/apparent price, though the opposing term is not lexicalized. | constructional | [CORE] |
| ნამდვილი მიზეზი (namdvili mizezi) | (stated/apparent reason - not lexicalized) | namdvili mizezi | true reason/real cause | Constructional opposition distinguishing actual cause from stated or apparent reasons. The modifier ნამდვილი "true/real" presupposes contrast with non-true reasons, though opposing term is not lexicalized. | constructional | [CORE] |
| ობიექტური რეალობა (obiek't'uri realoba) | სუბიექტური აზრი (subiek't'uri azri) | obiek't'uri realoba vs. subiek't'uri azri | objective reality vs. subjective opinion | Constructional opposition pairing objective with reality and subjective with opinion, reflecting epistemological distinction between mind-independent facts and personal perspectives. Common in academic discourse. | constructional | [CORE] |
| ფაქტი (p'ak't'i) | აზრი (azri) | p'ak't'i vs. azri | fact vs. opinion | Lexical opposition between established facts and personal opinions. ფაქტი denotes verified information or established reality, while აზრი denotes subjective viewpoint or interpretation. | lexical | [CORE] |
| ნამდვილი სახე (namdvili saxe) | (false appearance - not lexicalized as fixed phrase) | namdvili saxe | true face/real nature | Idiomatic construction contrasting true character with false appearance or pretense. The phrase presupposes opposition between revealed truth and concealed reality, though the opposing construction is not lexicalized. | constructional | [CORE] |
| ჭეშმარიტი სიყვარული (č'ešmarit'i siq'varuli) | (false/superficial love - not lexicalized) | č'ešmarit'i siq'varuli | true love/genuine love | Constructional opposition distinguishing authentic love from infatuation or false affection. The modifier ჭეშმარიტი "true" presupposes contrast with inauthentic love, though opposing term is not lexicalized as fixed phrase. | constructional | [CORE] |
| სანდო წყარო (sando c'q'aro) | (unreliable source - not lexicalized as fixed phrase) | sando c'q'aro | reliable source/trustworthy source | Constructional opposition distinguishing credible from unreliable sources. The modifier სანდო "reliable" presupposes contrast with unreliable sources, though opposing construction is not lexicalized as standard phrase. | constructional | [CORE] |
