| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| péye | péye | complete, exact, precise | exact, precise, accurate, complete | This item is used for precision and exactness in description, measurement, or performance. It is especially relevant when evaluating whether a representation or account matches what it should. | [CORE] |
| bá mu | bá mu | “fit / match / correspond” | fit, match, correspond, be appropriate | This expression is used when one thing matches another, whether in appearance, description, evidence, or suitability. It can evaluate resemblance, consistency, or appropriateness depending on context. | [CORE] |
| òtítọ́ | òtítọ́ | ò- + títọ́ | truth; correctness | Common noun for truth in everyday speech, religion, argument, and moral discussion. Used for the truth of statements and the correctness of accounts. | [CORE] |
| òtọ́ | òtọ́ | nominal form from tọ́ | truth; correctness; genuineness | Used for what is true or genuine, often overlapping with *òtítọ́*. Also appears in contrasts with falsity or imitation. | [CORE] |
| títọ́ | títọ́ | nominal/adjectival form from tọ́ | straightness; correctness; truth; properness | Used literally for straightness and abstractly for correctness or truth. Also appears in evaluative contexts about conduct or procedure. | [CORE] |
| tọ́ | tọ́ | simple verbal/adjectival root | be right; be correct; be proper | Very common predicate in ordinary conversation for factual, practical, or moral rightness. | [CORE] |
| kò tọ́ | kò tọ́ | NEG + tọ́ | it is not right; it is wrong; it is improper | Used for moral impropriety, unfairness, or incorrectness. Common in rebuke and evaluation. | [CORE] |
| ó tọ́ | ó tọ́ | it + tọ́ | it is right; that is correct | Conversational affirmation that a statement, judgment, or action is right. | [CORE] |
| jẹ́ òtítọ́ | jẹ́ òtítọ́ | be + truth | be true | Used predicatively of claims, reports, rumors, and sometimes identities or appearances. | [CORE] |
| kì í ṣe òtítọ́ | kì í ṣe òtítọ́ | NEG HAB be + truth | is not true | Standard way to deny truth or accuracy without necessarily accusing someone of deliberate lying. | [CORE] |
| òtítọ́ ni | òtítọ́ ni | truth + FOC | it is true | Fixed affirming expression in conversation and discourse. | [CORE] |
| ní òtítọ́ | ní òtítọ́ | in/with + truth | in truth; truly; indeed | Used adverbially in speech and writing to mark sincerity or factual truth. Common in formal and literary registers as well as sermons. | [CORE] |
| l’òtítọ́ / ní òtítọ́ | l’òtítọ́ / ní òtítọ́ | in + truth | truly; in fact | A reduced spoken/written form often used to introduce a candid or factual statement. | [CORE] |
| òtítọ́ ọrọ̀ | òtítọ́ ọrọ̀ | truth + matter/word | the truth of the matter; the real facts | Used when distinguishing the actual state of affairs from rumor, appearance, or distortion. | [CORE] |
| sọ òtítọ́ | sọ òtítọ́ | say + truth | tell the truth | Very common in everyday speech, child-rearing, legal testimony, and moral instruction. | [CORE] |
| máa sọ òtítọ́ | máa sọ òtítọ́ | HAB/FUT + say + truth | speak truth habitually; tell the truth | Used in moral exhortation and character evaluation. | [CORE] |
| fẹ́ òtítọ́ | fẹ́ òtítọ́ | love + truth | love truth | Common in religious, philosophical, and moral discourse about valuing honesty and reality. | [CORE] |
| mọ̀ òtítọ́ | mọ̀ òtítọ́ | know + truth | know the truth | Used for coming to know the real facts, often in legal, religious, or interpersonal contexts. | [CORE] |
| fi òtítọ́ hàn | fi òtítọ́ hàn | show + truth + visible | reveal the truth; show the truth | Used when evidence, confession, or investigation makes the truth clear. | [CORE] |
| wà ní òtítọ́ | wà ní òtítọ́ | be/exist + in + truth | be in the right; be truthful / be in truth | Used in moral, religious, and argumentative contexts. Depending on context it can refer to correctness or truthful standing. | [MARGINAL] |
| ọ̀nà títọ́ | ọ̀nà títọ́ | path/way + straight/correct | straight path; right way | Used literally for a straight route and figuratively for proper conduct or righteous living. | [CORE] |
| ìtọ́sọ́nà | ìtọ́sọ́nà | nominalization + direct/straighten + way | guidance; direction; instruction | Common in administrative, educational, and practical contexts for directions or guidance. Also used figuratively for moral or spiritual guidance. | [CORE] |
| tọ́ka sí | tọ́ka sí | point/direct + to | point to; refer to; indicate | Very common in speech, writing, law, and scholarship for reference and indication. | [CORE] |
| àtọ́ka | àtọ́ka | nominalization from tọ́ka | index; reference; indication | Used in books, documents, and formal writing for indexing or reference systems. | [CORE] |
| àtọ́kasí | àtọ́kasí | nominalization from tọ́ka sí | reference; citation; indication | Common in academic, administrative, and literary contexts for references or citations. | [CORE] |
| tọ́jú | tọ́jú | direct/set right + eye/face | care for; attend to; treat carefully | Very common verb for caring for a person, object, patient, or responsibility. | [CORE] |
| ìtọ́jú | ìtọ́jú | nominalization from tọ́jú | care; treatment; maintenance | Used in medicine, domestic life, administration, and technical maintenance. | [CORE] |
| tọ́nisọ́nà | tọ́nisọ́nà | direct/show + way | guide; direct | Used for physically guiding someone, giving instructions, or directing procedure. | [CORE] |
| olùtọ́nisọ́nà | olùtọ́nisọ́nà | agent + guide/direct-way | guide; instructor; director | Used for a person who guides, instructs, or directs, in education, travel, religion, or administration. | [CORE] |
| tọ́nà | tọ́nà | direct + way | show the way; guide | Common in practical movement and figurative instruction. | [CORE] |
| títọ́nà | títọ́nà | nominalization from tọ́nà | guidance; direction | Used for the act or process of directing someone or something. | [MARGINAL] |
| tọ́kantọ́kan | tọ́kantọ́kan | one-by-one / singly | one by one; individually | Common adverb in procedural and descriptive contexts. The form is widely used, though its connection to the truth/correctness sense is peripheral. | [MARGINAL] |
| ẹ̀rí | ẹ̀rí | nominal form from rí “see” | evidence; proof; testimony | Used in legal, religious, and everyday argument for what supports a claim or establishes an event. | [CORE] |
| ẹlẹ́rìí | ẹlẹ́rìí | bearer/owner of testimony | witness | Standard term for a witness in court, public procedure, religious testimony, and narrative reporting. | [CORE] |
| jẹ́ ẹlẹ́rìí | jẹ́ ẹlẹ́rìí | be + witness | be a witness | Used when someone personally witnessed an event or serves as a formal witness. | [CORE] |
| pe ẹlẹ́rìí | pe ẹlẹ́rìí | call + witness | call a witness | Common in legal and procedural settings. Also used more loosely in disputes or public inquiry. | [CORE] |
| ẹ̀rí ọ̀rọ̀ | ẹ̀rí ọ̀rọ̀ | evidence + matter/statement | evidence for a claim; verbal testimony | Used when discussing what supports a statement or case. | [MARGINAL] |
| ẹ̀rí ìdánimọ̀ | ẹ̀rí ìdánimọ̀ | evidence + identification | proof of identity; identification evidence | Common in administrative and legal contexts for documents or materials used to verify identity. | [CORE] |
| ẹ̀rí ìbí | ẹ̀rí ìbí | evidence + birth | birth certificate / proof of birth | Administrative and legal usage for official birth documentation. | [CORE] |
| ẹ̀rí ọkọ́ | ẹ̀rí ọkọ́ | evidence + vehicle | vehicle papers / vehicle documentation | Used in administrative and policing contexts for official vehicle documents. | [MARGINAL] |
| ẹ̀rí ilé | ẹ̀rí ilé | evidence + house/landed property | title document; property papers | Used in land and property matters for documentary proof of ownership. | [MARGINAL] |
| fi ẹ̀rí hàn | fi ẹ̀rí hàn | show + evidence + visible | present evidence; show proof | Used in argument, investigation, court, and scholarship. | [CORE] |
| ní ẹ̀rí | ní ẹ̀rí | have + evidence | have evidence; have proof | Common in disputes, legal reasoning, and ordinary argument. | [CORE] |
| kò sí ẹ̀rí | kò sí ẹ̀rí | NEG exist + evidence | there is no evidence | Used to deny evidential support in legal, scientific, journalistic, and everyday contexts. | [CORE] |
| ẹlẹ́rìí ojú | ẹlẹ́rìí ojú | witness + eye | eyewitness | Common in legal reporting and narrative description of events personally seen. | [CORE] |
| ẹlẹ́rìí àròsọ | ẹlẹ́rìí àròsọ | witness + hearsay/report | hearsay witness | Used where testimony is indirect rather than based on direct observation. | [UNCERTAIN] |
| rí i dájú | rí i dájú | see it + certain | make sure; ascertain | Very common in practical, administrative, and procedural speech for checking that something is correct or secure. | [CORE] |
| rí i pé | rí i pé | see it + that | see to it that; ensure that | Common in instructions, administration, and responsibility assignment. | [CORE] |
| ríran | ríran | seeing | sight; seeing; vision | Used literally for visual perception and in some extended evaluative or spiritual contexts. | [MARGINAL] |
| òdodo | òdodo | lexical noun | justice; righteousness; fairness | Used in moral, legal, and religious discourse for just or righteous order and judgment. | [CORE] |
| olódodo | olódodo | owner/possessor of righteousness | righteous person; just person; upright person | Used for a morally upright or just individual, especially in religious and ethical discourse. | [CORE] |
| ṣe òdodo | ṣe òdodo | do + justice/righteousness | do what is right; act justly | Common in moral exhortation, preaching, and ethical discussion. | [CORE] |
| idájọ́ òdodo | idájọ́ òdodo | judgment + justice | just judgment; fair judgment | Used in legal, political, and moral contexts for a fair decision or verdict. | [CORE] |
| ọba òdodo | ọba òdodo | king/ruler + righteousness | righteous king; just ruler | Found in religious, literary, and political discourse for an upright ruler. | [MARGINAL] |
| ọlọ́run òdodo | ọlọ́run òdodo | God + righteousness | righteous God; just God | Common in Christian religious discourse and preaching. | [CORE] |
| ọkùnrin òdodo | ọkùnrin òdodo | man + righteousness | righteous man; upright man | Used in moral and religious characterization. | [MARGINAL] |
| obìnrin òdodo | obìnrin òdodo | woman + righteousness | righteous woman; upright woman | Used in moral and religious characterization. | [MARGINAL] |
| ènìyàn òdodo | ènìyàn òdodo | person + righteousness | righteous person; just person | General expression for a morally upright person. | [CORE] |
| ọ̀nà òdodo | ọ̀nà òdodo | way/path + righteousness | righteous way; just path | Common in sermons, moral teaching, and literary usage. | [MARGINAL] |
| ní òdodo | ní òdodo | in/with + righteousness | in righteousness; justly | Used adverbially in formal, religious, and literary discourse. | [MARGINAL] |
| fẹ́ òdodo | fẹ́ òdodo | love + righteousness/justice | love justice; love righteousness | Used in moral and religious exhortation. | [CORE] |
| tẹ̀lé òdodo | tẹ̀lé òdodo | follow + righteousness | follow righteousness; pursue justice | Common in sermons and ethical instruction. | [MARGINAL] |
| dúró fún òdodo | dúró fún òdodo | stand for + justice | stand for justice | Used in political, moral, and activist discourse. | [CORE] |
