# F1 VOCABULARY TABLE — Sanskrit (sa)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| सत्यम् | satyam | satya (neuter nominative/accusative singular) | truly, indeed, verily (as adverb); truth (as noun) | Used as emphatic particle meaning "truly, indeed" in affirmations. Also functions as noun for truth. Common in ritual and philosophical discourse. | [CORE] |
| सत्यार्थ | satyārtha | satya + artha (meaning, object, purpose) | true meaning, real purpose, genuine object | Denotes the true or real meaning of something, as opposed to apparent or superficial meaning. Used in interpretive contexts and discussions of genuine versus ostensible purposes. | [CORE] |
| सत्यभाषिन् | satyabhāṣin | satya + bhāṣin (speaking, from √bhāṣ) | truth-speaking, truthful speaker | Similar to satyavādin, describes one who speaks truth. Used in moral characterization and legal contexts requiring truthful testimony. | [CORE] |
| सत्यधर्म | satyadharma | satya + dharma (duty, righteousness) | duty of truthfulness, truth as religious duty | Denotes truthfulness as moral or religious obligation. Used in ethical discourse where truth-speaking is prescribed as dharmic duty. | [CORE] |
| सत्यक्रिया | satyakriyā | satya + kriyā (action, rite) | act of truth, truth-act (ritual affirmation) | Ritual or solemn affirmation of truth, sometimes with magical efficacy. Used in narrative contexts where truthful declaration produces supernatural effects. | [MARGINAL] |
| सत्यलोक | satyaloka | satya + loka (world, realm) | world of truth, realm of Brahman | In cosmology, the highest heaven or realm of ultimate reality, abode of Brahman. Used in religious and mythological discourse about celestial realms. | [MARGINAL] |
| माप | māpa | √mā + -a (action noun) | measuring, measurement | General term for act of measuring or measurement. Used in practical contexts of quantification and in technical discussions of standards and metrics. | [CORE] |
| मान | māna | √mā + -ana (instrument/action noun) | measure, standard, respect, honor, pride | Polysemous term meaning measurement/standard in quantitative contexts, and respect/honor in social contexts. Also denotes pride or self-regard (sometimes negative connotation). | [CORE] |
| मात्रा | mātrā | √mā + -trā (instrument suffix) | measure, quantity, degree, vowel-length mark | Denotes measure or quantity in general sense. Technical term in prosody for syllabic quantity (long/short). Used for degree or extent of qualities. | [CORE] |
| प्रमाता | pramātā | pra + √mā + -tṛ (agent suffix) | knower, cognizer, subject of knowledge | Technical epistemological term for the knowing subject, one who cognizes. Used in philosophical analysis of knowledge situation (knower-knowing-known). | [CORE] |
| प्रमेय | prameya | pra + √mā + -eya (gerundive suffix) | knowable, object of knowledge | Technical term for object of valid cognition, what can be known. Used in epistemological discussions of the knowable versus unknowable. | [CORE] |
| प्रमाणत्व | pramāṇatva | pramāṇa + -tva (abstract suffix) | validity, status of being a valid means of knowledge | Abstract term for the quality or status of being a valid epistemic instrument. Used in philosophical debates about what constitutes valid knowledge sources. | [CORE] |
| प्रमाणाभास | pramāṇābhāsa | pramāṇa + ābhāsa (appearance, semblance) | semblance of valid knowledge, pseudo-proof | Technical term for what appears to be valid knowledge but is actually fallacious. Used in logic and epistemology for spurious arguments or invalid reasoning. | [CORE] |
| अप्रमा | apramā | a- (negative) + pramā | invalid cognition, erroneous knowledge | Negation of pramā, denoting cognition that fails to correspond to reality. Used in epistemological discussions contrasting valid and invalid knowledge. | [CORE] |
| उपमान | upamāna | upa- (near, like) + √mā + -ana | comparison, analogy, simile (as means of knowledge) | As pramāṇa, knowledge through comparison or analogy (e.g., knowing gavaya is like cow). Also used generally for comparison or simile in rhetoric. | [CORE] |
| उपमा | upamā | upa- + √mā + -ā | comparison, simile, resemblance | Rhetorical term for simile or comparison. One of the primary figures of speech (alaṅkāra) in poetics. Used for any comparative statement or analogy. | [CORE] |
| प्रमाणीकरण | pramāṇīkaraṇa | pramāṇa + -ī- + karaṇa (making) | validation, authentication, certification | Modern administrative term for process of validating or certifying something as authentic. Used in legal and bureaucratic contexts for official authentication. | [CORE] |
| प्रमाणित | pramāṇita | pramāṇa + -ita (past participle suffix) | validated, authenticated, certified, proven | Describes something that has been validated or proven. Used in legal, administrative, and scholarly contexts for authenticated or certified items. | [CORE] |
| प्रमाणपत्र | pramāṇapatra | pramāṇa + patra (document, letter) | certificate, credential, testimonial | Modern term for official certificate or credential document. Used in educational, professional, and administrative contexts for certification documents. | [CORE] |
| अनुमिति | anumiti | anu- (after) + √mā + -ti (action noun) | inference, inferential knowledge | Technical term for the act or result of inference. Used interchangeably with anumāna in epistemological discourse about inferential reasoning. | [CORE] |
| अनुमेय | anumeya | anu- + √mā + -eya (gerundive) | inferable, to be inferred | Technical term for what can be or is to be inferred. Used in logical analysis of inference structure (inferable property from perceived evidence). | [CORE] |
| अनुमापक | anumāpaka | anu- + √mā + -aka (agent suffix) | inferential sign, probans, reason | Technical term in logic for the inferential sign or reason (hetu) that enables inference. Used in analysis of inference structure. | [CORE] |
| परिमाण | parimāṇa | pari- (around, complete) + √mā + -ana | measure, size, quantity, extent | General term for measurement, size, or quantity of something. Used in mathematical, physical, and general descriptive contexts for dimensions or extent. | [CORE] |
| निर्माण | nirmāṇa | nir- (out, forth) + √mā + -ana | construction, creation, making, building | General term for construction or creation of something. Used for physical building, artistic creation, and abstract formation or establishment. | [CORE] |
| सम्मान | sammāna | sam- (together, complete) + √mā + -ana | honor, respect, esteem | Term for showing honor or respect to someone. Used in social contexts for respectful treatment and formal honoring of persons. | [CORE] |
| अपमान | apamāna | apa- (away, negative) + √mā + -ana | dishonor, disrespect, insult | Opposite of sammāna, denotes disrespect or insult. Used in social and legal contexts for dishonorable treatment or defamation. | [CORE] |
| मिथ्याचार | mithyācāra | mithyā + ācāra (conduct, behavior) | false conduct, improper behavior, hypocrisy | Denotes hypocritical or deceptive behavior, conduct that falsely represents one's true character or intentions. Used in moral criticism of inauthentic conduct. | [CORE] |
| मिथ्याज्ञान | mithyājñāna | mithyā + jñāna (knowledge) | false knowledge, erroneous cognition, misapprehension | Epistemological term for knowledge that is false or erroneous. Used in philosophical discussions of error and illusion as opposed to valid knowledge. | [CORE] |
| मिथ्यादृष्टि | mithyādṛṣṭi | mithyā + dṛṣṭi (view, vision) | false view, wrong opinion, heretical doctrine | Buddhist and general philosophical term for wrong views or false doctrines. Used to characterize erroneous philosophical positions or heretical beliefs. | [CORE] |
| मिथ्याभिमान | mithyābhimāna | mithyā + abhimāna (pride, self-conceit) | false pride, vain conceit, mistaken self-identification | Denotes pride based on false grounds or mistaken identification with what one is not. Used in moral and spiritual discourse about ego and false self-conception. | [CORE] |
| मिथ्याभाषण | mithyābhāṣaṇa | mithyā + bhāṣaṇa (speaking, speech) | false speech, lying, untruthful statement | Denotes act of speaking falsely or lying. Used in ethical discourse as vice opposed to truthful speech (satyabhāṣaṇa). | [CORE] |
| मिथ्यावाद | mithyāvāda | mithyā + vāda (speech, doctrine) | false doctrine, lying, false statement | Denotes false teaching or doctrine, or act of making false statements. Used in philosophical polemics and ethical discourse about lying. | [CORE] |
| मिथ्यावादिन् | mithyāvādin | mithyā + vādin (speaking, speaker) | liar, one who speaks falsely | Describes person who habitually speaks falsely or lies. Used in moral characterization as opposite of satyavādin (truth-speaker). | [CORE] |
| मिथ्याप्रत्यय | mithyāpratyaya | mithyā + pratyaya (cognition, belief) | false cognition, erroneous belief | Epistemological term for cognition or belief that is false. Used in analysis of error and illusion in knowledge theory. | [CORE] |
| मिथ्यासङ्कल्प | mithyāsaṅkalpa | mithyā + saṅkalpa (intention, conception) | false conception, erroneous intention, vain imagination | Denotes false or erroneous mental conception or intention. Used in psychological and philosophical discourse about mistaken ideas. | [CORE] |
| मिथ्यारोप | mithyāropa | mithyā + āropa (superimposition, attribution) | false superimposition, erroneous attribution | Technical Vedāntic term for superimposing false attributes onto reality (e.g., seeing snake in rope). Central to adhyāsa doctrine of illusion. | [CORE] |
| मिथ्योपचार | mithyopacāra | mithyā + upacāra (figurative usage, metaphor) | false metaphor, improper figurative usage | Grammatical and rhetorical term for metaphorical or figurative usage that is technically improper but conventionally accepted. | [MARGINAL] |
| मिथ्यासाक्षी | mithyāsākṣī | mithyā + sākṣin (witness) | false witness, perjurer | Legal term for person who gives false testimony. Used in judicial contexts for perjury or false witnessing. | [CORE] |
| मिथ्यादोष | mithyādoṣa | mithyā + doṣa (fault, defect) | false accusation, spurious fault | Denotes fault or defect that is falsely attributed or not genuinely present. Used in polemical and legal contexts for unfounded accusations. | [CORE] |
| मिथ्यानाम | mithyānāma | mithyā + nāman (name) | false name, misnomer, pseudonym | Denotes name that is false or does not correspond to reality. Used for misnomers, pseudonyms, or names that misrepresent. | [CORE] |
| मिथ्याभास | mithyābhāsa | mithyā + ābhāsa (appearance, semblance) | false appearance, illusory semblance | Philosophical term for appearance that is illusory or false. Used in discussions of perceptual error and metaphysical illusion. | [CORE] |
