# CLCA Protocol v3.4 — F4 Construction Table
# Language: Quechua (qu)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| EVIDENTIAL/VALIDATOR | chiqaqsi | chiqaq-si | it is true (I heard) | Reportative -si obligatory for hearsay information; crucial for distinguishing information source in truth-domain discourse. | [CORE] |
| EPISTEMIC SOURCE | rikuywan yachay | riku-y-wan yacha-y | to know by seeing | Common pattern for explicit evidential marking; contrasts with grammatical evidentials by making source lexically explicit. | [CORE] |
| EPISTEMIC SOURCE | uyariywan yachay | uyari-y-wan yacha-y | to know by hearing | Parallel to visual knowledge construction; used when evidential basis needs emphasis or clarification beyond grammatical marking. | [CORE] |
| REFLEXIVE/MIDDLE | llullakuy | llulla-ku-y | to lie (intransitive) | Common detransitivizing pattern; -ku- creates intransitive versions of evaluative verbs, focusing on subject's action/state. | [CORE] |
| REFLEXIVE/MIDDLE | pantakuy | panta-ku-y | to err, to make a mistake | Very frequent in error discourse; -ku- emphasizes that error affects/belongs to subject, standard form for "make a mistake." | [CORE] |
| ABUNDANCE/INTENSITY | chiqaqsapa | chiqaq-sapa | very truthful, full of truth | Less frequent than base forms; used primarily for character assessment and intensification, more common in evaluative/moral discourse. | [MARGINAL] |
| ABUNDANCE/INTENSITY | llullasapa | llulla-sapa | very deceitful, full of lies | Similar distribution to above; -sapa forms tend to appear in character descriptions and moral evaluations rather than everyday usage. | [MARGINAL] |
| POSSESSOR | yachayniyuq | yacha-y-ni-yuq | having knowledge, knowledgeable | Common pattern for expressing possession of abstract qualities; -niyuq variant appears with certain abstract nouns. | [CORE] |
| POSSESSOR | chaninyuq | chanin-yuq | having value, legitimate | Frequent in evaluative contexts; -yuq alone (without -ni-) appears with some roots, distribution may be lexically conditioned. | [CORE] |
| COMPARATIVE/EQUATIVE | payhina chiqaq | pay-hina chiqaq | as true as him/her | Standard comparison strategy; *hina/shina* is the unmarked particle for all equative/similative constructions. | [CORE] |
| COMPARATIVE/EQUATIVE | kayhina allin | kay-hina allin | as good as this | Very common in evaluative comparisons; no morphological comparative exists, *hina* construction is obligatory for comparison. | [CORE] |
| MAGNITUDE MODIFICATION | huch'uy pantay | huch'uy panta-y | small error, minor mistake | Common pattern for grading errors/faults; size terms productively modify evaluative nouns to indicate seriousness/magnitude. | [CORE] |
| MAGNITUDE MODIFICATION | hatun huch'a | hatun huch'a | great sin, serious fault | Frequent in moral/religious discourse; *hatun* "big" regularly intensifies negative evaluations, particularly moral faults. | [CORE] |
| LIMITATIVE | chiqaqlla | chiqaq-lla | only true, just the true one | Common restrictive/minimizing particle; -lla appears freely with all word classes, used for both exclusivity and minimization. | [CORE] |
| LIMITATIVE | pantalla | panta-lla | just an error, only a mistake | Frequent in contexts minimizing significance; -lla on negative evaluations often functions to downplay seriousness. | [CORE] |
| EMPHATIC | chiqapuni | chiqaq-puni | truly indeed, really | Common emphatic particle; -puni strengthens assertions and appears frequently in contexts requiring strong affirmation or certainty. | [CORE] |
| EMPHATIC | allinpuni | allin-puni | very good indeed, certainly good | Very frequent in positive evaluations; -puni adds speaker confidence and is common in reassurances and strong endorsements. | [CORE] |
| PAST PARTICIPLE | pantasqa | panta-sqa | mistaken, having erred | Highly productive resultative/passive; -sqa creates both stative ("is mistaken") and passive ("was mistaken") readings depending on context. | [CORE] |
| PAST PARTICIPLE | yachasqa | yacha-sqa | known, learned | Extremely common with epistemic verbs; creates both resultative states and nominal uses ("what is known, knowledge"). | [CORE] |
| CULTURAL CONCEPT | allin kawsay | allin kawsay | good life, well-being | Culturally central concept; semi-lexicalized but structurally transparent, used extensively in social/philosophical discourse. | [CORE] |
| CULTURAL CONCEPT | sumaq kawsay | sumaq kawsay | beautiful life, harmonious living | Key Andean philosophical term; parallel to *allin kawsay*, represents central ethical ideal, widely used in cultural/political contexts. | [CORE] |
| PLURAL ON ABSTRACTS | yachaykuna | yacha-y-kuna | knowledges, sciences | Common pattern for multiple domains/types; particularly productive with *yachay* to mean "sciences, areas of knowledge." | [CORE] |
| PLURAL ON ABSTRACTS | pantaykuna | panta-y-kuna | errors, mistakes (plural) | Standard pluralization of abstract nouns; creates count readings of mass concepts, used when enumerating multiple instances. | [CORE] |
| DISCONFIRMATION | (no common expression identified) | — | — | No construction exists for disconfirmation as a positive operation (i.e., "to prove false," "to falsify"). The language would require circumlocution, likely combining negation with causative or demonstrative constructions (e.g., showing that something is not true). This represents a genuine structural gap where the negative counterpart to verification lacks a dedicated or even common expression. | [GAP] |
