# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Quechua (qu)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| rikuy | rikuy | to see, to look | to see, to perceive, to witness | While primarily a perception verb, it is used in epistemic contexts to indicate direct evidence or witnessing as a basis for knowledge claims, distinguishing seen from merely heard or believed information. | [CORE] |
| uyariy | uyariy | to hear, to listen | to hear, to listen, to obey | Used in contexts involving reported information or hearsay, distinguishing indirect knowledge from direct perception. Also used for obedience, linking hearing to proper conduct. | [CORE] |
| kamachiy | kamachiy | to order, to command, to establish law | to command, to order, to legislate, to establish | Used in legal and moral contexts to describe the establishment of rules or proper order. It appears in evaluations of legitimate authority and rightful conduct. | [CORE] |
| huch'uy | huch'uy | small, little | small, little, minor, insignificant | Used to evaluate the magnitude or importance of faults, errors, or matters. It can minimize the significance of mistakes or wrongdoing in moral evaluations. | [CORE] |
| hatun | hatun | big, large, great | big, large, great, important, serious | Used to evaluate the magnitude or seriousness of matters, including moral faults or errors. It emphasizes the weight or significance of conduct or situations. | [CORE] |
| sumaq | sumaq | beautiful, good, pleasant | beautiful, good, pleasant, excellent | An aesthetic and moral evaluative term indicating beauty, goodness, or excellence. It is used for positive evaluation of objects, persons, conduct, and situations across multiple domains. | [CORE] |
| millay | millay | ugly, disgusting, abominable | ugly, disgusting, abominable, hateful | A strong negative evaluative term used for aesthetic, moral, and general disapproval. It characterizes objects, conduct, or persons as repugnant or morally reprehensible. | [CORE] |
| yupaychay | yupaychay | to honor, to respect, to value | to honor, to respect, to revere, to value | Used in contexts evaluating the worthiness of persons or things for respect and honor. It appears in moral and social contexts regarding proper recognition of value or status. | [CORE] |
| qhapaq | qhapaq | rich, powerful, noble | rich, powerful, noble, magnificent | Used to evaluate high status, wealth, or excellence. Historically used for nobility and continues to indicate superior quality or standing in various contexts. | [CORE] |
| wakcha | wakcha | poor, orphan, lacking | poor, orphan, destitute, lacking | Used to evaluate deficiency in resources, status, or support. It appears in social and moral contexts regarding those who lack proper means or protection. | [CORE] |
| tukuy | tukuy | all, complete, whole | all, complete, whole, entire | Used to evaluate completeness or totality. It appears in contexts assessing whether something encompasses all necessary parts or aspects. | [CORE] |
| ch'usaq | ch'usaq | empty, void | empty, void, hollow, lacking substance | Used to evaluate absence or lack of content, substance, or validity. It can characterize statements as empty or lacking genuine meaning, or objects as devoid of their proper contents. | [CORE] |
| chiqay | chiqay | chiq-a-y (truth-VBLZ-INF) | to be true, to be real | Verbal form used to assert or verify the truth of something. Used in statements like "kayqa chiqanmi" (this is true). Common in everyday verification and validation contexts. | [CORE] |
| chiqalla | chiqalla | chiq-a-lla (truth-VBLZ-LIM) | only the truth, just true, merely true | Used with the limitative suffix to emphasize that something is purely or simply true, without exaggeration or addition. Appears in contexts where truthfulness alone is being emphasized. | [CORE] |
| chiqap | chiqap | chiq-a-p (truth-VBLZ-GEN) | of truth, truth's | Genitive form used in possessive constructions, such as "chiqap siminwan" (with the word of truth). Common in formal and religious discourse. | [CORE] |
| chiqapuni | chiqapuni | chiq-a-pu-ni (truth-VBLZ-BEN-EMPH) | truly indeed, really and truly | Emphatic form used to strongly affirm truth. The -puni suffix adds certainty and emphasis. Used when speaker wants to stress absolute truthfulness. | [CORE] |
| chiqapta | chiqapta | chiq-a-p-ta (truth-VBLZ-GEN-ACC) | the truth (as object), truthfully | Accusative form used when truth is the direct object, or adverbially to mean "truthfully." Common in phrases like "chiqapta rimay" (speak truthfully). | [CORE] |
| chiqaqlla | chiqaqlla | chiq-aq-lla (truth-AG-LIM) | only true, just the true one | Combines the agentive/adjectival -q with limitative -lla. Used to indicate something is exclusively or purely true, distinguishing it from false alternatives. | [CORE] |
| chiqaqnin | chiqaqnin | chiq-aq-ni-n (truth-AG-POSS-3) | its truth, the true one of it | Possessive form indicating the true version or true aspect of something. Used when distinguishing authentic from inauthentic versions. | [CORE] |
| chiqaqninchik | chiqaqninchik | chiq-aq-ni-nchik (truth-AG-POSS-1PL.INCL) | our truth, what is true for us | First person plural inclusive possessive. Used in communal contexts to refer to shared truths or collective authentic traditions. | [CORE] |
| chiqaqta | chiqaqta | chiq-aq-ta (truth-AG-ACC) | the true one (as object), truly | Accusative of the adjectival form. Used as direct object or adverbially. Common in phrases meaning "to do truly" or "to seek the true one." | [CORE] |
| chiqaqman | chiqaqman | chiq-aq-man (truth-AG-ALL) | toward the true, to the truth | Allative case indicating direction or goal. Used metaphorically for moving toward truth or striving for authenticity. | [CORE] |
| chiqaqmanta | chiqaqmanta | chiq-aq-manta (truth-AG-ABL) | from the true, from truth | Ablative indicating source or origin. Used to indicate something derives from truth or is based on genuine foundations. Variant of chiqamanta in P1. | [CORE] |
| chiqaqpi | chiqaqpi | chiq-aq-pi (truth-AG-LOC) | in the true, in truth | Locative case. Used to indicate location within truth or truthful context. Appears in phrases meaning "in reality" or "in the true situation." | [CORE] |
| chiqaqpaq | chiqaqpaq | chiq-aq-paq (truth-AG-BEN) | for the true, for truth's sake | Benefactive case indicating purpose or benefit. Used when actions are done for the sake of truth or to serve truthfulness. | [CORE] |
| chiqaqwan | chiqaqwan | chiq-aq-wan (truth-AG-INST) | with truth, by means of truth | Instrumental case. Used to indicate truth as the means or instrument. Common in phrases about acting with truthfulness or using truth as a tool. | [CORE] |
| chiqaqyay | chiqaqyay | chiq-aq-ya-y (truth-AG-INCH-INF) | to become true, to be verified | Inchoative verb indicating the process of becoming true or being verified. Used when something is in the process of being confirmed or proven true. | [CORE] |
| chiqaqchay | chiqaqchay | chiq-aq-cha-y (truth-AG-DIM-INF) | to make somewhat true, to verify partially | Diminutive verbal form suggesting partial or approximate truth-making. Used in contexts of partial verification or making something more truthful. | [MARGINAL] |
| chiqaqkuna | chiqaqkuna | chiq-aq-kuna (truth-AG-PL) | true ones, truths | Plural form referring to multiple true things or truths. Used when discussing various truths or multiple authentic items. | [CORE] |
| chiqaqkunamanta | chiqaqkunamanta | chiq-aq-kuna-manta (truth-AG-PL-ABL) | from the truths, from true things | Ablative plural. Used when discussing derivation from multiple truths or sources of truth. | [CORE] |
| chiqanchay | chiqanchay | chiq-a-ncha-y (truth-VBLZ-CAUS-INF) | to make true, to verify, to authenticate | Causative form meaning to cause something to be true or to establish truth. Used in contexts of verification, authentication, and validation. | [CORE] |
| chiqanchakuy | chiqanchakuy | chiq-a-ncha-ku-y (truth-VBLZ-CAUS-REFL-INF) | to verify for oneself, to authenticate oneself | Reflexive causative. Used when someone verifies something for their own benefit or authenticates their own claims. | [CORE] |
| chiqanchana | chiqanchana | chiq-a-ncha-na (truth-VBLZ-CAUS-NMLZ) | means of verification, authenticator | Nominalizer indicating instrument or means. Refers to tools, methods, or persons used for verification or authentication. | [CORE] |
| chiqanchaq | chiqanchaq | chiq-a-ncha-q (truth-VBLZ-CAUS-AG) | verifier, one who authenticates | Agentive form referring to a person who verifies or authenticates. Used for officials, witnesses, or anyone who establishes truth. | [CORE] |
| chiqanchapakuy | chiqanchapakuy | chiq-a-ncha-pa-ku-y (truth-VBLZ-CAUS-BEN-REFL-INF) | to have verified for oneself, to get authenticated | Benefactive reflexive causative. Used when someone has something verified or authenticated for their own benefit. | [CORE] |
| chiqaqsapa | chiqaqsapa | chiq-aq-sapa (truth-AG-ABUND) | full of truth, very truthful | Abundance suffix indicating something or someone characterized by much truth. Used to describe truthful persons or situations rich in authenticity. | [CORE] |
| chiqaqniyuq | chiqaqniyuq | chiq-aq-ni-yuq (truth-AG-POSS-POSSESSOR) | having truth, possessing authenticity | Possessor suffix indicating something that has or possesses truth. Used for claims, documents, or persons that have genuine truth. | [CORE] |
| chiqaqninnaq | chiqaqninnaq | chiq-aq-ni-nnaq (truth-AG-POSS-STILL) | still its truth, still the true one | Continuative suffix indicating something remains true or authentic despite circumstances. Used when affirming continued truthfulness. | [MARGINAL] |
| allinlla | allinlla | allin-lla (good-LIM) | just good, only good, quite good | Limitative form emphasizing that something is simply or merely good, without being exceptional. Common in modest assessments or when tempering praise. | [CORE] |
| allinpuni | allinpuni | allin-puni (good-EMPH) | very good indeed, certainly good | Emphatic form strongly affirming goodness. Used when speaker wants to stress that something is definitely or absolutely good. | [CORE] |
| allinta | allinta | allin-ta (good-ACC) | well, goodly, in a good manner | Accusative form functioning adverbially. Very common in everyday speech meaning "well" or "properly," as in "allinta ruway" (do it well). | [CORE] |
| allinman | allinman | allin-man (good-ALL) | toward good, for the better | Allative indicating direction toward goodness. Used when discussing improvement or positive change, as in "allinman kutiy" (return to good/improve). | [CORE] |
| allinmanta | allinmanta | allin-manta (good-ABL) | from good, from goodness | Ablative indicating source. Used when something derives from goodness or when discussing origins in proper conduct. | [CORE] |
| allinpi | allinpi | allin-pi (good-LOC) | in good, in goodness | Locative case. Used to indicate being in a state of goodness or within proper conditions. Common in health contexts: "allinpi kashani" (I am in good health). | [CORE] |
| allinpaq | allinpaq | allin-paq (good-BEN) | for good, for the sake of goodness | Benefactive indicating purpose. Used when actions are done for good purposes or beneficial outcomes. | [CORE] |
| allinwan | allinwan | allin-wan (good-INST) | with good, by means of goodness | Instrumental case. Used to indicate goodness as means or accompaniment. Common in phrases about acting with good intentions. | [CORE] |
| allinyay | allinyay | allin-ya-y (good-INCH-INF) | to become good, to improve, to get better | Inchoative verb indicating process of becoming good or improving. Very common in contexts of healing, improvement, or moral development. | [CORE] |
| allinyachiy | allinyachiy | allin-ya-chi-y (good-INCH-CAUS-INF) | to make good, to improve, to fix, to heal | Causative of allinyay. Used for making things better, repairing, healing, or improving situations. Common in medical, technical, and moral contexts. | [CORE] |
| allinyachikuy | allinyachikuy | allin-ya-chi-ku-y (good-INCH-CAUS-REFL-INF) | to improve oneself, to get better (for oneself) | Reflexive causative. Used when someone improves themselves or has something improved for their own benefit. | [CORE] |
| allinyachiq | allinyachiq | allin-ya-chi-q (good-INCH-CAUS-AG) | improver, healer, one who makes good | Agentive form referring to persons who improve, heal, or fix things. Used for healers, repairers, and moral reformers. | [CORE] |
| allinyachina | allinyachina | allin-ya-chi-na (good-INCH-CAUS-NMLZ) | means of improvement, remedy, cure | Nominalizer indicating instrument or means. Refers to medicines, tools, or methods used for improvement or healing. | [CORE] |
| allinkuna | allinkuna | allin-kuna (good-PL) | good ones, good things | Plural form referring to multiple good things or good people. Used when discussing various beneficial items or virtuous persons. | [CORE] |
| allinkunamanta | allinkunamanta | allin-kuna-manta (good-PL-ABL) | from good things, from the good ones | Ablative plural. Used when discussing derivation from multiple good sources or origins in various virtues. | [CORE] |
| allinsapa | allinsapa | allin-sapa (good-ABUND) | very good, full of goodness, excellent | Abundance suffix indicating something characterized by much goodness. Used for highly virtuous persons or excellent quality items. | [CORE] |
| allinniyuq | allinniyuq | allin-ni-yuq (good-POSS-POSSESSOR) | having goodness, possessing virtue | Possessor suffix indicating something that has or possesses goodness. Used for persons of good character or things of good quality. | [CORE] |
| allincha | allincha | allin-cha (good-DIM) | somewhat good, fairly good, goodish | Diminutive form suggesting moderate or partial goodness. Used for qualified approval or when something is acceptable but not excellent. | [CORE] |
| allinchay | allinchay | allin-cha-y (good-DIM-INF) | to make somewhat good, to improve a little | Diminutive verbal form suggesting partial improvement or making something moderately better. Used for minor repairs or small improvements. | [MARGINAL] |
| allinraq | allinraq | allin-raq (good-CONT) | still good, yet good | Continuative suffix indicating something remains good or is still in good condition. Common in assessments of durability or continued virtue. | [CORE] |
| allinña | allinña | allin-ña (good-ALREADY) | already good, good now | Completive suffix indicating something has become good or is now in good condition. Used when improvement has been achieved. | [CORE] |
| allinpas | allinpas | allin-pas (good-ADD) | also good, good too | Additive suffix. Used when adding that something is also good or when including goodness among other qualities. | [CORE] |
| allinchu | allinchu | allin-chu (good-Q) | is it good?, good? | Interrogative suffix forming yes/no questions. Very common in everyday inquiries about quality, health, or propriety. | [CORE] |
| allinkaray | allinkaray | allin-kara-y (good-INTENS-INF) | to be very good, to be quite good | Intensifier suffix emphasizing degree of goodness. Used for strong positive evaluation. | [MARGINAL] |
| allinchakuy | allinchakuy | allin-cha-ku-y (good-DIM-REFL-INF) | to make oneself presentable, to tidy oneself | Reflexive diminutive. Used specifically for personal grooming or making oneself look good/proper. Common in preparation contexts. | [CORE] |
| pantaq | pantaq | panta-q (err-AG) | one who errs, mistaken person | Agentive form referring to someone who makes errors or is in error. Used to characterize persons as mistaken or error-prone. | [CORE] |
| pantana | pantana | panta-na (err-NMLZ) | place/means of error, where one errs | Nominalizer indicating place or means. Used for situations or conditions where errors commonly occur. | [CORE] |
| pantachiy | pantachiy | panta-chi-y (err-CAUS-INF) | to cause to err, to mislead, to deceive | Causative form meaning to cause someone to make an error or to lead astray. Used in contexts of deception or causing mistakes. | [CORE] |
| pantachikuy | pantachikuy | panta-chi-ku-y (err-CAUS-REFL-INF) | to deceive oneself, to be mistaken | Reflexive causative. Used when someone causes themselves to err or is self-deceived. | [CORE] |
| pantachiq | pantachiq | panta-chi-q (err-CAUS-AG) | deceiver, misleader, one who causes error | Agentive causative referring to persons who mislead or cause others to err. Used for deceivers and those who lead others astray. | [CORE] |
| pantachina | pantachina | panta-chi-na (err-CAUS-NMLZ) | means of deception, misleading thing | Nominalizer indicating instrument. Refers to things or methods used to deceive or cause error. | [CORE] |
| pantasqakuna | pantasqakuna | panta-sqa-kuna (err-PTCP-PL) | mistaken ones, errors | Plural of the participle. Refers to multiple mistakes or multiple mistaken persons/things. | [CORE] |
| pantasqamanta | pantasqamanta | panta-sqa-manta (err-PTCP-ABL) | from error, from the mistake | Ablative of participle. Used when discussing origin in error or derivation from mistakes. | [CORE] |
| pantasqapi | pantasqapi | panta-sqa-pi (err-PTCP-LOC) | in error, in the mistake | Locative of participle. Used to indicate being in a state of error or within a mistaken situation. | [CORE] |
| pantaykuna | pantaykuna | panta-y-kuna (err-INF-PL) | errors, mistakes (plural) | Plural of the infinitive used nominally. Refers to multiple errors or types of mistakes. | [CORE] |
| pantayniyuq | pantayniyuq | panta-y-ni-yuq (err-INF-POSS-POSSESSOR) | having error, containing mistakes | Possessor suffix indicating something that contains or has errors. Used for flawed documents, incorrect statements, or error-prone persons. | [CORE] |
| pantaynin | pantaynin | panta-y-ni-n (err-INF-POSS-3) | its error, the mistake of it | Third person possessive. Used to refer to the specific error or mistake belonging to something. | [CORE] |
| pantaypaq | pantaypaq | panta-y-paq (err-INF-BEN) | for error, for the sake of mistake | Benefactive case. Used when discussing purposes related to error, though less common than other forms. | [MARGINAL] |
| pantasapa | pantasapa | panta-sapa (err-ABUND) | full of errors, very mistaken | Abundance suffix indicating something characterized by many errors. Used for highly flawed work or very mistaken persons. | [CORE] |
| pantalla | pantalla | panta-lla (err-LIM) | just an error, only a mistake | Limitative form minimizing the error. Used when characterizing something as merely a mistake, not a serious fault. | [CORE] |
| pantapuni | pantapuni | panta-puni (err-EMPH) | certainly wrong, definitely an error | Emphatic form strongly affirming that something is an error. Used when speaker wants to stress that something is definitely mistaken. | [CORE] |
| pantarqo | pantarqo | panta-rqo (err-SUDDEN) | to err suddenly, to make a sudden mistake | Sudden action suffix. Indicates making a sudden or unexpected error. Used when mistakes happen abruptly or surprisingly. | [MARGINAL] |
| pantakuy | pantakuy | panta-ku-y (err-REFL-INF) | to err (for oneself), to make one's own mistake | Reflexive form emphasizing that the error affects the person making it. Common in contexts of personal responsibility for mistakes. | [CORE] |
