| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
| 23 | Peke na pala ang produktong iyon. | Peke na pala ang produktong iyon. | [CORE] | Combination of *na* (changed state) and *pala* (realization/discovery) marks speaker's epistemic update upon discovering something is counterfeit. |
| 24 | Maging peke / Maging huwad | maging peke / maging huwad | [MARGINAL] | No common expression identified for the inchoative; causative is the natural encoding; *peke* and *huwad* describe object properties rather than states a person or thing enters into. |
| 25 | May tiwala na ako sa kanya. | May tiwala na ako sa kanya. | [CORE] | *May* + *na* construction marks the coming-into-being of trust. |
| 26 | Hindi na totoo ang kanyang mga sinabi. | Hindi na totoo ang kanyang mga sinabi. | [CORE] | *Hindi na* is the standard construction for the transition from a true state to a no-longer-true state; most natural encoding for this meaning. |
| 27 | Naging di-tunay | naging di-tunay | [CORE] | More formal variant for the transition from genuine to inauthentic; attested in interpersonal contexts. |
| 28 | Naging peke ang kanyang pagmamahal sa pagtatapos. | Naging peke ang kanyang pagmamahal sa pagtatapos. | [CORE] | More colloquial and more frequently attested form; describes a change in the speaker's epistemic assessment rather than a change in the object itself. |
| 29 | Naging hindi tapat | naging hindi tapat | [CORE] | More compositional alternative for the transition into dishonesty. |
| 30 | Naging sinungaling siya sa paglipas ng panahon. | Naging sinungaling siya sa paglipas ng panahon. | [CORE] | Most natural construction for the transition into habitual dishonesty; more colloquial and more direct in moral condemnation than *naging hindi tapat*. |
| 31 | Naging mali ang kanyang desisyon nang magbago ang sitwasyon. | Naging mali ang kanyang desisyon nang magbago ang sitwasyon. | [CORE] | Describes a change in the correctness-status of a judgment rather than a change in the person making it. |
| 32 | Nawalan ng tiwala ang mga mamamayan sa gobyerno. | Nawalan ng tiwala ang mga mamamayan sa gobyerno. | [CORE] | Standard construction for the transition from a state of trust to a state of distrust; attested in political and interpersonal discourse. |
| 33 | Wala na akong tiwala sa kanya. | Wala na akong tiwala sa kanya. | [CORE] | *Wala na* construction marks a change from a state of trust to a state of no trust; *na* particle is critical in marking the change of state. |
| 34 | Hindi na siya mapagkakatiwalaan pagkatapos ng nangyari. | Hindi na siya mapagkakatiwalaan pagkatapos ng nangyari. | [CORE] | Combines negation *hindi*, change-of-state particle *na*, and trustworthiness evaluative to describe transition from trustworthy to untrustworthy status. |
| 35 | Nawalan ng lehitimidad ang gobyerno matapos ang eleksyon. | Nawalan ng lehitimidad ang gobyerno matapos ang eleksyon. | [CORE] | Uses the same *nawalan ng* construction as *nawalan ng tiwala*; attested in political and legal discourse. |
| 36 | kawalan ng tiwala | kawalan ng tiwala | [CORE] | The only clearly lexicalized nominal for a transition away from a truth-related state in the data; *kawalan* encodes the dynamic of losing or lacking trust. |
| 37 | Nagkamali siya. | Nagkamali siya. | [CORE] | *Nag-* perfective encodes the completed transition into a state of error. |
| 38 | Aminin ang pagkakamali. | Aminin ang pagkakamali. | [CORE] | *Pagkakamali* nominalizes the event of having erred. |
| 39 | pagsisinungaling | pagsisinungaling | [CORE] | *Pag-* verbal noun nominalizes the act as an event, implying a transition from non-lying to lying. |
| 40 | Patunayan mo ang iyong sinasabi. | Patunayan mo ang iyong sinasabi. | [CORE] | Primary causative-verificational verbal form; *pa-* prefix on *tunay* produces causative meaning: to cause something to be established as genuine or true. |
| 41 | Patunayan mo. | Patunayan mo. | [CORE] | *pa-* (causative) + *tunay* + *-an*: "cause [it] to be verified/proven." |
| 42 | Pinatunayan ng ebidensya ang kanyang kasalanan. | Pinatunayan ng ebidensya ang kanyang kasalanan. | [CORE] | Completed-aspect actor-focus form; agent of causation marked with *ng*; attested in P2a. |
| 43 | Pinatunayan niya ang katotohanan ng kanyang sinabi. | Pinatunayan niya ang katotohanan ng kanyang sinabi. | [CORE] | Extension of the causative construction to the nominal *katotohanan*; natural in formal and argumentative discourse. |
| 44 | Pinatunayan niya. | Pinatunayan niya. | [CORE] | Attested in P2a. |
