# CLCA Protocol v3.2 — F1 VOCABULARY TABLE
# Language: Korean (ko)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| 진력 | jillyeok | exhaust + strength | utmost effort, all one's strength | Formal term for exerting maximum effort. Used in "진력하다" (to exert oneself fully) in official or formal contexts. | [CORE] |
| 진혼 | jinhon | calm/pacify + soul | requiem, soul-calming | Religious and ceremonial term for rituals or music to calm the souls of the dead. Used in "진혼곡" (requiem). | [CORE] |
| 진정하다 | jinjeonghada | calm + settle + to be | to calm down, to settle, to subside | Describes calming of emotions, situations, or physical symptoms. Common in medical and emotional contexts. | [CORE] |
| 진정서 | jinjeongseo | petition + document | petition, written appeal | Legal/administrative term for formal written petition or appeal to authorities. | [CORE] |
| 진땀 | jinttam | true/real + sweat | cold sweat, profuse sweat | Describes intense sweating from anxiety, fear, or extreme effort. Used in "진땀을 흘리다" (to break out in cold sweat). | [CORE] |
| 진배없다 | jinbaeopda | true + arrange/compare + not exist | no different from, just like | Literary expression meaning essentially the same as or no different from. Used in comparisons. | [MARGINAL] |
| 진맥 | jinmaek | examine + pulse | pulse diagnosis, pulse-taking | Traditional medicine term for diagnosing through pulse examination. Used in "진맥하다" (to take the pulse). | [CORE] |
| 진료 | jillyo | examine + treat | medical examination, medical treatment | Medical term for clinical examination and treatment. Very common in healthcare settings, e.g., "진료실" (examination room). | [CORE] |
| 진찰 | jinchal | examine + inspect | medical examination, checkup | Medical term for physical examination by a doctor. Used in "진찰하다" (to examine a patient). | [CORE] |
| 거짓말쟁이 | geojinmaljjaengi | false + speech + person (suffix) | liar, habitual liar | Colloquial term for someone who lies frequently. Used in everyday speech, often with negative judgment. | [CORE] |
| 거짓말탐지기 | geojinmaltamjigi | false + speech + detect + machine | lie detector, polygraph | Technical term for polygraph machines. Used in law enforcement and investigative contexts. | [CORE] |
| 거짓증언 | geojitjeungeon | false + testimony | false testimony, perjury | Legal term for giving false testimony under oath. Used in court proceedings and legal discourse. | [CORE] |
| 거짓증거 | geojitjeungeo | false + evidence | false evidence, fabricated evidence | Legal term for evidence that has been falsified or fabricated. Used in criminal and legal contexts. | [CORE] |
| 거짓선전 | geojitseonjeon | false + propaganda/advertisement | false advertising, false propaganda | Used in commercial and political contexts to describe misleading advertising or propaganda. | [CORE] |
| 거짓정보 | geojitjeongbo | false + information | false information, misinformation | Contemporary term for false or misleading information, especially in media and online contexts. | [CORE] |
| 거짓뉴스 | geojinnyuseu | false + news | fake news | Modern term for deliberately false news stories. Common in media criticism and political discourse. | [CORE] |
| 거짓고백 | geojitgobaek | false + confession | false confession | Legal and psychological term for confessions that are untrue, often coerced. Used in criminal justice contexts. | [CORE] |
| 거짓진술 | geojitjinsul | false + statement | false statement, false testimony | Legal term for making untrue statements, especially in official or legal settings. | [CORE] |
| 거짓사랑 | geojitsarang | false + love | false love, insincere love | Used in romantic and interpersonal contexts to describe love that is not genuine or is deceptive. | [CORE] |
| 거짓눈물 | geojinnunmul | false + tears | crocodile tears, fake tears | Describes insincere displays of emotion. Used to criticize manipulative emotional displays. | [CORE] |
| 거짓웃음 | geojituseum | false + smile/laughter | fake smile, forced laughter | Describes insincere smiling or laughter. Used in social and psychological contexts. | [CORE] |
| 거짓친구 | geojitchingu | false + friend | false friend, fake friend | Describes someone who pretends to be a friend but is not genuine. Used in interpersonal relationship contexts. | [CORE] |
| 거짓약속 | geojityaksok | false + promise | false promise, empty promise | Describes promises made without intention to keep them. Common in political and interpersonal criticism. | [CORE] |
| 거짓희망 | geojithimang | false + hope | false hope, vain hope | Describes hope based on unrealistic expectations or deception. Used in medical, personal, and social contexts. | [CORE] |
| 거짓명의 | geojitmyeongui | false + name/identity | false identity, assumed name | Legal and administrative term for using a false name or identity. Common in fraud and identity theft contexts. | [CORE] |
| 거짓행세 | geojithaengse | false + behavior/pretense | false pretense, impersonation | Describes pretending to be someone or something one is not. Used in social and legal contexts. | [CORE] |
| 거짓부렁 | geojitbureong | false + exaggeration | tall tale, exaggerated lie | Colloquial term for exaggerated or boastful lies. Used in informal speech. | [MARGINAL] |
| 거짓없이 | geojiteobsi | false + without | truthfully, honestly, without lies | Adverbial expression meaning to speak or act without deception. Used to emphasize honesty. | [CORE] |
| 실상 | silsang | real + situation/appearance | actual situation, reality, true state | Formal term for the actual state of affairs as opposed to appearances or assumptions. Common in analytical and investigative discourse. | [CORE] |
| 실정 | siljeong | real + situation/condition | actual conditions, real circumstances | Describes actual circumstances or conditions on the ground. Used in policy, administrative, and analytical contexts. | [CORE] |
| 실태 | siltae | real + state/condition | actual state, real conditions | Used in surveys, investigations, and reports to describe actual conditions. Common in "실태조사" (fact-finding survey). | [CORE] |
| 실체 | silche | real + body/substance | substance, entity, reality | Philosophical and analytical term for actual substance or entity. Used when discussing what something really is. | [CORE] |
| 실질 | siljil | real + substance/quality | substance, essence, reality | Refers to substantial or essential aspects as opposed to nominal or formal ones. Common in "실질적" (substantial, actual). | [CORE] |
| 실물 | silmul | real + thing/object | real thing, actual object | Refers to physical objects as opposed to representations or descriptions. Used in "실물경제" (real economy). | [CORE] |
| 실명 | silmyeong | real + name | real name, actual name | Refers to one's legal or actual name as opposed to pseudonyms or aliases. Used in "실명제" (real-name system). | [CORE] |
| 실력 | sillyeok | real + strength/ability | actual ability, real skill | Describes genuine ability or competence as demonstrated in practice. Very common in educational and professional contexts. | [CORE] |
| 실적 | siljeok | real + achievement/record | actual results, performance record | Business and administrative term for actual achievements or performance metrics. Used in evaluations and reports. | [CORE] |
| 실효 | silhyo | real + effect/efficacy | actual effect, practical efficacy | Describes real or practical effectiveness as opposed to theoretical potential. Common in policy and technical contexts. | [CORE] |
| 실익 | silik | real + benefit/profit | actual benefit, real profit | Refers to tangible benefits or profits as opposed to nominal or theoretical ones. Used in business and policy analysis. | [CORE] |
| 실용 | silyong | real + use/application | practical use, utility | Emphasizes practical application and usefulness. Common in "실용적" (practical, utilitarian). | [CORE] |
| 실천 | silcheon | real + practice/action | practice, implementation, action | Refers to putting ideas or principles into practice. Common in moral, educational, and organizational contexts. | [CORE] |
| 실행 | silhaeng | real + carry out | execution, implementation, practice | Formal term for carrying out plans or decisions. Used in administrative, legal, and project management contexts. | [CORE] |
| 실현 | silhyeon | real + manifest/appear | realization, actualization, fulfillment | Describes bringing plans, dreams, or potentials into reality. Common in aspirational and planning contexts. | [CORE] |
| 실감 | silgam | real + feeling/sense | real feeling, sense of reality | Describes vivid or tangible sense of reality. Used in "실감나다" (to feel real, to be vivid). | [CORE] |
| 실황 | silhwang | real + situation/scene | live coverage, actual scene | Broadcasting term for live coverage or real-time reporting. Used in "실황중계" (live broadcast). | [CORE] |
| 실시간 | silsigan | real + time | real-time | Technical term for simultaneous or immediate processing/transmission. Very common in digital and broadcasting contexts. | [CORE] |
| 실험 | silheom | real + test/experiment | experiment, test | Scientific and educational term for empirical testing. Used in "실험실" (laboratory). | [CORE] |
| 실습 | silseup | real + practice/training | practical training, hands-on practice | Educational term for practical training as opposed to theoretical study. Common in vocational and professional education. | [CORE] |
| 실기 | silgi | real + skill/technique | practical skill, performance | Educational and professional term for practical skills or performance tests. Used in "실기시험" (practical examination). | [CORE] |
| 실무 | silmu | real + work/duty | practical work, actual duties | Professional term for actual work tasks as opposed to theoretical or managerial aspects. Common in "실무자" (working-level staff). | [CORE] |
| 실전 | siljeon | real + battle/war | actual combat, real situation | Military term for actual combat; metaphorically used for real-world application as opposed to practice or simulation. | [CORE] |
| 실패 | silpae | real + defeat/failure | failure, defeat | Common term for failure in endeavors. Used across all contexts where attempts do not succeed. | [CORE] |
| 실수 | silsu | real + mistake/error | mistake, error, blunder | Common term for unintentional errors or mistakes. Used in everyday and professional contexts. | [CORE] |
| 실종 | siljong | real + disappear/lost | disappearance, missing | Legal and news term for missing persons or things. Used in "실종자" (missing person). | [CORE] |
| 실업 | sireop | real + without work OR lose + work | unemployment | Economic term for being without employment. Used in "실업률" (unemployment rate). | [CORE] |
| 실내 | silnae | room + inside | indoor, interior | Describes indoor spaces or activities. Common in "실내온도" (indoor temperature). | [CORE] |
| 실외 | siloe | room + outside | outdoor, exterior | Describes outdoor spaces or activities. Used in contrast with 실내. | [CORE] |
| 실크 | silkeu | borrowed from English "silk" | silk | Loanword for silk fabric. Used in fashion and textile contexts. | [MARGINAL] |
| 실타래 | siltarae | thread + skein/bundle | skein of thread, tangled thread | Literal term for bundled thread; metaphorically used for complicated, tangled situations. | [CORE] |
| 실오라기 | siloragi | thread + strand | single thread, thin strand | Describes very thin thread or strand; used metaphorically for minimal amounts, as in "실오라기 하나 걸치지 않다" (not wearing a thread = naked). | [CORE] |
| 실없다 | sireopda | substance + not exist | frivolous, silly, pointless | Describes behavior or talk that lacks substance or seriousness. Used in everyday speech. | [CORE] |
| 실없이 | sireobsi | substance + without | frivolously, senselessly | Adverbial form describing actions done without thought or substance. | [CORE] |
| 실속 | silsok | real + inside/content | substance, real content, practical benefit | Describes actual substance or practical benefits as opposed to appearance. Used in "실속있다" (to be substantial, practical). | [CORE] |
