# CLCA Protocol v3.4 — P4b Construction Usage & Constraints
# Language: Swahili (sw)

---

## Construction Usage Table

| Construction Type | Example | Transliteration | Translation | Naturalness | Usage Notes | Attested Alternates |
| **10. Evidential / Self-Evidence Predicate** (*ni dhahiri kwamba*) | *Ni dhahiri kwamba alikosea.* | Ni dhahiri kwamba alikosea. | "It is evident that he/she erred." | [CORE] | Characteristic of argumentative and legal discourse where the speaker presents a conclusion as requiring no further support. Takes a *kwamba*-complement clause; intensifier *kabisa* may be inserted. | *Kwa dhahiri, alikosea* (adverbial alternate — see §9, less formally structured) |
| **10. Evidential / Self-Evidence Predicate** (*ni dhahiri kwamba*) | *Ni dhahiri kabisa kwamba ushahidi unatosha.* | Ni dhahiri kabisa kwamba ushahidi unatosha. | "It is absolutely clear that the evidence is sufficient." | [CORE] | The intensifier *kabisa* is inserted between *dhahiri* and *kwamba*; this is an attested and natural extension of the base construction. Particularly common in formal argumentation and legal summation. | *Ni wazi kabisa kwamba* (near-synonymous with *wazi* 'clear/open', attested in similar contexts though *wazi* is not a core truth-domain item per P4a) |
| **11. Periphrastic Verbal Construction** (light verb + truth noun) | *Kusema ukweli daima ni wajibu.* | Kusema ukweli daima ni wajibu. | "To always tell the truth is a duty." | [CORE] | Standard pattern compensating for the absence of lexicalized single-word verbs for "truth-tell," "evidence," etc. The object noun carries semantic content; the light verb specifies action type. Productive and not restricted to fixed collocations. | — |
| **11. Periphrastic Verbal Construction** (light verb + truth noun) | *Walikusanya ushahidi kwa miezi mingi.* | Walikusanya ushahidi kwa miezi mingi. | "They gathered evidence for many months." | [CORE] | Common in journalistic, legal, and investigative contexts. The range of light verbs (*sema*, *toa*, *tafuta*, *ficha*, *potosha*, *kukusanya*, *pinga*) is broad; the pattern is productive across action types in the truth domain. | — |

---

## Summary Notes

**No constructions rated [MARGINAL] or [UNCERTAIN]:** All eleven construction types identified in P4a are rated [CORE] based on the evidence presented. Each is described in P4a as common, productive, or characteristic of identifiable registers, and no construction is flagged in P4a as restricted, rare, or doubtful. This rating reflects the P4a data as given; it does not constitute an independent claim about frequency outside that data.

**Passive vs. Inchoative distinction (§4 / §8):** The contrast between *kudanganyika* (inchoative, no agent) and *kudanganywa* (passive, agent expressible) is semantically significant and both forms are [CORE]; they are not interchangeable alternates but distinct constructions with different agent-foregrounding properties.

**Absence of attested alternates for §11:** No alternate constructions are listed for the periphrastic verbal construction because P4a does not attest single-word lexicalized verbs for the relevant actions ("to truth-tell," "to evidence-gather"); the periphrastic pattern is the primary attested form for these meanings.
