# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
| 4.1a | הם זייפו את המסמכים | hem ziyfu et ha-mismakhim | [CORE] | Legal/criminal — "they forged the documents" |
| 4.1b | הוא זייף את החתימה | hu ziyef et ha-khatimah | [CORE] | Standard — "he forged the signature" |
| 4.1c | זייפו את העובדות | ziyfu et ha-uvdot | [CORE] | Deliberate distortion — "they falsified the facts" |
| 4.2a | הוא הטעה אותי | hu hit'ah oti | [CORE] | Very common — "he misled me" |
| 4.2b | הדיווח המוטעה הטעה את הציבור | ha-divuakh ha-mut'eh hit'ah et ha-tsibur | [CORE] | Formal/journalistic — "the erroneous report misled the public" |
| 4.2c | היא הטעתה אותו בכוונה | hi hit'atah oto be-khavanah | [CORE] | Intentional misleading — "she misled him intentionally" |
| 4.2d | המידע המוטעה גרם לטעות | ha-meyda ha-mut'eh garam le-ta'ut | [CORE] | Causal construction — "the erroneous information caused an error" |
| 4.3a | הוא הפריך את הטענה | hu hifrikh et ha-ta'anah | [CORE] | Standard refutation — "he refuted the claim" |
| 4.3b | המחקר סתר את התיאוריה | ha-mekhkar satar et ha-te'oryah | [CORE] | Academic/scientific — "the research contradicted the theory" |
| 4.3c | הם הפריכו את השקר | hem hifrikhu et ha-sheker | [CORE] | Exposing falsehood — "they refuted the lie" |
| 5.1a | הוא שכנע אותי שזה אמת | hu shiknea oti she-ze emet | [CORE] | Standard persuasion — "he convinced me that this is true" |
| 5.1b | היא גרמה לי להאמין לה | hi garmah li leha'amin lah | [CORE] | Causal construction — "she caused me to believe her" |
| 5.1c | הראיות שכנעו אותו | ha-re'ayot shikneu oto | [CORE] | Evidence-based — "the evidence convinced him" |
| 5.2a | הוא הוכיח את אמינותו | hu hokhiakh et aminuto | [CORE] | Demonstrating reliability — "he proved his reliability" |
| 5.2b | המחקר ביסס את מהימנות הנתונים | ha-mekhkar bises et meheymanut ha-netunim | [CORE] | Formal — "the research established the reliability of the data" |
| 6.1a | הוא הטיל ספק בדבריה | hu hetil safek bi-dvareha | [CORE] | Standard — "he cast doubt on her words" |
| 6.1b | הממצאים מעלים ספק | ha-mamtsa'im ma'alim safek | [CORE] | Evidence raising doubt — "the findings raise doubt" |
| 6.1c | היא העלתה ספק לגבי נכונות הטענה | hi he'elah safek le-gabey nekhonut ha-ta'anah | [CORE] | Formal — "she raised doubt regarding the correctness of the claim" |
| 6.2a | הוא הסיר את הספק | hu hesir et ha-safek | [CORE] | Standard — "he removed the doubt" |
| 6.2b | הראיות פיזרו את הספקות | ha-re'ayot pizru et ha-sfekot | [CORE] | Evidence eliminating doubts — "the evidence dispelled the doubts" |
| 7.1a | הוא שמר על האמת | hu shamar al ha-emet | [CORE] | Preserving truth — "he preserved the truth" |
| 7.1b | עלינו לשמור על נכונות המידע | aleinu lishmor al nekhonut ha-meyda | [CORE] | Maintaining accuracy — "we must maintain the correctness of the information" |
| 7.2a | הוא דבק באמת | hu davak ba-emet | [CORE] | Maintaining truthfulness — "he adhered to the truth" |
| 7.2b | היא נשארה נאמנה לאמת | hi nish'arah ne'emanah la-emet | [CORE] | Staying true — "she remained faithful to the truth" |
| 8.1a | הדבר נשאר נכון | ha-davar nish'ar nakhon | [CORE] | Continued correctness — "the thing remained correct" |
| 8.1b | הטענה המשיכה להיות נכונה | ha-ta'anah himsikhah lihyot nkhonah | [CORE] | Ongoing correctness — "the claim continued to be correct" |
| 8.1c | האמת לא משתנה | ha-emet lo mishtanah | [CORE] | Immutability — "the truth doesn't change" |
| 8.2a | האמת עומדת בעינה | ha-emet omedet be-eynah | [CORE] | Idiomatic — "the truth stands (remains)" |
| 8.2b | העובדות קיימות | ha-uvdot kayamot | [CORE] | Facts persisting — "the facts exist" |
| 9.1a | הוא הבין שזה אמת | hu hevhin she-ze emet | [CORE] | Coming to understand — "he understood that this is true" |
| 9.1b | היא התפשטה על האמת | hi hitpashta al ha-emet | [MARGINAL] | Rare, formal/literary — "she came to realize the truth" |
| 9.1c | הגעתי למסקנה שהוא צודק | higa'ti le-maskana she-hu tsodek | [CORE] | Coming to conclusion — "I reached the conclusion that he is right" |
| 9.2a | הוא גילה שטעה | hu gilah she-ta'ah | [CORE] | Discovering mistake — "he discovered that he erred" |
| 9.2b | התגלה שהייתי מוטעה | hitgalah she-hayiti mut'eh | [CORE] | Passive discovery — "it was revealed that I was mistaken" |
| 9.2c | הבנתי את הטעות שלי | hevanti et ha-ta'ut sheli | [CORE] | Recognizing error — "I understood my mistake" |
| 10.1a | האמת התגלתה בהדרגה | ha-emet hitgaltah be-hadraga | [CORE] | Gradual emergence — "the truth was revealed gradually" |
| 10.1b | לאט לאט התברר שהוא צודק | le'at le'at hitbarar she-hu tsodek | [CORE] | Gradual clarification — "slowly it became clear that he is right" |
| 10.1c | האמת התגלתה בבת אחת | ha-emet hitgaltah be-bat akhat | [CORE] | Sudden revelation — "the truth was revealed all at once" |
| 10.1d | פתאום התברר שזה לא נכון | pit'om hitbarar she-ze lo nakhon | [CORE] | Sudden realization — "suddenly it became clear that this is not correct" |
| 10.2a | האמת התגלתה | ha-emet hitgaltah | [CORE] | Completed revelation (perfective) — "the truth was revealed" |
| 10.2b | האמת מתגלה | ha-emet mitgalah | [CORE] | Ongoing revelation (present participle) — "the truth is being revealed" |
| 10.2c | האמת ממשיכה להתגלות | ha-emet mamshikhah lehitgalot | [CORE] | Continuing process — "the truth continues to be revealed" |
