| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| mwaminifu | mwaminifu | *m-* (class 1 person prefix) + *amini* + *-fu*; one who is trustworthy | faithful person, trustworthy person, reliable person | Refers to a person evaluated as reliably honest or faithful. Used in moral and relational contexts to commend character. Contrasts with *msaliti* (traitor, betrayer). | [CORE] |
| bandia | bandia | Possibly from Arabic *بندي* or related form, or possibly from *banda* (shed, makeshift structure) with suffix; etymology uncertain. Meaning: fabricated, artificial. | fake, counterfeit, artificial, imitation, forged | Applied to objects, documents, or representations that are not genuine. Common in commercial and legal contexts (*pesa bandia*, "counterfeit money"; *bidhaa bandia*, "fake goods"). Antonym of *halisi*. | [CORE] |
| ghushi | ghushi | From Arabic *غش* (ghishsh), fraud, adulteration | fraud, forgery, adulteration, fake, counterfeit | Used in legal and commercial contexts to refer to fraudulent goods, forged documents, or deceptive practices. Overlaps with *bandia* but carries a stronger connotation of deliberate deception or criminal fraud. | [CORE] |
| udanganyifu | udanganyifu | *u-* (abstract prefix) + *danganya* (to deceive) + *-ifu* (adjectival/nominal suffix) | deception, deceitfulness, dishonesty, fraud, fraudulence, trickery | Abstract noun referring to the quality or act of deceiving. Used in moral condemnation and legal contexts. Derived from the verb *kudanganya* (to deceive, to lie). Appears in formal and everyday discourse. | [CORE] |
| kudanganya | kudanganya | *ku-* (infinitive prefix) + *danganya* (root: to deceive); etymology of root uncertain | to deceive, to lie, to mislead, to cheat | Verb used to describe the act of making false representations or misleading someone. Appears in moral, legal, and everyday evaluative contexts (*alikudanganya*, "he/she deceived you"). Productive root: *danganyifu* (deceptive), *udanganyifu* (deception), *mdanganyifu* (deceiver). | [CORE] |
| ulaghai | ulaghai | *u-* (abstract noun prefix) + *laghai* (fraud, trickery; from Arabic *laghā*, "vain/worthless speech") | fraud, trickery, swindling, deceit | Refers specifically to fraudulent or swindling conduct. Used in legal and moral contexts. Somewhat more specific than *udanganyifu*, carrying connotations of deliberate material fraud (*kesi ya ulaghai*, "a fraud case"). | [CORE] |
| kweli kweli | kweli kweli | Reduplication of *kweli* (truth) | really truly, genuinely, in actual fact, for real, truly, in truth | Reduplicated intensified form of *kweli*, used to emphasize that something is genuinely or emphatically true. Common in spoken and written Swahili as an emphatic marker of sincerity or accuracy (*hii ni kweli kweli*, "this is really true"). Reduplication as an intensifying strategy is productive in Swahili. | [CORE] |
| asili | asili | From Arabic *أصل* (aṣl), origin, root, foundation, essence | origin, nature, original, authentic, indigenous, essence, native | Refers to the original or fundamental nature of something, or to what something essentially is. Used in evaluations of authenticity (*lugha ya asili*, "native/original language") and in philosophical or cultural discussions of essence and origin (*asili yake ni nzuri*, "his/her nature is good"). | [CORE] |
| wa asili | wa asili | *wa* (associative particle) + *asili* (origin, nature) | original, native, natural, authentic, indigenous | Fixed adjectival expression meaning "of the original kind" or "native to." Used to distinguish genuine or original items, persons, or practices from imitations or introduced ones. Common in cultural and commercial evaluation. | [CORE] |
| uasili | uasili | *u-* (abstract noun prefix) + *asili* (origin/essence) | originality, nativeness, authenticity, essential nature | The abstract nominalization of *asili*, referring to the quality of being original or of one's essential nature. Used in aesthetic and philosophical contexts, though somewhat less frequently than *asili* itself. | [MARGINAL] |
| haki ya kweli | haki ya kweli | *haki* (right, truth) + *ya* (associative particle) + *kweli* (truth) | the real truth, genuine right, true justice, the genuine right, the true fact | A fixed or semi-fixed expression used for emphasis, asserting that something is genuinely true or genuinely just. Combines two high-frequency evaluative terms. Appears in spoken and written Swahili when a speaker wishes to stress the authenticity of a claim or the legitimacy of a right, often in assertive or argumentative contexts. | [UNCERTAIN] |
| uhalali | uhalali | *u-* (abstract prefix) + *halali* (from Arabic *حلال*, ḥalāl, lawful, permissible) | legitimacy, lawfulness, legality, permissibility | Refers to the quality of being lawful or legitimate. Used in legal and religious evaluations of acts, contracts, or claims (*uhalali wa mkataba*, "the legality/validity of a contract"). Distinct from but related to *haki* (right, justice). | [CORE] |
| halali | halali | From Arabic *حلال* (ḥalāl), lawful, permitted | lawful, legitimate, permissible, rightful | Used to evaluate actions, goods, or claims as legally or morally permissible. Has both Islamic legal connotations (permitted by religious law) and broader secular uses meaning "legitimate" or "rightfully obtained." Contrasts with *haramu* (forbidden, illicit). Participates in derivation with *uhalali*. | [CORE] |
| haramu | haramu | From Arabic *حرام* (ḥarām), forbidden, unlawful | forbidden, unlawful, illicit, wrong | Evaluates actions, goods, or conduct as prohibited or morally/legally wrong. Used in religious, moral, and legal registers. Functions as the antonym of *halali*. | [CORE] |
| sawa | sawa | Root *-sawa*; from Arabic *sawā'* (equal, alike); meaning equal, level, correct | correct, equal, right, okay, same, fair | Used to confirm that something is correct, equal, or in order. In evaluative contexts, functions as an affirmation of accuracy or fairness. Also used in comparisons to indicate equivalence or resemblance. Functions as an adjective, adverb, and discourse particle confirming accuracy or agreement. | [CORE] |
| usawa | usawa | *u-* (abstract prefix) + *sawa* | equality, balance, fairness, equivalence | Abstract noun referring to the quality of being equal, balanced, or fair. Used in moral and legal discourse on justice and equity, and in evaluations of proportionality or correspondence. | [CORE] |
| sawa sawa | sawa sawa | Reduplication of *sawa* (equal, correct) | exactly, precisely, correctly, just right | An intensified reduplicated form of *sawa*, used to assert exact correctness or precise equivalence. Common in evaluations of measurements, statements, and representations for accuracy. | [CORE] |
| shaka | shaka | From Arabic *شك* (shakk), doubt, uncertainty | doubt, uncertainty, suspicion, hesitation | Refers to a state of uncertainty or lack of confidence in the truth or reliability of something. Used in epistemic evaluations and in legal contexts (*bila shaka*, "without doubt"). Contrasts with *uhakika*. | [CORE] |
| bila shaka | bila shaka | *bila* (without) + *shaka* (doubt) | without doubt, certainly, undoubtedly, beyond question | Fixed expression used to assert that something is unquestionably true or certain. Common in both spoken and written Swahili as a strong affirmation of reliability or truth. | [CORE] |
| dhahiri | dhahiri | From Arabic *ظاهر* (ẓāhir), apparent, manifest, evident | evident, obvious, apparent, manifest, clear | Used to evaluate something as plainly or visibly true, real, or the case. Applied to facts, qualities, or states that are considered self-evident or openly observable. Appears in argumentative and legal contexts where evidence is assessed as unambiguous (*ni dhahiri kwamba…*, "it is evident that…"). Also used adverbially: *dhahiri kabisa* ("quite obviously"). | [CORE] |
| thibitisha | thibitisha | From Arabic *ثبت* (thabbata), to confirm, establish firmly; Swahili causative form (*-isha*) | to confirm, to verify, to prove, to authenticate, to establish, to validate | Verb used in legal, administrative, scientific, and everyday contexts to mean the act of confirming or verifying the truth or authenticity of something (*thibitisha utambulisho wako*, "verify your identity"). Productive: *uthibitisho* (confirmation, verification, proof). | [CORE] |
| uthibitisho | uthibitisho | *u-* (abstract prefix) + *thibitish-* + *-o* (nominalizing suffix); from same Arabic root as *thibitisha* | confirmation, verification, proof, authentication, attestation, validation | Nominal form referring to the act or result of confirming or verifying something. Used in legal, administrative, and academic contexts when documentary or procedural proof of authenticity or correctness is required (*uthibitisho wa hati*, "authentication of a document"). | [CORE] |
| ushahidi | ushahidi | *u-* (abstract prefix) + *shahidi* (witness); from Arabic *shāhid* (witness) | evidence, testimony, witness, proof | Refers to evidence or testimony used to evaluate the truth of a claim. Central to legal discourse in Swahili-speaking contexts; also used in religious and moral evaluations of conduct. | [CORE] |
| shahidi | shahidi | From Arabic *shāhid* (witness, one who testifies) | witness, testifier | A person who provides testimony or evidence regarding the truth of events or claims. Used in legal proceedings and in religious contexts. Participates in derivation with *ushahidi*. | [CORE] |
| nakala | nakala | From Arabic *naqala* (to copy, to transfer); copy, transcript | copy, duplicate, transcript, reproduction | Used in evaluations of whether a document or object is an original or a reproduction. Relevant in legal and aesthetic contexts where authenticity is assessed (*nakala ya hati*, "copy of a document"). | [CORE] |
| hali halisi | hali halisi | *hali* (state, condition) + *halisi* (genuine, real); the real/actual state | the actual situation, the real state of affairs, reality | A fixed nominal phrase used to evaluate or describe what is genuinely the case, as opposed to appearances or claims. Common in journalistic and analytical discourse. | [CORE] |
| heshima | heshima | From Arabic *ḥishma* (modesty, dignity, respect) | respect, dignity, honor, esteem | Used in moral evaluations of persons and conduct with respect to whether proper regard is shown. Relevant in assessments of rightness of behavior in social and ethical contexts (*kukosa heshima*, "to lack respect/to be disrespectful"). | [CORE] |
| makosa | makosa | *ma-* (plural prefix, class 6) + *kosa* (error, fault, mistake) | errors, mistakes, faults, wrongs | Plural of *kosa*; used in evaluations of incorrect statements, faulty conduct, or moral wrongdoing. Appears in legal, moral, and epistemic contexts (*bila makosa*, "without errors/faults"; *kufanya makosa*, "to make mistakes/errors"; *makosa ya kisheria*, "legal offenses"). | [CORE] |
| kosa | kosa | Error, fault, sin; singular of *makosa*. Etymology of root debated (possibly from Arabic *qaṣwa* or related root). | error, mistake, fault, wrong, sin, offense | The singular form; used to evaluate a single act, statement, or judgment as incorrect or morally wrong. Can refer to factual errors, moral wrongs, or legal offenses (*kosa kubwa*, "a serious mistake/offense"). Participates in productive derivation: *kukosa* (to err, to lack), *makosa* (plural), *kukosea* (to wrong someone). | [CORE] |
| bora | bora | From Arabic *bāri'* (excellent, outstanding); meaning best, excellent, superior | best, excellent, superior, ideal, better | Used in evaluative contexts to characterize something as of high quality or as the best option. Appears in comparative and superlative constructions (*bora zaidi*, "even better") and in aesthetic and practical evaluation. | [CORE] |
| kasoro | kasoro | From Arabic *qaṣūr* (deficiency, shortcoming); meaning defect, flaw, shortcoming | defect, flaw, fault, shortcoming, imperfection | Used to identify a deficiency or flaw in an object, person, or representation. Appears in quality assessment, legal, and moral contexts (*bidhaa yenye kasoro*, "a defective product"). | [CORE] |
| mfano | mfano | *m-* (noun class 3 prefix) + *fano* (likeness, resemblance; cf. *fanana*, "to resemble") | example, likeness, resemblance, model, parable | Used in contexts of resemblance and representation, including evaluations of how closely something resembles something else. Also appears in aesthetic and didactic contexts (*mfano mzuri*, "a good example/likeness"). | [CORE] |
| fanana | fanana | To resemble, to be alike (verb; related to *mfano*) | to resemble, to be similar, to be alike, to match | Used to evaluate the degree of resemblance between two things or persons. Appears in aesthetic, legal (e.g., identifying persons or objects), and everyday contexts (*vinafanana sana*, "they resemble each other closely"). | [CORE] |
| tofauti | tofauti | From Arabic *tafāwut* (difference, disparity); meaning difference, different | difference, different, distinct, discrepancy | Used to evaluate whether two things differ, including in contexts where accuracy or resemblance is at issue. Appears in comparative evaluations and in identifying discrepancies (*kuna tofauti*, "there is a difference/discrepancy"). | [CORE] |
| uongo mtupu | uongo mtupu | *uongo* (falsehood) + *mtupu* (pure, mere, nothing but) | pure falsehood, outright lie, nothing but lies | Fixed expression that intensifies the characterization of something as entirely false. *Mtupu* functions as an intensifier meaning "nothing but" or "sheer." Attested in spoken and written Swahili in moral and argumentative contexts. | [CORE] |
| kweli | kweli | Root *-kweli*; bare form functioning as noun or adverb | truth; truly; really | Used as a standalone assertion of truth or as an adverb modifying a claim. Appears in everyday speech, moral discourse, and legal testimony (*Ninasema kweli* "I am speaking the truth"). Also used as a discourse particle to invite or confirm agreement: *kweli?* ("really?"). | [CORE] |
| ukweli | ukweli | *u-* (class 11/14 abstract prefix) + *kweli* | truth; truthfulness; veracity; accuracy | The standard abstract nominal form used in moral, legal, and philosophical discourse when referring to truth as a property or value. Used in philosophical, legal, and moral discourse to refer to the property of being true or the truth of a matter (*ukweli wa jambo* "the truth of the matter"). Already listed in P1; included here as the primary nominal derivative. | [CORE] |
| kweli kweli | kweli kweli | Reduplication of *kweli* | really truly; genuinely; for real; in actual fact; truly; in all honesty | Intensified form used in spoken Swahili to emphasize sincerity or factual accuracy. Emphatic intensifier in spoken and written Swahili, used to stress the sincerity or accuracy of an assertion. Already listed in P1; included here as the primary intensified derivative. | [CORE] |
| kwa kweli | kwa kweli | *kwa* (prepositional particle: by, with, in) + *kweli* | truly; in truth; honestly; in earnest; indeed | Adverbial phrase used to frame a statement as sincere or factually grounded. Common in both spoken and written registers, including religious and moral discourse: *kwa kweli nakuambia* ("I tell you truly"). An adverbial phrase used to assert that something is said or done sincerely and honestly (*kwa kweli, hii ni tatizo kubwa*, "truly, this is a serious problem"). | [CORE] |
| kwa kweli kweli | kwa kweli kweli | *kwa* + reduplicated *kweli kweli* | truly and sincerely; in all honesty; absolutely for real; really and truly; genuinely; absolutely | Further intensified adverbial phrase used in emphatic spoken assertions. More colloquial than *kwa kweli*; used when a speaker wishes to stress complete sincerity or factual certainty. More emphatic than *kwa kweli*. | [CORE] |
| kweli kabisa | kweli kabisa | *kweli* + *kabisa* (completely, absolutely; from Arabic *كبيسة*) | absolutely true; completely true; the absolute truth; that's absolutely right | Used in everyday speech to assert that something is entirely and without qualification true. Used as an emphatic affirmation in spoken and written Swahili. Confirms the complete accuracy of a statement or claim. *Kabisa* functions as an intensifier across many Swahili evaluative expressions. | [CORE] |
| ukweli wa mambo | ukweli wa mambo | *ukweli* + *wa* (associative particle) + *mambo* (things, matters, affairs; plural of *jambo*) | the truth of the matter; the facts of the case; how things really are | Used in discourse to refer to the actual state of affairs, as opposed to appearances or claims. Common in journalistic, legal, and everyday evaluative contexts. Used in legal, journalistic, and analytical contexts to refer to the actual facts underlying a situation or dispute. | [CORE] |
| ukweli mtupu | ukweli mtupu | *ukweli* + *mtupu* (pure, mere, nothing but; class 11 agreement) | the plain truth; the bare truth; nothing but the truth | Used in legal and moral contexts to assert that a statement contains no admixture of falsehood or embellishment (*Ninasema ukweli mtupu* "I am telling the plain truth"). Equivalent in function to English "the plain truth." Parallels the legal formula "the truth, the whole truth." | [CORE] |
| sema ukweli | sema ukweli | *sema* (imperative of *kusema*, to speak, to say) + *ukweli* | tell the truth; speak the truth | Imperative construction used in moral instruction, legal proceedings, and everyday confrontations. Equivalent to "tell the truth" as a directive. | [CORE] |
| kusema ukweli | kusema ukweli | *ku-* (infinitive prefix) + *sema* + *ukweli* | to tell the truth; to speak truthfully | Infinitival phrase used as a subject or object in moral and legal discourse: *kusema ukweli ni wajibu* ("telling the truth is a duty"). Used in written and legal discourse. Slightly more formal register than *kusema kweli*. | [CORE] |
| ukweli unauma | ukweli unauma | *ukweli* + *u-na-uma* (class 11 subject prefix + present tense + *uma*, to hurt/sting) | the truth hurts; truth is painful | A widely used proverbial or semi-proverbial expression acknowledging that truthful statements can be painful to hear. Used in everyday moral and interpersonal discourse. Appears in moral discourse, proverbs, and everyday speech. | [CORE] |
| kweli ni kweli | kweli ni kweli | *kweli* + *ni* (copula) + *kweli* | truth is truth; the truth is the truth | Used as an emphatic assertion that a fact cannot be denied or altered regardless of circumstances. Functions as a rhetorical affirmation in argument and moral discourse. | [CORE] |
| ukweli na uwazi | ukweli na uwazi | *ukweli* + *na* (and) + *uwazi* (openness, transparency; *u-* + *wazi*, open) | truth and transparency; honesty and openness | A paired expression used in governance, journalism, and civil society discourse to describe the values of honest and open communication. Common in institutional mission statements and political rhetoric. | [CORE] |
| ukweli na haki | ukweli na haki | *ukweli* + *na* + *haki* (right, justice, truth) | truth and justice; truth and rights | A paired expression used in legal, political, and moral discourse. Common in the names of advocacy organizations and in discourse about accountability and justice. | [CORE] |
| tafuta ukweli | tafuta ukweli | *tafuta* (imperative of *kutafuta*, to search for, to seek) + *ukweli* | seek the truth; search for the truth | Used in journalistic, philosophical, and religious contexts to describe the pursuit of factual or moral truth. Also appears as a motto or slogan in educational and media contexts. Appears as an imperative and in descriptive statements. | [CORE] |
| ukweli wa kihistoria | ukweli wa kihistoria | *ukweli* + *wa* + *ki-* (adjectival class prefix) + *historia* (history, from English/Portuguese) | historical truth; historical accuracy; historical fact | Used in academic, journalistic, and political discourse when evaluating whether accounts of past events are factually accurate. Common in discussions of historiography and collective memory. Appears in debates about historiography and national memory. | [CORE] |
| ukweli wa kisayansi | ukweli wa kisayansi | *ukweli* + *wa* + *ki-* + *sayansi* (science, from English) | scientific truth; empirical truth; scientific fact | Used in academic and educational discourse to refer to truths established through scientific method. Contrasts with *ukweli wa kidini* (religious truth) in philosophical and public discourse. Used in scientific and educational discourse to distinguish empirically established facts from opinion or speculation. Appears in academic writing and science journalism. | [CORE] |
| ukweli wa kidini | ukweli wa kidini | *ukweli* + *wa* + *ki-* + *dini* (religion, from Arabic *دين*) | religious truth; doctrinal truth | Used in theological and interfaith discourse to refer to truths held on the basis of religious authority or revelation. Contrasts with empirical or scientific truth in philosophical discussion. Used in theological and interfaith discourse to refer to truths held to be revealed or sacred within a religious tradition. | [CORE] |
| mwambie ukweli | mwambie ukweli | *m-* (object prefix, class 1) + *ambie* (subjunctive of *kuambia*, to tell) + *ukweli* | tell him/her the truth | A common directive construction used in everyday interpersonal contexts, instructing someone to be honest with a third party. A directed imperative form of truth-telling, used in interpersonal and narrative contexts. Illustrates the object-marking morphology of Swahili verbs. | [CORE] |
| ukweli uliofichwa | ukweli uliofichwa | *ukweli* + *u-lio-fichwa* (relative clause: class 11 subject + relative marker + *fichwa*, passive of *ficha*, to hide) | hidden truth; concealed truth; suppressed truth | Used in investigative journalism, political discourse, and everyday speech to refer to facts that have been deliberately concealed. Common in contexts of exposé or revelation. Appears in headlines and argumentative writing. | [CORE] |
| nusu ukweli | nusu ukweli | *nusu* (half) + *ukweli* | half-truth; partial truth | Used in evaluative and critical discourse to describe a statement that is technically accurate but misleading because it omits relevant information. Common in media criticism and political commentary. | [CORE] |
| ukweli mzima | ukweli mzima | *ukweli* + *mzima* (whole, complete, full; class 11 agreement) | the whole truth; the full truth | Used in legal and moral contexts to insist on complete disclosure without omission. Parallels the legal formula "the whole truth and nothing but the truth." Appears in courtroom discourse and moral exhortation. | [CORE] |
| kweli au uongo | kweli au uongo | *kweli* + *au* (or) + *uongo* (falsehood) | true or false; truth or lie; truth or lies | Used in educational contexts (true/false questions), in everyday challenges to a statement's accuracy, and in philosophical discussion of bivalence. Also appears in quiz and examination formats, logical exercises, and moral discourse. | [CORE] |
| ukweli unaosimama | ukweli unaosimama | *ukweli* + *u-nao-simama* (class 11 subject + present relative + *simama*, to stand, to hold firm) | truth that stands; enduring truth; truth that holds up | Used in religious, moral, and rhetorical discourse to describe truths considered permanent or unassailable. Common in sermon and oratory registers. | [MARGINAL] |
| kweli hii | kweli hii | *kweli* + *hii* (this; demonstrative, class 9) | this truth; this fact | Demonstrative nominal phrase used in discourse to refer back to a specific truth or fact just stated or about to be stated. Common in both spoken and written registers. | [CORE] |
| ukweli wote | ukweli wote | *ukweli* (truth) + *wote* (all, whole) | the whole truth; the entire truth | Used in legal testimony and moral assertion to indicate that nothing has been withheld. Appears in court proceedings and religious confession contexts. | [CORE] |
| kusema kweli | kusema kweli | *ku-* (infinitive) + *sema* (to say, to speak) + *kweli* (truth) | to tell the truth; to speak truthfully | The standard verbal phrase for the act of truth-telling. Used in moral instruction, legal contexts, and everyday evaluations of honesty (*Daima sema kweli* "Always tell the truth"). | [CORE] |
| kweli ya mambo | kweli ya mambo | *kweli* (truth) + *ya* (of) + *mambo* (matters, things, affairs) | the truth of things; the truth of the matter; the real state of affairs | Used in analytical and journalistic discourse to refer to the actual facts of a situation, as opposed to appearances or claims. | [CORE] |
| ukweli kamili | ukweli kamili | *ukweli* + *kamili* (complete, full, perfect) | the full truth; the complete truth; the whole truth | Used in legal and moral contexts to assert completeness of disclosure. Appears in testimony and confession contexts. | [CORE] |
| ukweli nusu | ukweli nusu | *ukweli* + *nusu* (half) | a half-truth; a partial truth | Used in moral and journalistic discourse to describe a statement that is technically accurate but misleading through omission. Evaluatively negative. | [CORE] |
| kutafuta ukweli | kutafuta ukweli | *ku-* + *tafuta* (to search for, to seek) + *ukweli* | to seek the truth; to search for the truth | Used in investigative, philosophical, and religious discourse to describe the pursuit of accurate knowledge or moral clarity. | [CORE] |
| kugundua ukweli | kugundua ukweli | *ku-* + *gundua* (to discover, to uncover) + *ukweli* | to discover the truth; to uncover the truth | Used in investigative journalism, legal proceedings, and narrative contexts where hidden facts are revealed. | [CORE] |
| kuficha ukweli | kuficha ukweli | *ku-* + *ficha* (to hide, to conceal) + *ukweli* | to hide the truth; to conceal the truth | Used in moral condemnation and legal contexts where deliberate suppression of facts is evaluated negatively. | [CORE] |
| kupotosha ukweli | kupotosha ukweli | *ku-* + *potosha* (to distort, to mislead, causative of *potoa*) + *ukweli* | to distort the truth; to misrepresent the truth | Used in legal, journalistic, and moral discourse to describe deliberate misrepresentation of facts. Evaluatively strongly negative. | [CORE] |
| kweli haisemwi | kweli haisemwi | *kweli* + *hai-* (negative subject prefix, class 9) + *semw-* (passive of *sema*) + *-i* (negative present) | the truth is not spoken; truth goes unsaid | A proverbial expression used to comment on social situations where truth is suppressed or avoided. Appears in moral and social commentary. | [MARGINAL] |
| ukweli ni uchungu | ukweli ni uchungu | *ukweli* + *ni* (is) + *uchungu* (bitterness, pain, suffering) | truth is bitter; truth is painful | A proverbial expression used in moral discourse to acknowledge the difficulty of honest disclosure. Evaluates truth-telling as morally necessary but personally costly. | [CORE] |
| ukweli hudumu | ukweli hudumu | *ukweli* + *hu-* (habitual prefix) + *dumu* (to last, to endure) | truth endures; truth lasts | A proverbial or semi-fixed expression used in moral and religious discourse to assert the permanence of truth over falsehood. | [MARGINAL] |
| ukweli wa Mungu | ukweli wa Mungu | *ukweli* + *wa* + *Mungu* (God) | God's truth; the truth of God; divine truth | Used in religious discourse to refer to revealed or absolute truth. Also used as an oath formula asserting the absolute veracity of a claim. | [CORE] |
| ni kweli | ni kweli | *ni* (it is, copula) + *kweli* (truth/true) | it is true; that's true; it's real; indeed | The standard copular assertion of truth. Used across all registers to confirm the accuracy of a preceding statement or claim. Extremely frequent in spoken and written Swahili across all registers. | [CORE] |
| si kweli | si kweli | *si* (it is not, negative copula) + *kweli* | it is not true; that's not true; it's false; untrue | The standard negation of a truth claim. Used across all registers to deny the accuracy of a statement. | [CORE] |
| ukweli halisi | ukweli halisi | *u-* (abstract noun prefix) + *kweli* (truth) + *halisi* (genuine/authentic) | the genuine truth; the real truth | Used in assertive and argumentative discourse to emphasize that what is being stated is not merely technically accurate but genuinely and fully true. Common in spoken debate and formal testimony. | [CORE] |
| ukweli uchi | ukweli uchi | *u-* (abstract noun prefix) + *kweli* (truth) + *uchi* (nakedness, bare state) | the naked truth; the bare truth | Used rhetorically to assert that something is the unvarnished, unembellished truth. Appears in journalistic, literary, and argumentative contexts. | [CORE] |
| kuambia ukweli | kuambia ukweli | *ku-* (infinitive prefix) + *ambia* (to tell someone) + *ukweli* (truth) | to tell someone the truth | Distinguishes the act of truth-telling directed at a specific person from general truth-speaking. Used in interpersonal, moral, and narrative contexts (*niambie ukweli*, "tell me the truth"). | [CORE] |
