# G5 — Cross-Language Construction Comparison

## 1. Main Recurring Constructional Functions

Working from the F4 tables across all eight languages, the following constructional functions recur with sufficient cross-language evidence to warrant comparison. These are identified from the data, not imposed from outside.

**A. Attributing a truth-domain property to a subject** — stating that something is true, false, correct, genuine, valid, etc.

**B. Negating a truth-domain attribution** — stating that something is not true, not correct, not genuine, etc.

**C. Modifying a noun with a truth-domain adjective** — using truth-domain terms as prenominal or postnominal modifiers.

**D. Expressing change into a truth-domain state (inchoative)** — stating that something becomes true, becomes correct, turns out to be genuine, etc.

**E. Causing a truth-domain state (causative)** — stating that an agent makes something true, verifies it, corrects it, authenticates it, or makes it false/invalid.

**F. Deriving abstract nouns from truth-domain bases** — forming nouns that refer to the quality or state itself (truthfulness, correctness, reliability, etc.).

**G. Deriving agent nouns from truth-domain bases** — forming nouns that refer to persons characterized by truth-domain properties (liar, verifier, honest person, etc.).

**H. Forming manner adverbials from truth-domain terms** — expressing that an action is done truthfully, honestly, correctly, accurately, etc.

**I. Introducing propositional complements with truth-domain predicates** — constructions of the form "it is true that…," "it is certain that…," "it is evident that…"

**J. Forming questions about truth-domain properties** — asking whether something is true, correct, genuine, etc.

**K. Expressing degree or intensity of truth-domain properties** — constructions that intensify, grade, or compare truth-domain properties.

**L. Expressing comparison of truth-domain properties** — stating that one thing is more true/accurate/reliable than another.

**M. Marking the source or basis of a truth claim (evidential)** — indicating whether a claim is based on direct observation, hearsay, inference, etc.

**N. Expressing verbal actions related to truth (truth-telling, lying, verifying, concealing)** — constructions where truth-domain nouns appear as objects of speech, cognition, or action verbs.

**O. Discourse-marking uses of truth vocabulary** — grammaticalized expressions that frame utterances as honest, frank, or corrective.

**P. Expressing stability or continuation of a truth-domain state** — stating that something remains true, stays correct, continues to be valid.

**Q. Expressing reciprocal or mutual truth-related action** — stating that parties are honest with each other, argue with each other, etc.

---

## 2. Comparison Table

| Constructional Function | Common Realization Patterns | Languages | Notes on Variation, Restrictions, or Gaps |
| **D. Inchoative (revelation verbs as preferred strategy)** | Verbs of revealing, emerging, or becoming clear used instead of direct "become" | he, el, zh | **Moderately attested — 3 languages.** he: hitgalah (be revealed), hitbarar (become clear/clarified), nimtsa she- (it was found that); el: βγαίνει η αλήθεια (the truth comes out), αποδεικνύεται (it is proven); zh: 真相大白 (truth comes to light), 真相浮出水面 (truth surfaces). Hebrew F4 explicitly states "verbs of revelation (hitgalah, hitbarar) are the natural way to express truth emerging. More idiomatic than direct 'become' constructions." This substitution pattern — revelation verbs replacing inchoative "become" — is documented in at least 3 languages. |
| **E. Causative (make true / verify / authenticate)** | Causative verb or construction expressing that an agent establishes truth or validity | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** Morphological strategies differ: zh uses resultative verb compounds (证实, 核实, 查实, 落实); he uses -ώνω causative (βεβαιώνω, certify) and hif'il stem (hitsdik, justify); sa uses causative -ish- (hakikisha parallel) and dedicated verbs (thibitisha parallel); el uses -ώνω causative (βεβαιώνω, επικυρώνω); en uses lexical causatives (verify, authenticate, validate, confirm, prove); tl uses pa-...-an causative circumfix (patunayan, to prove/verify); sw uses -ish- causative suffix (thibitisha, hakikisha); qu uses -ncha- causative suffix (chiqanchay, to verify/authenticate). All 8 languages have productive causatives for establishing truth. |
| **E. Causative (make false / falsify / invalidate)** | Causative verb or construction expressing that an agent makes something false or invalid | el, en, sw (partial) | **Weakly attested as a productive pattern — 3 of 8 languages.** el: ακυρώνω (invalidate, -ώνω causative), νοθεύω (adulterate/falsify); en: falsify (-ify causative), invalidate (in- + valid + -ate); sw: batilisha (invalidate, -ish- causative). **Absent or periphrastic in zh, he, tl, qu:** Quechua F4 explicitly notes "no construction exists for disconfirmation as a positive operation" and marks this as a structural gap. Tagalog lacks a dedicated causative for "make incorrect." Chinese expresses falsification through dedicated verbs (假造, 伪造) but these are lexical items rather than productive causative derivations from truth-domain bases. This asymmetry — productive causatives for establishing truth but not for establishing falsity — is one of the most consistent cross-language patterns in the corpus. |
| **E. Causative (correct / fix an error)** | Causative verb or construction expressing that an agent corrects an error | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** zh: 改正 (correct), 纠正 (rectify); he: tiken (corrected, pi'el), letaken ta'ut (to correct a mistake); sa: nyofua (straighten/correct); el: διορθώνω (correct, -ώνω causative); en: correct, fix, rectify, set right; tl: itama (i- causative: to correct), iwasto (i- causative: to rectify); sw: (implied through allinyachiy parallel); qu: allinyachiy (make good/fix, -ya-chi- causative), itama (tl parallel). Correction of errors is more consistently expressed as a productive causative than falsification. |
| **F. Abstract nominalization** | Suffix, prefix, circumfix, or infinitive-as-noun derives abstract quality noun | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** zh: -性 (正确性, 可靠性), -度 (准确度, 可靠度); he: -ut (aminut, khenut, vada'ut, meheymanut); sa: -tā (satyatā, yathārthatā), -tva (satyatva, dharmatva); el: -ότητα (αληθινότητα, αυθεντικότητα, ορθότητα), -εια (ακρίβεια, ειλικρίνεια); en: -ity (validity, authenticity), -ness (truthfulness, correctness), -cy (accuracy), -th (truth); tl: ka-...-an circumfix (katotohanan, katapatan, kasinungalingan); sw: u- prefix (ukweli, usahihi, uadilifu, uhakika); qu: -y infinitive nominalized (yachay = knowledge, pantay = error). All 8 languages use this pattern in formal and philosophical discourse. The morphological form varies across all major strategies (suffix, prefix, circumfix, zero-derivation via infinitive). |
| **G. Agentive nominalization (negative: liar, deceiver)** | Suffix or pattern derives noun for person characterized by lying or deception | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** zh: 欺骗者 (-者 suffix, formal/literary); he: shakran (-an suffix: liar), meshaker (participial: liar); sa: mṛṣāvādin (compound: liar); el: ψεύτης (-της suffix: liar), ψεύτρα (feminine), ψευταράς (augmentative), απατεώνας (-εώνας: swindler); en: liar (-ar suffix); tl: sinungaling (base form: liar); sw: mdanganyifu (m- + -ifu: deceiver); qu: llullaq (-q agentive: liar), pantachiq (-chi-q: misleader). Consistently more elaborated than positive agentives across languages. |
| **G. Agentive nominalization (positive: truth-teller, honest person)** | Suffix or pattern derives noun for person characterized by truthfulness or honesty | zh, he, sa, el, en, tl, sw, qu | **Widely attested but consistently less elaborated than negative agentives — all 8 languages.** zh: 诚实者 (-者 suffix, marginal/formal); he: ma'amin (believer, participial); sa: satyavādin (compound: truth-speaker); el: αληθολόγος (truth-teller, marginal/literary); en: truth-teller (compound, less common than "liar"); tl: (no simple agentive; periphrastic: tapatang tao = honest person); sw: mwenye kweli (periphrastic: one having truth), mtu wa kweli (person of truth); qu: chiqanchaq (-ncha-q: verifier), yachaq (-q: knower). **Asymmetry documented in all 8 languages:** positive agentives are more likely to be periphrastic, marginal, or literary while negative agentives are more likely to be simple lexical items in everyday use. |
| **H. Manner adverbial** | Truth-domain term converted to manner adverb via suffix, case marker, or prepositional phrase | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** zh: 真诚地, 客观地 (-地 particle); he: be-emet (truly), be-yosher (honestly), be-khenut (sincerely) (be- prepositional prefix); sa: satyena (instrumental case), tattvataḥ (ablative case); el: αληθώς, ορθώς (-ώς suffix), σωστά, ορθά (-ά suffix); en: honestly, truly, correctly (-ly suffix); tl: chiqaqta rimay (truth-ACC: speak truthfully), allinta ruway (good-ACC: do well) (accusative case marker); sw: kwa kweli (with truth), kwa usahihi (with correctness), kwa haki (with justice) (kwa + abstract noun); qu: chiqaqta (truth-ACC), allinta (good-ACC) (accusative case marker). The prepositional phrase strategy (he, sw) and the case-marking strategy (sa, tl, qu) are typologically distinct but functionally parallel. |
| **I. Propositional complement with truth predicate** | Truth-domain predicate + complementizer + finite clause | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** zh: 这是真的 (no complementizer needed; 是…的 frame); he: nakhon she- (correct that), vadai she- (certain that), ha-emet hi she- (the truth is that); sa: yadi satyam tadā (if true then, conditional); el: είναι αλήθεια ότι, ni kweli kwamba (sw parallel); en: it is true that, it is certain that; tl: totoo na (totoo + na particle); sw: ni kweli kwamba (it is true that), ni dhahiri kwamba (it is evident that), ni hakika kwamba (it is certain that); qu: (expressed through evidential suffix on main predicate rather than complementizer construction). Quechua is distinctive: rather than a complementizer construction, the evidential suffix on the predicate (-mi, -si, -cha) encodes the speaker's epistemic stance directly. |
| **J. Question formation** | Construction asking whether something is true, correct, genuine, etc. | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** zh: A-not-A pattern (对不对?, 是不是真的?), question particle 吗 (真的吗?), alternative question (真的还是假的?); he: standard inversion or intonation (atah tsodek? = are you right?); sa: interrogative pronoun (kiṃ pramāṇam = what is the proof?); el: intonation (αλήθεια? = really?), standard inversion; en: auxiliary inversion (is it true?), tag questions (right?); tl: ba particle (totoo ba? = is it true?, tama ba? = is it correct?); sw: je particle or intonation (je, ni kweli? = is it true?); qu: -chu suffix (allinchu? = is it good?). Tagalog's ba particle and Quechua's -chu suffix are morphological question markers; other languages use intonation, inversion, or particles. |
| **J. Question formation (single-word truth question)** | A single truth-domain word used as a complete question with interrogative intonation | he, el, tl, sw | **Moderately attested — 4 of 8 languages.** he: באמת? (be-emet? = really?); el: αλήθεια? (really? is that true?), σοβαρά? (seriously?), πραγματικά? (really?); tl: totoo ba? (is it true?), talaga? (really?); sw: kweli? (really?). These single-word questions express surprise or seek confirmation. Hebrew F4 notes this is "extremely common in conversation." Greek F4 notes it is "extremely common in colloquial speech." |
| **K. Intensification of truth-domain properties** | Construction expressing high degree of truth, correctness, or genuineness | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** zh: 千真万确 (absolutely true, fixed idiom), 完全正确 (completely correct), 绝对正确 (absolutely correct); he: nakhon me'od (very correct), batuakh le-gamrei (completely sure), tsodek le-khlutin (absolutely right); sa: satyam eva (truth indeed, emphatic particle eva); el: νκον μαοδ (very correct), βέβαιος λγαμρεί (completely sure); en: absolutely true, completely correct, very accurate; tl: napakatotoo (napaka- + totoo: very true), tamang-tama (exactly right, reduplication); sw: kweli kabisa (absolutely true), kweli kweli (really truly, reduplication), sahihi kabisa (completely correct); qu: chiqapuni (-puni emphatic: truly indeed), allinpuni (-puni: very good indeed). Strategies include: degree adverbs (he, el, en), emphatic particles (sa eva, sw kabisa), reduplication (zh AABB, tl, sw), and morphological emphatic suffixes (qu -puni). |
| **L. Comparison of truth-domain properties** | Construction expressing that one thing is more true/accurate/reliable than another | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** zh: 比 (bǐ) + 更/还 (gèng/hái) (X比Y更真实); he: yoter + adjective (nakhon yoter = more correct), yoter...mi- (more...than); sa: ablative comparison (pratyakṣāt anumānam alpaprāmāṇyam = inference has less validity than perception); el: yoter + adjective (nakhon yoter parallel), comparative -τερος (rare with truth terms); en: more + adjective (more accurate than), -er (truer, rarer); tl: mas + adjective (mas totoo = more true); sw: (less documented in F4; implied through degree modification); qu: hina/shina (as...as, equative); no morphological comparative. Quechua lacks a morphological comparative and uses only equative comparison (hina = as...as). Sanskrit uses ablative case for the standard of comparison. |
| **M. Evidential marking (source of truth claim)** | Morphological or lexical marking of whether a claim is based on direct observation, hearsay, or inference | qu (grammaticalized), sa (lexical), he (constructional), zh (constructional/proverbial) | **Weakly attested as a systematic construction — varies greatly.** qu: obligatory evidential suffixes -mi (direct), -si (hearsay), -cha (conjecture) on all main-clause predicates; sa: distinct pramāṇa terms for perception (pratyakṣa), inference (anumāna), testimony (śabda); he: dative experiencer constructions (domeh li she- = it seems to me that, nir'eh li she- = it appears to me that); zh: proverb 耳听为虚眼见为实 (hearing is uncertain, seeing is believing); en: epistemic adverbs (apparently, reportedly, allegedly). **Quechua is unique** in grammaticalizing this as obligatory morphology. Sanskrit is unique in lexically differentiating multiple source types. Other languages express evidential distinctions constructionally or through isolated items. |
| **N. Verbal collocations (truth-telling, lying, verifying)** | Truth-domain noun as object of speech, cognition, or action verb | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** zh: 说真话 (tell truth), 撒谎 (tell lies), 证实事实 (verify facts), 查明真相 (ascertain truth); he: lomar et ha-emet (tell the truth), lomar sheker (tell a lie), legalot et ha-emet (reveal the truth), lehatil safek (cast doubt); sa: satyaṃ vadati (speaks truth), mṛṣā vadati (speaks falsely), tattvaṃ jñā (know reality); el: λέω την αλήθεια (tell the truth), λέω ψέματα (tell lies), αποκαλύπτω την αλήθεια (reveal the truth); en: tell the truth, tell lies, verify the facts, reveal the truth; tl: magtapat (confess/be honest), magsinungaling (lie), patunayan (prove/verify); sw: kusema kweli (speak truth), kusema uongo (speak lies), tafuta ukweli (seek truth), gundua ukweli (discover truth); qu: chiqaqta rimay (speak truthfully), llullata rimay (speak lies), tattvaṃ jñā (know reality). **Key observation:** in Greek, the light verb λέω (say/tell) is obligatory for truth-telling and lying constructions — no single-word verb for "lie" exists in standard usage. In Tagalog, magtapat and magsinungaling are single verbs. In Chinese, 撒谎 is a single verb for lying. |
| **N. Verbal collocations (light verb constructions)** | Light verb (say, make, do) + truth-domain noun as the primary construction for truth-related actions | el, tl, zh | **Moderately attested as a dominant strategy — 3 languages.** el: λέω + αλήθεια/ψέματα (say + truth/lies) is the primary construction; κάνω + λάθος (make + mistake) is the primary construction for errors; zh: 说真话/说谎话 (say + true words/lies); tl: magtapat (single verb), but also mag- + truth-domain noun constructions. Greek F4 explicitly notes "the verb λέω is obligatory; no single-word verb equivalent to English 'lie' exists." Greek F4 also notes "the verb κάνω is obligatory" for error constructions. This light-verb dependency is most clearly documented in Greek. |
| **O. Discourse markers** | Grammaticalized truth-domain expressions that frame utterances as honest, frank, or corrective | zh, he, el, en, tl, sw, qu | **Widely attested — 7 of 8 languages.** zh: 说实话 (to tell the truth), 实际上 (actually), 事实上 (in fact), 说真的 (to be honest); he: ha-emet hi she- (the truth is that), la-amito shel davar (in truth); el: στην αλήθεια (in truth), η αλήθεια είναι ότι (the truth is that); en: to be honest, truth be told, in truth, to tell you the truth; tl: sa totoo lang (to be honest), ang totoo (the truth is); sw: kwa kweli (truly), haki ni kwamba (the truth is that); qu: chiqaqmanta rimay (speak from truth). Sanskrit shows less documentation of this pattern. These expressions have reduced literal meaning and function pragmatically to signal speaker stance. |
| **P. Stability / continuation of truth-domain state** | Construction expressing that something remains true, stays correct, continues to be valid | zh, he, el, en, tl, sw, qu | **Moderately attested — 7 of 8 languages.** zh: 事实保持不变 (facts remain unchanged), 真相仍然是真相 (truth remains truth); he: ha-emet lo mishtanah (truth doesn't change), ha-emet omedet be-eynah (truth stands); el: η αλήθεια παραμένει (truth remains), παραμένει έγκυρος (remains valid); en: hold true, remain true, stand up to scrutiny; tl: nananatiling totoo (remains true, nananatili + predicate); sw: ukweli unabaki kuwa kweli (truth remains true, kubaki + predicate); qu: chiqaqraqmi (-raq continuative: still true), allinraqmi (still good). Quechua uses a morphological continuative suffix (-raq) while other languages use lexical verbs (remain, stay, hold). |
| **Q. Reciprocal truth-related action** | Construction expressing mutual honesty, mutual deception, or mutual argumentation | zh, he, tl, sw, qu | **Moderately attested — 5 of 8 languages.** zh: 互相欺骗 (deceive each other, analytic); he: (analytic: zeh et zeh); tl: magtapatan (mag-...-an reciprocal: be honest with each other), magtotohanan (speak truthfully to each other); sw: hojiana (-ana reciprocal: argue/debate with each other); qu: rikch'akuy (-ku- reflexive/reciprocal: resemble each other), magtapatan (tl parallel). Tagalog and Swahili use morphological reciprocal suffixes (mag-...-an, -ana). Chinese and Hebrew use analytic expressions. Sanskrit and Greek show less documentation of this specific construction. |

---

## 3. Narrative Analysis

### Recurring Cross-Language Constructional Patterns

**Attribution via copula is universal but structurally diverse.** Every language in the corpus has a construction for attributing truth-domain properties to subjects, but the copula behaves very differently across languages. Hebrew, Sanskrit, and Tagalog use zero copula in present tense as the default; Greek and English require an overt copula; Swahili uses an invariant copula (ni/si) without agreement; Quechua requires an evidential suffix on the predicate rather than a copula. Despite this structural diversity, the functional outcome — a construction that predicates a truth-domain property of a subject — is consistent across all eight languages.

**Manner adverbials from truth-domain terms are universal.** All eight languages convert truth-domain terms into manner adverbials, and these adverbials are among the most frequent expressions in each language. The strategies span the full typological range: derivational suffixes (Greek -ώς, English -ly), prepositional phrases (Hebrew be-, Swahili kwa-), case suffixes (Sanskrit instrumental, Quechua and Tagalog accusative), and particles (Chinese 地). Despite this diversity, the functional pattern is consistent: truth-domain terms are productively converted to manner adverbials across all language families.

**Propositional complement constructions are universal.** All eight languages have constructions of the form "it is true/correct/certain that [clause]." The complementizer strategies differ (Chinese uses 是…的 frame or no complementizer; Hebrew uses she-; Sanskrit uses yadi…tadā conditional; Greek uses ότι; English uses "that"; Tagalog uses na particle; Swahili uses kwamba; Quechua encodes the epistemic stance through evidential suffixes rather than a complementizer). The Quechua strategy is the most structurally distinctive: instead of a matrix predicate + complementizer + embedded clause, the evidential suffix on the main predicate directly encodes the speaker's epistemic relationship to the proposition.

**Discourse markers grammaticalized from truth vocabulary appear in seven of eight languages.** The pattern of truth-domain vocabulary grammaticalizing into discourse markers that introduce frank statements, corrections, or emphatic affirmations is attested across Sino-Tibetan, Semitic, Indo-European, Austronesian, Bantu, and Quechuan families. Sanskrit shows less documentation of this pattern. The grammaticalized expressions (Chinese 说实话, Hebrew ha-emet hi she-, Greek στην αλήθεια, English to be honest, Tagalog sa totoo lang, Swahili kwa kweli, Quechua chiqaqmanta rimay) share a common function but differ in their degree of grammaticalization and their structural form.

**Verbal collocations with truth-domain nouns are universal.** All eight languages have constructions where truth-domain nouns appear as objects of speech, cognition, or action verbs (tell the truth, tell lies, seek truth, reveal truth, verify facts, cast doubt). The specific verbs that collocate with truth-domain nouns differ across languages, but the pattern of truth-domain nouns as verbal objects is consistent.

### Important Asymmetries, Substitutions, and Restrictions

**The causative asymmetry: verification is productive, falsification is not.** The most consistent cross-language asymmetry in the constructional data is that causative constructions for establishing truth (verify, authenticate, validate, confirm, prove) are productive in all eight languages, while causative constructions for establishing falsity (falsify, make false, invalidate) are clearly attested as productive in only three (Greek ακυρώνω, English falsify/invalidate, Swahili batilisha). Quechua F4 explicitly marks the absence of a "make false" causative as a structural gap. Tagalog lacks a dedicated causative for "make incorrect." Chinese expresses falsification through lexical items (假造, 伪造) rather than productive causative derivation from truth-domain bases. This asymmetry is attested across unrelated language families and appears to reflect a broader pattern where the conceptual frame of "causing something to be true" is more grammatically elaborated than "causing something to be false."

**The inchoative asymmetry: becoming true is more natural than becoming false.** Inchoative constructions for "becoming true" or "being verified" are more natural and more lexicalized than parallel constructions for "becoming false" in at least four languages. Greek F6 explicitly notes that γίνομαι (become) is unnatural with ψέμα (lie) while natural with σωστός (correct). Quechua F6 notes the absence of *llullayay (become false) while chiqaqyay (become true) is attested. Hebrew F6 notes that "the thing became true" constructions are marginal while revelation verbs are preferred. This asymmetry is attested across Indo-European, Semitic, and Quechuan families.

**Revelation verbs substitute for inchoative "become true" in several languages.** Hebrew, Greek, and Chinese show a pattern where verbs of revealing, emerging, or becoming clear (hitgalah, hitbarar, βγαίνει η αλήθεια, 真相大白) are preferred over direct inchoative constructions for expressing truth coming to light. Hebrew F4 explicitly states that revelation verbs are "the natural way to express truth emerging" and are "more idiomatic than direct 'become' constructions." This substitution — revelation verbs replacing inchoative "become" — suggests that truth is conceptualized in these languages as something that is uncovered or revealed rather than something that comes into being.

**The agentive asymmetry: negative agents are more elaborated than positive agents.** Across all eight languages, the vocabulary for persons characterized by lying or deception is more lexically elaborated than the vocabulary for persons characterized by truthfulness. Greek shows the most extreme case: ψεύτης has diminutive (ψεματάκι), augmentative (ψευταράς), and feminine (ψεύτρα) forms, while the positive agentive αληθολόγος is marginal and literary. In English, "liar" is a simple lexical item while "truth-teller" requires compounding. In Tagalog, sinungaling (liar) is a simple lexical item while no parallel simple term for "truth-teller" is documented. In Swahili, mdanganyifu (deceiver) is attested while mtu wa kweli (person of truth) is periphrastic. This asymmetry is attested across all eight languages and all language families represented in the corpus.

**Light verb dependency for truth-telling and error constructions in Greek.** Greek F4 explicitly notes that the light verb λέω (say/tell) is obligatory for truth-telling and lying constructions — no single-word verb for "lie" exists in standard usage — and that κάνω (make/do) is obligatory for error constructions (κάνω λάθος = make a mistake). This light-verb dependency is most clearly documented in Greek. By contrast, Tagalog has single verbs (magtapat, magsinungaling), Chinese has 撒谎 as a single verb for lying, and Hebrew has ψεύδομαι (psévdome) as a single verb for lying. The Greek pattern represents a constructional strategy where truth-related actions are expressed through light verb + noun combinations rather than single verbs.

