# CLCA Protocol v3.4 — P4b Construction Usage & Constraints
# Language: Swahili (sw)

---

| Construction Type | Example | Transliteration | Translation | Naturalness Rating | Usage Notes |
| **8. VERBAL DERIVATION FROM NOMINALS** | Hukumia mhalifu | hukumia mhalifu | "Judge the offender / pass judgment on the offender" | [CORE] | Applicative -ia creates transitive verbs from nouns. Hukumia very common in legal and judicial contexts. |
| | Shuhudia tukio | shuhudia tukio | "Witness the event / testify about the event" | [CORE] | Same applicative pattern. Shuhudia frequent in legal testimony and eyewitness contexts. Shows vowel harmony from shahidi root. |
| **9. EMPHATIC INTENSIFICATION** | Kweli kabisa | kweli kabisa | "Absolutely true / completely true" | [CORE] | Kabisa is the strongest intensifier. Common in emphatic assertions and confirmations across all registers. |
| | Ni sahihi sana | ni sahihi sana | "It is very correct" | [CORE] | Sana is the general intensifier. Used freely in all contexts. Less emphatic than kabisa. |
| **10. MANNER ADVERBIALS** | Fanya kwa usahihi | fanya kwa usahihi | "Do it correctly / with accuracy" | [CORE] | Highly productive kwa + abstract noun pattern. Common in instructional and procedural language. |
| | Sema kwa ukweli | sema kwa ukweli | "Speak truthfully / in truth" | [CORE] | Very frequent collocation. Used in moral exhortations and truth-telling contexts. Alternative kwa kweli (bare root) equally common. |
| **11. CONTRASTIVE COORDINATION** | Kweli au uongo | kweli au uongo | "True or false / truth or lies" | [CORE] | Fixed binary opposition. Common in evaluative, testing, and philosophical contexts. Order (positive first) is conventional. |
| | Halisi au bandia | halisi au bandia | "Genuine or fake / authentic or counterfeit" | [CORE] | Very common in commercial contexts for authenticity assessment. Fixed pair used in product evaluation and quality control. |
| **12. DEMONSTRATIVE SPECIFICATION** | Ukweli huu | ukweli huu | "This truth / this fact" | [CORE] | Standard demonstrative pattern with class agreement. Used for discourse reference to specific propositions or claims. |
| | Uongo ule | uongo ule | "That lie / that falsehood" | [CORE] | Distal demonstrative for reference to previously mentioned or distant lies. Common in narrative and argumentative discourse. |
| **13. POSSESSIVE ATTRIBUTION** | Haki yake | haki yake | "His/her right / their entitlement" | [CORE] | Standard possessive construction with class agreement. Extremely common in legal, political, and moral discourse about rights and entitlements. |
| | Makosa yake | makosa yake | "His/her mistakes / their errors" | [CORE] | Common in evaluative contexts for error attribution. The plural makosa (class 6) takes ya- possessive prefix. |
| **14. COMPLETIVE/TOTALITY MARKING** | Ukweli wote | ukweli wote | "The whole truth / all the truth" | [CORE] | -Ote shows class agreement (w- for class 11). Very common in legal oaths and emphatic truth-telling contexts. |
| | Ukweli pekee | ukweli pekee | "Only the truth / nothing but the truth" | [CORE] | Pekee is invariant. Common in exclusive truth claims and legal testimony. Emphasizes exclusivity rather than totality. |
| **15. EVIDENTIAL FRAMING** | Ni ukweli kwamba amefika | ni ukweli kwamba amefika | "It is true that he/she has arrived" | [CORE] | Standard complementizer construction for embedding propositions. Common in formal and evidential contexts for factual claims. |
| | Ni dhahiri kwamba wanajua | ni dhahiri kwamba wanajua | "It is clear that they know" | [CORE] | Same pattern with dhahiri (clear/evident). Frequent in argumentative and explanatory discourse. Functions as epistemic frame. |
| **16. NEGATIVE EXISTENTIAL** | Bila ushahidi | bila ushahidi | "Without evidence / without proof" | [CORE] | Bila + noun is standard privative construction. Very common in legal and argumentative contexts for absence of evidence. |
| | Bila ya hakika | bila ya hakika | "Without certainty / uncertainly" | [CORE] | Optional ya appears with some nouns. Common in epistemic contexts expressing uncertainty or lack of confirmation. |
| **17. VERB-OBJECT COLLOCATIONS** | Sema ukweli | sema ukweli | "Tell the truth / speak the truth" | [CORE] | Highly conventionalized collocation. One of the most frequent truth-domain expressions across all registers. |
| | Toa ushahidi | toa ushahidi | "Give evidence / provide testimony" | [CORE] | Fixed legal collocation. Standard expression in judicial and testimonial contexts. Toa (give) is the conventional verb for evidence provision. |
| **18. REDUPLICATION** | Kweli kweli | kweli kweli | "Really truly / very true / absolutely true" | [MARGINAL] | Full reduplication for emphasis. More common in informal/colloquial speech than formal registers. Not productive for all truth-terms. |
| | Sawa sawa | sawa sawa | "Okay okay / alright alright / fine fine" | [MARGINAL] | Pragmatic function for enthusiastic agreement or reassurance. Informal register. Functions more as discourse marker than truth-value assertion. |
| **19. DOMAIN-SPECIFIC MODIFICATION** | Ukweli wa kisayansi | ukweli wa kisayansi | "Scientific truth / empirical truth" | [CORE] | Productive pattern with ki- prefix for domain specification. Common in academic and technical discourse for distinguishing truth types. |
| | Ukweli wa kisheria | ukweli wa kisheria | "Legal truth / juridical truth" | [CORE] | Same pattern for legal domain. Frequent in legal and philosophical contexts distinguishing legal from other truth types. |
| **20. SPATIAL/METAPHORICAL EXTENSION** | Ukweli wa ndani | ukweli wa ndani | "Inner truth / internal truth / subjective truth" | [MARGINAL] | Metaphorical spatial extension. More common in philosophical, psychological, or religious discourse than everyday speech. |
| | Ukweli wa nje | ukweli wa nje | "External truth / outward truth / objective truth" | [MARGINAL] | Contrasts with ndani construction. Less frequent than domain-specific patterns. Restricted to philosophical or introspective contexts. |
| **21. SCALAR MODIFICATION** | Uongo mkubwa | uongo mkubwa | "Big lie / great falsehood / serious lie" | [CORE] | Standard size adjective modification with class agreement. Common for indicating severity or significance of falsehoods. |
| | Makosa madogo | makosa madogo | "Small mistakes / minor errors" | [CORE] | Same pattern with plural noun (class 6). Frequent in evaluative contexts for minimizing error significance. |
| **22. PASSIVE DERIVATION** | Ukweli umethibitishwa | ukweli umethibitishwa | "The truth has been confirmed / verified" | [CORE] | Regular passive formation from causative verbs. Very common in formal, legal, and administrative contexts for verification statements. |
| | Amehukumiwa kwa uongo | amehukumiwa kwa uongo | "He/she has been judged/condemned for lying" | [CORE] | Standard passive with kwa introducing reason/cause. Common in legal and moral judgment contexts. |
| **23. RECIPROCAL CONSTRUCTION** | Wanahojiana | wanahojiana | "They are arguing with each other / debating" | [CORE] | Regular reciprocal -ana suffix. Common for mutual argumentation or debate. Requires plural or conjoined subject. |
| **24. INSTRUMENTAL/MEANS EXPRESSION** | Danganya kwa maneno | danganya kwa maneno | "Deceive with words / lie verbally" | [CORE] | Kwa introduces instrument/means. Common pattern for specifying method of deception or truth-telling. |
| | Thibitisha kwa ushahidi | thibitisha kwa ushahidi | "Confirm with evidence / verify through testimony" | [CORE] | Same instrumental pattern. Frequent in legal and evidential contexts for specifying verification method. |

---

## SUMMARY OBSERVATIONS

**CORE constructions (22/24):** The vast majority of identified constructions show high productivity and frequency across registers. Particularly robust are: copular attribution (1-2), causative derivation (5), abstract nominalization (6), agentive forms (7), manner adverbials (10), and verb-object collocations (17).

**MARGINAL constructions (2/24):** Only reduplication (18) and spatial/metaphorical extensions (20) show restricted usage. Reduplication is register-specific (informal), while spatial metaphors are domain-specific (philosophical/psychological).

**No UNCERTAIN ratings:** All constructions are well-attested with clear usage patterns.

**Alternate constructions noted:**
- Construction 4 (Become/Inchoative): Two strategies attested—stative -ik- extension vs. periphrastic kuwa + predicate
- Construction 10 (Manner Adverbials): Both kwa + abstract noun and kwa + bare root forms documented
- Construction 14 (Completive): Multiple markers (-ote, pekee, kamili) with different semantic nuances

**Register variation:** Formal/legal register favors constructions 8, 13, 15, 16, 17, 19, 22. Informal speech shows preference for construction 18. Most constructions are register-neutral.
