# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Indonesian (id)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| wajar | tidak wajar | wajar / tidak wajar | reasonable, natural, proper / unreasonable, unnatural, improper | Opposition marking reasonableness or naturalness in social contexts. *Wajar* indicates conformity to expectations or norms; *tidak wajar* marks deviation from what is considered reasonable or natural. The negative is morphological. | morphological | [CORE] |
| pantas | tidak pantas | pantas / tidak pantas | fitting, appropriate, deserved / inappropriate, unfitting, improper | Opposition marking social appropriateness or deservingness. *Pantas* indicates what is fitting or deserved; *tidak pantas* marks what is inappropriate or undeserved. Common in moral and social evaluation. | morphological | [CORE] |
| layak | tidak layak | layak / tidak layak | worthy, suitable, proper / unworthy, unsuitable, improper | Opposition marking worthiness or suitability. *Layak* indicates something meets standards of worthiness or suitability; *tidak layak* marks failure to meet such standards. Common in evaluative and planning contexts. | morphological | [CORE] |
| patut | tidak patut | patut / tidak patut | proper, ought / improper, ought not | Opposition marking propriety and deontic modality. *Patut* indicates what is proper or what ought to be; *tidak patut* marks what is improper or ought not to be. Common in moral and prescriptive discourse. | morphological | [CORE] |
| faktual | tidak faktual | faktual / tidak faktual | factual / not factual, unfactual | Opposition marking factual basis of claims or information. *Faktual* indicates grounding in facts; *tidak faktual* marks lack of factual basis. Borrowed term common in analytical and critical contexts, with morphological negation. | morphological | [CORE] |
| meyakinkan | tidak meyakinkan | meyakinkan / tidak meyakinkan | convincing, persuasive / not convincing, unconvincing | Opposition marking persuasive power or credibility. *Meyakinkan* (meN-yakin-kan) indicates capacity to produce conviction; *tidak meyakinkan* marks lack of persuasiveness. The negative is morphological. | morphological | [CORE] |
| dapat dipercaya | tidak dapat dipercaya | dapat dipercaya / tidak dapat dipercaya | trustworthy, reliable / untrustworthy, unreliable | Phrasal opposition marking trustworthiness or reliability. *Dapat dipercaya* (can be-PASS-trust) indicates reliability; *tidak dapat dipercaya* marks untrustworthiness. The negative is morphological within the fixed phrase. | morphological | [CORE] |
| tulen | (no clear opposition identified) | tulen | pure, genuine | *Tulen* marks purity or genuineness (especially of materials like *emas tulen* "pure gold") but no specific lexical antonym is attested in the data. Could potentially oppose *palsu* or *campuran* (mixed) but these oppositions are not explicitly documented. | (no clear opposition identified) | [UNCERTAIN] |
| sejati | (no clear opposition identified) | sejati | true, genuine, authentic | *Sejati* marks genuine essence or true nature (as in *cinta sejati* "true love") but no specific lexical antonym is attested in the data. Could potentially oppose *palsu* or *semu* (apparent/seeming) but these oppositions are not explicitly documented. | (no clear opposition identified) | [UNCERTAIN] |
| hakiki | (no clear opposition identified) | hakiki | essential, fundamental, true | *Hakiki* marks essential or fundamental truth (as in *kebenaran hakiki* "fundamental truth") but no specific lexical antonym is attested in the data. Could potentially oppose *lahiriah* (outward/superficial) in philosophical discourse but this opposition is not explicitly documented. | (no clear opposition identified) | [UNCERTAIN] |
| dusta | (no clear opposition identified) | dusta | lie, falsehood | *Dusta* is a formal/literary term for falsehood that could oppose *kebenaran* (truth) or parallel *bohong*, but the data does not provide clear evidence of a specific lexical antonym. It appears primarily in religious and literary contexts. | (no clear opposition identified) | [UNCERTAIN] |
| mirip | tidak mirip | mirip / tidak mirip | similar, resembling / not similar, not resembling | Opposition marking resemblance or similarity. *Mirip* indicates visual or structural similarity; *tidak mirip* marks lack of resemblance. The negative is morphological; no distinct lexical antonym is attested. | morphological | [CORE] |
| serupa | tidak serupa | serupa / tidak serupa | similar, alike / not similar, not alike | Opposition marking similarity in form or appearance. *Serupa* (se-rupa) indicates likeness; *tidak serupa* marks dissimilarity. Slightly more formal than *mirip*. The negative is morphological. | morphological | [CORE] |
| absah | tidak absah | absah / tidak absah | valid, legitimate (religious/legal) / not valid, illegitimate | Opposition marking religious or legal validity, parallel to *sah/tidak sah* but in more formal or religious register. *Absah* indicates conformity with religious or legal authority; *tidak absah* marks invalidity. The negative is morphological. | morphological | [CORE] |
| [ADJ] | tidak [ADJ] | [ADJ] / tidak [ADJ] | [quality] / not [quality] | Productive morphological negation pattern applicable to virtually all truth-domain adjectives. *Tidak* is the standard negator for adjectival predicates, creating systematic oppositions across the domain. This is a constructional pattern rather than a specific lexical opposition. | constructional (morphological negation) | [CORE] |
| [ADJ] | kurang [ADJ] | [ADJ] / kurang [ADJ] | [quality] / not quite [quality], somewhat not-[quality] | Productive hedged negation pattern where *kurang* "less, lacking" creates softened or partial negation. This is a face-saving strategy common in formal and polite discourse, creating a scalar opposition rather than binary negation. Constructional pattern applicable across truth-domain adjectives. | constructional (hedged negation) | [CORE] |
| mencari kebenaran | menyembunyikan kebenaran | mencari kebenaran / menyembunyikan kebenaran | to seek truth / to hide the truth, to conceal the truth | Constructional opposition between truth-seeking and truth-concealing actions. *Mencari kebenaran* marks active pursuit of truth; *menyembunyikan kebenaran* marks deliberate concealment. Both are light verb constructions with *kebenaran* "truth." | constructional | [CORE] |
| mengungkap kebenaran | menyembunyikan kebenaran | mengungkap kebenaran / menyembunyikan kebenaran | to reveal the truth, to uncover the truth / to hide the truth, to conceal the truth | Constructional opposition between truth-revelation and truth-concealment. *Mengungkap kebenaran* marks act of revealing or uncovering truth; *menyembunyikan kebenaran* marks deliberate hiding. Both are light verb constructions with *kebenaran* "truth." | constructional | [CORE] |
| menghadapi kenyataan | (no clear opposition identified) | menghadapi kenyataan | to face reality, to confront facts | *Menghadapi kenyataan* is a fixed collocation for facing or confronting reality, but no clear constructional opposite (such as "to avoid reality") is explicitly attested in the data. *Menghindari kenyataan* "to avoid reality" would be the logical opposite but is not documented. | (no clear opposition identified) | [UNCERTAIN] |
| menerima kenyataan | (no clear opposition identified) | menerima kenyataan | to accept reality, to accept the facts | *Menerima kenyataan* is a fixed collocation for accepting reality, but no clear constructional opposite (such as "to reject reality") is explicitly attested in the data. *Menolak kenyataan* "to reject reality" would be the logical opposite but is not documented. | (no clear opposition identified) | [UNCERTAIN] |
| bohong besar | bohong kecil | bohong besar / bohong kecil | big lie, major deception / white lie, small lie | Scalar opposition marking magnitude of deception. *Bohong besar* indicates significant or serious lies; *bohong kecil* indicates minor or supposedly harmless lies. Both are fixed collocations using size adjectives to modify *bohong*. | lexical (scalar) | [CORE] |
| kebohongan besar | (no clear opposition identified) | kebohongan besar | big lie, major falsehood | *Kebohongan besar* marks significant deception but no explicit *kebohongan kecil* is attested in the data, though it would be a logical formation parallel to *bohong kecil*. | (no clear opposition identified) | [UNCERTAIN] |
| salah besar | (no clear opposition identified) | salah besar | big mistake, grave error | *Salah besar* marks serious errors but no explicit *salah kecil* is attested in the data, though it would be a logical formation parallel to *bohong kecil*. | (no clear opposition identified) | [UNCERTAIN] |
| kebenaran mutlak | kebenaran relatif | kebenaran mutlak / kebenaran relatif | absolute truth / relative truth | Philosophical opposition between unconditional and conditional truth. *Kebenaran mutlak* marks truth that is universal and unconditional; *kebenaran relatif* marks truth that is context-dependent or conditional. Both are compound constructions common in philosophical and theological discourse. | lexical (compound) | [CORE] |
| kebenaran sejati | (no clear opposition identified) | kebenaran sejati | genuine truth, real truth | *Kebenaran sejati* marks authentic or genuine truth but no explicit opposite (such as *kebenaran palsu* "false truth" or *kebenaran semu* "apparent truth") is attested in the data. | (no clear opposition identified) | [UNCERTAIN] |
| kebenaran hakiki | (no clear opposition identified) | kebenaran hakiki | essential truth, fundamental truth | *Kebenaran hakiki* marks essential or fundamental truth but no explicit opposite (such as *kebenaran lahiriah* "outward truth" or *kebenaran sementara* "temporary truth") is attested in the data. | (no clear opposition identified) | [UNCERTAIN] |
| berbeda | (no clear opposition identified) | berbeda | to differ, to be different | *Berbeda* (ber-beda) is the intransitive verbal form meaning "to be different," but while it semantically opposes sameness, there is no parallel *bersama* meaning "to be the same" (as *bersama* means "together" rather than "to be identical"). The opposition is semantic but not morphologically parallel. | (no clear opposition identified) | [UNCERTAIN] |
| bersama | (no clear opposition identified) | bersama | together, with, jointly | *Bersama* (ber-sama) means "together" but does not have a clear morphological opposite. While *terpisah* "separated" or *sendiri* "alone" could be semantic opposites, these are not morphologically related and are not explicitly attested as oppositions in the data. | (no clear opposition identified) | [UNCERTAIN] |
| sama persis | beda sekali | sama persis / beda sekali | exactly the same, identical / very different, completely different | Intensified opposition between identity and difference. *Sama persis* emphasizes complete identity; *beda sekali* emphasizes great difference. Both use intensifiers (*persis* "exact," *sekali* "very") to strengthen the basic *sama/beda* opposition. | lexical (intensified) | [CORE] |
| sangat [ADJ] | tidak [ADJ] | sangat [ADJ] / tidak [ADJ] | very [quality] / not [quality] | Constructional opposition between intensified affirmation and negation. *Sangat* "very" intensifies the positive quality; *tidak* negates it. This creates a scalar opposition with intensified positive at one pole and negation at the other. Productive across all truth-domain adjectives. | constructional | [CORE] |
| paling [ADJ] | paling tidak [ADJ] | paling [ADJ] / paling tidak [ADJ] | most [quality] / least [quality] | Constructional opposition between superlative affirmation and superlative negation. *Paling* marks the highest degree; *paling tidak* marks the lowest degree (least). Productive across truth-domain adjectives for creating scalar extremes. | constructional | [CORE] |
| lebih [ADJ] | kurang [ADJ] | lebih [ADJ] / kurang [ADJ] | more [quality] / less [quality] | Constructional opposition between comparative increase and comparative decrease. *Lebih* marks greater degree; *kurang* marks lesser degree. Productive across truth-domain adjectives for creating scalar comparisons. | constructional | [CORE] |
| [ADJ] sekali | tidak [ADJ] | [ADJ] sekali / tidak [ADJ] | very [quality], extremely [quality] / not [quality] | Constructional opposition between emphatic affirmation and negation. *Sekali* following an adjective creates emphatic intensification; *tidak* preceding creates negation. Common in conversational responses and evaluations. | constructional | [CORE] |
| terbukti [ADJ] | (no clear opposition identified) | terbukti [ADJ] | proven [quality] | *Terbukti* (ter-bukti) "proven" combines with truth-predicates to mark demonstrated truth-value (e.g., *terbukti bohong* "proven false"), but no clear constructional opposite like *belum terbukti* "not yet proven" or *tidak terbukti* "unproven" is explicitly attested in the data as a systematic pattern. | (no clear opposition identified) | [UNCERTAIN] |
| ketahuan [ADJ] | (no clear opposition identified) | ketahuan [ADJ] | caught [being quality], found out [to be quality] | *Ketahuan* (ke-tahu-an) "caught, found out" combines with truth-predicates to mark discovery (e.g., *ketahuan bohong* "caught lying"), but no clear constructional opposite is attested in the data. | (no clear opposition identified) | [UNCERTAIN] |
| dengan [ADJ] | tanpa [ADJ] | dengan [ADJ] / tanpa [ADJ] | with [quality] / without [quality] | Constructional opposition between presence and absence of quality in manner expressions. *Dengan* "with" marks presence; *tanpa* "without" marks absence. While *dengan* + truth-adjectives is well-attested (*dengan jujur* "honestly"), *tanpa* + truth-adjectives is not explicitly documented in the data but would be grammatically possible. | (no clear opposition identified) | [UNCERTAIN] |
| bukan [N] | [N] | bukan [N] / [N] | not [noun] / [noun] | Constructional opposition for nominal predicates. *Bukan* negates nominal predicates (e.g., *bukan pembohong* "not a liar" vs. *pembohong* "a liar"). This is the nominal equivalent of *tidak* negation for adjectives, creating systematic oppositions for agentive nouns in the truth domain. | constructional (nominal negation) | [CORE] |
| meN-[ROOT]-kan | (no clear opposition identified) | meN-[ROOT]-kan | to make/cause [quality] | The causative construction *meN-...-kan* is highly productive but does not have a systematic morphological opposite. While individual causatives may have semantic opposites (e.g., *membenarkan* "to confirm" vs. *menyalahkan* "to blame"), there is no general anti-causative or preventative construction that systematically opposes the causative pattern. | (no clear opposition identified) | [UNCERTAIN] |
| di-[ROOT]-kan | (no clear opposition identified) | di-[ROOT]-kan | to be made/caused [quality] (passive) | The passive causative construction *di-...-kan* is the passive counterpart of *meN-...-kan* but does not have a systematic morphological opposite beyond the active/passive voice alternation itself. | (no clear opposition identified) | [UNCERTAIN] |
