# CLCA Protocol v3.4 — F4 Construction Table
# Language: Indonesian (id)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| **18. LIGHT VERB CONSTRUCTIONS WITH TRUTH NOUNS** | mencari kebenaran | mencari kebenaran | "to seek truth, to search for truth" | Productive pattern where verbs of seeking (*mencari*), revealing (*mengungkap*), upholding (*menegakkan*), hiding (*menyembunyikan*), facing (*menghadapi*), accepting (*menerima*) combine with truth-nominalizations. Common in investigative, philosophical, and psychological discourse. | [CORE] |
| **18. LIGHT VERB CONSTRUCTIONS WITH TRUTH NOUNS** | menghadapi kenyataan | menghadapi kenyataan | "to face reality, to confront facts" | Productive pattern where verbs of seeking (*mencari*), revealing (*mengungkap*), upholding (*menegakkan*), hiding (*menyembunyikan*), facing (*menghadapi*), accepting (*menerima*) combine with truth-nominalizations. Common in investigative, philosophical, and psychological discourse. | [CORE] |
| **19. COMPOUND ERROR CONSTRUCTIONS** | salah paham | salah paham | "to misunderstand, misunderstanding" | Highly productive pattern where *salah* specifies the domain of error: *salah lihat* "to see wrongly," *salah dengar* "to mishear," *salah ucap* "slip of the tongue," *salah tulis* "typo," *salah tafsir* "misinterpretation." Functions as both verb and noun. Distinct from *salah satu* "one of" where *salah* is grammaticalized as selector. | [CORE] |
| **19. COMPOUND ERROR CONSTRUCTIONS** | salah hitung | salah hitung | "miscalculation, calculation error" | Highly productive pattern where *salah* specifies the domain of error: *salah lihat* "to see wrongly," *salah dengar* "to mishear," *salah ucap* "slip of the tongue," *salah tulis* "typo," *salah tafsir* "misinterpretation." Functions as both verb and noun. Distinct from *salah satu* "one of" where *salah* is grammaticalized as selector. | [CORE] |
| **20. EMPHATIC CONFIRMATION CONSTRUCTIONS** | benar sekali | benar sekali | "very true, absolutely correct, exactly right" | *Sekali* following adjectives creates emphatic affirmation, very common in conversational responses. *Belaka* "entirely, merely" emphasizes totality, often with negative connotation (*bohong belaka* "nothing but lies"). Both patterns are productive but *sekali* is more frequent. | [CORE] |
| **20. EMPHATIC CONFIRMATION CONSTRUCTIONS** | bohong belaka | bohong belaka | "nothing but lies, entirely false" | *Sekali* following adjectives creates emphatic affirmation, very common in conversational responses. *Belaka* "entirely, merely" emphasizes totality, often with negative connotation (*bohong belaka* "nothing but lies"). Both patterns are productive but *sekali* is more frequent. | [CORE] |
| **21. RELATIVIZATION WITH TRUTH PREDICATES** | yang benar | yang benar | "the correct one, what is right" | *Yang* is the general relativizer/nominalizer. With truth-domain adjectives, creates expressions identifying correct/true alternatives or emphasizing actual reality. Can function as exclamation: *Yang benar saja!* "Really?!/You must be joking!" Very productive pattern. | [CORE] |
| **21. RELATIVIZATION WITH TRUTH PREDICATES** | yang sesungguhnya | yang sesungguhnya | "the real one, what is truly, the actual" | *Yang* is the general relativizer/nominalizer. With truth-domain adjectives, creates expressions identifying correct/true alternatives or emphasizing actual reality. Can function as exclamation: *Yang benar saja!* "Really?!/You must be joking!" Very productive pattern. | [CORE] |
| **22. PASSIVE APPLICATIVE CONSTRUCTIONS** | dibohongi | di- + bohong + -i | "to be lied to, to be deceived" | Passive applicative marks the patient/victim of deception or blame attribution. *-i* applicative appears with roots like *bohong* (lie), while *-kan* causative appears with *salah* (wrong). Both patterns are productive for expressing who receives the action. | [CORE] |
| **22. PASSIVE APPLICATIVE CONSTRUCTIONS** | disalahkan | di- + salah + -kan | "to be blamed, to be faulted" | Passive applicative marks the patient/victim of deception or blame attribution. *-i* applicative appears with roots like *bohong* (lie), while *-kan* causative appears with *salah* (wrong). Both patterns are productive for expressing who receives the action. | [CORE] |
| **23. HEDGED NEGATION CONSTRUCTIONS** | kurang benar | kurang benar | "not quite correct, somewhat inaccurate" | *Kurang* softens negation, common in formal and polite discourse to avoid direct contradiction. Implies partial rather than complete absence of the quality. Very productive across truth-domain adjectives as face-saving strategy. | [CORE] |
| **23. HEDGED NEGATION CONSTRUCTIONS** | kurang jujur | kurang jujur | "not quite honest, somewhat dishonest" | *Kurang* softens negation, common in formal and polite discourse to avoid direct contradiction. Implies partial rather than complete absence of the quality. Very productive across truth-domain adjectives as face-saving strategy. | [CORE] |
| **24. EXISTENTIAL TRUTH CONSTRUCTIONS** | benar adanya | benar adanya | "it is true, it truly exists, it is indeed the case" | *Benar adanya* is a fixed phrase confirming that something truly exists or is the case. Common in formal statements and testimony. The pattern is not productive beyond this specific expression with *benar*. | [MARGINAL] |
| **24. EXISTENTIAL TRUTH CONSTRUCTIONS** | (no common expression identified for other roots) | — | — | *Benar adanya* is a fixed phrase confirming that something truly exists or is the case. Common in formal statements and testimony. The pattern is not productive beyond this specific expression with *benar*. | [MARGINAL] |
| **25. VALIDATION AND AUTHORIZATION CONSTRUCTIONS** | mengesahkan | meN- + sah + -kan | "to validate, to legalize, to authorize, to ratify" | *Mengesahkan* (from *sah* "valid") is the primary verb for legal/official validation. *Memvalidasi* uses borrowed suffix *-asi* (from -ation) with borrowed root *valid*. Both common in legal and administrative contexts. Passive forms *disahkan*, *divalidasi* are frequent. | [CORE] |
| **25. VALIDATION AND AUTHORIZATION CONSTRUCTIONS** | memvalidasi | meN- + valid + -asi | "to validate" | *Mengesahkan* (from *sah* "valid") is the primary verb for legal/official validation. *Memvalidasi* uses borrowed suffix *-asi* (from -ation) with borrowed root *valid*. Both common in legal and administrative contexts. Passive forms *disahkan*, *divalidasi* are frequent. | [CORE] |
