# CLCA Protocol v3.4 — P4b Construction Usage & Constraints
# Language: Yoruba (yo)
# Layer: P4b_construction_behavior

---

**Preliminary note:** Ratings and usage notes are based strictly on patterns documented in P4a. No additional constructions are introduced. Where P4a itself signals uncertainty or restricted attestation, that is reflected in the epistemic status below.

---

## Construction Usage & Constraints Table

| Construction Type | Example | Transliteration | Translation | Naturalness Rating | Usage Notes |
| **9. PROPOSITIONAL COMPLEMENT** — *ní ìgbàgbọ́ pé* + clause | *Ó ní ìgbàgbọ́ pé òtítọ́ ni.* | Ó ní ìgbàgbọ́ pé òtítọ́ ni. | "He/she has the conviction that it is the truth." | [CORE] | Used for expressing held belief or conviction; *pé* is obligatory as the complementizer. The nominal *ìgbàgbọ́* is retained as the head of the matrix predicate in this sub-pattern. |
| **9. PROPOSITIONAL COMPLEMENT** — *mọ̀ pé* + clause (with optional epistemic intensifier) | *Mo mọ̀ dájúdájú pé ó ṣẹlẹ̀.* | Mo mọ̀ dájúdájú pé ó ṣẹlẹ̀. | "I know for certain that it happened." | [CORE] | Standard construction for propositional knowledge claims; *pé* is obligatory. The intensifier *dájúdájú* ("certainly, definitely") inserts between the matrix verb and *pé*; its position is fixed per P4a. |
| **9. PROPOSITIONAL COMPLEMENT** — *gbàgbọ́ pé* + clause | (pattern documented; no separate full example given in P4a beyond the negative) | — | "believe that..." | [CORE] | Documented as a standard sub-pattern in P4a alongside *mọ̀ pé*; negation attested as *kò gbàgbọ́ pé...* ("does not believe that..."). No affirmative standalone example is provided in P4a beyond the pattern description. |
| **10. EXISTENTIAL ASSERTION** — Affirmative *wà* | *ìdánilójú wà* | ìdánilójú wà | "There is assurance / confirmation exists" | [CORE] | *wà* as existential predicate is standard Yoruba; attested in legal and evaluative discourse for asserting the presence of abstract entities such as evidence or certainty. |
| **10. EXISTENTIAL ASSERTION** — Affirmative *wà* | *Ẹ̀rí wà tó fi hàn pé...* | Ẹ̀rí wà tó fi hàn pé... | "There is evidence that shows that..." | [CORE] | Standard means of asserting existence of evidence, truth, testimony, or entitlement in legal, moral, and everyday discourse per P4a. |
| **10. EXISTENTIAL ASSERTION** — Negative *kò sí* | *ẹ̀rí kò sí* | ẹ̀rí kò sí | "There is no evidence / proof is absent" | [CORE] | *kò sí* is the standard negative existential; common in legal and disputational contexts. Distinct from the attributive negation pattern (*kò tọ́*) in making an existential rather than predicative claim. |
| **10. EXISTENTIAL ASSERTION** — Negative *kò sí* | *kò sí òtítọ́ nínú ọ̀rọ̀ rẹ̀* | kò sí òtítọ́ nínú ọ̀rọ̀ rẹ̀ | "There is no truth in his/her words" | [CORE] | *kò sí* is the standard negative existential; used to deny the presence of truth, evidence, or justice in a situation. Readily takes relative clause complements (*tó tó* — that is sufficient) and purpose clauses (*láti fi...*). |
| **10. EXISTENTIAL ASSERTION** — Negative *kò sí* (with relative and purpose clause) | *kò sí ẹ̀rí tó tó láti fi dá a lẹ́bi* | kò sí ẹ̀rí tó tó láti fi dá a lẹ́bi | "There is no sufficient evidence to convict him/her" | [CORE] | Extended form of the negative existential with embedded relative (*tó tó*) and purpose clause (*láti fi dá a lẹ́bi*); attested in legal argumentation. Demonstrates the construction's productivity in complex syntactic environments. |
| **10. EXISTENTIAL ASSERTION** — Negative *kò sí* | *Kò sí ẹ̀rí tó tó.* | Kò sí ẹ̀rí tó tó. | "There is no sufficient evidence." | [CORE] | Standard denial of existence; applies to *ẹ̀rí*, *òtítọ́*, *ìjọra*, *ìjẹ́rìísí*, *ẹ̀tọ́* per P4a. The emphatic particle *kankan* ("at all, whatsoever") is attested as a reinforcing element in total negation contexts. |

---

## Alternate Constructions

| Construction Type | Alternate Form | Notes |
|---|---|---|
| **1. ATTRIBUTION** | *jẹ́* + nominal (e.g., *ìjẹ́rìísí rẹ̀ jẹ́ òdodo*) | Attested as the nominal sub-pattern within Construction 1; not an alternate to the stative pattern but a distinct sub-type. |
| **2. NEGATIVE ATTRIBUTION** | *kì í ṣe* + nominal | Attested as the nominal negation sub-pattern; not interchangeable with *kò* + stative. |
| **3. ADNOMINAL MODIFICATION** | Associative linker *tí* in relative-clause modification | P4a notes that the associative linker *tí* appears in relative-clause modification, but this is documented
