# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Finnish (fi)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| tosiasiassa | (no direct antonym; contrast with *teoriassa* "in theory" not in P1) | tosiasiassa / teoriassa | in fact, actually / in theory | Adverbial *tosiasiassa* contrasts with *teoriassa* "in theory" in usage, but *teoriassa* not in P1 vocabulary. Opposition between actual and theoretical/hypothetical implied but not fully represented in P1. | lexical (implied) | [MARGINAL] |
| tosiasioihin perustuva | (no clear antonym in P1) | tosiasioihin perustuva | based on facts | Participial construction lacks clear antonym in P1. Implied contrast with "not based on facts" or "based on speculation" but no established P1 term. Opposition constructional only through negation. | (no clear opposition identified) | [UNCERTAIN] |
| harhaanjohtava | (no simple antonym; contrast with *luotettava*, *paikkansapitävä*) | harhaanjohtava / luotettava | misleading / reliable | *Harhaanjohtava* "misleading" contrasts functionally with reliability/accuracy terms but lacks direct morphological antonym. Opposition semantic rather than formal. Multiple contrasting terms possible. | lexical (functional) | [CORE] |
| vääristää | (no clear antonym; implied contrast with *esittää oikein* "present correctly") | vääristää | distort, falsify | Verb *vääristää* lacks simple antonym. Implied contrast with accurate presentation but no single P1 verb. Opposition expressed through negation (*ei vääristä*) or contrasting constructions. | (no clear opposition identified) | [UNCERTAIN] |
| väärentää | (no direct antonym; contrast with *todentaa* "verify, authenticate") | väärentää / todentaa | forge, counterfeit / verify, authenticate | *Väärentää* "forge" contrasts functionally with *todentaa* "verify/authenticate" but not direct morphological opposition. Different derivational paths from *väärä* and *tosi* roots. Semantic opposition in authentication domain. | lexical (functional) | [CORE] |
| väärinkäsitys | oikea käsitys (not lexicalized in P1) | väärinkäsitys / oikea käsitys | misunderstanding / correct understanding | Compound *väärinkäsitys* "misunderstanding" contrasts with phrase *oikea käsitys* "correct understanding" but latter not lexicalized. Opposition asymmetric: negative form lexicalized, positive form compositional. | lexical vs. constructional | [CORE] |
| väärinkäyttö | oikea käyttö (not lexicalized in P1) | väärinkäyttö / oikea käyttö | misuse, abuse / proper use | Compound *väärinkäyttö* "misuse" contrasts with phrase *oikea käyttö* "proper use" but latter not lexicalized. Similar asymmetry to väärinkäsitys: negative lexicalized, positive compositional. | lexical vs. constructional | [CORE] |
| todiste | (no direct antonym; functional contrast with *väite* "claim") | todiste / väite | proof, evidence / claim, assertion | *Todiste* "evidence" contrasts functionally with *väite* "claim" in argumentative discourse. Evidence supports or refutes claims. Not direct antonyms but complementary in epistemic structure. | lexical (functional) | [CORE] |
| todistaa | väittää | todistaa / väittää | prove, demonstrate / claim, assert | Verbs contrast in epistemic force. *Todistaa* implies establishing truth through evidence; *väittää* neutral regarding truth, merely asserting. Common opposition in argumentative contexts. | lexical | [CORE] |
| kiistaton tosiasia | kiistanalainen väite (implied but *kiistanalainen* not in P1) | kiistaton tosiasia / kiistanalainen väite | indisputable fact / disputed claim | Emphatic *kiistaton tosiasia* "indisputable fact" implies contrast with disputed claims, but *kiistanalainen* "disputed" not in P1 core. Opposition functional but not fully represented. | lexical (implied) | [MARGINAL] |
| tosi (intensifier use) | (no antonym in intensifier function) | tosi hyvä | really good | When *tosi* functions as intensifier (*tosi hyvä* "really good"), it lacks antonym. This use separate from truth-evaluation function. No opposition in intensifier domain. | (no clear opposition identified) | [UNCERTAIN] |
| tosissaan | leikillään (not in P1) | tosissaan / leikillään | seriously, in earnest / jokingly, playfully | Adverbial *tosissaan* "seriously" contrasts with *leikillään* "jokingly" in usage, but *leikillään* not in P1. Opposition between seriousness and playfulness implied but not represented in P1 vocabulary. | lexical (implied) | [MARGINAL] |
| tosielämä | fiktio (not in P1) | tosielämä / fiktio | real life / fiction | Compound *tosielämä* "real life" contrasts with *fiktio* "fiction" in media/narrative contexts, but *fiktio* not in P1. Opposition between reality and fiction fundamental but not fully represented. | lexical (implied) | [MARGINAL] |
| tositarina | fiktio, satutarina (not in P1) | tositarina / satutarina | true story / fairy tale, fiction | Compound *tositarina* "true story" contrasts with fictional narratives, but specific antonyms not in P1. Opposition functional in narrative classification but not lexically represented in P1. | lexical (implied) | [MARGINAL] |
| oikea nimi | nimimerkki, salanimi (not in P1) | oikea nimi / nimimerkki | real name / pseudonym | Collocation *oikea nimi* "real name" contrasts with *nimimerkki* "pseudonym" or *salanimi* "alias," but these not in P1. Opposition between authentic and assumed identity implied. | lexical (implied) | [MARGINAL] |
| väärä hälytys | aito hälytys (not lexicalized in P1) | väärä hälytys / aito hälytys | false alarm / real alarm | Fixed collocation *väärä hälytys* "false alarm" contrasts with *aito hälytys* "real alarm" but latter not lexicalized in P1. Opposition asymmetric: false alarm lexicalized, real alarm compositional. | lexical vs. constructional | [CORE] |
