| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| uskottava | uskottava | believable, credible (from *uskoa* "to believe" + passive participle) | believable, credible, plausible | Describes statements or persons that can be believed or appear credible. Common in evaluations of testimony and claims (*uskottava selitys* "credible explanation"). | [CORE] |
| epärehellinen | epärehellinen | dishonest (prefix *epä-* + *rehellinen* "honest") | dishonest, untruthful | Describes persons or actions characterized by dishonesty. Common in moral evaluation (*epärehellinen kauppias* "dishonest merchant"). | [CORE] |
| todentaa | todentaa | to verify, to authenticate (causative verb from *tosi* root) | to verify, to authenticate, to confirm | Verb meaning to establish or confirm the truth or authenticity of something. Common in administrative and technical contexts (*todentaa henkilöllisyys* "verify identity"). | [CORE] |
| väittää | väittää | to claim, to assert | to claim, to assert, to maintain | Verb meaning to make a claim or assertion, often without immediate proof. Neutral term that doesn't presuppose truth or falsity (*hän väittää olevansa syytön* "he/she claims to be innocent"). | [CORE] |
| todenperäinen | todenperäinen | truthful, veracious (compound: *toden* "truth's" + *peräinen* "based on") | truthful, veracious, true | Describes accounts or statements that are based on truth. Somewhat formal, used in evaluating narratives and testimonies (*todenperäinen kertomus* "truthful account"). | [CORE] |
| tosiasiallinen | tosiasiallinen | actual, factual, de facto | actual, factual, de facto | Used to describe what actually exists or occurs in practice, as opposed to theoretical or nominal status. Common in legal, administrative, and analytical contexts (*tosiasiallinen tilanne* "actual situation," *tosiasiallinen valta* "de facto power"). | [CORE] |
| tosiasiassa | tosiasiassa | in fact, actually, as a matter of fact | in fact, actually, as a matter of fact | Adverbial expression used to introduce or emphasize factual information, often contrasting with appearances or assumptions. Very common in both spoken and written Finnish (*tosiasiassa hän oli oikeassa* "in fact, he was right"). | [CORE] |
| tosiasia | tosiasia | fact | fact | Noun referring to an established or verifiable piece of information. Fundamental term in factual discourse (*kiistaton tosiasia* "indisputable fact," *tosiasiat puhuvat puolestaan* "the facts speak for themselves"). | [CORE] |
| tosielämä | tosielämä | real life | real life | Refers to actual lived experience as opposed to fiction, simulation, or theoretical scenarios. Common in everyday speech and media (*tosielämän sankari* "real-life hero," *tosielämässä* "in real life"). | [CORE] |
| tositarina | tositarina | true story | true story | Narrative based on actual events. Common in media, literature, and everyday storytelling (*elokuva perustuu tositarinaan* "the film is based on a true story"). | [CORE] |
| tosimies | tosimies | real man, true man | real man, true man | Refers to an authentic or genuine man, often with connotations of traditional masculinity or moral character. Used in character evaluation and gender discourse. | [CORE] |
| tosissaan | tosissaan | seriously, in earnest | seriously, in earnest | Adverbial expression indicating seriousness or genuine intent, as opposed to joking or pretending (*hän puhui tosissaan* "he spoke seriously," *olla tosissaan* "to be serious"). | [CORE] |
| todellisuus | todellisuus | reality | reality | Abstract noun referring to the state of things as they actually exist. Fundamental philosophical and everyday term (*todellisuudessa* "in reality," *virtuaalitodellisuus* "virtual reality"). | [CORE] |
| todellistaa | todellistaa | to realize, to actualize, to make real | to realize, to actualize, to make real | Verb meaning to bring something into actual existence or to fulfill. Common in contexts of goals and plans (*todellistaa unelmansa* "realize one's dreams"). | [CORE] |
| todellistua | todellistua | to come true, to be realized | to come true, to be realized | Intransitive verb meaning to become real or actual. Used for predictions, hopes, and plans (*ennustus todellistui* "the prediction came true"). | [CORE] |
| todistaja | todistaja | witness | witness | Person who testifies or bears witness to something. Central term in legal contexts (*silminnäkijätodistaja* "eyewitness," *kutsua todistaja* "call a witness"). | [CORE] |
| todistus | todistus | certificate, testimony, proof | certificate, testimony, proof | Document or statement that certifies or proves something. Common in administrative and educational contexts (*työtodistus* "employment certificate," *koulutodistus* "school certificate"). | [CORE] |
| todistusaineisto | todistusaineisto | body of evidence, evidentiary material | body of evidence, evidentiary material | Collection of evidence or proof. Legal and investigative term (*kerätä todistusaineistoa* "gather evidence"). | [CORE] |
| todistustaakka | todistustaakka | burden of proof | burden of proof | Legal term referring to the obligation to prove one's claims (*todistustaakka on syyttäjällä* "the burden of proof lies with the prosecutor"). | [CORE] |
| todistuskappale | todistuskappale | piece of evidence, exhibit | piece of evidence, exhibit | Individual item presented as evidence. Legal and forensic term (*esittää todistuskappale* "present a piece of evidence"). | [CORE] |
| todennäköinen | todennäköinen | probable, likely | probable, likely | Describes something that appears true or is likely to occur. Common in probability assessments (*todennäköinen selitys* "probable explanation," *on todennäköistä että* "it is probable that"). | [CORE] |
| todennäköisyys | todennäköisyys | probability, likelihood | probability, likelihood | Abstract noun referring to the degree of likelihood. Used in statistics, everyday reasoning, and risk assessment (*suuri todennäköisyys* "high probability"). | [CORE] |
| todennäköisesti | todennäköisesti | probably, likely | probably, likely | Adverb indicating probability. Very common in predictions and assessments (*hän tulee todennäköisesti huomenna* "he will probably come tomorrow"). | [CORE] |
| todeta | todeta | to state, to note, to observe, to ascertain | to state, to note, to observe, to ascertain | Verb meaning to establish or state something as fact. Common in formal and neutral reporting (*todeta tosiasiat* "state the facts," *lääkäri totesi kuoleman* "the doctor pronounced death"). | [CORE] |
| toteamus | toteamus | statement, observation, finding | statement, observation, finding | Noun referring to a stated observation or conclusion. Used in formal and analytical contexts (*tehdä toteamus* "make a statement"). | [CORE] |
| toteutua | toteutua | to come true, to be realized, to materialize | to come true, to be realized, to materialize | Intransitive verb meaning to become actual or real. Common for plans, predictions, and hopes (*suunnitelma toteutui* "the plan was realized"). | [CORE] |
| toteutus | toteutus | realization, implementation, execution | realization, implementation, execution | Noun referring to the process or result of making something real. Common in project management and planning contexts (*hankkeen toteutus* "project implementation"). | [CORE] |
| toteuttaa | toteuttaa | to realize, to implement, to carry out | to realize, to implement, to carry out | Transitive verb meaning to make something real or to execute a plan. Very common in planning and action contexts (*toteuttaa päätös* "implement a decision"). | [CORE] |
| toteuttaminen | toteuttaminen | realization, implementation | realization, implementation | Gerund form referring to the act or process of implementing. Common in formal and planning discourse (*suunnitelman toteuttaminen* "implementation of the plan"). | [CORE] |
| todentua | todentua | to be verified, to be confirmed | to be verified, to be confirmed | Intransitive verb meaning to become verified or confirmed. More formal than toteutua (*epäilyt todentuivat* "the suspicions were confirmed"). | [CORE] |
| todentaminen | todentaminen | verification, authentication | verification, authentication | Gerund form referring to the act of verifying. Common in administrative and technical contexts (*henkilöllisyyden todentaminen* "identity verification"). | [CORE] |
| tosiasiallisuus | tosiasiallisuus | factuality, actuality | factuality, actuality | Abstract noun referring to the quality of being factual or actual. Formal term used in analytical and philosophical contexts. | [CORE] |
| tosipohjainen | tosipohjainen | based on facts, fact-based | based on facts, fact-based | Adjective describing something grounded in actual facts. Common in media and academic contexts (*tosipohjainen draama* "fact-based drama"). | [CORE] |
| tosiasioihin perustuva | tosiasioihin perustuva | based on facts, fact-based | based on facts, fact-based | Participial phrase describing something founded on facts. Common in formal and analytical discourse (*tosiasioihin perustuva päätös* "fact-based decision"). | [CORE] |
| tosikko | tosikko | overly serious person, someone who can't take a joke | overly serious person, someone who can't take a joke | Informal, somewhat pejorative term for someone who is excessively serious or literal-minded. Used in casual speech (*älä ole noin tosikko* "don't be such a stick in the mud"). | [MARGINAL] |
| tosi-tv | tosi-tv | reality TV | reality TV | Television programming purporting to show real people and situations. Borrowed compound common in media discourse (*tosi-tv-ohjelma* "reality TV show"). | [CORE] |
| tosirakkauden | tosirakkauden | true love | true love | Genuine, authentic romantic love. Common in romantic discourse and literature (*löytää tosirakkauden* "find true love"). | [CORE] |
| tosiystävä | tosiystävä | true friend, real friend | true friend, real friend | Genuine, loyal friend as opposed to superficial acquaintances. Common in evaluating relationships (*hän on tosiystävä* "he/she is a true friend"). | [CORE] |
| tosiaankin | tosiaankin | indeed, really, truly | indeed, really, truly | Emphatic particle used to confirm or emphasize truth. Common in both spoken and written Finnish (*se oli tosiaankin vaikeaa* "it was indeed difficult"). | [CORE] |
| todistettavasti | todistettavasti | provably, demonstrably | provably, demonstrably | Adverb indicating that something can be proven or demonstrated. Used in argumentative and analytical contexts (*todistettavasti väärä* "demonstrably false"). | [CORE] |
| oikeasti | oikeasti | really, actually, truly | really, actually, truly | Adverb emphasizing reality or genuineness, often contrasting with pretense or appearance. Very common in everyday speech (*mitä oikeasti tapahtui?* "what really happened?"). | [CORE] |
| oikein | oikein | correctly, right, properly; really, very (intensifier) | correctly, right, properly; really, very | Polysemous adverb meaning both "correctly" and serving as an intensifier. Extremely common in all registers (*tehdä oikein* "do correctly," *oikein hyvä* "really good"). | [CORE] |
| oikeellisuus | oikeellisuus | correctness, accuracy | correctness, accuracy | Abstract noun referring to the quality of being correct. Common in formal and technical contexts (*kielellinen oikeellisuus* "linguistic correctness"). | [CORE] |
| oikeakielisyys | oikeakielisyys | linguistic correctness, proper language use | linguistic correctness, proper language use | Refers to adherence to standard language norms. Used in linguistic and educational contexts (*oikeakielisyysohjeet* "language correctness guidelines"). | [CORE] |
| oikeaoppinen | oikeaoppinen | orthodox, doctrinally correct | orthodox, doctrinally correct | Describes adherence to correct doctrine or teaching, especially in religious contexts. Also used metaphorically for strict adherence to principles (*oikeaoppinen kristitty* "orthodox Christian"). | [CORE] |
| oikeamielinen | oikeamielinen | righteous, right-minded, just | righteous, right-minded, just | Describes someone with proper moral attitudes or just intentions. Used in moral and character evaluation (*oikeamielinen tuomari* "righteous judge"). | [CORE] |
| oikeutettu | oikeutettu | justified, warranted, entitled | justified, warranted, entitled | Participial adjective meaning justified or having legitimate grounds. Common in moral and legal reasoning (*oikeutettu vaatimus* "justified demand"). | [CORE] |
| oikeuttaa | oikeuttaa | to justify, to warrant, to entitle | to justify, to warrant, to entitle | Verb meaning to provide justification or legitimate grounds for something. Common in moral and legal discourse (*oikeuttaa toimensa* "justify one's actions"). | [CORE] |
| oikeutus | oikeutus | justification, authorization | justification, authorization | Noun referring to grounds for justification or authorization. Used in moral, legal, and administrative contexts (*moraalinen oikeutus* "moral justification"). | [CORE] |
| oikea-aikainen | oikea-aikainen | timely, well-timed | timely, well-timed | Describes something occurring at the right or appropriate time. Common in planning and evaluation contexts (*oikea-aikainen interventio* "timely intervention"). | [MARGINAL] |
| oikeanlainen | oikeanlainen | right kind of, proper kind of | right kind of, proper kind of | Describes something being of the correct or appropriate type. Common in specifications and evaluations (*oikeanlainen asenne* "the right kind of attitude"). | [CORE] |
| oikeanpuoleinen | oikeanpuoleinen | right-hand, on the right side | right-hand, on the right side | Describes spatial location on the right side. Common in directional and anatomical contexts (*oikeanpuoleinen käsi* "right-hand side"). | [MARGINAL] |
| oikeakätinen | oikeakätinen | right-handed | right-handed | Describes someone who predominantly uses their right hand. Common in everyday and medical contexts (*olla oikeakätinen* "to be right-handed"). | [MARGINAL] |
| oikea nimi | oikea nimi | real name, true name | real name, true name | Fixed collocation referring to someone's actual name as opposed to a pseudonym or nickname (*mikä on hänen oikea nimensä?* "what is his/her real name?"). | [CORE] |
| oikea vastaus | oikea vastaus | correct answer, right answer | correct answer, right answer | Fixed collocation for the correct response to a question. Very common in educational contexts (*antaa oikea vastaus* "give the correct answer"). | [CORE] |
| oikeaan osui | oikeaan osui | hit the mark, got it right | hit the mark, got it right | Idiomatic expression meaning to be correct or accurate. Used in everyday speech (*arvaus osui oikeaan* "the guess was right"). | [CORE] |
| oikeassa | oikeassa | right, correct (in being right) | right, correct | Fixed expression meaning to be correct in one's position or statement. Very common (*olla oikeassa* "to be right," *sinä olit oikeassa* "you were right"). | [CORE] |
| oikeustiede | oikeustiede | jurisprudence, legal science | jurisprudence, legal science | Academic discipline studying law. Used in educational and professional contexts (*opiskella oikeustiedettä* "study law"). | [MARGINAL] |
| oikeus | oikeus | right, justice, law, court | right, justice, law, court | Highly polysemous noun meaning legal right, justice, law as a system, or court. Fundamental term in legal and moral discourse (*ihmisoikeudet* "human rights," *oikeudenkäynti* "trial"). | [MARGINAL] |
| oikeudenmukaisuus | oikeudenmukaisuus | justice, fairness | justice, fairness | Abstract noun referring to the quality of being just or fair. Central term in moral and political philosophy (*sosiaalinen oikeudenmukaisuus* "social justice"). | [MARGINAL] |
| väärin | väärin | wrongly, incorrectly, falsely | wrongly, incorrectly, falsely | Adverb indicating incorrect manner or false action. Very common in everyday speech (*ymmärtää väärin* "misunderstand," *tehdä väärin* "do wrong"). | [CORE] |
| vääryys | vääryys | injustice, wrong, wrongdoing | injustice, wrong, wrongdoing | Noun referring to an unjust act or state of injustice. Common in moral and legal discourse (*kärsiä vääryyttä* "suffer injustice"). | [CORE] |
| väärinkäsitys | väärinkäsitys | misunderstanding, misconception | misunderstanding, misconception | Noun referring to incorrect understanding or interpretation. Very common in communication contexts (*selvittää väärinkäsitys* "clear up a misunderstanding"). | [CORE] |
| väärinkäyttö | väärinkäyttö | misuse, abuse | misuse, abuse | Noun referring to improper or harmful use of something. Common in legal and ethical contexts (*vallan väärinkäyttö* "abuse of power"). | [CORE] |
| väärinkäyttää | väärinkäyttää | to misuse, to abuse | to misuse, to abuse | Verb meaning to use something improperly or harmfully. Common in legal and ethical discourse (*väärinkäyttää luottamusta* "abuse trust"). | [CORE] |
| vääristymä | vääristymä | distortion, deformation | distortion, deformation | Noun referring to the result of distortion or deformation. Used in technical, medical, and analytical contexts (*kuvan vääristymä* "image distortion"). | [CORE] |
| vääristyä | vääristyä | to become distorted, to be distorted | to become distorted, to be distorted | Intransitive verb meaning to undergo distortion. Common in describing changes to form or meaning (*totuus vääristyy* "the truth becomes distorted"). | [CORE] |
| vääristely | vääristely | distortion, falsification | distortion, falsification | Noun referring to the act or result of distorting. Common in critical discourse (*totuuden vääristely* "distortion of truth"). | [CORE] |
| väärentää | väärentää | to forge, to counterfeit, to falsify | to forge, to counterfeit, to falsify | Verb meaning to create false copies or falsify documents. Legal and criminal term (*väärentää allekirjoitus* "forge a signature"). | [CORE] |
| väärennös | väärennös | forgery, counterfeit, fake | forgery, counterfeit, fake | Noun referring to a forged or counterfeit item. Common in legal and art contexts (*taulun väärennös* "forgery of a painting"). | [CORE] |
| väärennösrikos | väärennösrikos | forgery (crime), counterfeiting | forgery, counterfeiting | Legal term for the crime of forgery. Used in criminal law contexts (*syyttää väärennösrikoksesta* "charge with forgery"). | [CORE] |
| vääräleuka | vääräleuka | underbite, prognathism | underbite, prognathism | Medical/dental term for jaw misalignment. Used in medical contexts. | [MARGINAL] |
| väärähammas | väärähammas | false tooth, denture | false tooth, denture | Dental term for artificial tooth. Common in medical and everyday contexts (*laittaa väärähammas* "get a false tooth"). | [MARGINAL] |
| vääränlainen | vääränlainen | wrong kind of, improper kind of | wrong kind of, improper kind of | Describes something being of an incorrect or inappropriate type. Common in evaluations (*vääränlainen asenne* "the wrong kind of attitude"). | [CORE] |
| väärässä | väärässä | wrong, mistaken (in being wrong) | wrong, mistaken | Fixed expression meaning to be incorrect in one's position or statement. Very common (*olla väärässä* "to be wrong," *olit väärässä* "you were wrong"). | [CORE] |
| vääräuskoinen | vääräuskoinen | heretic, heterodox | heretic, heterodox | Religious term for someone holding incorrect or heretical beliefs. Used in religious and historical contexts (*vääräuskoiset* "heretics"). | [MARGINAL] |
| vääräoppisuus | vääräoppisuus | heresy, heterodoxy | heresy, heterodoxy | Religious term for incorrect doctrine. Used in theological and historical contexts (*syyttää vääräoppisuudesta* "accuse of heresy"). | [MARGINAL] |
| väärä hälytys | väärä hälytys | false alarm | false alarm | Fixed collocation for an alarm triggered without actual danger. Common in emergency and everyday contexts (*se oli väärä hälytys* "it was a false alarm"). | [CORE] |
| väärä todistus | väärä todistus | false testimony, perjury | false testimony, perjury | Legal term for deliberately false testimony. Used in legal contexts (*antaa väärä todistus* "give false testimony"). | [CORE] |
| väärä vala | väärä vala | perjury, false oath | perjury, false oath | Legal term for swearing falsely under oath. Used in legal contexts (*vannoa väärä vala* "commit perjury"). | [CORE] |
| vääräpäinen | vääräpäinen | stubborn, obstinate, wrongheaded | stubborn, obstinate, wrongheaded | Describes someone stubbornly adhering to wrong ideas. Used in character evaluation (*vääräpäinen ihminen* "stubborn person"). | [MARGINAL] |
