1. **totoo**  
    **Typical English translations:** fake; counterfeit; bogus

    **Usage:** *Pekeng* is the common attributive form used before nouns to mark something as not genuine. It is frequent in everyday and legal-commercial contexts, as in *pekeng dokumento* or *pekeng produkto*.  
    **Epistemic status:** [CORE]

17. **peke**  
    **Transliteration:** peke  
    **Literal meaning / morphology:** basic lexical form  
    **Typical English translations:** fake; counterfeit; false

    **Usage:** *Peke* is widely used for objects, documents, identities, and even emotions judged to be not genuine. It can also be used predicatively, as in *Peke iyan* or *peke ang pirma*.  
    **Epistemic status:** [CORE]

18. **huwad**  
    **Transliteration:** huwad  
    **Literal meaning / morphology:** basic lexical form  
    **Typical English translations:** counterfeit; spurious; false; fake

    **Usage:** *Huwad* is a more formal or literary term than *peke*, often used in legal, journalistic, and official contexts. It commonly modifies documents, testimony, identity, or art objects, as in *huwad na salapi* or *huwad na pagkakakilanlan*.  
    **Epistemic status:** [CORE]

19. **totoong**  
    **Transliteration:** totoong  
    **Literal meaning / morphology:** ligatured form of *totoo*  
    **Typical English translations:** true; real; genuine

    **Usage:** *Totoong* is the common attributive form before nouns and is very frequent in both speech and writing. It appears in phrases like *totoong balita*, *totoong pangalan*, and *totoong nangyari*.  
    **Epistemic status:** [CORE]

20. **akma**  
    **Transliteration:** akma  
    **Literal meaning / morphology:** basic lexical form  
    **Typical English translations:** fitting; appropriate; suitable; apt

    **Usage:** *Akma* is used when something matches, suits, or corresponds properly to a situation, standard, or model. It can evaluate wording, behavior, artistic form, or legal response, as in *akmang parusa* or *akmang paglalarawan*.  
    **Epistemic status:** [CORE]

21. **angkop**  
    **Transliteration:** angkop  
    **Literal meaning / morphology:** basic lexical form  
    **Typical English translations:** appropriate; suitable; fitting

    **Usage:** *Angkop* overlaps with *akma* and *wasto* but often emphasizes suitability to context or purpose. It is common in educational, moral, and formal registers, as in *angkop na kasuotan* or *angkop na pananalita*.  
    **Epistemic status:** [CORE]

22. **salig**  
    **Transliteration:** salig  
    **Literal meaning / morphology:** basic lexical form  
    **Typical English translations:** trust; reliance; confidence; basis

    **Usage:** In Tagalog, *salig* is mostly encountered in formal compounds and expressions involving reliance or grounding, such as *mapananaligan* and *walang saligan*. It relates to whether a claim, judgment, or confidence has a dependable basis.  
    **Epistemic status:** [MARGINAL]

23. **saligan**  
    **Transliteration:** saligan  
    **Literal meaning / morphology:** from *salig* + *-an*; “basis; foundation”  
    **Typical English translations:** basis; foundation; grounds

    **Usage:** *Saligan* is used in formal and academic language for the basis or grounding of a claim, argument, or judgment. It is common in phrases like *walang saligan ang paratang* and *saligang prinsipyo*.  
    **Epistemic status:** [CORE]

24. **walang saligan**  
    **Transliteration:** walang saligan  
    **Literal meaning / morphology:** “without basis/foundation”  
    **Typical English translations:** baseless; unfounded; groundless

    **Usage:** This fixed expression is common in legal, journalistic, and argumentative contexts for accusations, rumors, or conclusions lacking evidence or justification. It directly evaluates a representation or claim as unsupported, as in *walang saligang akusasyon*.  
    **Epistemic status:** [CORE]

25. **beripikado**  
    **Transliteration:** beripikado  
    **Literal meaning / morphology:** borrowing from English “verified”  
    **Typical English translations:** verified; authenticated; confirmed

    **Usage:** *Beripikado* is used in media, bureaucracy, and digital contexts for information, accounts, or documents that have been checked and confirmed. It is especially common in contemporary institutional language, though less native in form than older Tagalog vocabulary.  
    **Epistemic status:** [CORE]

26. **beripikahin**  
    **Transliteration:** beripikahin  
    **Literal meaning / morphology:** borrowed stem + *-hin*; “to verify”  
    **Typical English translations:** verify; check; authenticate

    **Usage:** This verb is used for checking the truth, accuracy, or authenticity of information, identity, or records. It is common in administrative, journalistic, and online-safety contexts, as in *beripikahin ang impormasyon*.  
    **Epistemic status:** [CORE]

27. **wasto ba**  
    **Transliteration:** wasto ba  
    **Literal meaning / morphology:** “correct/proper + question particle”  
    **Typical English translations:** is it correct?; is it proper?

    **Usage:** This fixed interrogative expression is used when asking whether a statement, form, action, or procedure is correct or proper. It is especially natural in instructional and evaluative settings, though it remains compositionally transparent.  
    **Epistemic status:** [MARGINAL]

28. **sa totoo lang**  
    **Transliteration:** sa totoo lang  
    **Literal meaning / morphology:** “in the true only / to tell the truth”  
    **Typical English translations:** honestly; to tell the truth; in truth

    **Usage:** This is a very common discourse expression used to frame a statement as candid or truthful. It often introduces personal evaluation, admission, or correction, as in *Sa totoo lang, hindi ako kumbinsido*.  
    **Epistemic status:** [CORE]
