# CLCA Protocol v3.4 — F4 Construction Table
# Language: Sanskrit (sa)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| **5. CAUSATIVE** | मृषा करोति | mṛṣā karoti | makes false, falsifies | Attested but less common than other strategies. Verification/falsification more commonly expressed through passive constructions or dedicated verbs. | [MARGINAL] |
| **6. ABSTRACT NOMINALIZATION** | सत्यता | satyatā | truthfulness, truth (quality) | Highly productive with -tā/-tva suffixation. No restrictions on base adjectives. Both suffixes fully acceptable. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | प्रामाण्यम् | prāmāṇyam | validity, authoritativeness | Vṛddhi-grade derivatives (prāmāṇya from pramāṇa) common in technical philosophical vocabulary. Standard in epistemological discourse. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | सत्यवादिन् | satyavādin | truth-speaker, truthful person | Extremely productive compound pattern with -vādin. Used across ethical, legal, and narrative contexts without restriction. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | मृषावादिन् | mṛṣāvādin | liar, one who speaks falsely | Parallel productivity with negative/false terms. No register restrictions. Standard term for "liar" in ethical/legal contexts. | [CORE] |
| **8. VERBAL COMPLEMENTATION (SPEECH VERBS)** | सत्यं वदति | satyaṃ vadati | speaks truth, tells the truth | Extremely common across all registers. Accusative internal object construction fully productive with all speech verbs. | [CORE] |
| **8. VERBAL COMPLEMENTATION (SPEECH VERBS)** | मृषा वदति | mṛṣā vadati | speaks falsely, lies | Adverbial manner modification equally productive. Standard expression for lying. No contextual restrictions. | [CORE] |
| **9. EPISTEMIC VERB COMPLEMENTATION** | यथार्थं जानाति | yathārthaṃ jānāti | knows accurately, knows truly | Productive with all cognitive verbs. Common in both philosophical and general contexts. No restrictions observed. | [CORE] |
| **9. EPISTEMIC VERB COMPLEMENTATION** | मिथ्या जानाति | mithyā jānāti | knows falsely, has false knowledge | Manner adverbs modify cognitive verbs freely. Particularly common in epistemological discussions of error/illusion. | [CORE] |
| **10. INSTRUMENTAL OF MEANS/MANNER** | सत्येन विजयते | satyena vijayate | conquers by truth, triumphs through truth | Extremely productive construction. Used across ethical, philosophical, and narrative contexts. No restrictions. | [CORE] |
| **10. INSTRUMENTAL OF MEANS/MANNER** | प्रमाणेन सिद्धम् | pramāṇena siddham | established by valid means, proven | Standard construction in philosophical/logical discourse for expressing evidential basis. Completely productive. | [CORE] |
| **11. ABLATIVE OF SOURCE/STANDARD** | भ्रमात् उत्पन्नम् | bhramāt utpannam | arisen from error, caused by confusion | Common in causal explanations across all registers. Productive with all truth/error terms. | [CORE] |
| **11. ABLATIVE OF SOURCE/STANDARD** | धर्मात् न चलितव्यम् | dharmāt na chalitavyam | one should not deviate from dharma | Standard construction for expressing deviation from standards. Common in prescriptive/ethical contexts. | [CORE] |
| **12. GERUNDIVE OBLIGATION** | सत्यं वक्तव्यम् | satyaṃ vaktavyam | truth must be spoken | Extremely common in dharmaśāstra and ethical instruction. Fully productive with all verbal roots. | [CORE] |
| **12. GERUNDIVE OBLIGATION** | मृषा न वक्तव्यम् | mṛṣā na vaktavyam | falsehood must not be spoken | Negative gerundive construction standard for prohibitions. No register restrictions. | [CORE] |
| **13. CONTRASTIVE COORDINATION** | सत्यं वा असत्यं वा | satyaṃ vā asatyaṃ vā | whether true or false | Common in presenting alternatives or exhaustive options. Used across all contexts. | [CORE] |
| **13. CONTRASTIVE COORDINATION** | धर्माधर्मौ | dharmādharmau | dharma and adharma, right and wrong | Dvandva dual compounds for paired opposites extremely common in philosophical texts. Standard pattern for conceptual pairs. | [CORE] |
| **14. LOCATIVE OF DOMAIN/SPHERE** | धर्मे स्थितः | dharme sthitaḥ | standing in dharma, established in righteousness | Common with verbs of standing/remaining. Used across ethical and philosophical contexts. | [CORE] |
| **14. LOCATIVE OF DOMAIN/SPHERE** | तत्त्वे | tattve | in reality, with respect to truth | Locative expressing "with respect to" fully productive. Common in philosophical analysis. | [CORE] |
| **15. INTERROGATIVE CHALLENGE** | किं प्रमाणम् | kiṃ pramāṇam | what is the proof/authority? | Extremely common in philosophical debate and dialectical contexts. Standard challenge formula. | [CORE] |
| **15. INTERROGATIVE CHALLENGE** | कथं तत् सत्यम् | kathaṃ tat satyam | how is that true? | Productive with all interrogatives. Used across argumentative and narrative contexts. | [CORE] |
| **16. EMPHATIC ASSERTION** | सत्यमेव जयते | satyam eva jayate | truth alone conquers | Particle eva extremely common for emphasis. This specific phrase is famous Upaniṣadic motto, but pattern fully productive. | [CORE] |
| **16. EMPHATIC ASSERTION** | मिथ्यैव | mithyaiva | falsely indeed, merely illusory | Eva with negative/false terms equally productive. Common in Vedāntic contexts for emphasizing illusory nature. | [CORE] |
| **17. COMPARATIVE CONSTRUCTION** | अस्मात् सत्यतरम् | asmāt satyataram | truer than this | Comparative -tara suffix productive but less commonly applied to truth-domain adjectives than to scalar adjectives. Context-dependent acceptability. | [MARGINAL] |
| **17. COMPARATIVE CONSTRUCTION** | प्रत्यक्षात् अनुमानम् अल्पप्रामाण्यम् | pratyakṣāt anumānam alpaprāmāṇyam | inference has less validity than perception | Ablative comparison with explicit degree terms (alpa, adhika) common in philosophical texts comparing epistemic sources. | [CORE] |
| **18. RESULTATIVE/EVIDENTIAL CONSTRUCTION** | प्रत्यक्षेण दृष्टम् | pratyakṣeṇa dṛṣṭam | seen by perception, directly perceived | Standard construction in epistemological contexts. Instrumental + passive participle fully productive for expressing evidential basis. | [CORE] |
| **18. RESULTATIVE/EVIDENTIAL CONSTRUCTION** | प्रमाणेन सिद्धम् | pramāṇena siddham | established by valid means, proven | Extremely common in philosophical argumentation. No restrictions. Standard formula for validated knowledge. | [CORE] |
| **19. CONDITIONAL TRUTH** | यदि सत्यम् तदा धर्मः | yadi satyam tadā dharmaḥ | if true, then (it is) dharma | Standard conditional construction. Used across all registers for hypothetical reasoning. | [CORE] |
| **19. CONDITIONAL TRUTH** | सत्ये सति धर्मः भवति | satye sati dharmaḥ bhavati | truth existing, dharma arises | Locative absolute construction common in philosophical texts for expressing conditions. Slightly more formal than yadi...tadā. | [CORE] |
| **20. NEGATIVE EXISTENTIAL (ABSENCE OF TRUTH)** | प्रमाणाभावात् | pramāṇābhāvāt | due to absence of proof | Abhāva-compounds extremely productive. Common in philosophical refutation and causal reasoning. | [CORE] |
| **20. NEGATIVE EXISTENTIAL (ABSENCE OF TRUTH)** | न सत्यम् अस्ति | na satyam asti | there is no truth | Simple negative existential fully productive. Used across all contexts without restriction. | [CORE] |
