# CLCA Protocol v3.4 — F4 Construction Table
# Language: Korean (ko)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| **8. VERBAL COLLOCATIONS** | 진실을 말하다 | jinsireul malhada | to tell the truth | Highly productive pattern across multiple verbs (말하다, 밝히다, 숨기다, 알다, 찾다, 확인하다). Essential construction type in everyday usage | [CORE] |
| **8. VERBAL COLLOCATIONS** | 사실을 밝히다 | sasireul balkhida | to reveal the facts | Different nouns show verb preferences; e.g., 진위 strongly prefers 가리다 "distinguish" | [CORE] |
| **9. ADVERBIAL EXPRESSIONS** | 진실로 | jinsilro | truly, truthfully | Productive with both Sino-Korean (진실로, 실제로) and native Korean (거짓으로, 진짜로) roots. Creates manner adverbs indicating how action is performed. Very common in everyday speech and formal writing | [CORE] |
| **9. ADVERBIAL EXPRESSIONS** | 거짓으로 | geojiseuro | falsely, by deception | Productive with both Sino-Korean and native Korean roots | [CORE] |
| **10. CONTRASTIVE CONSTRUCTIONS** | 진실과 거짓 | jinsilgwa geojit | truth and falsehood | Highly conventionalized pairings used in philosophical discourse, investigations, and everyday evaluation. Fixed pairs include 진실과 거짓, 참과 거짓, 진짜와 가짜. Reflects cultural emphasis on distinguishing truth from falsehood | [CORE] |
| **10. CONTRASTIVE CONSTRUCTIONS** | 진짜인지 가짜인지 | jinjjainji gajjainji | whether real or fake | Highly conventionalized pairings | [CORE] |
| **11. DISCOURSE MARKERS** | 사실은 | sasireun | in fact, actually, to tell the truth | 사실은 extremely common as discourse marker introducing factual information or corrections. These function beyond truth-evaluation as discourse organizers in natural conversation | [CORE] |
| **11. DISCOURSE MARKERS** | 솔직히 말하면 | soljikhi malhamyeon | frankly speaking, to be honest | 솔직히 (말하면) introduces candid statements | [CORE] |
| **12. INTENSIFICATION CONSTRUCTIONS** | 진짜 진짜 | jinjja jinjja | really really, for real for real | Reduplication common in colloquial speech for emphasis. All highly natural in appropriate registers | [CORE] |
| **12. INTENSIFICATION CONSTRUCTIONS** | 거짓투성이 | geojittuseongi | full of lies, riddled with falsehood | Suffix -투성이 creates saturation expressions. Suffix -배기 creates emphatic forms (진짜배기 "the real deal") | [CORE] |
| **13. EVIDENTIAL/EPISTEMIC CONSTRUCTIONS** | 진실일 틀림없다 | jinsiril teullimeopda | must be true, certainly true | 틀림없다 (literally "without mistake") expresses strong epistemic certainty. Common in assertions, predictions, and evaluative contexts | [CORE] |
| **13. EVIDENTIAL/EPISTEMIC CONSTRUCTIONS** | 확실히 알다 | hwaksilhi alda | to know for certain | Adverbs 확실히, 분명히 modify verbs to indicate speaker's confidence level | [CORE] |
| **14. RESULTATIVE CONSTRUCTIONS** | 진실이 밝혀지다 | jinsiri balkhyeojida | the truth is revealed | Common in investigative and narrative contexts describing truth being revealed. Both 밝혀지다 (passive of 밝히다) and 드러나다 (intransitive "emerge") are natural. Reflects cultural narrative of hidden truth being uncovered | [CORE] |
| **14. RESULTATIVE CONSTRUCTIONS** | 진실이 드러나다 | jinsiri deureonada | the truth emerges, comes to light | Common in investigative and narrative contexts | [CORE] |
| **15. COMPARATIVE CONSTRUCTIONS** | (no common expression identified) | — | — | Truth-domain terms rarely appear in degree comparisons. Truth treated as categorical rather than gradable. Expressions like *더 진실하다 "more truthful" are grammatical but uncommon. Precision terms (정확하다) show some gradability, but core truth terms resist comparison | [MARGINAL] |
| **16. CONDITIONAL CONSTRUCTIONS** | 진실이라면 | jinsiramyeon | if it is true, if it is the truth | Common in hypothetical reasoning and conditional arguments. Used when reasoning from assumption of truth or falsehood. Frequently appears in investigative and analytical discourse. Fully productive with all truth-domain nouns | [CORE] |
| **16. CONDITIONAL CONSTRUCTIONS** | 거짓이라면 | geojitramyeon | if it is false, if it is a lie | Common in hypothetical reasoning and conditional arguments | [CORE] |
| **17. PERFORMATIVE CONSTRUCTIONS** | 진실을 말할 것을 맹세합니다 | jinsireul malhal geoseul maengsehamnida | I swear to tell the truth | Highly formulaic legal and ceremonial language. 맹세하다 used in court testimony. Reflects institutional contexts requiring explicit truth commitments. Fixed formulas in legal/ceremonial registers | [CORE] |
| **17. PERFORMATIVE CONSTRUCTIONS** | 진실만을 말하겠다고 약속하다 | jinsilmaneul malhagessdago yaksokhada | to promise to tell only the truth | 약속하다 in less formal pledges | [CORE] |
| **18. QUOTATIVE/REPORTATIVE CONSTRUCTIONS** | 사실이다 | sasirida | it is a fact, it is true | Simple copula 이다 makes direct assertions. Common in contexts of verification and testimony where distinguishing direct knowledge from reported information matters. Both constructions fully productive | [CORE] |
| **18. QUOTATIVE/REPORTATIVE CONSTRUCTIONS** | 진실이라고 하다 | jinsilrago hada | to say that it is true | Quotative -라고 하다 reports others' claims | [CORE] |
| **19. NEGATION WITH PRIVATIVE EXPRESSIONS** | 거짓없이 | geojiseobsi | truthfully, honestly, without deception | 거짓없이 "without falsehood" common for emphasizing truthfulness. Asymmetric: positive term 진실없이 "without truth" is rare. Reflects marking of absence of deception rather than presence of truth. Shows lexical gap in positive direction | [CORE] |
| **19. NEGATION WITH PRIVATIVE EXPRESSIONS** | (진실없이 not commonly used) | — | — | Positive term 진실없이 "without truth" is rare | [MARGINAL] |
| **20. COMPOUND VERB CONSTRUCTIONS** | 속아 넘어가다 | soga neomeogada | to be deceived, to fall for deception | Lexicalized compounds specific to deception contexts. 속아 넘어가다 combines 속다 "be deceived" with 넘어가다 "fall over/for". These are fixed idiomatic expressions, not productive patterns | [CORE] |
| **20. COMPOUND VERB CONSTRUCTIONS** | 들키다 | deulkida | to be caught (in a lie) | 들키다 specifically used for lies being discovered | [CORE] |
