# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Chinese (zh)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| 真正 | zhēnzhèng | true + upright/correct = genuine, real, true | genuine, real, true, authentic | Emphasizes genuineness or authenticity, often contrasting with superficial or false appearances. Used to identify what something really or fundamentally is. | [CORE] |
| 欺骗 | qīpiàn | deceive + cheat = deceive, cheat | deceive, cheat, defraud | Describes deliberate deception or cheating. Used to evaluate conduct as dishonest or fraudulent, with negative moral connotations. | [CORE] |
| 谎言 | huǎngyán | lie + speech = lie, falsehood | lie, falsehood, untruth | Refers to deliberately false statements. Used in moral and everyday contexts to identify and condemn dishonest speech. | [CORE] |
| 真理 | zhēnlǐ | true + principle/reason = truth | truth, verity | Refers to fundamental truths or principles, especially in philosophical, religious, or ideological contexts. More abstract and elevated than 真相 (concrete facts). | [CORE] |
| 正当 | zhèngdàng | upright/correct + appropriate = legitimate, proper, justified | legitimate, proper, justified, rightful | Evaluates actions, claims, or rights as morally or legally justified. Used in legal, moral, and political contexts to assess legitimacy. | [CORE] |
| 合理 | hélǐ | join/accord + principle/reason = reasonable, rational | reasonable, rational, logical | Evaluates whether something accords with reason or logic. Used to assess the rationality of arguments, decisions, or arrangements. | [CORE] |
| 名副其实 | míng fù qí shí | name + match + its + reality = worthy of the name | worthy of the name, live up to one's reputation | Fixed expression evaluating whether something truly corresponds to its name or reputation. Used to assess whether reality matches appearance or claim. | [CORE] |
| 货真价实 | huò zhēn jià shí | goods + true + price + real = genuine goods at fair prices | genuine goods at fair prices, authentic and reasonably priced | Fixed expression originally from commerce, now used more broadly to indicate something is genuine and of good value. Evaluates both authenticity and worth. | [CORE] |
| 名不副实 | míng bù fù shí | name + not + match + reality = unworthy of the name | unworthy of the name, not live up to one's reputation | Fixed expression indicating that something does not correspond to its name or reputation. Used to criticize discrepancy between appearance and reality. | [CORE] |
| 言行一致 | yán xíng yīzhì | speech + conduct + one + consistent = words match deeds | words match deeds, practice what one preaches | Fixed expression evaluating consistency between what someone says and does. Important moral evaluation criterion in Chinese culture. | [CORE] |
| 表里如一 | biǎo lǐ rú yī | outside + inside + like + one = same inside and out | same inside and out, consistent in appearance and reality | Fixed expression praising consistency between external appearance and internal reality. Used to evaluate sincerity and authenticity of persons or things. | [CORE] |
| 真诚 | zhēnchéng | true + sincere | sincere, genuine | Used to evaluate the sincerity of emotions, attitudes, or interpersonal conduct. Common in descriptions of relationships and personal character. | [CORE] |
| 真心 | zhēnxīn | true + heart | sincere, wholehearted, genuine intention | Evaluates whether someone's intentions or feelings are genuine. Used in both everyday speech and formal contexts to assess authenticity of emotion or commitment. | [CORE] |
| 真挚 | zhēnzhì | true + sincere/earnest | sincere, genuine, heartfelt | Literary and formal register term for deep sincerity, especially in emotions or relationships. More elevated than 真诚. | [CORE] |
| 真切 | zhēnqiè | true +切 (切: close,切实: practical) | vivid, distinct, genuine | Describes experiences, feelings, or perceptions that are vivid and authentic. Often used for sensory or emotional experiences that feel real and immediate. | [CORE] |
| 真假 | zhēnjiǎ | true + false | true or false, genuine or fake, authenticity | Used to discuss or question the authenticity of something. Common in contexts of verification, authentication, or distinguishing real from counterfeit. | [CORE] |
| 真伪 | zhēnwěi | true + false/counterfeit | authenticity, genuineness vs. falseness | More formal than 真假, used in legal, academic, and technical contexts to discuss authentication and verification of documents, artifacts, or claims. | [CORE] |
| 真品 | zhēnpǐn | true + product/item | genuine article, authentic product | Used in commerce and collecting to distinguish authentic items from counterfeits or reproductions. Common in art, antiques, and luxury goods contexts. | [CORE] |
| 真迹 | zhēnjì | true + trace/mark | authentic work (of calligraphy or painting), original | Specifically used in art and calligraphy contexts to refer to original works by a master, as opposed to copies or forgeries. | [CORE] |
| 真传 | zhēnchuán | true + transmission | authentic teaching/tradition, true transmission | Used in contexts of traditional arts, martial arts, or crafts to indicate authentic transmission of knowledge or technique from master to student. | [CORE] |
| 真知 | zhēnzhī | true + knowledge | true knowledge, genuine understanding | Philosophical and educational contexts referring to authentic knowledge or understanding, as opposed to superficial or false knowledge. | [CORE] |
| 真情 | zhēnqíng | true + feeling/emotion | true feelings, genuine emotion | Describes authentic emotions or the true state of affairs in a situation. Used in both emotional and factual contexts. | [CORE] |
| 真意 | zhēnyì | true + meaning/intention | true meaning, real intention | Refers to the actual meaning or intention behind words or actions, especially when it may differ from surface appearance. | [CORE] |
| 真谛 | zhēndì | true + profound meaning | true meaning, essence, profound truth | Elevated, often philosophical or religious term for deep or essential truth. Used in discussions of fundamental principles or meanings. | [CORE] |
| 真空 | zhēnkōng | true + empty/void | vacuum, void | Scientific/technical term for vacuum. Also used in Buddhist philosophy for ultimate emptiness or void. | [CORE] |
| 真人 | zhēnrén | true + person | real person, genuine person; Daoist immortal/perfected person | Can mean an actual person (vs. fictional) or in Daoist contexts, a perfected/enlightened being. Also used colloquially for authentic, unpretentious people. | [CORE] |
| 真实性 | zhēnshíxìng | true + real + nature/quality | authenticity, truthfulness, veracity | Abstract noun used in academic, legal, and technical contexts to discuss the quality of being authentic or true. | [CORE] |
| 真材实料 | zhēn cái shí liào | true + material + solid + ingredient | genuine materials, real substance | Fixed expression indicating something is made of genuine, quality materials. Used literally for products and metaphorically for substantial content. | [CORE] |
| 真凭实据 | zhēn píng shí jù | true + evidence + solid + proof | conclusive evidence, solid proof | Legal and investigative contexts referring to reliable, concrete evidence. Emphasizes both authenticity and substantiality of proof. | [CORE] |
| 真刀真枪 | zhēn dāo zhēn qiāng | true + knife + true + spear | real swords and spears; genuine combat/effort | Originally referring to actual weapons/combat, now used metaphorically for serious, genuine effort or real confrontation (not practice or pretense). | [CORE] |
| 真金不怕火炼 | zhēn jīn bù pà huǒ liàn | true + gold + not + fear + fire + refine | true gold fears no fire; genuine article stands testing | Proverb meaning that what is genuine can withstand scrutiny or testing. Used to express confidence in authenticity or quality. | [CORE] |
| 真龙天子 | zhēn lóng tiān zǐ | true + dragon + heaven + son | true Son of Heaven, legitimate emperor | Historical/literary term for the legitimate emperor. Used in historical narratives and sometimes metaphorically for rightful leader. | [MARGINAL] |
| 真身 | zhēnshēn | true + body | real body, true form; actual person | Can refer to someone's actual physical presence (vs. representation), or in Buddhist contexts, the true body of Buddha. Also used for relics. | [CORE] |
| 真丝 | zhēnsī | true + silk | real silk, genuine silk | Commercial term distinguishing genuine silk from synthetic fabrics. Used in textile and fashion contexts. | [CORE] |
| 真皮 | zhēnpí | true + leather/skin | genuine leather | Commercial term for real leather as opposed to synthetic or imitation leather. Common in product descriptions. | [CORE] |
| 真菌 | zhēnjūn | true + fungus | true fungi, eumycetes | Scientific/biological term for true fungi as a taxonomic category. | [CORE] |
| 真核 | zhēnhé | true + nucleus | eukaryotic | Biological term for organisms with true cell nuclei (eukaryotes). | [CORE] |
| 真分数 | zhēn fēnshù | true + fraction + number | proper fraction | Mathematical term for fractions where numerator is less than denominator. | [CORE] |
| 真命题 | zhēn mìngtí | true + proposition | true proposition | Logical/mathematical term for propositions that are true. | [CORE] |
| 认真 | rènzhēn | recognize/take + true | serious, earnest, conscientious | Very common term describing serious, careful attitude toward tasks or responsibilities. Used in everyday speech and formal contexts. | [CORE] |
| 当真 | dàngzhēn | treat as + true | take seriously, take as true | Used to question or affirm whether something should be taken seriously or literally. Common in conversational contexts. | [CORE] |
| 实在 | shízài | solid/real + exist | real, true, honest; really, indeed | Functions as both adjective (real, honest) and adverb (really, truly). Used in everyday speech to emphasize reality or sincerity. | [CORE] |
| 实情 | shíqíng | real + situation/feeling | actual situation, true facts, real circumstances | Refers to the actual state of affairs, especially when it may differ from what is claimed or appears. Common in investigative and reporting contexts. | [CORE] |
| 实话 | shíhuà | real + speech | truth, honest words | Everyday term for truthful speech. Common in phrases like 说实话 (speak the truth, to be honest). | [CORE] |
| 实证 | shízhèng | real + evidence/proof | empirical evidence, positive proof | Used in academic and scientific contexts for empirical verification or evidence-based proof. Also refers to positivism in philosophy. | [CORE] |
| 实验 | shíyàn | real + test/examine | experiment, test | Scientific and educational term for experiments or empirical testing. Very common in scientific and technical contexts. | [CORE] |
| 实践 | shíjiàn | real + practice/tread | practice, put into practice | Refers to practical application or implementation, as opposed to theory. Important in Marxist philosophy and everyday usage contrasting theory with practice. | [CORE] |
| 实施 | shíshī | real + carry out | implement, carry out | Formal term for implementing policies, plans, or measures. Common in administrative and legal contexts. | [CORE] |
| 实行 | shíxíng | real + carry out | implement, put into effect, practice | Similar to 实施 but slightly less formal. Used for implementing policies, systems, or practices. | [CORE] |
| 实现 | shíxiàn | real + appear/manifest | realize, achieve, bring about | Very common term for achieving goals, realizing plans, or making something actual. Used in all registers. | [CORE] |
| 实力 | shílì | solid + strength | actual strength, real power, capability | Refers to actual capability or strength, as opposed to nominal or claimed power. Used in military, economic, and competitive contexts. | [CORE] |
| 实质 | shízhì | solid + quality/nature | essence, substance, essential nature | Refers to the essential nature or substance of something, as opposed to superficial appearance. Used in analytical and philosophical contexts. | [CORE] |
| 实体 | shítǐ | solid + body/entity | entity, substance; physical (store/business) | Philosophical term for substantial entity. Also used in business contexts to distinguish physical stores from online ones (实体店). | [CORE] |
| 实物 | shíwù | real + thing/object | material object, physical object, object in kind | Refers to actual physical objects as opposed to representations, descriptions, or monetary equivalents. Used in commerce and documentation. | [CORE] |
| 实例 | shílì | real + example | actual example, concrete case | Refers to real, concrete examples or instances, as opposed to hypothetical ones. Common in academic and explanatory contexts. | [CORE] |
| 实用 | shíyòng | real + use | practical, pragmatic, functional | Evaluates something as practically useful or functional. Common in product descriptions and pragmatic assessments. | [CORE] |
| 实惠 | shíhuì | real + benefit | substantial benefit, real advantage; affordable | Refers to tangible benefits or good value. Common in commercial contexts and discussions of practical advantages. | [CORE] |
| 实效 | shíxiào | real + effect | actual effect, practical result | Refers to actual, measurable effects or results. Used in evaluating effectiveness of policies or measures. | [CORE] |
| 实况 | shíkuàng | real + situation | actual situation, live (broadcast) | Refers to actual conditions or live coverage. Common in media contexts (实况转播 = live broadcast). | [CORE] |
| 实录 | shílù | real + record | faithful record, true account | Historical and documentary term for accurate, factual records. Used in historiography and documentary contexts. | [CORE] |
| 实数 | shíshù | real + number | real number; actual number | Mathematical term for real numbers. Also used colloquially for actual count or number. | [CORE] |
| 实心 | shíxīn | solid + heart/center | solid (not hollow); sincere | Can refer to physical solidity (solid ball vs. hollow) or metaphorically to sincerity and genuineness. | [CORE] |
| 实地 | shídì | real + ground/place | on the spot, on-site | Refers to being at the actual location or conducting investigation/inspection at the actual site. | [CORE] |
| 实习 | shíxí | real + practice/study | internship, field work, practicum | Educational term for practical training or internship where students apply knowledge in real settings. | [CORE] |
| 实业 | shíyè | solid + industry/enterprise | industry, substantial enterprise | Refers to substantial industries, especially manufacturing and production, as opposed to finance or services. Historical term for industrial enterprises. | [CORE] |
| 实权 | shíquán | real + power | actual power, real authority | Political term for actual power or authority, as opposed to nominal or ceremonial positions. | [CORE] |
| 实足 | shízú | solid + sufficient | full, complete, ample | Emphasizes completeness or fullness of amount, age, or measure. Used to indicate something is fully or genuinely the stated amount. | [CORE] |
| 实打实 | shí dǎ shí | solid + hit + solid | genuine, real, solid | Colloquial expression emphasizing genuineness or substantiality. Used to stress that something is truly real or substantial. | [CORE] |
| 实实在在 | shí shí zài zài | solid + solid + exist + exist (reduplication) | real, genuine, honest, down-to-earth | Emphatic form stressing genuineness, honesty, or substantiality. Common in everyday speech. | [CORE] |
| 老实 | lǎoshí | old + solid/real | honest, frank; well-behaved | Very common term for honest, straightforward character. Can also mean obedient or well-behaved. Used in character evaluation. | [CORE] |
| 踏实 | tāshí | step/tread + solid | steady, dependable; at ease, free from anxiety | Describes steady, reliable character or work style. Also describes feeling secure or at ease. | [CORE] |
| 扎实 | zhāshí | bind/solid + solid | solid, sturdy, sound | Describes solid foundation, thorough work, or sound knowledge. Common in educational and professional contexts. | [CORE] |
| 充实 | chōngshí | fill + solid | substantial, rich, fulfilling; enrich | Describes something as substantial or fulfilling. Used for content, life, or experience that is rich and meaningful. | [CORE] |
| 殷实 | yīnshí | abundant + solid | well-off, prosperous | Describes families or individuals as financially well-off or prosperous. Emphasizes solid wealth. | [CORE] |
| 平实 | píngshí | level/plain + solid | plain, simple, down-to-earth | Describes style, language, or manner as plain and unpretentious but solid. Used in literary and stylistic evaluation. | [CORE] |
| 朴实 | pǔshí | simple/unadorned + solid | simple, plain, honest | Describes people, style, or things as simple, unadorned, and genuine. Positive evaluation of unpretentious character. | [CORE] |
| 正常 | zhèngcháng | correct/upright + constant | normal, regular, ordinary | Very common term for what is normal or regular. Used to evaluate whether something conforms to expected patterns or standards. | [CORE] |
| 正式 | zhèngshì | correct/upright + style/form | formal, official | Describes formal or official status, procedures, or occasions. Common in administrative and ceremonial contexts. | [CORE] |
| 正规 | zhèngguī | correct/upright + regulation | regular, standard, orthodox | Evaluates whether something conforms to proper regulations or standards. Used for institutions, procedures, or practices. | [CORE] |
| 正统 | zhèngtǒng | correct/upright + lineage/tradition | orthodox, legitimate (tradition) | Refers to orthodox or legitimate tradition, especially in political, religious, or cultural contexts. Implies proper succession or transmission. | [CORE] |
| 正宗 | zhèngzōng | correct/upright + ancestor/school | orthodox, authentic (school/tradition) | Similar to 正统 but often used for authentic styles, schools, or recipes. Common in discussions of traditional arts, cuisine, or practices. | [CORE] |
| 正义 | zhèngyì | correct/upright + righteousness | justice, righteousness | Moral and political term for justice or righteousness. Used in ethical, legal, and political discourse. | [CORE] |
| 正直 | zhèngzhí | correct/upright + straight | upright, honest, righteous | Character evaluation term for moral uprightness and honesty. Important virtue term in moral discourse. | [CORE] |
| 正派 | zhèngpài | correct/upright + faction/manner | decent, proper, upright | Evaluates character or conduct as proper and decent. Used in moral evaluation of persons and behavior. | [CORE] |
| 正经 | zhèngjīng | correct/upright + classic/warp | decent, proper, serious | Colloquial term for proper, decent, or serious (as opposed to frivolous or improper). Common in everyday speech. | [CORE] |
| 正面 | zhèngmiàn | correct/upright + face/side | front side; positive, affirmative | Can refer to the front or obverse side of something, or metaphorically to positive aspects or affirmative approach. | [CORE] |
| 正负 | zhèngfù | positive + negative | positive and negative | Used in mathematics, physics, and general contexts to distinguish positive from negative (charges, numbers, aspects). | [CORE] |
| 正数 | zhèngshù | positive + number | positive number | Mathematical term for positive numbers. | [CORE] |
| 正比 | zhèngbǐ | positive + ratio | direct proportion | Mathematical term for direct proportional relationship. | [CORE] |
| 正方形 | zhèng fāngxíng | correct/upright + square + shape | square (geometric shape) | Geometric term for square shape, emphasizing regularity and right angles. | [CORE] |
| 正午 | zhèngwǔ | correct/upright + noon | noon, midday | Refers to exact noon, 12:00 PM. Emphasizes the precise middle of the day. | [CORE] |
| 正中 | zhèngzhōng | correct/upright + middle/center | right in the center, dead center | Indicates precise center or middle. Can be spatial or metaphorical (正中下怀 = exactly what one wants). | [CORE] |
| 正点 | zhèngdiǎn | correct/upright + point/o'clock | on time, punctual; exactly on the hour | Refers to exact time (on the hour) or punctuality. Common in scheduling and time-keeping contexts. | [CORE] |
| 正版 | zhèngbǎn | correct/upright + edition/version | legitimate edition, authorized version | Distinguishes authorized or legitimate versions from pirated or unauthorized copies. Common in publishing and software contexts. | [CORE] |
| 正品 | zhèngpǐn | correct/upright + product | genuine product, authentic goods | Commercial term for genuine, authorized products as opposed to counterfeits or knock-offs. | [CORE] |
| 正门 | zhèngmén | correct/upright + gate/door | main entrance, front gate | Refers to the main or formal entrance, as opposed to side or back entrances. | [CORE] |
| 正路 | zhènglù | correct/upright + road | right path, proper way | Metaphorical term for the correct or proper course of action. Used in moral and practical guidance. | [CORE] |
| 正道 | zhèngdào | correct/upright + way/path | right way, proper path; orthodox doctrine | Similar to 正路 but more elevated. Used in moral, philosophical, and religious contexts for the correct path or orthodox teaching. | [CORE] |
| 正业 | zhèngyè | correct/upright + occupation | proper occupation, legitimate business | Refers to legitimate or proper occupation, as opposed to illicit activities. Also Buddhist term for right livelihood. | [CORE] |
| 正气 | zhèngqì | correct/upright + qi/energy | righteousness, integrity, moral courage | Moral term for righteous spirit or moral courage. Important concept in Chinese ethics and political discourse. | [CORE] |
| 正名 | zhèngmíng | correct/upright + name | rectification of names; correct designation | Confucian concept of making names correspond to reality. Also used for correcting designations or clearing one's name. | [CORE] |
| 正身 | zhèngshēn | correct/upright + body | straighten one's body; conduct oneself properly | Refers to proper physical posture or metaphorically to proper conduct and self-cultivation. | [CORE] |
| 正色 | zhèngsè | correct/upright + color/expression | stern expression, serious countenance | Literary term for assuming a serious or stern facial expression, often when reproving someone. | [CORE] |
| 正视 | zhèngshì | correct/upright + look at | face squarely, look straight at | Means to face or confront something directly and honestly, not avoiding or evading. Used for facing problems or reality. | [CORE] |
| 纠正 | jiūzhèng | correct/rectify + correct/upright | correct, rectify, redress | Common term for correcting errors, mistakes, or improper situations. Used in educational, administrative, and everyday contexts. | [CORE] |
| 修正 | xiūzhèng | repair/revise + correct/upright | revise, amend, correct | Formal term for revising or amending documents, plans, or positions. Common in political and administrative contexts. | [CORE] |
| 改正 | gǎizhèng | change + correct/upright | correct, amend, put right | Common term for correcting mistakes or errors. Used in educational and everyday contexts. | [CORE] |
| 端正 | duānzhèng | upright/proper + correct/upright | upright, proper; correct (attitude) | Describes proper posture, appearance, or attitude. Used for both physical bearing and mental attitude. | [CORE] |
| 公正 | gōngzhèng | public/impartial + correct/upright | fair, just, impartial | Legal and moral term for fairness and impartiality. Common in legal, administrative, and ethical discourse. | [CORE] |
| 不正之风 | bù zhèng zhī fēng | not + correct + 之 (particle) + wind | unhealthy trend, corrupt practice | Political and social term for corrupt or improper practices or trends. Used in criticism of social or organizational problems. | [CORE] |
| 名正言顺 | míng zhèng yán shùn | name + correct + speech + smooth | proper and logical, justified and reasonable | Fixed expression meaning that when names/titles are correct, speech flows smoothly; i.e., when something is legitimate, it can be justified. Used to evaluate legitimacy. | [CORE] |
