# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Chinese (zh)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
| 真实 (zhēnshí) - true, real, authentic | 真实地 (zhēnshí de) | zhēnshí de | true + real + [adverbial particle] | truly, authentically, realistically | Adverbial form describing manner of action as authentic or realistic. Example: "真实地反映情况" (truly reflect the situation). The particle is often optional. | [CORE] |
| 诚实 (chéngshí) - honest, truthful | 诚实地 (chéngshí de) | chéngshí de | sincere + real + [adverbial particle] | honestly, truthfully | Adverbial form describing manner of speaking or acting. Example: "诚实地回答" (answer honestly). | [CORE] |
| 正确 (zhèngquè) - correct, right | 正确地 (zhèngquè de) | zhèngquè de | upright/correct + definite + [adverbial particle] | correctly, rightly | Adverbial form describing manner of doing something. Example: "正确地理解" (understand correctly). | [CORE] |
| 实 (shí) - solid, real, actual | 实实在在 (shíshízàizài) | shíshízàizài | solid + solid + exist + exist (AABB reduplication) | really and truly, genuinely, down-to-earth | Emphatic form stressing genuineness, honesty, or substantiality. Common in everyday speech to emphasize authenticity or sincerity. | [CORE] |
| 真 (zhēn) - true, real, genuine | 真真 (zhēnzhēn) | zhēnzhēn | true + true (AA reduplication) | really, truly, indeed | Literary or emphatic form meaning "really" or "truly." Less common in modern speech than 真的 or 真正. Often appears in classical or literary contexts. | [MARGINAL] |
| 正 (zhèng) - correct, upright | 正正 (zhèngzhèng) | zhèngzhèng | correct + correct (AA reduplication) | exactly, precisely, just right | Emphasizes exactness or precision. Example: "正正好好" (just right, exactly right). Less common as standalone form. | [MARGINAL] |
| 正常 (zhèngcháng) - normal, regular | 不正常 (bù zhèngcháng) | bù zhèngcháng | not + correct/upright + constant | abnormal, irregular, unusual | Common term for what is abnormal or irregular. While compositional, it functions as a lexicalized unit in medical and everyday contexts. | [CORE] |
| 真实 (zhēnshí) - true, real, authentic | 不真实 (bù zhēnshí) | bù zhēnshí | not + true + real | unreal, inauthentic, false | Describes something as not authentic or realistic. Fully compositional but commonly used as a unit. | [CORE] |
| 正 (zhèng) - correct, upright | 纠正 (jiūzhèng) | jiūzhèng | rectify/correct + correct/upright | correct, rectify, redress | Common verb meaning to correct errors or improper situations. The first element 纠 means "rectify/correct," creating a resultative compound. | [CORE] |
| 正 (zhèng) - correct, upright | 改正 (gǎizhèng) | gǎizhèng | change + correct/upright | correct, amend, put right | Common verb for correcting mistakes. The first element 改 means "change," indicating the action that results in correctness. | [CORE] |
| 正 (zhèng) - correct, upright | 修正 (xiūzhèng) | xiūzhèng | repair/revise + correct/upright | revise, amend, correct | Formal verb for revising or amending. The first element 修 means "repair/revise," suggesting careful correction. | [CORE] |
| 实 (shí) - solid, real, actual | 充实 (chōngshí) | chōngshí | fill + solid | enrich, substantiate; substantial, fulfilling | Functions both as verb (to enrich/fill out) and adjective (substantial/fulfilling). The first element 充 means "fill," creating a resultative meaning. | [CORE] |
| 实 (shí) - solid, real, actual | 落实 (luòshí) | luòshí | fall/settle + solid | implement, carry out, put into effect | Common verb meaning to implement or actualize plans/policies. The first element 落 means "fall/settle," suggesting making something concrete. | [CORE] |
| 实 (shí) - solid, real, actual | 坐实 (zuòshí) | zuòshí | sit/establish + solid | confirm, establish as fact | Verb meaning to confirm or establish something as factual. Often used in legal or investigative contexts. | [CORE] |
| 真 (zhēn) - true, real, genuine | 真的 (zhēn de) | zhēn de | true + [attributive/nominalizing particle] | real one, genuine one; really, truly | Functions both as noun phrase (the real/genuine one) and as adverb (really, truly). Extremely common in spoken Chinese. Example: "这是真的" (This is real/true). | [CORE] |
| 假 (jiǎ) - false, fake | 假的 (jiǎ de) | jiǎ de | false + [attributive/nominalizing particle] | fake one, counterfeit one | Noun phrase meaning "the fake/counterfeit one." Common in distinguishing genuine from fake items. | [CORE] |
| 实 (shí) - solid, real, actual | 实化 (shíhuà) | shíhuà | solid/real + -ize | materialize, actualize, make concrete | Technical or formal verb meaning to make something concrete or actual. Less common than 实现 but used in specialized contexts. | [MARGINAL] |
| 真 (zhēn) - [adjective] true, real, genuine | 真 (zhēn) - [adverb] | zhēn | (conversion without formal marking) | really, truly, very | Functions as intensifying adverb without formal marking. Example: "真好" (really good), "真大" (really big). Extremely common in spoken Chinese. | [CORE] |
| 假 (jiǎ) - [adjective] false, fake | 假 (jiǎ) - [verb] | jiǎ | (conversion without formal marking) | to fake, to pretend, to feign | Functions as verb meaning to pretend or feign. Example: "假装" (pretend), "假死" (feign death). | [CORE] |
| 对 (duì) - [adjective] correct, right | 对 (duì) - [verb] | duì | (conversion without formal marking) | to be correct, to check/verify | Functions as verb in contexts like "对答案" (check answers), "对一对" (verify/check). | [CORE] |
