# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Chinese (zh)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| 真的 (zhēn de) | 假的 (jiǎ de) | zhēn de vs. jiǎ de | "real one, genuine one; really, truly" vs. "fake one, counterfeit one" | Nominalized forms of the core 真/假 opposition using particle 的. Functions both as noun phrases (the real/fake one) and as predicates. Extremely common in spoken Chinese. | lexical (nominalized) | [CORE] |
| 是真的 (shì zhēn de) | 不是真的 (bù shì zhēn de) | shì zhēn de vs. bù shì zhēn de | "This is true/real" vs. "This is not true/real" | Constructional opposition through copular negation. Standard pattern for asserting versus denying truth or authenticity. Extremely common in everyday verification contexts. | constructional | [CORE] |
| 对不对? (duì bu duì?) | N/A | duì bu duì? | "Right or not? Is that correct?" | Constructional opposition embedded within a single interrogative form. The A-not-A pattern (对不对) presents both poles of the opposition simultaneously to create a yes/no question. | constructional (interrogative) | [CORE] |
| 是不是真的? (shì bu shì zhēn de?) | N/A | shì bu shì zhēn de? | "Is it true or not?" | Constructional opposition embedded within interrogative form. The 是不是 pattern presents affirmation and negation simultaneously to create verification question. | constructional (interrogative) | [CORE] |
| 真心 (zhēnxīn) | 假意 (jiǎyì) [implied] | zhēnxīn vs. jiǎyì | "sincere, wholehearted, genuine intention" vs. "false intention, pretense" | Opposition between genuine and false intentions. The data explicitly mentions 真心; 假意 is the natural opposite in evaluating sincerity of intentions. | lexical | [CORE] |
| 真情 (zhēnqíng) | 假情 (jiǎqíng) [implied] | zhēnqíng vs. jiǎqíng | "true feelings, genuine emotion" vs. "false feelings, feigned emotion" | Opposition between authentic and feigned emotions. The data mentions 真情 describes authentic emotions; 假情 is the natural opposite. | lexical | [CORE] |
| 弄假成真 (nòng jiǎ chéng zhēn) | N/A | nòng jiǎ chéng zhēn | "what starts as pretense becomes real; fake it till you make it" | Fixed expression embodying transformation from 假 (false) to 真 (true) within a single phrase. The construction expresses opposition through the change-of-state verb 成 (become). | constructional (within fixed expression) | [CORE] |
| 以假乱真 (yǐ jiǎ luàn zhēn) | N/A | yǐ jiǎ luàn zhēn | "pass off the fake as genuine; confuse the false with the true" | Fixed expression embodying opposition between 假 (fake) and 真 (genuine) within description of deceptive act. The construction expresses the contrast through the verb 乱 (confuse). | constructional (within fixed expression) | [CORE] |
| 真假难辨 (zhēn jiǎ nán biàn) | N/A | zhēn jiǎ nán biàn | "difficult to distinguish true from false" | Fixed expression presenting 真 and 假 as poles of a difficult distinction. The construction itself embodies the opposition through the compound subject 真假. | constructional (within fixed expression) | [CORE] |
| 半真半假 (bàn zhēn bàn jiǎ) | N/A | bàn zhēn bàn jiǎ | "half true and half false; partly true" | Fixed expression presenting 真 and 假 as mixed in equal proportions. The parallel structure (半X半Y) embodies the opposition while suggesting mixture rather than pure contrast. | constructional (within fixed expression) | [CORE] |
| 虚虚实实 (xū xū shí shí) | N/A | xū xū shí shí | "mix of feint and reality; deceptive mixture of true and false" | Fixed expression using AABB reduplication to present 虚 (empty/false) and 实 (solid/real) as mixed strategic elements. Common in military and competitive contexts. | constructional (within fixed expression) | [CORE] |
| 脚踏实地 (jiǎo tà shí dì) | N/A | jiǎo tà shí dì | "down-to-earth, practical, realistic" | Fixed expression emphasizing 实 (solid) ground versus implied 虚 (empty, impractical) approach. The opposition is implicit: stepping on solid ground contrasts with being ungrounded or impractical. | constructional (implicit opposition within fixed expression) | [CORE] |
| 实事求是 (shí shì qiú shì) | N/A | shí shì qiú shì | "seek truth from facts; be realistic and pragmatic" | Fixed expression emphasizing 实 (solid/actual) facts and 是 (what is) versus implied speculation or dogma. Important political principle contrasting empirical investigation with theoretical abstraction. | constructional (implicit opposition within fixed expression) | [CORE] |
| 真材实料 (zhēn cái shí liào) | N/A | zhēn cái shí liào | "genuine materials, real substance" | Fixed expression combining 真 (genuine) and 实 (solid/real) to emphasize authenticity and substance, implicitly contrasting with 假 (fake) and 虚 (empty/insubstantial) materials. | constructional (implicit opposition within fixed expression) | [CORE] |
| 真凭实据 (zhēn píng shí jù) | N/A | zhēn píng shí jù | "conclusive evidence, solid proof" | Fixed expression combining 真 (true/authentic) and 实 (solid) to emphasize reliable evidence, implicitly contrasting with 假 (false) or 虚 (insubstantial) evidence. | constructional (implicit opposition within fixed expression) | [CORE] |
| 真心实意 (zhēn xīn shí yì) | N/A | zhēn xīn shí yì | "wholehearted, sincere, genuine" | Fixed expression combining 真 (true) and 实 (solid/real) to emphasize complete sincerity, implicitly contrasting with 假 (false) or 虚 (empty/insincere) intentions. | constructional (implicit opposition within fixed expression) | [CORE] |
| 正大光明 (zhèng dà guāng míng) | N/A | zhèng dà guāng míng | "just and honorable; fair and square" | Fixed expression emphasizing 正 (upright/correct) and 光明 (bright/open), implicitly contrasting with 不正 (improper) and 阴暗 (dark/hidden) methods. | constructional (implicit opposition within fixed expression) | [CORE] |
| 拨乱反正 (bō luàn fǎn zhèng) | N/A | bō luàn fǎn zhèng | "bring order out of chaos; set things right" | Fixed expression embodying opposition between 乱 (chaos/disorder) and 正 (correct/proper order) within description of corrective action. The construction expresses transformation from disorder to order. | constructional (within fixed expression) | [CORE] |
| 改正 (gǎizhèng) | [error state] (implied) | gǎizhèng | "correct, amend, put right" | Resultative verb compound expressing transformation from incorrect/wrong state to 正 (correct) state. The opposition is constructional: the verb implies movement from error to correctness. | constructional (resultative) | [CORE] |
| 纠正 (jiūzhèng) | [error state] (implied) | jiūzhèng | "correct, rectify, redress" | Resultative verb compound expressing transformation from incorrect/improper state to 正 (correct) state. Similar to 改正 but emphasizes rectification of deviation. | constructional (resultative) | [CORE] |
| 落实 (luòshí) | [theoretical/unimplemented state] (implied) | luòshí | "implement, carry out, put into effect" | Resultative verb compound expressing transformation from theoretical/planned state to 实 (solid/actual) state. The opposition is between abstract plan and concrete implementation. | constructional (resultative) | [CORE] |
| 证实 (zhèngshí) | [unverified state] (implied) | zhèngshí | "verify, confirm, prove true" | Resultative verb compound expressing transformation from unverified state to 实 (solid/confirmed) state. The opposition is between unconfirmed claim and verified fact. | constructional (resultative) | [CORE] |
| 坐实 (zuòshí) | [unestablished state] (implied) | zuòshí | "confirm, establish as fact" | Resultative verb compound expressing transformation from uncertain/unestablished state to 实 (solid/established) state. Common in legal and investigative contexts. | constructional (resultative) | [CORE] |
| 充实 (chōngshí) | [empty/lacking state] (implied) | chōngshí | "substantial, rich, fulfilling; enrich" | Resultative verb compound expressing transformation from empty/lacking state to 实 (solid/full) state. Can function as both verb (to enrich) and adjective (substantial). | constructional (resultative) | [CORE] |
| 客观事实 (kèguān shìshí) | 主观意见 (zhǔguān yìjiàn) [implied] | kèguān shìshí vs. zhǔguān yìjiàn | "objective facts" vs. "subjective opinions" | Opposition between objective facts and subjective opinions. The data explicitly mentions 客观事实; the natural opposite in analytical contexts is 主观意见 or similar subjective evaluations. | lexical | [CORE] |
| 理论 (lǐlùn) [implied] | 实践 (shíjiàn) | lǐlùn vs. shíjiàn | "theory" vs. "practice, put into practice" | Opposition between theoretical knowledge and practical application. The data explicitly mentions 实践 and contexts contrasting theory with practice; this is a fundamental opposition in Chinese Marxist philosophy. | lexical | [CORE] |
| 虚张声势 (xū zhāng shēng shì) | N/A | xū zhāng shēng shì | "bluff, make an empty show of strength" | Fixed expression emphasizing 虚 (empty/false) display, implicitly contrasting with 实 (actual/real) strength. Common in military and competitive contexts. | constructional (implicit opposition within fixed expression) | [CORE] |
| 虚有其表 (xū yǒu qí biǎo) | N/A | xū yǒu qí biǎo | "impressive in appearance only; all show and no substance" | Fixed expression emphasizing 虚 (empty) appearance, implicitly contrasting with 实 (substantial) content. Similar to 华而不实. | constructional (implicit opposition within fixed expression) | [CORE] |
