# F5 Opposition Table — Tamil (ta)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| உண்மையாளர் (uṇmaiyāḷar) | பொய்யன் (poyaṉ) | uṇmaiyāḷar vs. poyaṉ | "truthful person (honorific)" vs. "liar (masculine)" | Agentive opposition with asymmetric morphology and register. உண்மையாளர் uses the honorific/plural suffix -ஆளர், while பொய்யன் uses the masculine suffix -அன், showing that positive and negative agent terms use different morphological strategies and carry different social register implications. | morphological (agentive, asymmetric) | [CORE] |
| சரி பார் (cari pār) | தப்பு கண்டுபிடி (tappu kaṇṭupiṭi) | cari pār vs. tappu kaṇṭupiṭi | "check, verify" vs. "find mistakes, detect errors" | Constructional opposition with asymmetric verb selection. சரி பார் uses the light verb பார் "see, look" for checking correctness, while error detection typically uses கண்டுபிடி "find, discover" rather than *தப்பு பார், showing different constructional preferences for positive versus negative evaluation. | constructional (asymmetric) | [CORE] |
| உண்மை எப்போதும் வெல்லும் (uṇmai eppōtum vellum) | பொய்க்கு கால் இல்லை (poykku kāl illai) | uṇmai eppōtum vellum vs. poykku kāl illai | "truth always wins" vs. "lies have no legs (don't last)" | Proverbial opposition expressing cultural beliefs about truth versus falsehood. Both are fixed expressions but use different metaphorical strategies: truth's triumph versus lies' impermanence. | constructional (idiomatic/proverbial) | [CORE] |
| உறுதி (uṟuti) | சந்தேகம் (cantēkam) | uṟuti vs. cantēkam | "certainty, confirmation, assurance" vs. "doubt, suspicion, uncertainty" | Opposition in epistemic certainty rather than truth/falsity per se. உறுதி denotes firmness and certainty about truth, while சந்தேகம் denotes doubt or uncertainty, representing a different dimension of epistemic evaluation. | lexical | [CORE] |
| மெய்ப்பிக்க முடியும் (meypikka muṭiyum) | மெய்ப்பிக்க முடியாது (meypikka muṭiyātu) | meypikka muṭiyum vs. meypikka muṭiyātu | "can prove, is provable" vs. "cannot prove, is unprovable" | Constructional opposition using positive versus negative potential morphology. முடியும் "can" contrasts with முடியாது "cannot," expressing provability versus unprovability of claims. | constructional (potential, positive vs. negative) | [CORE] |
| சரி செய்ய முடியும் (cari ceyya muṭiyum) | சரி செய்ய முடியாது (cari ceyya muṭiyātu) | cari ceyya muṭiyum vs. cari ceyya muṭiyātu | "can fix, is fixable" vs. "cannot fix, is unfixable" | Parallel potential opposition for correctability. முடியும் versus முடியாது expresses whether errors or problems can be corrected or fixed. | constructional (potential, positive vs. negative) | [CORE] |
| உண்மை ஆகிவிட்டது (uṇmai ākiviṭṭatu) | பொய் ஆகிப்போனது (poy ākipōṉatu) | uṇmai ākiviṭṭatu vs. poy ākipōṉatu | "it became true, turned out to be true" vs. "it became false, turned out to be a lie" | Inchoative opposition describing change of epistemic status. Both use ஆகு "become" but with different completive auxiliaries (விடு vs. போ), showing subtle aspectual differences in how truth versus falsehood is revealed. | constructional (inchoative) | [CORE] |
| உண்மையென (uṇmaiyeṉa) | பொய்யென (poyyeṉa) | uṇmaiyeṉa vs. poyyeṉa | "as truth, saying it is true" vs. "as false, calling it a lie" | Quotative opposition using என (eṉa) to mark characterization of statements. Both constructions introduce or characterize claims as true versus false. | constructional (quotative) | [CORE] |
| இது உண்மைதான் (itu uṇmaitāṉ) | இது பொய்தான் (itu poytāṉ) | itu uṇmaitāṉ vs. itu poytāṉ | "this really is true" vs. "this really is false" | Emphatic predicative opposition using the particle தான் (tāṉ) for strong assertion. Both constructions make emphatic claims about truth versus falsehood. | constructional (emphatic) | [CORE] |
| இது உண்மையா (itu uṇmaiyā) | இது பொய்யா (itu poyyā) | itu uṇmaiyā vs. itu poyyā | "is this true?" vs. "is this false?" | Interrogative opposition using the question particle -ஆ (-ā). Both constructions question the truth-status of claims, but from opposite starting assumptions. | constructional (interrogative) | [CORE] |
| பொய் சொல்லாதே (poy collātē) | உண்மை சொல்லு (uṇmai collu) | poy collātē vs. uṇmai collu | "don't tell lies" vs. "tell the truth" | Opposition between negative imperative (prohibition) and positive imperative (command). The negative imperative uses -ஆதே suffix to prohibit lying, while the positive imperative uses bare stem to command truth-telling. | constructional (imperative, negative vs. positive) | [CORE] |
| உண்மைத்தன்மை (uṇmaittaṉmai) | பொய்த்தன்மை (poyttaṉmai) | uṇmaittaṉmai vs. poyttaṉmai | "truthfulness, quality of being true" vs. "falseness, quality of being false" | Abstract nominal opposition using தன்மை "quality, nature" to denote abstract qualities. Both compounds refer to the essential quality or nature of truth versus falsehood. | lexical (compound, abstract) | [CORE] |
| மெய்ம்மை (meymai) | பொய்ம்மை (poymai) | meymai vs. poymai | "truth, reality, genuineness" vs. "falseness, falsehood" | Abstract nominal opposition using the -மை (-mai) suffix. மெய்ம்மை is common in literary/philosophical contexts, while பொய்ம்மை is rare and archaic, showing asymmetry in productivity. | morphological (abstract nominalization, asymmetric) | [CORE] for மெய்ம்மை, [MARGINAL] for பொய்ம்மை |
| நம்பிக்கை வை (nampikkai vai) | சந்தேகம் கொள் (cantēkam koḷ) | nampikkai vai vs. cantēkam koḷ | "place trust, have faith" vs. "have doubt, be suspicious" | Constructional opposition for epistemic attitudes. நம்பிக்கை வை uses வை "place" for establishing trust, while சந்தேகம் கொள் uses கொள் "hold" for harboring doubt, showing different light verb selection for positive versus negative epistemic stances. | constructional (light verb, asymmetric) | [CORE] |
| சரி ஆகிவிடும் (cari ākiviṭum) | சரி ஆகாது (cari ākātu) | cari ākiviṭum vs. cari ākātu | "will be okay, will work out" vs. "won't be right, won't work out" | Opposition between positive and negative predictions about outcomes. ஆகிவிடும் (future + completive) expresses optimistic prediction, while ஆகாது (negative future) expresses pessimistic prediction about whether things will turn out correctly. | constructional (future, positive vs. negative) | [CORE] |
| உண்மையின் வலிமை (uṇmaiyiṉ valimai) | பொய்யின் விளைவு (poyyiṉ viḷaivu) | uṇmaiyiṉ valimai vs. poyyiṉ viḷaivu | "the power of truth" vs. "the consequence of lies" | Genitive constructions with asymmetric abstract nouns. Truth is associated with வலிமை "power, strength" (positive), while lies are associated with விளைவு "consequence, result" (often negative), reflecting cultural attitudes about truth versus falsehood. | constructional (genitive, asymmetric) | [CORE] |
| மெய் நண்பன் (mey naṇpaṉ) | பொய் நண்பன் (poy naṇpaṉ) | mey naṇpaṉ vs. poy naṇpaṉ | "true friend" vs. "false friend" | Parallel compounds evaluating friendship authenticity. Both use நண்பன் "friend" with contrasting truth-domain modifiers, common in moral discourse about genuine versus deceptive relationships. | lexical (compound) | [CORE] |
| பொருத்தம் (poruttam) | பொருத்தமின்மை (poruttamiṉmai) | poruttam vs. poruttamiṉmai | "appropriateness, suitability, match" vs. "inappropriateness, unsuitability, mismatch" | Opposition using negative suffix -இன்மை (-iṉmai) "absence of" to create antonym. பொருத்தமின்மை denotes lack of appropriateness or fit, though this form is less common than simple negation with இல்லை. | morphological (negative suffix) | [CORE] for பொருத்தம், [MARGINAL] for பொருத்தமின்மை |
| தகுதி இருக்கு (takuti irukku) | தகுதி இல்லை (takuti illai) | takuti irukku vs. takuti illai | "is qualified, has merit" vs. "is not qualified, lacks merit" | Constructional opposition using positive versus negative existential verbs. இருக்கு "exists, is present" affirms qualification, while இல்லை "does not exist" denies it. | constructional (existential, positive vs. negative) | [CORE] |
| பொய் கண்ணீர் (poy kaṇṇīr) | (no clear positive equivalent attested) | poy kaṇṇīr | "crocodile tears, false tears" | பொய் கண்ணீர் denotes insincere emotional display, but there is no equally common compound *உண்மை கண்ணீர் or *மெய் கண்ணீர் for "genuine tears" — genuine emotion is unmarked. This shows asymmetry where negative/deceptive forms are lexically elaborated while positive/genuine forms remain unmarked. | lexical (asymmetric, negative marked) | [CORE] for பொய் கண்ணீர், no clear positive equivalent |
| பொய் நாடகம் (poy nāṭakam) | (no clear positive equivalent attested) | poy nāṭakam | "false drama, pretense, act" | Similar to Opposition 49, பொய் நாடகம் denotes insincere theatrical behavior, but genuine behavior is unmarked — there is no common *உண்மை நாடகம். This reflects a pattern where deceptive/insincere behavior receives lexical marking while genuine behavior is the unmarked default. | lexical (asymmetric, negative marked) | [CORE] for பொய் நாடகம், no clear positive equivalent |
