| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| *true* | *true to oneself* | N/A | acting in accordance with one's own values and character; not compromising one's identity | Used in philosophical, self-help, and everyday discourse to describe a person who acts in accordance with their authentic values rather than conforming to external pressure. Related to existentialist notions of authenticity. | [CORE] |
| *true* | *ring false* | N/A | to seem implausible or insincere; to lack the quality of truth | The negative counterpart of *ring true*; *her apology rang false*. Forms a minimal pair with *ring true* and is conventionally associated with the *true* base form. | [CORE] |
| *truth* | *tell the truth* | N/A | to state what is actually the case; to be honest | The most basic verbal collocation with *truth*; used in legal (*tell the truth, the whole truth*), moral, and everyday contexts. Contrasts with *lie* and *conceal*. A fundamental fixed verb-object construction used across all registers to describe the act of honest disclosure. Appears in legal contexts (*tell the truth, the whole truth*), moral instruction, and everyday speech. | [CORE] |
| *truth* | *the whole truth* | N/A | the complete and unabridged facts; without omission | Used in legal and moral contexts to emphasize that nothing relevant has been withheld. Appears in the courtroom oath (*the truth, the whole truth, and nothing but the truth*) and in everyday emphasis on complete disclosure. | [CORE] |
| *truth* | *nothing but the truth* | N/A | only what is true; with no admixture of falsehood | Used in legal oaths and in everyday emphasis on strict truthfulness. Most commonly encountered as part of the full courtroom formula (*the truth, the whole truth, and nothing but the truth*). | [CORE] |
| *truth* | *speak the truth* | N/A | to say what is true; to be honest | A slightly more formal or literary variant of *tell the truth*, used in moral, religious, and rhetorical contexts. Common in biblical and ethical discourse. | [CORE] |
| *truth* | *speaking truth to power* | N/A | honestly confronting those in authority with uncomfortable facts; to challenge authority by stating uncomfortable facts or moral truths | A fixed phrase used in political and activist discourse to describe the act of honestly challenging authority with inconvenient facts. Originated in Quaker tradition and became widely used in political commentary; *she spoke truth to power in her testimony before Congress*. | [CORE] |
| *truth* | *the truth will out* | N/A | the truth will eventually become known; facts cannot be permanently concealed | A proverbial expression asserting that concealed facts will eventually come to light; *out* is used in the archaic sense of "come out, emerge"; attested from Shakespeare (*The Merchant of Venice*). Used across all registers, often as a reassurance or warning. | [CORE] |
| *truth* | *in truth* | N/A | actually; in fact; to be honest; in reality; truly | Documented in P1b Root 2, item 16. A prepositional phrase used as a discourse marker to introduce a frank or corrective statement, often contrasting with appearances or prior claims; *in truth, the situation was far worse than reported*. Common in formal and literary registers. | [CORE] |
| *truth* | *to tell the truth* | N/A | to be honest; frankly speaking | Used as a parenthetical or introductory phrase to signal that the speaker is about to make a candid statement, sometimes one they might otherwise hesitate to make. Common in spoken and informal written English. | [CORE] |
| *truth* | *the truth hurts* | N/A | accurate information is sometimes painful to hear | A proverbial expression used to acknowledge that honest statements can be uncomfortable or unwelcome. Common in everyday speech and moral discourse. | [CORE] |
| *truth* | *stretch the truth* | N/A | to exaggerate or distort facts without outright lying | Used to describe statements that are not entirely false but that exaggerate or distort the facts. Common in everyday and journalistic usage to describe mild dishonesty that falls short of outright lying. | [CORE] |
| *truth* | *bend the truth* | N/A | to distort or misrepresent facts without outright lying | Used similarly to *stretch the truth* to describe statements that distort rather than directly contradict the facts. Implies deliberate but partial misrepresentation. Common in everyday and journalistic usage. | [CORE] |
| *truth* | *economical with the truth* | N/A | deliberately omitting relevant facts; misleading through selective disclosure; deliberately omitting or obscuring relevant facts; misleading without technically lying | A fixed ironic phrase used in British English, particularly in political and journalistic discourse, to describe a person or statement that misleads through omission rather than outright falsehood. Popularized in British public life through the 1986 Spycatcher trial (attributed to Cabinet Secretary Sir Robert Armstrong). Often used ironically or euphemistically. | [CORE] |
| *truth* | *a grain of truth* | N/A | a small element of accuracy within a largely false or exaggerated claim | Used to acknowledge that a claim, though largely inaccurate or exaggerated, contains some factual basis. Common in everyday and journalistic discourse. | [CORE] |
| *truth* | *kernel of truth* | N/A | a small but genuine element of accuracy within a larger claim | Used similarly to *a grain of truth*, with slightly more emphasis on the genuine core element. Common in analytical and journalistic discourse. | [CORE] |
| *truth* | *the truth of the matter* | N/A | the actual facts of the situation; what is actually the case; the real facts of a situation | Already documented in P1b (1.29). Used as a nominal phrase to introduce a frank or corrective statement; *the truth of the matter is that no one knew*. A semi-fixed frame. | [CORE] |
| *truth* | *truth be told* | N/A | to be honest; frankly speaking | Already documented in P1b (1.28). Documented in P1b Root 2, item 15. Functions as a sentence-initial or parenthetical discourse marker. | [CORE] |
| *truth* | *gospel truth* | N/A | something regarded as absolutely and unquestionably true | Documented in P1b Root 2, item 13. Used to assert that something is completely and certainly true, with the force of religious certainty. Common in informal and emphatic speech (*I'm telling you the gospel truth*); often used ironically. | [CORE] |
| *truth* | *the plain truth* | N/A | the simple, unadorned facts without embellishment | Used to emphasize that a statement is straightforwardly factual, without rhetorical elaboration or softening. Common in direct and informal speech. | [CORE] |
| *truth* | *the naked truth* | N/A | the unvarnished, unembellished facts | Used to emphasize that a statement presents the facts without softening, concealment, or embellishment. More emphatic than *the plain truth*. Common in rhetorical and journalistic usage. | [CORE] |
| *truth* | *the uncomfortable truth* | N/A | a fact that is accurate but unwelcome or difficult to accept | Used in journalistic, political, and everyday discourse to describe accurate information that is difficult or unpleasant to acknowledge; *face the uncomfortable truth*; *an uncomfortable truth about inequality*. A productive collocation rather than a fixed phrase. | [CORE] |
| *truth* | *the inconvenient truth* | N/A | an accurate fact that is unwelcome because it requires difficult action or acknowledgment; a fact that is true but creates difficulty or embarrassment for those who would prefer to ignore it | Used in political and environmental discourse, widely associated with Al Gore's 2006 documentary *An Inconvenient Truth*. Now used more broadly to describe any accurate but unwelcome fact that challenges comfortable assumptions. The phrase existed before the documentary but gained currency through it. | [CORE] |
| *truth* | *truth drug* / *truth serum* | N/A | a substance believed to compel honest disclosure; a drug supposedly causing a person to tell the truth under interrogation | Used in espionage, legal, and popular culture contexts to refer to substances (such as sodium pentothal) believed to reduce a person's ability to withhold truthful information. *Truth serum* is more common in popular usage; *truth drug* is more common in British English. The term is widely used though the efficacy of such substances is disputed. | [CORE] |
| *truth* | *there's truth in* | N/A | there is some accuracy in; there is a valid element to | A construction used to acknowledge partial validity in a claim or observation; *there's truth in what you say*. Common in conversational and analytical discourse. | [CORE] |
| *truth* | *truth-telling* | N/A | the practice or act of telling the truth | Documented in P1b Root 2, item 5. Used in moral philosophy and political discourse. | [CORE] |
| *truth* | *truth-teller* | N/A | a person who tells the truth; one known for honesty | Documented in P1b Root 2, item 6. Used in moral and political discourse. | [CORE] |
| *truth* | *truth value* | N/A | the logical status of a proposition as true or false | Documented in P1b Root 2, item 7. Technical term in logic and philosophy of language. | [CORE] |
| *truth* | *truth table* | N/A | a table showing the truth values of a compound proposition for all combinations of truth values of its components | Documented in P1b Root 2, item 8. Standard tool in propositional logic and digital circuit design. | [CORE] |
| *truth* | *truth condition* | N/A | the condition under which a statement is true | Documented in P1b Root 2, item 9. Central concept in formal semantics and philosophy of language. | [CORE] |
| *truth* | *post-truth* | N/A | relating to circumstances in which objective facts are less influential than appeals to emotion and personal belief | Documented in P1b Root 2, item 30. Used in political, journalistic, and academic discourse; *Oxford Dictionaries* Word of the Year 2016. | [CORE] |
| *truth* | *truth commission* | N/A | an official body established to investigate and document past human rights abuses or political crimes | Used in political science, journalism, and international law; associated with post-conflict or post-authoritarian transitions; *the South African Truth and Reconciliation Commission* is the paradigm case. | [CORE] |
| *truth* | *ground truth* | N/A | information obtained by direct observation or measurement rather than inference; the actual state of affairs used as a reference standard | Used in remote sensing, machine learning, and scientific methodology; *ground truth data* is used to validate models or satellite imagery. Extended to mean "the actual facts" in journalistic and everyday use. | [CORE] |
| *truth* | *truth squad* | N/A | a group assigned to monitor and rebut false or misleading claims, especially in political campaigns | Used in US political journalism; a *truth squad* follows an opposing candidate to counter their claims in real time. | [CORE] |
| *truth* | *self-evident truth* | N/A | a truth that requires no proof or demonstration; something obviously true | Used in philosophical and political discourse; associated with the US Declaration of Independence (*We hold these truths to be self-evident*); used more broadly for any proposition taken as obviously true. | [CORE] |
| *truth* | *truth and reconciliation* | N/A | a process of acknowledging past wrongs as a basis for social healing | Used in political science and international law; associated with post-conflict transitional justice; *truth and reconciliation commission*; *truth and reconciliation process*. | [CORE] |
| *truth* | *half-truth* | N/A | a statement that is only partially true, especially one used to mislead | Documented in P1b Root 2, item 11. Used in everyday, journalistic, and political discourse. | [CORE] |
| *truth* | *home truth* | N/A | an unpleasant but true fact told directly to someone about themselves | Documented in P1b Root 2, item 12. Used in everyday British and Commonwealth English. | [CORE] |
| *truth* | *moment of truth* | N/A | a critical point at which the true nature of something is revealed or a decisive test must be faced | Documented in P1b Root 2, item 14. Originally from Spanish bullfighting terminology; now used broadly. | [CORE] |
| *truth* | *speak truth to power* | N/A | to challenge authority by stating uncomfortable facts or moral truths | A fixed phrase used in political and activist discourse; associated with Quaker tradition and popularized in the 20th century; *she spoke truth to power in her testimony before Congress*. | [CORE] |
| *accurate* | *accurate to within* | N/A | correct within a specified margin of error | Used in scientific, technical, and journalistic contexts to specify the degree of precision of a measurement or instrument; *accurate to within one millimeter*; *accurate to within 0.1%*; *accurate to within three percentage points*. A standard technical construction. Common in technical and scientific writing. | [CORE] |
| *accurate* | *broadly accurate* | N/A | correct in its general outlines; correct in its main features, though not in every detail | Used to acknowledge that a description or account is substantially correct without asserting complete precision; *the description is broadly accurate*; *broadly accurate but oversimplified*. Common in journalistic and analytical writing when assessing the overall correctness of a claim. | [CORE] |
| *accurate* | *reasonably accurate* | N/A | sufficiently correct for practical purposes; approximately right | Used to indicate that something is correct within acceptable limits, without claiming complete precision; *the model provides a reasonably accurate prediction of outcomes*. Common in scientific, journalistic, and everyday contexts. | [CORE] |
| *accurate* | *factually accurate* | N/A | correct with respect to the facts; not containing factual errors | Used in journalistic, legal, and academic contexts to specify that a claim or account is free from factual errors. | [CORE] |
