| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| *false* | | Old English *fals*, from Latin *falsus* (deceived, feigned), past participle of *fallere* (to deceive) | false, untrue, incorrect, counterfeit, deceitful | Applied to propositions, beliefs, appearances, and persons to indicate untruth, deception, or inauthenticity. Also used of objects or persons to indicate inauthenticity or deceptive appearance (e.g., *false teeth*, *false pretenses*). Covers both epistemic falsity and moral duplicity. Productive: *falsely*, *falseness*, *falsity*, *falsify*, *falsification*, *falsehood*. | [CORE] |
| *falsehood* | | *false* + *-hood* (condition, state) | falsehood, lie, untruth, deception | Refers to a false statement or the condition of being false. Used in moral and legal contexts, often with connotations of deliberate deception. Distinguished from *error* by typically implying intent. | [CORE] |
| *counterfeit* | | Old French *contrefait*, from *contrefaire* (to imitate), from *contre-* + *faire* (to make) | counterfeit, forged, fake, imitation | Primarily applied to currency, documents, and goods made in fraudulent imitation of genuine items. Carries a stronger implication of deliberate deception than *fake* in many contexts. Carries strong legal connotations of fraud. Used as noun, verb, and adjective. Productive: *counterfeiter*, *counterfeiting*. | [CORE] |
| *spurious* | | Latin *spurius* (illegitimate, false) | spurious, false, illegitimate, counterfeit, not genuine | Applied to claims, arguments, documents, and attributions that are not what they appear to be or that lack genuine basis. More formal and often used in academic, legal, or scholarly registers. Productive: *spuriously*, *spuriousness*. | [MARGINAL] |
| *veracious* | | Latin *verax* (stem *verac-*), truthful, from *verus* (true) + *-acious* (tending to) | truthful, veracious, accurate | Applied to persons and statements to indicate habitual truthfulness or factual accuracy. More formal and less common than *truthful*; found chiefly in literary and elevated registers. Productive: *veraciously*, *veracity*. | [MARGINAL] |
| *veracity* | | Latin *verax* + *-itas*; Medieval Latin *veracitas*, from *verax* (truthful); quality of being truthful | truthfulness, veracity, accuracy, honesty | Refers to the quality of being truthful or accurate, applied to persons, accounts, and statements. Commonly used in legal and journalistic contexts when assessing the reliability of testimony or reporting, particularly in evaluating witness testimony. Derives from the same root as *veracious*. | [CORE] |
| *reliable* | | *rely* (from Old French *relier*, to bind back) + *-able* | reliable, dependable, trustworthy, credible | Applied to persons, sources, instruments, and methods to indicate that they can be consistently trusted to perform correctly or provide accurate information. Commonly used in evaluations of testimony, evidence, and character. Productive: *reliability*, *reliably*, *unreliable*, *unreliability*. | [CORE] |
| *credible* | | Latin *credibilis* (worthy of belief), from *credere* (to believe) | credible, believable, plausible, trustworthy | Applied to persons, accounts, and evidence to indicate that they are worthy of belief or trust, typically because they are plausible and the source is trustworthy. Distinct from *reliable* in focusing on believability rather than consistent performance. Used in legal contexts to assess witness testimony and in everyday contexts to evaluate claims. Productive: *credibility*, *credibly*, *incredible*, *incredibility*. | [CORE] |
| *plausible* | | Latin *plausibilis* (deserving applause), from *plaudere* (to applaud) | plausible, believable, seemingly reasonable, credible | Applied to explanations, claims, and persons to indicate that they appear reasonable or probable on the basis of available evidence or general knowledge, without asserting that they are actually true. Occupies a weaker epistemic position than *credible* in many uses. Often carries a slight implication that the appearance may not match reality. Productive: *plausibility*, *plausibly*, *implausible*, *implausibility*. | [CORE] |
| *legitimate* | | Medieval Latin *legitimatus*, from *legitimus* (lawful), from *lex* (law) | legitimate, lawful, valid, genuine, rightful | Applied to claims, authority, procedures, and persons to indicate conformity with law, rules, or accepted standards. Also used more loosely to mean genuine, real, or reasonable in informal contexts. Used in legal, political, and general evaluative contexts. Productive: *legitimacy*, *legitimately*, *illegitimate*, *legitimize*, *legitimation*. | [CORE] |
| *fraudulent* | | Latin *fraudulentus*, from *fraus* (stem *fraud-*) (fraud, deceit, trickery) | fraudulent, deceitful, dishonest, false | Applied to acts, documents, and representations made with intent to deceive for unlawful gain. Primarily a legal and formal term but used broadly. Productive: *fraudulently*, *fraud*, *fraudulence*. | [CORE] |
| *sincere* | | Latin *sincerus* (whole, pure, genuine); etymology debated (possibly *semel* "once" + *cera* "wax," referring to unrepaired pottery, or from *sine* "without" + *cera*) | sincere, genuine, honest, heartfelt | Applied to persons, emotions, expressions, and intentions to indicate that they are genuinely felt or meant, without pretense or dissimulation. Distinct from *truthful* in focusing on the match between expression and inner state rather than between statement and external fact. Contrasts with *insincere* and *hypocritical*. Productive: *sincerely*, *sincerity*, *insincerity*, *insincere*. | [CORE] |
| *bona fide* | | Latin *bona fide* (in good faith), from *bonus* (good) + *fides* (faith) | genuine, authentic, in good faith, legitimate | Used as an adjective or adverb to indicate that something is genuine or done in good faith, without fraud or deception. Common in legal and formal contexts. Also used informally to mean simply *real* or *genuine*. Functions as a fixed expression with limited internal modification. | [CORE] |
| *apocryphal* | | Greek *apokryphos* (hidden, obscure), from *apo-* (away) + *kryptein* (to hide) | apocryphal, of doubtful authenticity, legendary, unverified | Applied to stories, sayings, and texts whose authenticity or historicity is doubtful, though they are widely circulated. Originally referred to texts excluded from the biblical canon. Carries a connotation that the item is probably not genuine but has achieved cultural currency, though it may be difficult to disprove. Productive: *apocryphally*, *Apocrypha*. | [CORE] |
| *verisimilitude* | | Latin *verisimilitudo*, from *verus* (true) + *similis* (like) + *-tudo* (abstract noun suffix) | verisimilitude, appearance of truth, plausibility, lifelikeness | Refers to the quality of appearing to be true or real, especially in literary and artistic contexts where a work convincingly represents reality or seems lifelike and believable. Also used in philosophy of science to describe how closely a theory approximates truth. Primarily a formal and academic term. | [MARGINAL] |
| *sound* (adjective) | | Old English *sund* (healthy, whole); also attested as *gesund* | sound, valid, well-founded, reliable, correct | Applied to arguments, reasoning, judgments, and advice to indicate that they are well-grounded, free from error, and based on solid principles. In formal logic, a *sound* argument is both valid and has true premises. In general usage, applied to reasoning, judgment, or structures to indicate reliability and freedom from flaw. Productive: *soundly*, *soundness*, *unsound*. | [CORE] |
| *trustworthy* | | *trust* (Old Norse *traust*, confidence) + *worthy* (deserving) | trustworthy, reliable, dependable, honest | Applied to persons, sources, and institutions to indicate that they can be relied upon to be honest and to act as expected. Commonly used in assessments of character and in evaluations of information sources. Productive: *trustworthiness*, *untrustworthy*. | [CORE] |
| *fictitious* | | Latin *ficticius* (artificial, feigned), from *fingere* (to shape, feign) | fictitious, invented, imaginary, false, fabricated | Applied to names, accounts, persons, and entities that are invented or fabricated rather than real. Used in legal contexts (e.g., *fictitious name*) and in literary contexts. Related to *fiction*, *fictive*. Productive: *fictitiously*, *fictitiousness*. | [CORE] |
| *fabricated* | | Latin *fabricatus*, past participle of *fabricare* (to construct), from *fabrica* (workshop); extended to mean invented or falsified | fabricated, invented, made up, falsified, forged | Applied to evidence, stories, and claims to indicate that they have been invented or falsified, typically with intent to deceive. Used in legal and journalistic contexts. Productive: *fabricate*, *fabrication*, *fabricator*. | [CORE] |
| *rightful* | | *right* (Old English *riht*) + *-ful* (having the quality of) | rightful, legitimate, lawful, just, proper | Applied to claims, ownership, and positions to indicate that they are held or exercised in accordance with right, law, or justice. Commonly used in legal and moral contexts to assert that something belongs to or is owed to someone by right. Productive: *rightfully*, *rightfulness*. | [CORE] |
| *veridical* | | Latin *veridicus* (truth-telling), from *verus* (true) + *dicere* (to say) | | Used primarily in philosophical and psychological contexts to describe perceptions, reports, or representations that accurately correspond to reality. Contrasts with *illusory* or *hallucinatory* in perceptual contexts. Productive: *veridicality*, *veridically*. | [MARGINAL] |
| *truthful* | | *truth* (Old English *trēowþ*) + *-ful* | | Applied to persons or statements to indicate a disposition or tendency toward telling the truth, or that they tell or reflect the truth. Focuses on the agent's honesty rather than the correspondence of a specific proposition to fact. Distinguished from *true* in that it more commonly characterizes persons and their habitual disposition toward honesty. Productive: *truthfully*, *truthfulness*, *untruthful*. | [CORE] |
| *honest* | | Old French *honeste*, from Latin *honestus* (honorable), from *honor* | | Applied to persons, statements, and conduct to indicate freedom from deception, fraud, or concealment. Broader in scope than *truthful*, encompassing fairness and integrity in dealings as well as verbal accuracy. Productive: *honesty*, *honestly*, *dishonest*, *dishonesty*. | [CORE] |
| *faithful* | | *faith* (Old French *feid*, Latin *fides* "trust") + *-ful* | | Applied to translations, reproductions, accounts, and persons to indicate close adherence to an original, a commitment, or a relationship. In evaluative contexts, often predicates accuracy of representation relative to a source. A *faithful* translation or reproduction preserves the essential features of its source. Productive: *faithfully*, *faithfulness*, *unfaithful*, *unfaithfulness*. | [CORE] |
| *exact* | | Latin *exactus* (driven out, precise), past participle of *exigere* (to drive out, demand, measure) | | Predicates precise correspondence or conformity, often with an implication of leaving no margin for error or approximation. Applied to measurements, reproductions, quotations, and descriptions to indicate complete correspondence with a standard or original, without deviation. Productive: *exactly*, *exactness*, *exactitude*, *inexact*. | [CORE] |
| *verifiable* | | *verify* (Old French *verifier*, Medieval Latin *verificare*, from Latin *verus* "true" + *facere* "to make") + *-able* | | Predicates that a claim or statement is capable of being checked against evidence or observation. Commonly used in scientific, journalistic, and philosophical contexts. Productive: *verifiability*, *verify*, *verification*, *unverifiable*. | [CORE] |
| *bona fides* | | Latin "good faith" (noun phrase) | good faith, credentials, genuineness | Used as a noun to refer to the sincerity or genuineness of a person's intentions, or to evidence establishing that someone is who they claim to be. Distinct in function from the adjectival *bona fide*, though sharing the same Latin source. Fixed expression. | [CORE] |
| *ersatz* | | German *Ersatz* (replacement, substitute) | | Applied to objects or experiences that are inferior substitutes for the genuine article, often with a connotation of inadequacy or artificiality. Borrowed into English from German, primarily in the twentieth century. Derivational productivity in English is limited. | [CORE] |
| *pseudo-* | | Greek *pseudēs* (false, lying) | | A productive prefix attached to nouns and adjectives to indicate that something falsely claims or resembles the category named (e.g., *pseudoscience*, *pseudo-intellectual*, *pseudonym*). Widely used in academic, scientific, and general registers. Not a free-standing lexical item but included as a highly productive bound form in this evaluative domain. | [CORE] |
| *canonical* | | Greek/Latin *canonicus* (according to rule), from *kanon* (rule, standard) | | Applied to texts, interpretations, versions, or examples that are recognized as authoritative, standard, or definitively representative of a category. Used in literary, religious, philosophical, and general academic contexts. Productive: *canonically*, *canon*, *canonize*, *canonization*. | [CORE] |
| *specious* | | Latin *speciosus* (good-looking, plausible), from *species* (appearance) | | Applied to arguments, claims, or reasoning that appear sound or well-founded on the surface but are actually flawed or misleading. Emphasizes the deceptive plausibility of the item being evaluated. Carries a negative evaluative force. Productive: *speciously*, *speciousness*. | [CORE] |
| *bogus* | | origin uncertain; possibly from a device for making counterfeit coins | | Applied to objects, claims, credentials, and persons that are not genuine or are fraudulent. More informal in register than *counterfeit* or *spurious*. Derives: no productive derivation widely attested. | [CORE] |
| *true* | | Old English *trēowe* (faithful, trustworthy) | true | The base adjective, used predicatively and attributively across all registers to assert factual correctness, genuineness, or faithfulness. Already in P1; listed here as the anchor form. | [CORE] |
| *truth* | | OE *trēowþ*, from *trēowe* "faithful" + *-þ* (abstract noun suffix); also analysed as *true* + Old English *-th* (abstract noun suffix) | the quality or state of being true; that which is true | Used across all registers as the primary noun for the concept of correspondence to fact or reality. The nominalization of *true*; refers to the property of being true or to a true statement. Already in P1; listed here as anchor form. "Tell me the truth." "The truth of the matter is disputed." | [CORE] |
| *truly* | | *true* + *-ly* (adverbial suffix) | truly, genuinely, really; in a true manner; used as an intensifier | Used as an adverb to intensify or affirm the genuineness of a predicate (*truly remarkable*, *truly sorry*) and in formal letter closings (*Yours truly*). Also used as an adverb of manner (*truly believe*). Appears across all registers. "I truly believe this is the right decision." | [CORE] |
| *untrue* | | *un-* (negation) + *true* | untrue, false, unfaithful; not true | Applied to statements and representations to indicate that they do not correspond to fact. Also used of persons to indicate unfaithfulness or disloyalty, particularly in older or literary usage. Used in general speech as a somewhat softer alternative to *false* or *wrong*. "That statement is simply untrue." | [CORE] |
| *untruth* | | *un-* (negation) + *truth* | untruth, falsehood, lie; a false statement (often used as a euphemism) | Refers to a false statement, often with a softer connotation than *lie*, implying that the falsity may be partial or unintentional. Used in formal, journalistic, political, and polite registers as a euphemism for *lie*. "He was accused of telling untruths." | [CORE] |
| *trueness* | | *true* + *-ness* (abstract noun suffix) | trueness, accuracy, fidelity | Refers to the quality of being true or accurate, particularly in technical contexts such as engineering (the *trueness* of a surface or measurement). Less common than *truth* in philosophical contexts. | [MARGINAL] |
| *true-blue* | | *true* + *blue* (historically associated with constancy and loyalty; color symbolism for constancy) | genuinely loyal, staunchly faithful, thoroughly committed; staunchly faithful to a cause or party | Used to describe persons or things that are thoroughly genuine, loyal, or committed to a cause or identity. Common in informal and political registers to describe unwavering loyalty. "She was a true-blue supporter of the cause." (*a true-blue conservative*) | [CORE] |
| *true-life* | | *true* + *life* | based on real events, factual | Used attributively to describe narratives, films, or accounts that are based on actual events rather than invented (*a true-life story*). Common in popular media and publishing. | [CORE] |
| *true north* | | *true* + *north* (geographic direction) | geographic north (as opposed to magnetic north); also: one's guiding principle or authentic direction | In navigation, refers to the direction of the geographic North Pole as distinct from magnetic north. Metaphorically used in leadership and self-help discourse to mean one's authentic values or guiding purpose. "The organization's values serve as its true north." | [CORE] |
| *true to life* | | *true* + *to* + *life* | realistic, lifelike, accurately representing reality | Applied to artistic works, descriptions, and portrayals to indicate that they accurately represent real experience or appearance. Used in literary criticism, art criticism, and everyday evaluation of representations. "The characters in the novel are remarkably true to life." | [CORE] |
| *true to form* | | *true* + *to* + *form* (established pattern of behavior) | characteristically, as expected, consistent with past behavior; behaving in the way that is expected or typical | Used to indicate that someone or something is behaving in a manner consistent with their established character or pattern. Common in journalism and informal commentary, often with a slightly ironic tone. "True to form, he arrived an hour late." | [CORE] |
| *true to type* | | *true* + *to* + *type* (established category or pattern) | conforming to the expected characteristics of a type or category | Used in biological, horticultural, psychological, and informal contexts to indicate that an individual or instance conforms to the defining characteristics of its category. "The offspring bred true to type." | [CORE] |
| *come true* | | *come* + *true* (predicative adjective) | to be realized, to happen as hoped or predicted | Applied to dreams, predictions, and wishes to indicate that they have been realized in fact. Extremely common in everyday speech and narrative contexts. | [CORE] |
| *ring true* | | *ring* (to sound) + *true* (predicative adjective) | to sound genuine, to seem credible or authentic | Applied to statements, explanations, and accounts to indicate that they have the quality of being believable or genuine. The metaphor derives from testing coins by their sound. Common in everyday and journalistic usage. | [CORE] |
| *hold true* | | *hold* + *true* (predicative adjective) | to remain valid, to continue to apply | Used of principles, rules, and generalizations to indicate that they remain applicable in a given context or over time. Common in academic, legal, and analytical writing. | [CORE] |
| *prove true* | | *prove* + *true* (predicative adjective) | to turn out to be correct, to be confirmed by events | Applied to predictions, suspicions, and claims that are subsequently confirmed by evidence or events. Used across all registers. | [CORE] |
| *true enough* | | *true* + *enough* (degree modifier) | admittedly correct, fair enough, that is accurate as far as it goes | Used as a concessive expression to acknowledge the partial or qualified truth of a statement before introducing a qualification or counterpoint. Common in spoken and written argumentation. | [CORE] |
| *too true* | | *too* (intensifier) + *true* | unfortunately very accurate, regrettably correct | Used as an emphatic affirmation, often with a tone of resignation or regret, to confirm that something unpleasant or unwelcome is indeed the case. Common in informal speech. | [CORE] |
| *truth-telling* | | *truth* + *tell* + *-ing* (gerund/participial suffix) | the act or practice of telling the truth, honest disclosure | Used in moral philosophy, journalism, political discourse, and everyday speech to describe the practice or act of disclosing facts honestly, often in contexts where there is pressure to conceal or distort. Often used as a gerund or attributive noun. "Truth-telling is considered a fundamental moral obligation in most ethical systems." | [CORE] |
| *truth-seeker* | | *truth* + *seek* + *-er* (agent suffix) | one who seeks truth, an investigator of facts | Applied to philosophers, journalists, scientists, and others who are characterized by a commitment to discovering what is true. Used in intellectual and journalistic discourse. | [CORE] |
| *truth-teller* | | *truth* + *tell* + *-er* (agent suffix) | a person who tells the truth; one who speaks honestly; one known for honesty | Used in general and philosophical discourse, sometimes with a heroic or admiring connotation. Sometimes applied to whistleblowers or prophetic figures who speak uncomfortable truths. "She was known as a truth-teller who refused to soften her assessments." | [CORE] |
| *truth value* | | *truth* + *value* (logical or semantic value) | the truth or falsity of a proposition; the logical status of a proposition as true or false | A technical term in formal logic and philosophy of language referring to whether a proposition is true or false. In classical logic, every proposition has exactly one truth value: true or false (in non-classical logics, multiple values may be admitted). Used in logic, linguistics, and philosophy of language. "In classical logic, every proposition has exactly one truth value: true or false." | [CORE] |
| *truth condition* | | *truth* + *condition* (requirement for obtaining) | the condition under which a statement is true | A technical term in formal semantics and philosophy of language referring to the circumstances that must obtain for a sentence to be true. Central to truth-conditional semantics. "Knowing the meaning of a sentence is knowing its truth conditions." | [CORE] |
| *truth-conditional* | | *truth* + *condition* + *-al* | of or relating to truth conditions; describing a theory of meaning based on truth conditions | Used in formal semantics and philosophy of language. *Truth-conditional semantics* identifies the meaning of a sentence with its truth conditions; contrasts with use-theoretic or inferentialist approaches. "Truth-conditional semantics identifies the meaning of a sentence with its truth conditions." | [MARGINAL] |
| *truth table* | | *truth* + *table* (systematic arrangement) | a table showing the truth values of compound propositions for all combinations of truth values of their components | A technical term in formal logic, mathematics, and computer science referring to a tabular representation of all possible truth values of a logical expression and its components. Standard tool in propositional logic and digital circuit design. "Students construct truth tables to evaluate the validity of logical arguments." | [CORE] |
| *truth claim* | | *truth* + *claim* (assertion) | an assertion that something is true | Used in philosophy, theology, and academic discourse to refer to any assertion that purports to state a fact about reality, particularly when the validity of such assertions is under examination. | [CORE] |
| *ground truth* | | *ground* (foundational, actual) + *truth* | verified factual information; the actual state of affairs on the ground; information obtained by direct observation or measurement rather than inference | Used in remote sensing, machine learning, military, and scientific contexts to refer to information obtained by direct observation or measurement, used as a standard against which models or reports are validated. Also used more broadly to mean the actual facts of a situation. "The satellite imagery was checked against ground truth data." | [CORE] |
| *home truth* | | *home* (direct, personal) + *truth* | an unpleasant but accurate fact told directly to someone about themselves; an unpleasant but true statement about a person, especially one they need to hear | Used to describe a frank and often uncomfortable statement of fact directed at a person about their own character, behavior, or situation. Common in interpersonal and journalistic contexts; used in everyday British and Commonwealth English, often in the plural. "It was time to tell him a few home truths about his behavior." | [CORE] |
| *half-truth* | | *half* + *truth* | a statement that is partially true but misleading; a statement that is only partially true, especially one used to mislead | Applied to statements that contain some factual basis but omit or distort information in a way that creates a false impression. Used in political, journalistic, and moral discourse. "The advertisement was full of half-truths." | [CORE] |
| *truth be told* | | *truth* + *be* + *told* (subjunctive/passive construction; fixed discourse marker) | to be honest, frankly speaking, if one is to be truthful; honestly speaking | Used as a discourse marker to introduce a frank or candid statement, often one that the speaker might otherwise hesitate to make. Common in spoken and informal written English. "Truth be told, I never expected to win." | [CORE] |
| *the truth of the matter* | | *the truth* + *of the matter* (prepositional phrase specifying the subject; fixed collocation) | the actual facts of the situation; what is actually the case; the real facts | A fixed phrase used to introduce or emphasize what the speaker regards as the actual facts, often in contrast to appearances, claims, or misconceptions. Common across all registers. "The truth of the matter is that no decision has been made." | [CORE] |
| *moment of truth* | | *moment* + *of* + *truth* (calque of Spanish *momento de la verdad*) | a decisive moment when the true nature of something is revealed or tested; a critical point at which the true nature of something is revealed or a decisive test must be faced | Used to describe a critical juncture at which the real quality, character, or validity of something is put to the test. Borrowed from Spanish *momento de la verdad* (bullfighting). Common in journalism, business, and everyday speech. "The moment of truth came when the results were announced." | [CORE] |
| *trust* | | Old Norse *traust* (confidence, help); cognate with *true* | trust, confidence, reliance; firm belief in the reliability, truth, or ability of someone or something | Refers to confident reliance on the integrity, ability, or character of a person or thing. Used across all registers — personal, legal, financial, and philosophical. Extremely productive: *trustworthy*, *trustworthiness*, *distrust*, *mistrust*, *entrust*, *trust fund*, *trust relationship*. Listed here as a cognate root form. | [CORE] |
| *trustworthy* | | *trust* + *worthy* (deserving of) | deserving of trust, reliable, honest | Already in P1; listed here to anchor the *trust* branch of the root family. Applied to persons, sources, and institutions across all registers. "A trustworthy witness, a trustworthy source." | [CORE] |
| *trustworthiness* | | *trust* + *worthy* + *-ness* | the quality of being trustworthy | Used in assessments of character, institutional reliability, and source credibility. Common in journalism, psychology, and ethics. "The trustworthiness of the evidence." | [CORE] |
| *untrustworthy* | | *un-* + *trustworthy* | not deserving of trust; unreliable or dishonest | Applied to persons, sources, and institutions; used in legal, journalistic, and everyday contexts. | [CORE] |
| *distrust* | | *dis-* (negation/reversal) + *trust* | distrust, lack of confidence, suspicion | Used as noun and verb to indicate a lack of confidence in the reliability or honesty of a person, institution, or source. Common across all registers. | [CORE] |
| *mistrust* | | *mis-* (wrongly, badly) + *trust* | mistrust, suspicion, doubt | Used as noun and verb to indicate suspicion or doubt about the reliability or honesty of someone or something. Slightly more active in connotation than *distrust*. Common across all registers. | [CORE] |
| *entrust* | | *en-* (causative prefix) + *trust* | to place in someone's care, to give responsibility to | Used to indicate the act of placing something valuable or important in the care or responsibility of another person. Common in legal, administrative, and everyday contexts. | [CORE] |
| *true-born* | | *true* + *born* (past participle of *bear*) | of genuine birth or origin, authentically of a particular kind | Used to indicate that someone is genuinely of a particular nationality, lineage, or character by birth. Primarily literary and historical in current usage (*a true-born Englishman*). | [MARGINAL] |
| *true-hearted* | | *true* + *heart* + *-ed* (having the quality of) | loyal, sincere, faithful in heart | Applied to persons to indicate genuine loyalty and sincerity of feeling. Primarily literary and archaic in current usage. | [MARGINAL] |
| *post-truth* | | *post-* (after) + *truth* | relating to or denoting circumstances in which objective facts are less influential than appeals to emotion or personal belief in shaping public opinion | Used in political, journalistic, and academic discourse to describe an environment in which truth is systematically devalued in public debate. Widely used since approximately 2016; *Oxford Dictionaries* Word of the Year 2016. "We are living in a post-truth era." | [CORE] |
| *truth-functional* | | *truth* + *function* + *-al* | having a truth value determined solely by the truth values of its components | A technical term in formal logic referring to connectives or compound propositions whose truth value is entirely determined by the truth values of their constituent propositions. | [CORE] |
| *untruthful* | | *un-* + *truthful* | not truthful; given to telling falsehoods | Used in general and formal registers to characterize a person or statement. Used in legal, journalistic, and everyday contexts. "The report was found to be untruthful in several key respects." | [CORE] |
| *truthfulness* | | *truthful* + *-ness* | the quality of being truthful | Used in moral, legal, and general evaluative contexts. "The truthfulness of the account was never seriously questioned." | [CORE] |
| *untruthfulness* | | *un-* + *truthful* + *-ness* | the quality or habit of being untruthful | Used in moral and legal evaluations of character. "The untruthfulness of the witness undermined the case." | [CORE] |
| *truism* | | *true* + *-ism* | a statement that is obviously true and therefore not worth stating; a platitude | Used in general and intellectual discourse to dismiss a claim as trivially obvious; carries a mildly dismissive connotation. "It is a truism that prevention is better than cure." | [CORE] |
| *true believer* | | *true* + *believer* | a person with unquestioning faith in a doctrine or cause | Used in religious, political, and general contexts, often with a connotation of uncritical commitment. Popularized by Eric Hoffer's 1951 book of the same name. "He was a true believer in the party's ideology." | [CORE] |
| *out of true* | | *out of* + *true* (used as a noun) | not perfectly aligned or straight; deviating from the correct position | Used in technical and craft contexts (carpentry, engineering) to describe a surface or structure that is not perfectly level or aligned. "The door frame is slightly out of true." | [CORE] |
| *truth serum* | | *truth* + *serum* | a drug supposedly causing a person to tell the truth under questioning | Used in general, journalistic, and popular-culture contexts. "Sodium pentothal has been called a truth serum, though its reliability is disputed." | [CORE] |
| *truth commission* | | *truth* + *commission* | an official body established to investigate past human rights abuses and establish a factual record | Used in political and legal discourse, especially in post-conflict or transitional justice contexts. "South Africa's Truth and Reconciliation Commission became a model for other nations." | [CORE] |
| *gospel truth* | | *gospel* (OE *gōdspel* "good news") + *truth* | something regarded as absolutely and unquestionably true | Used in everyday speech to emphasize the certainty of a claim; often used ironically. "I'm telling you the gospel truth." | [CORE] |
| *in truth* | | *in* + *truth* (prepositional phrase used adverbially) | in reality; actually; truly | Used as a formal or literary adverbial phrase to introduce a correction or clarification. "In truth, the situation was far more complex." | [CORE] |
| *of a truth* | | *of* + *a* + *truth* | truly; in fact (archaic/literary) | Archaic or biblical register; found in older translations and literary texts. "Of a truth I say unto you." | [MARGINAL] |
| *to tell the truth* | | *tell* + *the* + *truth* (fixed phrase) | to speak honestly; used as a discourse marker meaning "honestly" | Used both literally and as a discourse marker. "To tell the truth, I have no idea what happened." | [CORE] |
