## Comparison table

| Empirical Dimension | Construction | Empirical Result | AOML Prediction | Alignment Type | Notes |
| Precision / exactness / accuracy of detail | Revelation / exposure | **INSUFFICIENT DATA** | No clear AOML prediction | NO ALIGNMENT | No basis for comparison. |
| Precision / exactness / accuracy of detail | Become / inchoative status change | **VARIABLE** | VER × BECOME restricted could host some cases | PARTIAL | Only partial because AOML lacks a dedicated precision axis. |
| Precision / exactness / accuracy of detail | Causative / induced result | **VARIABLE** | VER/VERIF restricted causation compatible | PARTIAL | Partial only. |
| Precision / exactness / accuracy of detail | Appearance vs reality framing | **INSUFFICIENT DATA** | No clear AOML prediction | NO ALIGNMENT | No basis for comparison. |
| Precision / exactness / accuracy of detail | Abstract nominalization / quality noun | **ALLOWED** | VER × ABSTR licensed | PARTIAL | Works if precision is treated as a VER subregion, but that is a compression of the empirical distinction. |
| Conformity / correspondence / matching to facts, rules, source | Simple attribution | **ALLOWED** | Could map to VER, NORM, AUTH, or LIFE depending on target | PARTIAL | AOML can host this only by splitting the empirical category across several axes. |
| Conformity / correspondence / matching to facts, rules, source | Negative attribution | **ALLOWED** | Same multi-axis issue | PARTIAL | Same reason. |
| Conformity / correspondence / matching to facts, rules, source | Adnominal modification | **VARIABLE** | No dedicated AOML operator | NO ALIGNMENT | Too heterogeneous for a clean mapping. |
| Conformity / correspondence / matching to facts, rules, source | Truth/fact as object of verb | **VARIABLE** | Often VERIF or LIFE or AUTH depending on context | PARTIAL | Partial only. |
| Conformity / correspondence / matching to facts, rules, source | Verification / checking / confirmation | **ALLOWED** | **VERIF** strongly compatible | MATCH | Strong fit. |
| Conformity / correspondence / matching to facts, rules, source | Revelation / exposure | **VARIABLE** | REVEAL not central but possible in some subcases | PARTIAL | Partial only. |
| Conformity / correspondence / matching to facts, rules, source | Become / inchoative status change | **VARIABLE** | Restricted across relevant axes | PARTIAL | Partial only. |
| Conformity / correspondence / matching to facts, rules, source | Causative / induced result | **ALLOWED** | CAUSE compatible especially with NORM/VERIF/LIFE/AUTH adjustments | MATCH | Good fit for “make conform / align / match.” |
| Conformity / correspondence / matching to facts, rules, source | Appearance vs reality framing | **VARIABLE** | LIFE and AUTH partly relevant | PARTIAL | Partial only. |
| Conformity / correspondence / matching to facts, rules, source | Abstract nominalization / quality noun | **ALLOWED** | ABSTR compatible across host axes | MATCH | Broadly compatible. |
| Reliability / trustworthiness / dependability | Simple attribution | **ALLOWED** | Could map to **SINC** subregion “reliability” or to trust-related evaluative states | PARTIAL | AOML places reliability under SINC subregions, but empirical data often treats reliability as source/system property, not just honesty of intent. |
| Reliability / trustworthiness / dependability | Negative attribution | **ALLOWED** | SINC contrast compatible | PARTIAL | Same issue. |
| Reliability / trustworthiness / dependability | Adnominal modification | **ALLOWED** | SINC attribution compatible | DIRECTIONAL | Semantically plausible, but target-type fit is imperfect. |
| Reliability / trustworthiness / dependability | Truth/fact as object of verb | **VARIABLE** | Not central to SINC | NO ALIGNMENT | AOML does not clearly predict this construction for reliability. |
| Reliability / trustworthiness / dependability | Verification / checking / confirmation | **VARIABLE** | SINC default method TESTIMONY / observation over time; VERIF can assess evidence | PARTIAL | Empirical data often checks reliability procedurally; AOML only partly captures this. |
| Reliability / trustworthiness / dependability | Revelation / exposure | **INSUFFICIENT DATA** | REVEAL licensed for SINC provisionally | NO ALIGNMENT | Empirical matrix lacks enough support. |
| Reliability / trustworthiness / dependability | Become / inchoative status change | **BLOCKED** | **SINC × BECOME = restricted**, not blocked | CONFLICT | Empirical matrix is stronger than AOML here. |
| Reliability / trustworthiness / dependability | Causative / induced result | **BLOCKED** | **CAUSE × SINC = universally blocked (R1)** | MATCH | Strong direct alignment if reliability is treated as SINC subregion, as AOML does. |
| Reliability / trustworthiness / dependability | Appearance vs reality framing | **INSUFFICIENT DATA** | No strong AOML prediction | NO ALIGNMENT | No basis for comparison. |
| Reliability / trustworthiness / dependability | Abstract nominalization / quality noun | **ALLOWED** | **SINC × ABSTR = licensed** | MATCH | Strong fit. |
| Credibility / plausibility / convincingness | Simple attribution | **ALLOWED** | Could map partly to **LIFE** (verisimilitude) or SINC-adjacent evaluation | PARTIAL | AOML has no dedicated credibility axis; closest fits are LIFE and perhaps SINC, but neither is exact. |
| Credibility / plausibility / convincingness | Negative attribution | **VARIABLE** | Same issue | PARTIAL | Partial only. |
| Credibility / plausibility / convincingness | Adnominal modification | **ALLOWED** | LIFE attribution partly compatible | PARTIAL | Only partial. |
| Credibility / plausibility / convincingness | Truth/fact as object of verb | **INSUFFICIENT DATA** | No clear AOML mapping | NO ALIGNMENT | No basis. |
| Credibility / plausibility / convincingness | Verification / checking / confirmation | **VARIABLE** | VERIF may interact, but credibility is not verification itself | PARTIAL | Partial only. |
| Credibility / plausibility / convincingness | Revelation / exposure | **INSUFFICIENT DATA** | No clear AOML mapping | NO ALIGNMENT | No basis. |
| Credibility / plausibility / convincingness | Become / inchoative status change | **VARIABLE** | **LIFE × BECOME = restricted** could partly host “become convincing” | PARTIAL | Partial only. |
| Credibility / plausibility / convincingness | Causative / induced result | **ALLOWED** | **LIFE × CAUSE = restricted**; making something believable fits representational shaping | MATCH | Best fit is with LIFE, though not perfect. |
| Credibility / plausibility / convincingness | Appearance vs reality framing | **ALLOWED** | **LIFE** strongly compatible | MATCH | Strong fit if plausibility is treated as representational fidelity/verisimilitude. |
| Credibility / plausibility / convincingness | Abstract nominalization / quality noun | **ALLOWED** | **LIFE × ABSTR = blocked** | CONFLICT | Empirical matrix allows credibility nouns widely, but AOML blocks ABSTR for LIFE. This suggests credibility is not comfortably housed in LIFE alone. |
| Formal validity / legal-procedural standing | Simple attribution | **ALLOWED** | Could map to **NORM** or **VERIF**; AOML has no separate validity axis | PARTIAL | AOML distributes this across NORM and VERIF, while empirical matrix treats it as a distinct dimension. |
| Formal validity / legal-procedural standing | Negative attribution | **ALLOWED** | Same | PARTIAL | Same reason. |
| Formal validity / legal-procedural standing | Adnominal modification | **ALLOWED** | NORM/VERIF attribution compatible | DIRECTIONAL | Indirect fit. |
| Formal validity / legal-procedural standing | Truth/fact as object of verb | **VARIABLE** | Not central in AOML | PARTIAL | Partial only. |
| Formal validity / legal-procedural standing | Verification / checking / confirmation | **ALLOWED** | **VERIF** strongly compatible | MATCH | Strong fit. |
| Formal validity / legal-procedural standing | Revelation / exposure | **VARIABLE** | REVEAL possible but not central | PARTIAL | Partial only. |
| Formal validity / legal-procedural standing | Become / inchoative status change | **ALLOWED** | **NORM × BECOME = restricted** | MATCH | Empirical allowance fits AOML restricted licensing. |
| Formal validity / legal-procedural standing | Causative / induced result | **ALLOWED** | **NORM × CAUSE = restricted** | MATCH | Strong fit for validate/invalidate/ratify/nullify. |
| Formal validity / legal-procedural standing | Appearance vs reality framing | **INSUFFICIENT DATA** | No strong AOML prediction | NO ALIGNMENT | No basis. |
| Formal validity / legal-procedural standing | Abstract nominalization / quality noun | **ALLOWED** | **NORM × ABSTR = licensed** and VERIF × ABSTR = licensed | MATCH | Strong fit. |
| Justification / legitimacy / fairness / being in the right | Simple attribution | **ALLOWED** | **NORM × ATTR = licensed** | MATCH | Strong fit. |
| Justification / legitimacy / fairness / being in the right | Negative attribution | **ALLOWED** | NORM contrast compatible | PARTIAL | Same constructional caveat. |
| Justification / legitimacy / fairness / being in the right | Adnominal modification | **ALLOWED** | NORM attribution compatible | DIRECTIONAL | Indirect but good fit. |
| Justification / legitimacy / fairness / being in the right | Truth/fact as object of verb | **VARIABLE** | Not central to NORM | NO ALIGNMENT | No clear mapping. |
| Justification / legitimacy / fairness / being in the right | Verification / checking / confirmation | **VARIABLE** | NORM default methods are PRINCIPLE/CONSENSUS, not verification | PARTIAL | Some empirical checking exists, but AOML predicts a different validation habitat. |
| Justification / legitimacy / fairness / being in the right | Revelation / exposure | **INSUFFICIENT DATA** | Provisional REVEAL licensed for NORM | NO ALIGNMENT | Empirical matrix lacks enough support. |
| Justification / legitimacy / fairness / being in the right | Become / inchoative status change | **VARIABLE** | **NORM × BECOME = restricted** | MATCH | Good fit. |
| Justification / legitimacy / fairness / being in the right | Causative / induced result | **ALLOWED** | **NORM × CAUSE = restricted** | MATCH | Good fit. |
| Justification / legitimacy / fairness / being in the right | Appearance vs reality framing | **INSUFFICIENT DATA** | No strong AOML prediction | NO ALIGNMENT | No basis. |
| Justification / legitimacy / fairness / being in the right | Abstract nominalization / quality noun | **ALLOWED** | **NORM × ABSTR = licensed** | MATCH | Strong fit. |
| Essence / underlying nature / true identity | Simple attribution | **ALLOWED** | **ESS × ATTR = licensed** | MATCH | Strong fit. |
| Essence / underlying nature / true identity | Negative attribution | **VARIABLE** | ESS contrast compatible, but ESS is not primarily binary in AOML | PARTIAL | Partial only. |
| Essence / underlying nature / true identity | Adnominal modification | **ALLOWED** | ESS attribution compatible | DIRECTIONAL | Indirect but plausible. |
| Essence / underlying nature / true identity | Truth/fact as object of verb | **VARIABLE** | ESS often realized through understanding/revealing essence, not truth-object verbs | PARTIAL | Partial only. |
| Essence / underlying nature / true identity | Verification / checking / confirmation | **INSUFFICIENT DATA** | ESS default method LOGIC, not empirical verification | NO ALIGNMENT | No clear empirical support. |
| Essence / underlying nature / true identity | Revelation / exposure | **ALLOWED** | Provisional **REVEAL** licensed for ESS | MATCH | Strong fit. |
| Essence / underlying nature / true identity | Become / inchoative status change | **VARIABLE** | **ESS × BECOME = blocked** | CONFLICT | Empirical matrix allows variable inchoative behavior, but AOML blocks ESS-BECOME. |
| Essence / underlying nature / true identity | Causative / induced result | **BLOCKED** | **ESS × CAUSE = blocked** | MATCH | Strong fit. |
| Essence / underlying nature / true identity | Appearance vs reality framing | **ALLOWED** | ESS strongly compatible with surface/deep distinction and REVEAL | MATCH | Strong fit. |
| Essence / underlying nature / true identity | Abstract nominalization / quality noun | **ALLOWED** | **ESS × ABSTR = restricted** | PARTIAL | Empirical matrix says allowed; AOML says restricted/marginal. |
| Resemblance / similarity / likeness | Simple attribution | **ALLOWED** | Best fit is **LIFE × ATTR = licensed** | MATCH | Good fit if resemblance is treated as representational fidelity. |
| Resemblance / similarity / likeness | Negative attribution | **ALLOWED** | LIFE contrast compatible | PARTIAL | Same constructional caveat. |
| Resemblance / similarity / likeness | Adnominal modification | **ALLOWED** | LIFE attribution compatible | DIRECTIONAL | Indirect but plausible. |
| Resemblance / similarity / likeness | Truth/fact as object of verb | **VARIABLE** | Not central in AOML | NO ALIGNMENT | No clear mapping. |
| Resemblance / similarity / likeness | Verification / checking / confirmation | **VARIABLE** | LIFE default method CONSENSUS, admissible OBSERVATION | PARTIAL | Some empirical matching/checking fits, but not cleanly. |
| Resemblance / similarity / likeness | Revelation / exposure | **INSUFFICIENT DATA** | **REVEAL blocked for LIFE** | NO ALIGNMENT | No empirical basis here. |
| Resemblance / similarity / likeness | Become / inchoative status change | **VARIABLE** | **LIFE × BECOME = restricted** | MATCH | Good fit. |
| Resemblance / similarity / likeness | Causative / induced result | **VARIABLE** | **LIFE × CAUSE = restricted** | MATCH | Good fit for “make resemble / render lifelike.” |
| Resemblance / similarity / likeness | Appearance vs reality framing | **ALLOWED** | **LIFE** strongly compatible | MATCH | Strong fit. |
| Resemblance / similarity / likeness | Abstract nominalization / quality noun | **ALLOWED** | **LIFE × ABSTR = blocked** | CONFLICT | Empirical matrix allows similarity nouns broadly; AOML blocks ABSTR for LIFE. |
| Faithfulness to original / source / model | Simple attribution | **VARIABLE** | Could map to AUTH, LIFE, or SINC subregion “faithfulness” | PARTIAL | AOML has no single place for this empirical dimension. |
| Faithfulness to original / source / model | Negative attribution | **VARIABLE** | Same | PARTIAL | Same reason. |
| Faithfulness to original / source / model | Adnominal modification | **ALLOWED** | AUTH/LIFE attribution compatible | PARTIAL | Partial only. |
| Faithfulness to original / source / model | Truth/fact as object of verb | **VARIABLE** | Not central in AOML | NO ALIGNMENT | No clear mapping. |
| Faithfulness to original / source / model | Verification / checking / confirmation | **ALLOWED** | AUTH provenance and VERIF strongly compatible | MATCH | Strong fit. |
| Faithfulness to original / source / model | Revelation / exposure | **INSUFFICIENT DATA** | Could involve AUTH/LIFE but not clearly modeled | NO ALIGNMENT | No basis. |
| Faithfulness to original / source / model | Become / inchoative status change | **VARIABLE** | AUTH/LIFE restricted; SINC restricted | PARTIAL | Partial only. |
| Faithfulness to original / source / model | Causative / induced result | **VARIABLE** | AUTH positive causation blocked; LIFE causation restricted; SINC causation blocked | PARTIAL | AOML predicts strong restrictions, but empirical matrix leaves this variable. |
| Faithfulness to original / source / model | Appearance vs reality framing | **ALLOWED** | LIFE and AUTH both relevant | PARTIAL | Partial because the empirical category spans more than one AOML axis. |
| Faithfulness to original / source / model | Abstract nominalization / quality noun | **VARIABLE** | AUTH ABSTR licensed; LIFE ABSTR blocked; SINC ABSTR licensed | PARTIAL | Mixed prediction because the empirical dimension straddles multiple AOML areas. |

---

## Summary

### Confirmed Patterns
- **Factual truth + attribution** aligns well with **VER × ATTR**.
- **Verification/checking/confirmation** aligns strongly with **VERIF** across factual truth, authenticity, conformity, and formal validity.
- **Revelation/exposure** aligns strongly with AOML’s **provisional REVEAL**, especially for factual truth, falsity, authenticity, and essence.
- **Authenticity causation asymmetry** is strongly confirmed:
  - positive “make authentic” blocked
  - negative “forge/falsify” allowed
  - this matches **R3 Authenticity Polarity Asymmetry**.
- **Reliability/trustworthiness causative blocking** aligns strongly with **R1 Dispositional Causation Block**, if reliability is treated as part of **SINC** as AOML does.
- **Negative becoming is weaker than positive becoming** in truth/falsity domains, matching **R4 Positive Emergence Bias**.
- **Essence + causative blocked** aligns strongly with **R2 Essence Stability**.
- **Abstract nominalization** is strongly supported for most empirical dimensions and matches AOML for VER, AUTH, SINC, NORM, VERIF.

### Partial or Conditional Matches
- **Correctness / rightness / properness** only partially aligns because AOML splits this empirical area across **VER** and **NORM**.
- **Formal validity / legal-procedural standing** only partially aligns because AOML distributes it across **NORM** and **VERIF**, while the empirical matrix treats it as a distinct dimension.
- **Conformity / correspondence / matching** only partially aligns because it spans VER, AUTH, NORM, VERIF, and LIFE depending on context.
- **Credibility / plausibility / convincingness** only partially aligns, mainly with **LIFE** and partly with SINC-adjacent evaluation, but AOML has no dedicated credibility axis.
- **Faithfulness to original / source / model** only partially aligns because it spans AUTH, LIFE, and SINC-faithfulness.
- **Negative attribution** generally only partially aligns because AOML models contrast/opposition but not negative attribution as a separate constructional operator.
- **Adnominal modification** generally aligns only directionally because AOML has no dedicated constructional slot for it.

### Conflicts
- **Factual truth + causative**:
  - empirical result: **BLOCKED**
  - AOML: **VER × CAUSE = restricted**
  - this is a real conflict in strength.
- **Authenticity + become/inchoative**:
  - empirical result: **BLOCKED**
  - AOML: **AUTH × BECOME = restricted**
  - empirical matrix is stricter.
- **Reliability + become/inchoative**:
  - empirical result: **BLOCKED**
  - AOML: **SINC × BECOME = restricted**
  - empirical matrix is stricter.
- **Essence + become/inchoative**:
  - empirical result: **VARIABLE**
  - AOML: **ESS × BECOME = blocked**
  - empirical matrix is looser.
- **Credibility/plausibility + abstract nominalization**:
  - empirical result: **ALLOWED**
  - if mapped to LIFE, AOML predicts **ABSTR blocked**
  - conflict suggests LIFE is not a full fit.
- **Resemblance/similarity + abstract nominalization**:
  - empirical result: **ALLOWED**
  - if mapped to LIFE, AOML predicts **ABSTR blocked**
  - same conflict.

### Unmodeled Empirical Findings
- The empirical matrix treats **precision / exactness / accuracy of detail** as a robust dimension. AOML has no dedicated primary axis for this; it must be folded into VER or VERIF, with loss.
- The empirical matrix treats **formal validity / legal-procedural standing** as a robust dimension. AOML distributes this across NORM and VERIF rather than modeling it directly.
- The empirical matrix treats **conformity / correspondence / matching to facts, rules, source** as a major dimension. AOML has no single axis for this.
- The empirical matrix treats **reliability** and **credibility** as distinct enough to deserve separate rows. AOML places reliability under SINC and plausibility under LIFE only indirectly.
- The empirical matrix gives strong weight to **appearance vs reality framing** as a constructional zone. AOML captures parts of this through AUTH/LIFE/REVEAL, but not as an explicit structural dimension.
- The empirical matrix repeatedly highlights **adnominal modification** as a major cross-linguistic constructional function. AOML does not model this construction type explicitly.
- The empirical matrix repeatedly highlights **truth/fact as object of verb** as a major cross-linguistic constructional function. AOML captures the semantics but not this constructional prominence.

### Unattested AOML Structures
- AOML’s **TEMP meta-axis** is not clearly testable from the empirical matrix here. The matrix does not systematically compare temporal-position operators.
- AOML’s **DEG meta-axis substitution prohibition** is not directly evaluated by the empirical matrix, though scalar negatives like Indonesian **kurang / belum** are relevant indirectly.
- AOML’s **validation habitats** are only partially supported. The empirical matrix clearly supports verification/provenance distinctions, but does not systematically test inadmissible methods.
- AOML’s **LIFE × ABSTR blocked** is not supported by the empirical matrix if resemblance/credibility are mapped there, because empirical data allows abstract nouns for similarity and credibility.
- AOML’s full **target-type ontology** is only partially testable from the empirical matrix; the strongest support is for dispositional causation blocking and authenticity asymmetry.

---

## Theoretical Discussion

### Where AOML appears strongly supported
AOML is most strongly supported in areas where the empirical matrix shows broad cross-linguistic asymmetries rather than just lexical correspondences.

The strongest support points are:

1. **Verification as a distinct semantic-constructional zone**
