# G7a — Data-Derived Global Constraint Matrix

---

## Preliminary Notes

All dimensions and constructional functions below are named from patterns visible in the F-phase and prior G-phase data. No external theoretical framework is applied. Where the data shows a dimension split, merged, or only partially recoverable across languages, this is noted explicitly. Matrix cells record cross-language evidence as ALLOWED, BLOCKED, VARIABLE, or INSUFFICIENT DATA with brief supporting notes. The narrative analysis follows the matrix.

---

## Semantic Dimensions (derived from data)

The following twelve dimensions are derived inductively from the F3 semantic grouping tables, F5 opposition tables, and G3 axis comparison across all eight languages.

**D1: Propositional Correspondence** — Whether a specific statement or claim matches what is actually the case. Evaluative target: a proposition or utterance. Attested in all 8 languages.

**D2: Personal Honesty and Integrity in Conduct** — Whether a person's habitual conduct and character are free from deception. Evaluative target: a person or their pattern of behavior. Attested in all 8 languages.

**D3: Source Trustworthiness vs. Content Credibility** — Whether a source can be depended upon (source evaluation) vs. whether a specific claim merits belief (content evaluation). Attested in all 8 languages; the source/content sub-distinction is explicitly documented in at least 4 languages.

**D4: Genuineness of Objects vs. Fraudulent Imitation** — Whether a physical item, document, or credential is what it purports to be vs. a fraudulent substitute. Evaluative target: a physical item. Attested in all 8 languages; neutral-copy vs. fraudulent-fake sub-distinction documented in at least 6 languages.

**D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy** — Whether an action or document meets formal legal conditions (validity) vs. whether it is rightful in a broader normative sense (legitimacy). Attested in all 8 languages.

**D6: Precision and Exactness of Correspondence** — The degree to which a measurement, description, or representation corresponds closely and exactly to its referent. Scalar rather than binary. Clearly lexicalized in at least 6 languages; less elaborated in yo and ta as a distinct dimension.

**D7: Authenticity of Inner States and Expressed Feelings** — Whether a person's expressed feelings, intentions, or commitments reflect genuine inner conviction rather than performance or pretense. Attested in all 8 languages; degree of elaboration varies considerably.

**D8: Appearance vs. Underlying Reality** — The contrast between how something appears on the surface and what it actually is. Attested in at least 6 languages with explicit documentation; less elaborated in yo and ta.

**D9: Evidential Grounding and Proof** — Whether a claim is supported by adequate evidence, and the processes by which evidence is produced and used to establish truth. Attested in all 8 languages.

**D10: Truth Revelation and Concealment as Processes** — The dynamics by which truth is brought to light, concealed, sought, or suppressed. Treats truth as an entity that can emerge or be hidden. Attested in all 8 languages.

**D11: Correctness of Reasoning, Judgment, and Understanding** — Whether a judgment, inference, or interpretation follows properly from evidence or reasoning. Evaluative target: a cognitive process or its output. Attested in all 8 languages; degree of differentiation from D1 varies (D1/D11 merge in yo and ta).

**D12: Deliberate Deception vs. Innocent Error** — The distinction between falsehoods produced with intent to deceive and those produced through honest mistake or misunderstanding. Attested in all 8 languages; explicitly documented in F3 grouping tables for at least 6 languages.

---

## Constructional Functions (derived from data)

The following twelve constructional functions are derived from the F4 construction tables and G5 construction comparison.

**CF1: Predicative Attribution** — Subject + copula/predicate construction asserting a truth-domain property of a subject. Includes nominal predicates (*it is a lie*) and adjectival predicates (*it is correct*). Attested in all 8 languages.

**CF2: Negative Attribution** — Syntactic or morphological negation of a truth-domain predicate. Includes syntactic negation (*not true*), morphological privative (*unreliable*), and double negation. Attested in all 8 languages.

**CF3: Adnominal Modification** — A truth-domain evaluative term modifies a noun (*accurate information*, *forged document*, *reliable source*). Attested in all 8 languages.

**CF4: Inchoative / Change-of-State** — A subject transitions into a truth-domain state (*the truth comes to light*, *the claim turned out to be false*, *the contract became void*). Includes periphrastic and morphological inchoatives. Attested in all 8 languages.

**CF5: Causative** — An agent causes a truth-domain state (*to forge a document*, *to verify information*, *to reveal the truth*, *to conceal the truth*). Includes morphological causatives, light-verb causatives, and serial verb causatives. Attested in all 8 languages.

**CF6: Abstract Nominalization** — A suffix or circumfix produces an abstract noun naming a truth-domain quality as an entity (*truthfulness*, *accuracy*, *credibility*, *validity*). Attested in all 8 languages.

**CF7: Agentive Nominalization** — A morphological process produces a nominal denoting a habitual agent of a truth-domain action (*liar*, *forger*, *deceiver*). Attested in all 8 languages for negative roles; absent or marginal for positive roles (truth-teller) in all 8 languages.

**CF8: Discourse Framing** — A grammaticalized or semi-grammaticalized expression functions as a sentence-level marker signaling frank disclosure, correction of a prior assumption, or truth-asserting stance. Attested in all 8 languages; degree of grammaticalization varies.

**CF9: Existential / Scalar Predication** — An abstract quality nominal combines with an existential verb (*have/exist*) or scalar predicate (*high/low*) to evaluate whether a quality is present or to what degree. Attested in at least 5 languages; most systematically documented in ko.

**CF10: Truth-Revelation / Concealment Construction** — Truth is the grammatical subject of an intransitive emergence or concealment verb (*the truth came out*, *the truth was revealed*). Attested in all 8 languages.

**CF11: Parallel Morphological Opposition** — The same derivational process applies to both a truth base and a falsity base, producing a morphologically parallel pair of opposing forms (*verify/falsify*, *verifiable/falsifiable*). Attested as a fully productive pattern only in tr; partial parallels in fi and eu.

**CF12: Proverbial / Fixed Moral Assertion** — A fixed or semi-fixed construction asserts a moral or epistemic claim about truth (*truth will prevail*, *a lie has short legs*, *truth is bitter*). Attested in all 8 languages.

---

## Global Constraint Matrix

| Semantic Dimension | CF1: Predicative Attribution | CF2: Negative Attribution | CF3: Adnominal Modification | CF4: Inchoative / Change-of-State | CF5: Causative | CF6: Abstract Nominalization | CF7: Agentive Nominalization | CF8: Discourse Framing | CF9: Existential / Scalar Predication | CF10: Truth-Revelation / Concealment | CF11: Parallel Morphological Opposition | CF12: Proverbial / Fixed Moral Assertion |
**CF7 — BLOCKED (positive role) / ALLOWED (negative role):** This is the most consistently documented asymmetric blocked pathway in the dataset. Negative agentive nominals for liars and deceivers are attested in all 8 languages. Positive agentive nominals for honest persons as a habitual role (truth-teller, honest person as a role noun) are absent or marginal in all 8 languages. The concept is expressed periphrastically in all 8 languages. This asymmetry is explicitly noted in the F4 construction tables for all 8 languages.

**CF8 — ALLOWED:** Frank-disclosure discourse markers are attested in all 8 languages, though the degree of grammaticalization varies. The function is universally available for D2 (honest speech) as well as D1.

**CF9 — VARIABLE:** The existential frame is attested for honesty nominals in some languages (ko *정직성이 있다/없다* is compositionally available) but is not the primary predication strategy for D2 nominals in most languages.

**CF10 — VARIABLE:** Some languages document constructions in which honesty is revealed or exposed (ko *정직함이 드러나다*, fi *rehellisyys paljastui*) but the pattern is not as consistently documented as for D1.

### D3 (Source Trustworthiness vs. Content Credibility)

**CF4 — VARIABLE:** Inchoative constructions for gaining or losing trustworthiness are attested (ko *신뢰를 잃다*, *신뢰를 회복하다*; fi *osoittautua luotettavaksi*; id *menjadi terpercaya*) but the pattern is not as systematically documented as for D1 or D4.

**CF5 — VARIABLE:** Causative constructions for making something credible or undermining credibility are attested (fi *todisteet tekivät väitteen uskottavaksi*, the evidence made the claim credible; ko *신뢰성을 높이다*, to raise credibility) but are not as consistently documented as causatives for D4 or D9.

**CF8 — INSUFFICIENT DATA:** No language documents a dedicated discourse-framing construction specifically for source trustworthiness or content credibility evaluation. The discourse-framing constructions documented in CF8 are associated with D1 (propositional truth) rather than D3.

**CF9 — ALLOWED:** The existential frame is attested for trustworthiness and credibility nominals in multiple languages (ko *신빙성이 있다/없다*, eu *fidagarritasuna badago/ez dago*, ta *nampikkai irukkiṟatu/illai*) and the scalar frame is attested in ko (*신뢰도가 높다/낮다*). This is one of the more consistently documented uses of CF9 across languages.

**CF10 — INSUFFICIENT DATA:** The truth-revelation construction is documented for D1 nominals but not specifically for source trustworthiness or credibility nominals. The pattern may be available compositionally but is not documented.

### D4 (Genuineness of Objects vs. Fraudulent Imitation)

**CF5 — BLOCKED (positive: manufacture authenticity) / ALLOWED (negative: forge/destroy):** This is a strong and consistent finding. Constructions expressing that an agent manufactures or creates genuine authenticity are absent or strongly marked across all 8 languages. Constructions expressing that an agent destroys or falsifies authenticity (forgery, counterfeiting) are universally available and lexicalized. The polarity asymmetry is consistent: ka *gaq̇albeba* (forgery), fi *väärentää* (to forge), eu *faltsifikatu* (to forge), ta *pōli āvaṇam* (forged document), id *memalsukan* (to falsify), tr *sahte belge* (forged document), ko *위조하다* (to forge) — all attested. No parallel construction for manufacturing genuine authenticity is documented in any language. Certification and authentication constructions (ka *dadastureba*, fi *todentaa*, eu *egiaztatu*, ko *인증하다*) confirm pre-existing authenticity rather than manufacture it; this distinction is maintained across languages.

**CF7 — ALLOWED (negative: forger) / BLOCKED (positive: authenticator as single word):** Agentive nominals for forgers and counterfeiters are attested in at least 5 languages (fi *väärentäjä*, id *pemalsu*, tr *sahteci*, ko *위조범*, ka *gamaq̇albebeli*). Single-word agentive nominals for authenticators or genuine-article producers are not documented in any language.

**CF10 — VARIABLE:** The intransitive emergence construction is attested for D4 in some languages (fi *maalaus osoittautui väärennökseksi*, the painting turned out to be a forgery; ko *가짜로 판명되다*, to be determined to be fake) but the construction treats the item as undergoing a change of evaluation rather than truth as an entity emerging from concealment. The pattern is structurally closer to CF4 (inchoative) than CF10 (truth-revelation) for D4.

### D5 (Legal/Procedural Validity vs. Moral/Substantive Legitimacy)

**CF4 — ALLOWED:** Inchoative constructions for validity/legitimacy are attested across multiple languages (tr *meşrulaşmak*, to become legitimate; eu *baliogabea bihurtu da*, it has become invalid; id *menjadi sah*, to become valid; ko *무효가 되다*, to become void). The pattern is productive.

**CF5 — ALLOWED:** Causative constructions for validity/legitimacy are attested across multiple languages (tr *meşrulaştırmak*, to legitimize; eu *baliogabetu*, to invalidate; id *mengesahkan*, to validate; ko *무효화하다*, to invalidate). The pattern is productive.

**CF7 — VARIABLE:** Agentive nominals for legal roles (judge, notary, validator) are attested in some languages (yo *adájọ́*, judge; fi *todistaja*, witness; ko *판사*, judge) but these are institutional role nouns rather than agentive nominals derived from the validity/legitimacy bases themselves.

**CF9 — VARIABLE:** The existential frame is attested for validity nominals in some languages (ko *유효성이 있다/없다* is compositionally available; eu *zilegitasuna badago/ez dago*) but is not the primary predication strategy for D5 nominals in most languages.

**CF10 — INSUFFICIENT DATA:** The truth-revelation construction is not documented for D5 (validity/legitimacy) nominals. Validity and legitimacy are not treated as entities that emerge from concealment in the documented data.

**CF12 — VARIABLE:** Some proverbial expressions about justice and legitimacy are attested (yo *ìdájọ́ òdodo*, righteous judgment; ta *niyāyam tāṉ vellum*, justice alone will prevail) but the proverbial pattern is less consistently documented for D5 than for D1.

### D6 (Precision and Exactness of Correspondence)

**CF4 — VARIABLE:** Inchoative constructions for gaining or losing precision are attested in some languages (fi *tarkkuus parani*, accuracy improved; ko *정확도가 높아지다*, accuracy increased) but are not as systematically documented as for D1 or D4.

**CF5 — VARIABLE:** Causative constructions for making something more precise are attested in some languages (fi *tarkistaa* covers both checking and correcting; ko *정확하게 만들다*, to make accurate) but are not as consistently documented as causatives for D4 or D9.

**CF8 — VARIABLE:** Some languages document precision-marking discourse frames (ka *zustad asea*, "exactly so"; fi *tarkasti ottaen*, "strictly speaking"; ko *정확히 말하면*, "to be precise") but these are not as consistently documented as the frank-disclosure frames associated with D1.

**CF9 — ALLOWED:** Scalar evaluation of precision (accuracy is high/low) is the canonical use case for this construction type. Attested in ko (*정확도가 높다/낮다*), fi (*tarkkuus on kyseenalainen*), id (*akurasi yang tinggi*), and eu (*zehaztasuna handia da*). This is one of the more consistently documented uses of CF9.

**CF12 — INSUFFICIENT DATA:** No proverbial constructions specifically about precision or exactness are documented in the dataset. The proverbial pattern is associated with D1 (truth will prevail) rather than D6.

### D7 (Authenticity of Inner States and Expressed Feelings)

**CF4 — VARIABLE:** Inchoative constructions for becoming sincere or losing sincerity are attested in some languages (eu *zintzotu*, to become honest; ko *진정성이 생기다*, authenticity arises; id *menjadi tulus*, to become sincere) but are not as systematically documented as for D1 or D4.

**CF5 — BLOCKED (direct causation of dispositional state):** The same block documented for D2 applies here. Direct causation of inner-state authenticity is absent or strongly marked across all 8 languages. Some indirect facilitation constructions are attested in a few languages (eu *zintzotu eragin*, ko *진정성을 높이다*) but these appear to cause conditions for the state rather than the state itself. The block is consistent with D2/CF5.

**CF6 — VARIABLE:** Abstract nominals for inner-state authenticity are attested in most languages (ko *진정성*, fi *aitous* in this sense, eu *benetakotasuna*, id *ketulusan*) but the degree of elaboration varies considerably. In some languages (yo, ta), the concept is covered by more general honesty nominals rather than a dedicated inner-state authenticity nominal.

**CF7 — BLOCKED (positive: sincere person as single word) / VARIABLE (negative: hypocrite):** Single-word agentive nominals for sincere persons are not documented in any language. Agentive nominals for hypocrites are attested in some languages (ka *tvaltmaqci*, fi *tekopyhä*, eu *itxuragilea* marginal, ko *위선자*) but are not as consistently documented as agentives for liars.

**CF8 — VARIABLE:** Some languages document sincerity-marking discourse frames (ko *진심으로*, sincerely; id *dengan tulus*, sincerely; tr *içtenlikle*, sincerely) but these function as manner adverbials rather than sentence-level discourse markers of the type documented for D1.

**CF9 — ALLOWED:** The existential frame is the primary predication strategy for inner-state authenticity nominals in ko (*진정성이 있다/없다*) and is attested in eu (*benetakotasuna badago/ez dago*) and ta (*uṇmai aṉpu irukkiṟatu/illai*). This is one of the more consistently documented uses of CF9 across languages.

**CF10 — VARIABLE:** Some languages document constructions in which inner-state authenticity is revealed or exposed (ko *진정성이 드러나다*, authenticity is revealed; eu *benetako izaera agerian geratu da*, the true nature was exposed) but the pattern is not as consistently documented as for D1.

### D8 (Appearance vs. Underlying Reality)

**CF4 — VARIABLE:** Inchoative constructions for something becoming apparent or its true nature being revealed are attested in some languages (fi *todellisuus paljastuu*, reality is revealed; ko *실체가 드러나다*, the true nature emerges) but are not as systematically documented as for D1 or D4.

**CF5 — VARIABLE:** Causative constructions for revealing or concealing the true nature of something are attested in some languages (ko *실체를 밝히다*, to reveal the true nature; eu *itxura eman*, to give an appearance) but are not as consistently documented as causatives for D1 or D4.

**CF6 — VARIABLE:** Abstract nominals for the appearance-vs.-reality contrast are attested in some languages (fi *näennäisyys*, ostensibility; eu *itxurakeria*, pretense; ka *moč̣venebiti* functions primarily as an adjective) but are not as consistently documented as D1 or D4 nominals.

**CF8 — ALLOWED:** The discourse-framing constructions associated with D8 (id *sebenarnya*, tr *aslında*, ta *uṇmaiyil*, ka *simartle rom vtq̇vat*) signal a contrast between surface appearance and underlying reality. This function is attested in all 8 languages, making CF8 × D8 ALLOWED. The degree of grammaticalization varies but the function is universally present.

**CF9 — VARIABLE:** The existential frame is attested for appearance-vs.-reality nominals in some languages but is not the primary predication strategy for D8 in most languages.

**CF10 — VARIABLE:** The truth-revelation construction is attested for D8 in some languages (ko *실체가 드러나다*, the true nature emerges; fi *todellisuus paljastuu*, reality is revealed) and overlaps with CF4 (inchoative) for this dimension.

### D9 (Evidential Grounding and Proof)

**CF4 — VARIABLE:** Inchoative constructions for a claim becoming proven or evidence emerging are attested in some languages (fi *väite tuli todistetuksi*, the claim came to be proven; ko *사실로 밝혀지다*, to be revealed as fact; id *terbukti*, to be proven) but the pattern is not as consistently documented as for D1.

**CF5 — ALLOWED:** Causative constructions for proving and verifying are attested across all 8 languages. This is one of the more consistently documented causative patterns in the dataset.

**CF7 — VARIABLE:** Agentive nominals for witnesses, judges, and examiners are attested in several languages (yo *ẹlẹ́rìí*, witness; fi *todistaja*, witness; ko *증인*, witness; eu *lekukoa*, witness) but these are institutional role nouns rather than agentive nominals derived from the proof/evidence bases themselves.

**CF10 — VARIABLE:** The truth-revelation construction overlaps with D9 in some languages (fi *totuus tulee ilmi* can describe the emergence of evidence; ko *진실이 밝혀지다* can describe the establishment of a fact through evidence) but the construction is primarily associated with D1 and D10 rather than D9.

**CF11 — VARIABLE:** The tr *doğrulamak/yanlışlamak* pair (verify/falsify) and the eu *egiaztagarria/egiaztaezina* pair (verifiable/unverifiable) are the most explicitly documented parallel morphological oppositions for D9. These are attested in 2–3 languages rather than broadly across all 8.

**CF12 — VARIABLE:** Some proverbial expressions about evidence and proof are attested (yo *ẹ̀rí ojú* as the most reliable evidence type; ka *utyuari mtkicebuleba*, irrefutable evidence) but the proverbial pattern is less consistently documented for D9 than for D1.

### D10 (Truth Revelation and Concealment as Processes)

**CF1 — VARIABLE:** Standard predicative attribution (the truth is X) is less characteristic of D10 than of D1. D10 is primarily expressed through CF4 (inchoative), CF5 (causative), and CF10 (truth-revelation construction) rather than through static predication.

**CF2 — VARIABLE:** Negation of truth-revelation constructions is attested (ko *진실이 드러나지 않았다*, the truth did not emerge; fi *totuus ei tullut ilmi*, the truth did not come to light) but is less characteristic of D10 than of D1.

**CF3 — VARIABLE:** Adnominal modification is attested for D10 nominals (ka *simarṭlis gamovlena*, revelation of truth; ko *진실 규명*, truth investigation) but is less characteristic of D10 than of D1 or D4.

**CF4 — ALLOWED:** The inchoative construction is the primary realization of D10 across all 8 languages. The intransitive truth-revelation construction (truth as grammatical subject of an emergence verb) is documented in all 8 languages. This is one of the most robust positive findings in the dataset.

**CF5 — ALLOWED:** Transitive truth-revelation and concealment constructions (to reveal the truth, to conceal the truth) are attested across all 8 languages. This is equally robust.

**CF8 — VARIABLE:** Some languages document discourse frames associated with D10 (ko *사실을 말하자면*, to tell the truth; fi *totta puhuen*, to tell the truth) but these are primarily associated with D1 (frank disclosure of a proposition) rather than D10 (the process of truth emerging from concealment).

**CF9 — INSUFFICIENT DATA:** The existential frame is not documented for D10 process nominals. The process of truth-revelation is expressed through CF4 and CF10 rather than through existential predication.

**CF10 — ALLOWED:** The intransitive truth-revelation construction is the defining construction for D10 and is documented in all 8 languages. This is the most robust positive finding for CF10.

