# G7b — Empirical vs AOML Constraint Comparison

---

## Preliminary Notes

The empirical matrix (G7a) was derived inductively from F-phase cross-linguistic data across 8 languages (ka, yo, fi, eu, ta, id, tr, ko). The AOML matrix is a theoretical model with 7 primary axes, 2 meta-axes, 7 core operators, 4 levels, and 6 structural rules. The comparison below maps empirical dimensions (D1–D12) and constructional functions (CF1–CF12) against AOML structures where mappings are supportable. Where no mapping is supportable, this is stated explicitly.

The two systems are not isomorphic. The empirical system has 12 semantic dimensions and 12 constructional functions. AOML has 7 primary axes, 7 operators, and 6 structural rules. Several empirical dimensions map to subregions within a single AOML axis; several AOML axes have no direct empirical dimension counterpart; several empirical constructional functions have no AOML operator equivalent.

---

## Comparison Table

| Empirical Dimension | Construction | Empirical Result | AOML Prediction | Alignment Type | Notes |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF7: Agentive Nominalization (negative: forger) | ALLOWED in at least 5 languages | Consistent with CAUSE(−) × AUTH being licensed | PARTIAL | The forger agentive is available in most languages. AOML does not directly model agentive nominalization but the licensing of CAUSE(−) × AUTH is consistent with the availability of forger agentives. |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF7: Agentive Nominalization (positive: authenticator as single word) | BLOCKED across all 8 languages | No direct AOML prediction | NO ALIGNMENT | Same as D1/CF7 positive block. Unmodeled empirical finding. |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF10: Truth-Revelation / Concealment | VARIABLE | REVEAL × AUTH: provisionally licensed; RESULT × AUTH: licensed | PARTIAL | The construction "turned out to be a forgery" is attested but is structurally closer to RESULT × AUTH than to REVEAL × AUTH. The presupposition of prior latent state is weaker for D4 than for D1. The VARIABLE rating reflects this structural ambiguity. |
| D4: Genuineness of Objects vs. Fraudulent Imitation | Neutral-copy / fraudulent-fake three-way distinction | Documented in 6/8 languages | AUTH axis modeled as binary (genuine vs. counterfeit); no neutral intermediate position | CONFLICT | AOML models AUTH as a binary without a neutral intermediate. The empirical data documents a consistent three-way distinction (original/neutral copy/fraudulent fake) in at least 6 languages. The neutral intermediate (imitation without fraudulent intent) is a stable cross-linguistic category that falls outside AOML's current AUTH modeling. This is a genuine structural gap in AOML. |
| D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × NORM: licensed | MATCH | AOML licenses ATTR on NORM. Empirical data confirms universal availability. |
| D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy | CF2: Negative Attribution | ALLOWED across all 8 languages | CONTR × NORM: licensed | MATCH | |
| D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy | CF3: Adnominal Modification | ALLOWED across all 8 languages | ATTR × NORM in modifier position | MATCH | |
| D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy | CF4: Inchoative / Change-of-State | ALLOWED | BECOME × NORM: restricted | PARTIAL | Inchoative constructions for validity/legitimacy are attested (contract became void, movement became legitimate). AOML restricts BECOME × NORM but does not block it. The empirical data is consistent with restriction rather than blocking. |
| D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy | CF5: Causative | ALLOWED | CAUSE × NORM: restricted (institutionally licensed) | PARTIAL | Causative constructions for validity/legitimacy are attested (to invalidate, to legitimize). AOML notes CAUSE is licensed for NORM institutionally. The empirical data is consistent. |
| D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy | CF6: Abstract Nominalization | ALLOWED across all 8 languages | ABSTR × NORM: licensed | MATCH | |
| D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy | CF10: Truth-Revelation / Concealment | INSUFFICIENT DATA | REVEAL × NORM: provisionally licensed but not the primary construction type | NO ALIGNMENT | The truth-revelation construction is not documented for D5 nominals. Validity and legitimacy are not treated as entities that emerge from concealment in the documented data. This absence is consistent across languages and suggests REVEAL is not the natural construction for this dimension, even though AOML provisionally licenses it. |
| D5: Legal/Procedural Validity vs. Moral/Substantive Legitimacy | CF12: Proverbial / Fixed Moral Assertion | VARIABLE | No direct AOML operator | NO ALIGNMENT | Some proverbial expressions about justice are attested but the pattern is less consistently documented for D5 than for D1. |
| D6: Precision and Exactness of Correspondence | CF1: Predicative Attribution | ALLOWED in at least 6 languages | ATTR × VER (DEG subregion) — D6 maps to DEG[VER] in AOML | PARTIAL | D6 maps most naturally onto DEG[VER] — the degree of correspondence between a representation and its referent. AOML does not have a separate axis for precision; it is a DEG modulation of VER. The empirical dimension is finer-grained than AOML's treatment. Some information is lost in this mapping. |
| D6: Precision and Exactness of Correspondence | CF6: Abstract Nominalization | ALLOWED in at least 6 languages | ABSTR × DEG[VER] — DEG inherits ABSTR licensing from VER | PARTIAL | Precision nominals (accuracy, exactness) are consistent with ABSTR applied to DEG[VER]. AOML does not explicitly model this but the mapping is coherent. |
| D6: Precision and Exactness of Correspondence | CF9: Existential / Scalar Predication | ALLOWED | DEG × VER: licensed as meta-axis modulation | MATCH | Scalar evaluation of precision (accuracy is high/low) is the canonical use case for DEG[VER]. AOML licenses DEG as a meta-axis modulator of VER. This is the clearest empirical confirmation of the DEG meta-axis. |
| D6: Precision and Exactness of Correspondence | CF12: Proverbial / Fixed Moral Assertion | INSUFFICIENT DATA | No proverbial constructions for DEG[VER] predicted or attested | MATCH | The absence of proverbial constructions for D6 is consistent with AOML's treatment of DEG as a meta-axis modulator rather than a primary axis. Proverbial constructions are associated with primary axes (D1, D2, D10), not meta-axis modulations. The absence is predicted by the architecture. |
| D7: Authenticity of Inner States and Expressed Feelings | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × SINC (inner-state subregion: faithfulness, inner alignment) | MATCH | Inner-state authenticity is a subregion of SINC in AOML (faithfulness, inner alignment between stated and actual belief or intention). ATTR × SINC is licensed. |
| D7: Authenticity of Inner States and Expressed Feelings | CF2: Negative Attribution | ALLOWED across all 8 languages | CONTR × SINC: licensed | MATCH | |
| D7: Authenticity of Inner States and Expressed Feelings | CF3: Adnominal Modification | ALLOWED across all 8 languages | ATTR × SINC in modifier position | MATCH | |
| D7: Authenticity of Inner States and Expressed Feelings | CF5: Causative | BLOCKED (direct causation of dispositional state) | CAUSE × SINC: universally blocked (Rule R1) | MATCH (with qualification) | Rule R1 predicts that direct causation of inner-state authenticity is blocked. Empirical data confirms the block on direct causation. Some indirect facilitation constructions are attested in eu (*zintzotu eragin*) and ko (*진정성을 높이다*), but these appear to cause conditions for the state rather than the state itself. The qualification is that AOML's R1 does not explicitly distinguish direct from indirect causation; the empirical data suggests this distinction matters. |
| D7: Authenticity of Inner States and Expressed Feelings | CF6: Abstract Nominalization | VARIABLE | ABSTR × SINC: licensed | PARTIAL | Abstract nominals for inner-state authenticity are attested in most languages (ko *진정성*, fi *aitous* in this sense, eu *benetakotasuna*, id *ketulusan*) but the degree of elaboration varies considerably. AOML licenses ABSTR × SINC but does not predict the degree of elaboration variation. The VARIABLE rating reflects this variation, not a conflict with AOML. |
| D7: Authenticity of Inner States and Expressed Feelings | CF7: Agentive Nominalization (positive: sincere person as role noun) | BLOCKED across all 8 languages | No direct AOML prediction | NO ALIGNMENT | Same as D1/CF7 positive block. Unmodeled empirical finding. |
| D7: Authenticity of Inner States and Expressed Feelings | CF9: Existential / Scalar Predication | ALLOWED (most systematic in ko) | DEG × SINC: licensed as meta-axis modulation | PARTIAL | Scalar evaluation of inner-state authenticity (*진정성이 있다/없다*) is consistent with DEG modulating SINC. The ko existential frame is the most systematic realization. |
| D8: Appearance vs. Underlying Reality | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × ESS (underlying reality) or STRAT × VER/AUTH (surface vs. deep) | PARTIAL | D8 maps most naturally onto STRAT — the operator marking internal contrast within an axis (inner vs. outer truth, surface vs. deep reality). AOML licenses STRAT on VER and AUTH. The empirical dimension is also consistent with ESS (inherent nature vs. surface appearance). The mapping is coherent but not unique: D8 could map to STRAT × VER, STRAT × AUTH, or ESS depending on the specific construction. |
| D8: Appearance vs. Underlying Reality | CF3: Adnominal Modification | ALLOWED across all 8 languages | STRAT × VER/AUTH in modifier position | PARTIAL | Adnominal modifiers marking the appearance/reality contrast (apparent, seeming, ostensible) are consistent with STRAT applied to VER or AUTH. |
| D8: Appearance vs. Underlying Reality | CF6: Abstract Nominalization | VARIABLE | ABSTR × STRAT[VER] or ABSTR × ESS | PARTIAL | Abstract nominals for the appearance/reality contrast are attested in some languages (fi *näennäisyys*, eu *itxurakeria*, ka *moč̣venebiti* as adjective) but are less consistently documented than D1 or D4 nominals. The VARIABLE rating reflects this variation. |
| D8: Appearance vs. Underlying Reality | CF8: Discourse Framing | ALLOWED across all 8 languages | STRAT × VER realized as discourse marker | PARTIAL | The discourse-framing constructions associated with D8 (id *sebenarnya*, tr *aslında*, ta *uṇmaiyil*) signal a contrast between surface appearance and underlying reality. This is consistent with STRAT × VER. However, AOML does not model discourse-level framing as a distinct operator; the mapping is to the underlying semantic function (STRAT × VER) rather than to a specific AOML operator. |
| D9: Evidential Grounding and Proof | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × VERIF: licensed | MATCH | AOML licenses ATTR on VERIF. Empirical data confirms universal availability. |
| D9: Evidential Grounding and Proof | CF2: Negative Attribution | ALLOWED across all 8 languages | CONTR × VERIF: licensed | MATCH | |
| D9: Evidential Grounding and Proof | CF3: Adnominal Modification | ALLOWED across all 8 languages | ATTR × VERIF in modifier position | MATCH | |
| D9: Evidential Grounding and Proof | CF4: Inchoative / Change-of-State | VARIABLE | BECOME × VERIF: restricted | PARTIAL | Inchoative constructions for claims becoming proven are attested (fi *väite tuli todistetuksi*, ko *사실로 밝혀지다*). AOML restricts BECOME × VERIF. The empirical data is consistent with restriction rather than blocking. |
| D9: Evidential Grounding and Proof | CF5: Causative | ALLOWED across all 8 languages | CAUSE × VERIF: restricted (licensed under conditions) | MATCH | Causative constructions for proving and verifying are attested across all 8 languages. AOML licenses CAUSE × VERIF under conditions. This is a confirmed alignment. |
| D9: Evidential Grounding and Proof | CF6: Abstract Nominalization | ALLOWED across all 8 languages | ABSTR × VERIF: licensed | MATCH | |
| D9: Evidential Grounding and Proof | CF11: Parallel Morphological Opposition | VARIABLE (fully productive only in tr) | No direct AOML prediction | NO ALIGNMENT | The tr *doğrulamak/yanlışlamak* parallel morphological opposition is a language-specific elaboration of VERIF not predicted by AOML. |
| D10: Truth Revelation and Concealment as Processes | CF4: Inchoative / Change-of-State | ALLOWED across all 8 languages | BECOME × VER (positive emergence): natural (Rule R4) | MATCH | The intransitive truth-revelation construction (truth comes to light) is the canonical positive emergence construction for VER. Rule R4 predicts positive emergence is natural. Confirmed across all 8 languages. |
| D10: Truth Revelation and Concealment as Processes | CF5: Causative | ALLOWED across all 8 languages | CAUSE × VER (reveal/conceal): licensed for factual targets | MATCH | Transitive truth-revelation and concealment constructions are attested across all 8 languages. AOML licenses CAUSE × VER for factual targets. |
| D10: Truth Revelation and Concealment as Processes | CF6: Abstract Nominalization | ALLOWED across all 8 languages | ABSTR × VER: licensed | MATCH | |
| D10: Truth Revelation and Concealment as Processes | CF10: Truth-Revelation / Concealment | ALLOWED across all 8 languages | REVEAL (provisional) × VER: licensed; RESULT × VER: licensed | MATCH (with provisional note) | The intransitive truth-revelation construction is the primary empirical evidence for REVEAL as a candidate primitive. Documented in all 8 languages. The construction's presupposition of a latent pre-existing state is consistent across languages. |
| D10: Truth Revelation and Concealment as Processes | CF12: Proverbial / Fixed Moral Assertion | ALLOWED across all 8 languages | No direct AOML operator | NO ALIGNMENT | The proverbial assertion that truth ultimately prevails is not modeled by AOML. |
| D11: Correctness of Reasoning, Judgment, and Understanding | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × VERIF (reasoning correctness) or ATTR × NORM (normative correctness) | PARTIAL | D11 maps onto two AOML axes depending on context: correctness of logical reasoning maps to VERIF; correctness of moral/practical judgment maps to NORM. The empirical dimension conflates these two. Some information is lost in this mapping. Note: in yo and ta, D11 merges with D1 (VER) under a single root, suggesting the VER/NORM/VERIF boundaries may be less stable cross-linguistically than AOML assumes. |
| D11: Correctness of Reasoning, Judgment, and Understanding | CF4: Inchoative / Change-of-State | VARIABLE | BECOME × VERIF or BECOME × NORM: restricted | PARTIAL | Inchoative constructions for judgments becoming correct or being vindicated are attested in some languages. AOML restricts BECOME on both axes. The empirical VARIABLE rating is consistent with restriction. |
| D11: Correctness of Reasoning, Judgment, and Understanding | CF5: Causative | VARIABLE | CAUSE × VERIF or CAUSE × NORM: restricted | PARTIAL | Causative constructions for justifying or correcting judgments are attested in some languages. AOML restricts CAUSE on both axes. |
| D11: Correctness of Reasoning, Judgment, and Understanding | CF6: Abstract Nominalization | ALLOWED across all 8 languages | ABSTR × VERIF or ABSTR × NORM: licensed | MATCH | |
| D11: Correctness of Reasoning, Judgment, and Understanding | D1/D11 merger in yo and ta | Documented in 2/8 languages | AOML treats VER and NORM as distinct axes | CONFLICT | In yo and ta, the same root covers both propositional correctness (D1/VER) and procedural/moral correctness (D11/NORM) without lexical differentiation. AOML treats VER and NORM as distinct primary axes with different default methods and validation habitats. The empirical merger in two unrelated language families suggests the VER/NORM boundary may be less stable cross-linguistically than AOML assumes. This is a genuine tension, though it may be resolvable by treating the merger as a language-specific subregion overlap rather than a structural conflict. |
| D12: Deliberate Deception vs. Innocent Error | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × VER (falsity of claim) + ATTR × SINC (deceptive intent) | PARTIAL | D12 requires two AOML axes: the falsity of the claim (VER) and the deceptive intent of the agent (SINC). AOML does not model this as a single dimension but the two-axis mapping is coherent. |
| D12: Deliberate Deception vs. Innocent Error | CF5: Causative | VARIABLE | CAUSE × VER (produce false claim): licensed; CAUSE × SINC (produce deceptive intent): blocked (Rule R1) | PARTIAL | The distinction between deliberate deception (CAUSE × SINC blocked) and innocent error (no SINC involvement) is consistent with R1. However, AOML does not model the deception/error distinction as a single dimension. The two-axis mapping captures the distinction but requires combining VER and SINC. |
| D12: Deliberate Deception vs. Innocent Error | CF7: Agentive Nominalization (negative: liar, deceiver) | ALLOWED across all 8 languages | Consistent with CAUSE(−) × VER and CAUSE(−) × SINC being licensed for violation contexts | PARTIAL | |
| D12: Deliberate Deception vs. Innocent Error | CF7: Agentive Nominalization (positive: truth-teller) | BLOCKED across all 8 languages | No direct AOML prediction | NO ALIGNMENT | Same as D1/CF7 positive block. |
| D12: Deliberate Deception vs. Innocent Error | CF12: Proverbial / Fixed Moral Assertion | VARIABLE | No direct AOML operator | NO ALIGNMENT | Proverbial constructions about lying (a lie has short legs) are attested in some languages but not modeled by AOML. |
| Empirical agentive asymmetry (positive role blocked across all dimensions) | CF7: Agentive Nominalization | BLOCKED (positive) / ALLOWED (negative) across all 8 languages and all dimensions | No direct AOML prediction | NO ALIGNMENT | This is the most consistently documented empirical finding in the dataset. AOML does not model agentive nominalization as a distinct operator and does not predict this asymmetry. |
| Empirical proverbial pattern (truth will prevail) | CF12: Proverbial / Fixed Moral Assertion | ALLOWED across all 8 languages for D1 and D10 | No direct AOML operator | NO ALIGNMENT | AOML does not model proverbial or fixed moral assertion constructions. |
| Empirical discourse framing (frank disclosure markers) | CF8: Discourse Framing | ALLOWED across all 8 languages for D1 | No direct AOML operator | NO ALIGNMENT | AOML does not model discourse-level framing constructions. |
| AOML Rule R1: CAUSE × SINC universally blocked | CF5: Causative × D2 and D7 | BLOCKED (direct causation) across all 8 languages | CAUSE × SINC: universally blocked | MATCH | The empirical data confirms the block on direct causation of dispositional character traits. Some indirect facilitation constructions are attested in eu and ko but do not constitute direct causation of the dispositional state. |
| AOML Rule R3: CAUSE(+) × AUTH blocked | CF5: Causative (positive) × D4 | BLOCKED across all 8 languages | CAUSE(+) × AUTH: blocked | MATCH | Strong empirical-AOML alignment. "Manufacture authentic goods" is blocked across all 8 languages. |
| AOML Rule R3: CAUSE(−) × AUTH licensed | CF5: Causative (negative) × D4 | ALLOWED across all 8 languages | CAUSE(−) × AUTH: licensed | MATCH | Strong empirical-AOML alignment. "Forge the document" is natural across all 8 languages. |
| AOML Rule R4: Positive emergence bias | CF4: Inchoative × D1, D10 | ALLOWED (positive) / MARKED (negative) | BECOME(+) natural; BECOME(−) marked | MATCH | Empirical data confirms the asymmetry. Truth coming to light is natural; truth becoming false is marked or blocked. |
| AOML Rule R2: CAUSE × ESS blocked | CF5: Causative × ESS | Not directly tested as a distinct empirical dimension | CAUSE × ESS: blocked | INSUFFICIENT DATA | D8 (Appearance vs. Underlying Reality) partially maps to ESS but the empirical data does not directly test CAUSE × ESS as a distinct construction. The empirical data is consistent with R2 but does not provide direct confirmation. |
| AOML LIFE axis: ABSTR blocked | CF6: Abstract Nominalization × LIFE | Not directly tested | ABSTR × LIFE: blocked | INSUFFICIENT DATA | D6 (Precision and Exactness) partially maps to LIFE but the empirical data does not directly test ABSTR × LIFE. The empirical data does not document a lifelikeness axis as a distinct dimension. |
| AOML REVEAL provisional: LIFE blocks REVEAL | CF10: Truth-Revelation × LIFE | Not directly tested | REVEAL × LIFE: blocked (key diagnostic) | INSUFFICIENT DATA | The empirical data does not include a lifelikeness dimension. The LIFE-blocks-REVEAL diagnostic cannot be evaluated from the available data. |
| AOML Rule R5: DEG[A] cannot substitute for A | CF9: Existential / Scalar Predication | VARIABLE | DEG[VER] ≠ VER; DEG[SINC] ≠ SINC | DIRECTIONAL | The empirical data documents scalar predication constructions (accuracy is high/low, credibility is high/low) but does not directly test the substitution prohibition. The prohibition is a constraint on inference, not on the availability of scalar constructions. The empirical data is consistent with DEG being a meta-axis modulator but does not directly confirm or disconfirm the substitution prohibition. |
