# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Finnish (fi)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| virheellinen | virheetön | virheellinen vs. virheetön | erroneous/faulty vs. error-free/flawless | Morphological opposition using privative suffix *-tön* "without". *Virheellinen* contains errors; *virheetön* lacks errors. Common in quality evaluation contexts. | morphological | [CORE] |
| aito | väärennös | aito vs. väärennös | genuine/authentic vs. forgery/counterfeit | Lexical opposition between authenticity and counterfeit status. *Aito* marks genuine materials/objects; *väärennös* marks deliberate fakes. Common in authentication and commercial contexts. | lexical | [CORE] |
| todellinen | kuvitteellinen | todellinen vs. kuvitteellinen | real/actual vs. imaginary | Lexical opposition between actual existence and imagination. *Todellinen* marks what actually exists; contrasts with imaginary, fictional, or merely possible. Common in reality-fiction distinctions. | lexical | [CORE] |
| todellisuus | fiktio | todellisuus vs. fiktio | reality vs. fiction | Lexical opposition between actual reality and fictional content. *Todellisuus* marks actual state of affairs; contrasts with fiction, simulation, or theory. Common in media and philosophical contexts. | lexical | [CORE] |
| tosi- (prefix) | vale- (prefix) | tosi- vs. vale- | true-/real- vs. false-/fake- | Productive compound prefix opposition. *Tosi-* marks factual/authentic status (*tositarina* "true story"); *vale-* marks falsification (*valepassi* "fake passport"). Highly productive in both domains. | morphological (compound formation) | [CORE] |
| se on totta | ei ole totta | se on totta vs. ei ole totta | that is true vs. that is not true | Constructional opposition through standard negation. Affirmative vs. negative predicative construction for truth evaluation. Most basic truth-falsity opposition in Finnish. | constructional | [CORE] |
| pitää paikkansa | ei pidä paikkaansa | pitää paikkansa vs. ei pidä paikkaansa | is true/accurate vs. is not true/accurate | Fixed idiomatic opposition for affirming or denying accuracy. Highly frequent alternative to *olla totta* construction. Used across all registers. | constructional | [CORE] |
| puhua totuutta | puhua valhetta | puhua totuutta vs. puhua valhetta | to speak the truth vs. to tell a lie | Light verb constructional opposition. Parallel structures with contrasting objects (*totuutta* vs. *valhetta*). Standard expressions for truthful vs. false speech. | constructional | [CORE] |
| tosiasia | mielipide | tosiasia vs. mielipide | fact vs. opinion | Lexical opposition between established facts and subjective opinions. *Tosiasia* marks objective factual matters; contrasts with personal views or interpretations. Common in argumentative discourse. | lexical | [CORE] |
| virhe | valhe | virhe vs. valhe | error/mistake vs. lie | Lexical opposition based on intentionality. *Virhe* marks unintentional error; *valhe* marks deliberate falsehood. Fundamental distinction in Finnish truth domain between inadvertent and intentional incorrectness. | lexical (intentionality-based) | [CORE] |
| todistaa | väittää | todistaa vs. väittää | to prove vs. to claim/assert | Lexical opposition between evidentially supported demonstration and unsupported assertion. *Todistaa* requires evidence; *väittää* marks claims of uncertain truth. Common in argumentative and legal contexts. | lexical | [CORE] |
| todiste | väite | todiste vs. väite | proof/evidence vs. claim/assertion | Lexical opposition between evidence supporting truth and unsupported claims. *Todiste* establishes truth; *väite* requires support. Common in legal and argumentative discourse. | lexical | [CORE] |
| uskottava | epäuskottava | uskottava vs. epäuskottava | believable/credible vs. unbelievable/incredible | Morphological opposition using negative prefix *epä-*. Evaluates subjective believability or plausibility. Common in evaluation of testimony and narratives. | morphological | [CORE] |
| vilpitön | vilpillinen | vilpitön vs. vilpillinen | sincere/genuine vs. deceitful | Morphological opposition using privative *-tön* "without" vs. possessive *-llinen* "with". *Vilpitön* marks absence of deceit (sincerity); *vilpillinen* marks presence of deceit. Used in character evaluation. | morphological | [CORE] |
| paikkansapitävä | paikkansapitämätön | paikkansapitävä vs. paikkansapitämätön | accurate/valid vs. inaccurate/invalid | Morphological opposition using negative participle *-mätön*. Formal terms for accuracy evaluation. Less common than *pitää paikkansa* construction but attested in formal registers. | morphological | [CORE] |
| todistettavissa | todistamaton | todistettavissa vs. todistamaton | provable/demonstrable vs. unproven | Morphological opposition between potential passive (*-tavissa* "can be proven") and negative participle (*-maton* "not proven"). Used in scientific and logical discourse about demonstrability. | morphological | [CORE] |
| vääristää | oikaista/korjata | vääristää vs. oikaista/korjata | to distort vs. to correct/rectify | Lexical opposition between distorting and correcting. *Vääristää* alters truth; *oikaista/korjata* restores accuracy. Common in critical discourse about information quality. | lexical | [CORE] |
| harhaanjohtava | selkeä/suoraviivainen | harhaanjohtava vs. selkeä | misleading vs. clear/straightforward | Lexical opposition between misleading and clear communication. *Harhaanjohtava* leads astray; contrasts with transparent, straightforward information. Common in media criticism. | lexical | [CORE] |
| salata | paljastaa | salata vs. paljastaa | to conceal vs. to reveal | Lexical opposition between concealing and revealing truth. *Salata totuus* "conceal truth" vs. *paljastaa totuus* "reveal truth". Common in investigative and moral discourse. | lexical | [CORE] |
| tosissaan | leikillään | tosissaan vs. leikillään | seriously/in earnest vs. jokingly/playfully | Lexical opposition between serious intent and joking manner. *Olla tosissaan* "be serious" contrasts with joking or casual attitude. Common in marking seriousness of communication. | lexical | [CORE] |
| oikeaksi | vääräksi | oikeaksi vs. vääräksi | into right/correct vs. into wrong/false | Constructional opposition using translative case marking result states. Used with *todistaa* "prove" and *osoittautua* "turn out" to mark opposing outcomes. Common in argumentative contexts. | constructional | [CORE] |
| todellinen | näennäinen | todellinen vs. näennäinen | real/actual vs. apparent/seeming | Lexical opposition between actual reality and mere appearance. *Todellinen* marks what actually is; *näennäinen* marks what merely appears to be. Common in analytical discourse distinguishing reality from appearance. | lexical | [CORE] |
| tosiasiallinen | nimellinen | tosiasiallinen vs. nimellinen | actual/de facto vs. nominal | Lexical opposition between actual practice and nominal status. *Tosiasiallinen* marks what actually occurs; *nimellinen* marks official/theoretical status. Common in legal and administrative contexts. | lexical | [CORE] |
| vahva todiste | heikko todiste | vahva todiste vs. heikko todiste | strong evidence vs. weak evidence | Constructional opposition through adjectival modification. Evaluates evidential strength. Common in legal and analytical contexts for assessing quality of evidence. | constructional | [CORE] |
| kiistaton tosiasia | kiistanalainen väite | kiistaton tosiasia vs. kiistanalainen väite | indisputable fact vs. disputed claim | Constructional opposition combining different nouns (*tosiasia* vs. *väite*) with contrasting modifiers (*kiistaton* "indisputable" vs. *kiistanalainen* "disputed"). Marks epistemic certainty contrast. | constructional | [CORE] |
| tosi hyvä | ei kovin hyvä | tosi hyvä vs. ei kovin hyvä | really good vs. not very good | Constructional opposition in colloquial intensification. *Tosi* marks high degree; *ei kovin* marks low degree. Restricted to informal registers. | constructional | [MARGINAL] |
| oikea | vasen | oikea vs. vasen | right (direction) vs. left (direction) | Lexical opposition in spatial/directional domain. Polysemous use of *oikea* distinct from correctness meaning. *Vasen* "left" is dedicated directional term without truth-domain polysemy. | lexical | [CORE] |
| oikealla | vasemmalla | oikealla vs. vasemmalla | on the right vs. on the left | Constructional opposition using adessive case for location. Directional/spatial opposition distinct from truth-domain uses. Common in navigation and spatial description. | constructional | [CORE] |
| toteutua | jäädä toteutumatta | toteutua vs. jäädä toteutumatta | to be realized/come true vs. to remain unrealized | Constructional opposition between realization and non-realization. *Toteutua* marks actualization; *jäädä toteutumatta* marks failure to actualize. Common in planning and achievement contexts. | constructional | [CORE] |
| todenmukainen | epätodenmukainen | todenmukainen vs. epätodenmukainen | truthful/accurate vs. untruthful/inaccurate | Morphological opposition using negative prefix *epä-*. Formal terms for evaluating correspondence to truth. Common in formal and analytical registers. | morphological | [CORE] |
| myöntää virheensä | kiistää virheensä | myöntää virheensä vs. kiistää virheensä | to admit one's mistake vs. to deny one's mistake | Constructional opposition through contrasting verbs (*myöntää* "admit" vs. *kiistää* "deny") with same object. Common in moral discourse about accountability. | constructional | [CORE] |
