| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| 진실을 밝히다 (jinsil-eul balkhida) | 진실을 숨기다 (jinsil-eul sumgida) | jinsil-eul balkhida / jinsil-eul sumgida | to reveal the truth, to bring the truth to light / to conceal the truth, to hide the truth | Documented in P2b as contrasting collocations sharing the same object (진실) but with semantically opposed transitive verbs. P2b notes that 진실을 숨기다 "frequently appears in opposition to 진실을 밝히다." P4a notes these as the primary agentive causative constructions in the truth-revelation domain, and P4b lists them as attested alternates of each other. | constructional | [CORE] |
| 진실을 밝히다 (jinsil-eul balkhida) | 진실을 외면하다 (jinsil-eul oemyeonhada) | jinsil-eul balkhida / jinsil-eul oemyeonhada | to reveal the truth / to turn away from the truth | Both constructions are attested in P2b (items 1.2 and 1.5). They share the same object (진실) and differ in the verb, contrasting the act of bringing truth to light with the act of deliberately avoiding it. P2b notes that 외면하다 characterizes "deliberate avoidance of what is known to be true." | constructional | [CORE] |
| 진실을 말하다 (jinsil-eul malhada) | 거짓말을 하다 (geojitmal-eul hada) | jinsil-eul malhada / geojitmal-eul hada | to tell the truth, to speak the truth / to tell a lie, to lie | Both constructions are documented in P2b as the standard collocations for truthful and deceptive speech respectively, sharing the same verb 하다 or 말하다 and appearing in the same semantic group (P3 Group 6). The parallel object-verb structure with opposed objects makes this a constructional contrast as well as a lexical one. | constructional | [CORE] |
| 진실을 말하다 (jinsil-eul malhada) | 진실을 왜곡하다 (jinsil-eul waegok-hada) | jinsil-eul malhada / jinsil-eul waegok-hada | to tell the truth / to distort the truth | Both constructions are attested in P2b (items 1.1 and 1.10). They share the same object (진실) and differ in the verb, contrasting accurate transmission of truth with its deliberate alteration. P2b notes that the pairing of 진실 with 왜곡하다 is "highly conventionalized." | constructional | [CORE] |
| 진실이 드러나다 (jinsil-i deureonada) | 거짓이 드러나다 (geojit-i deureonada) | jinsil-i deureonada / geojit-i deureonada | the truth emerges, the truth is exposed / the falsehood is exposed, the lie comes to light | Both constructions are documented in P2b using the same verb 드러나다 (to surface, be exposed) but with opposed subjects. The parallel structure with opposed subjects is noted in P2b, where 거짓이 드러나다 is explicitly described as having "the opposite valence" to 진실이 드러나다. | constructional | [CORE] |
| 진실이 드러나다 (jinsil-i deureonada) | 진실을 숨기다 (jinsil-eul sumgida) | jinsil-i deureonada / jinsil-eul sumgida | the truth comes to light (intransitive) / to hide the truth (transitive) | P2b documents both constructions. These are not a simple lexical pair but a constructional contrast: 진실이 드러나다 is intransitive (truth as subject, emerging without a specified agent), while 진실을 숨기다 is transitive (truth as object, concealed by an agent). The contrast captures the difference between truth's emergence and its deliberate suppression. | constructional | [CORE] |
| 신뢰를 쌓다 (sinloe-reul ssada) | 신뢰를 잃다 (sinloe-reul ilta) | sinloe-reul ssada / sinloe-reul ilta | to build trust, to accumulate trust / to lose trust, to forfeit credibility | Documented in P2b as contrasting collocations sharing the same object (신뢰) but with semantically opposed verbs expressing the accumulation versus loss of trust. Both are listed as [CORE] in P2b and appear together in P3 Group 9 as defining constructions of the trustworthiness domain. | constructional | [CORE] |
| 신뢰를 쌓다 (sinloe-reul ssada) | 신뢰를 저버리다 (sinloe-reul jeobeorida) | sinloe-reul ssada / sinloe-reul jeobeorida | to build trust / to betray trust | Both constructions are attested in P2b (items 15.1 and 15.4). P2b notes that 저버리다 "carries a stronger moral charge than 잃다," distinguishing betrayal of trust from mere loss of trust. The contrast is between constructive and destructive-through-violation acts toward the same object. | constructional | [CORE] |
| 신뢰를 잃다 (sinloe-reul ilta) | 신뢰를 회복하다 (sinloe-reul hoebokada) | sinloe-reul ilta / sinloe-reul hoebokada | to lose trust / to restore trust, to recover credibility | Documented in P2b as contrasting collocations sharing the same object (신뢰) but with semantically opposed verbs. P2b notes that 저버리다 implies deliberate or culpable failure to honor trust while 회복하다 describes the process of rebuilding trust after damage. Both appear in P3 Group 9 as defining constructions of the trustworthiness domain. P3 (Group 12) notes that these verb pairings form part of a "lifecycle of trust" documented in the data. | constructional | [CORE] |
| 신뢰를 저버리다 (sinloe-reul jeobeorida) | 신뢰를 회복하다 (sinloe-reul hoebokada) | sinloe-reul jeobeorida / sinloe-reul hoebokada | to betray trust, to abandon trust / to restore trust, to recover credibility | Documented in P2b as contrasting collocations sharing the same object (신뢰) but with semantically opposed verbs. P2b notes that 저버리다 implies deliberate or culpable failure to honor trust while 회복하다 describes the process of rebuilding trust after damage. Both appear in P3 Group 9 as defining constructions of the trustworthiness domain. | constructional | [CORE] |
| 정확도가 높다 (jeonghwakdo-ga nopda) | 정확도가 낮다 (jeonghwakdo-ga natda) | jeonghwakdo-ga nopda / jeonghwakdo-ga natda | to have high accuracy / to have low accuracy | Documented in P2b (item 9.4) and P4a (Construction 9) and P4b as the standard scalar evaluative construction pair for accuracy assessment. P4a notes that the 도 (度) suffix is specifically associated with quantifiable degree and appears more frequently in this scalar construction than 성 (性) forms. P4b lists them as a paired construction and notes their use in scientific, technical, and testing contexts. The contrast is between the two poles of a scalar predicate applied to the same nominal. | constructional | [CORE] |
| 신빙성이 높다 (sinbyeongseong-i nopda) | 신빙성이 낮다 (sinbyeongseong-i natda) | sinbyeongseong-i nopda / sinbyeongseong-i natda | to have high credibility / to have low credibility | Documented in P2b and P4b as the standard scalar evaluative construction pair for credibility assessment, parallel in structure to the 정확도 pair. P2b notes these as the standard evaluative frame for degree-of-credibility assessments in legal and journalistic discourse. | constructional | [CORE] |
| 신뢰성이 높다 (sinloeseong-i nopda) | 신뢰성이 낮다 (sinloeseong-i natda) | sinloeseong-i nopda / sinloeseong-i natda | credibility is high / credibility is low | P2b (item 16.1) and P4a (Construction 9) document these as the standard scalar predication pair for 신뢰성. P4a notes that this scalar construction is characteristic of journalistic, legal, and scientific evaluation contexts and is distinct from the existential 있다/없다 predication pattern. | constructional | [CORE] |
| 신뢰도가 높다 (sinloedo-ga nopda) | 신뢰도가 낮다 (sinloedo-ga natda) | sinloedo-ga nopda / sinloedo-ga natda | to have high credibility / to have low credibility | P4a and P4b document the 높다/낮다 scalar frame as treating credibility as a scalar quantity. P4a explicitly distinguishes this scalar frame from the binary 있다/없다 frame. | constructional | [CORE] |
| 정확하다 (jeonghwak-hada) | 정확하지 않다 (jeonghwak-aji anta) | jeonghwak-hada / jeonghwak-aji anta | to be accurate / to not be accurate | P4a and P4b document these as the positive and syntactically negated forms of the same predicative construction. P4b notes that syntactic negation via -지 않다 is the most broadly productive negation strategy and is preferred in conversational and informal contexts over morphological negation (부정확하다). | constructional | [CORE] |
| 유효하다 (yuhyo-hada) / 여전히 유효하다 (yeojeonhi yuhyo-hada) | 무효가 되다 (muhyo-ga doeda) / 무효 처리되다 (muhyo cheori-doeda) | yuhyo-hada / muhyo-ga doeda | to be valid, to remain in force / to become void, to be processed as invalid | P2b documents these as the operative and inoperative states in legal and administrative contexts. The contrast is not only between the base terms (유효/무효) but between the constructional frames used to assert each state: 유효하다 is a simple predicative construction; 무효가 되다 and 무효 처리되다 are inchoative and passive-administrative constructions respectively, reflecting the procedural nature of invalidation. | constructional | [CORE] |
| 합법화하다 (hapbeop-hwa-hada) | 무효화하다 (muhyo-hwa-hada) | hapbeop-hwa-hada / muhyo-hwa-hada | to legalize / to invalidate, to nullify | Both are -화하다 causative constructions (P4a Construction 5) but operate in opposing directions within the legal domain: 합법화하다 confers legal status; 무효화하다 removes operative force. This is a constructional parallel rather than a direct lexical antonymy, noted here because P4a identifies the -화하다 pattern as a productive construction type and both verbs instantiate it with opposing effects. | constructional | [CORE] |
| 진실하다 (jinsil-hada) | 진실되다 (jinsil-doeda) | jinsil-hada / jinsil-doeda | to be truthful, to be sincere (active/agentive nuance) / to be truthful, to be genuine (stative/inherent nuance) | Documented in P2a as a morphological contrast between the -하다 and -되다 forms of the same base. P2a notes that 진실하다 tends toward active or performed quality while 진실되다 carries a nuance of inherent rather than performed quality, and that 진실되다 appears more in literary and formal registers. P4b confirms the -하다 / -되다 split as showing semantic conditioning rather than free variation. | morphological | [CORE] |
| 위조하다 (wijo-hada) | 위조되다 (wijo-doeda) | wijo-hada / wijo-doeda | to forge, to counterfeit (agentive) / to be forged, to be counterfeited (passive/resultant) | Documented in P2a as a morphological contrast between the agentive -하다 form and the passive/resultant -되다 form of the same base. P4b lists 위조되다 as the attested alternate of 위조하다 and notes the -하다 / -되다 split as a productive pattern in this domain. | morphological | [CORE] |
| 모순되다 (mosun-doeda) | (모순하다 — not attested) | mosun-doeda / — | to be contradictory, to contradict / (no -하다 form exists) | Documented in P2a and P4b as an asymmetric case: 모순되다 is the only available predicative form for contradiction; 모순하다 is explicitly noted as not attested. This is an asymmetric opposition in which the -되다 form exists without a -하다 counterpart, unlike the symmetric 진실하다 / 진실되다 pair. | morphological | [CORE] |
| 정확 (jeonghwak) | 부정확 (bujeonghwak) | jeonghwak / bujeonghwak | accuracy / inaccuracy | P2a (items 9.6–9.8) documents 부정확 as the negated nominal form of 정확, formed by the prefix 부 (不). The pair 정확성 / 부정확성 and 정확하다 / 부정확하다 are both attested as productive derivational pairs. P4b documents both as [CORE]. | morphological | [CORE] |
| 정직 (jeongjik) | 부정직 (bujeongjik) | jeongjik / bujeongjik | honesty / dishonesty | P2a (items 14.5–14.6) documents 부정직 as the negated form of 정직, formed by the prefix 부 (不), with the derived forms 부정직하다 and 부정직성 also attested. The pair is productive and both poles are [CORE]. | morphological | [CORE] |
| 공정 (gongjeon) | 불공정 (bulgongjeon) | gongjeon / bulgongjeon | fairness / unfairness | P2a (item 25.5, noted as cut off in the source but referenced in P3 Group 8) documents 불공정 as the negated form of 공정, formed by the prefix 불 (不). P3 (Group 8) lists 불공정 as a representative expression within the impartiality and fairness evaluation group. | morphological | [CORE] |
| 신뢰 (sinloe) | 불신 (bulsin) | sinloe / bulsin | trust / distrust | P2a (item 15.5) documents 불신 as the negated form of 신뢰. [Note: the source text is cut off at this entry; the opposition is included as documented up to the point of truncation.] | morphological | [CORE] |
