| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| 사실 (sasil) | 사실에 근거하다 | sasil-e geungeo-hada | to be based on facts, to be grounded in fact | Used to characterize a claim, argument, or representation as having factual foundation. Common in academic, journalistic, and legal discourse. The prepositional phrase 사실에 (on/in fact) combines with the verb 근거하다 (to be grounded in). Connects 사실 and 근거 from P1. | [CORE] |
| 사실 (sasil) | 사실을 왜곡하다 | sasil-eul waegokada | to distort the facts, to misrepresent the facts | Used in journalistic and political discourse to describe deliberate misrepresentation of factual information. Parallel in structure to 진실을 왜곡하다 but focuses on specific facts rather than truth as an abstract value. Connects 사실 and 왜곡 from P1. | [CORE] |
| 사실 (sasil) | 사실을 직시하다 | sasil-eul jiksihada | to face the facts squarely, to look the facts in the face | Used to describe the act of confronting reality without avoidance or self-deception. 직시하다 (to look directly at) implies a deliberate, unflinching engagement with what is actually the case. Common in motivational, political, and analytical discourse. Carries a connotation of unflinching acknowledgment. | [CORE] |
| 사실 (sasil) | 사실이 아니다 | sasil-i anida | it is not a fact, that is not true, that is not the case | The standard negation construction for factual claims. Extremely common across all registers as a denial or correction. More neutral in register than 거짓말이다 (that is a lie). Fully compositional but highly conventionalized as a denial formula. | [CORE] |
| 사실 (sasil) | 사실로 드러나다 | sasil-ro deureonada | to turn out to be true, to be revealed as fact | Used to describe the confirmation of a claim that was previously uncertain or disputed. The construction marks a transition from alleged or suspected to established. Common in journalistic and narrative contexts. | [CORE] |
| 사실 (sasil) | 사실로 밝혀지다 | sasil-ro balkhyeojida | to turn out to be true, to be revealed as fact | Used in journalistic and everyday contexts to describe the confirmation of a claim as factually accurate. The construction 사실로 + 밝혀지다/드러나다 is highly conventionalized. | [CORE] |
| 사실 (sasil) | 사실 여부를 따지다 | sasil yeobu-reul ttajida | to examine whether something is factual, to question the factual basis of something | Used in evaluative, investigative, legal, and journalistic contexts to describe the act of scrutinizing whether a claim is actually true. 따지다 (to examine closely, to question) implies critical scrutiny. 여부 (whether or not) is a productive element in formal Korean discourse. | [CORE] |
| 사실 (sasil) | 사실을 말하자면 | sasil-eul malhajamyeon | to tell the truth, if I'm being honest, speaking factually, the fact of the matter is | Discourse-framing construction used to introduce a frank or corrective statement. Functions as a hedging or truth-marking device at the beginning of an utterance, signaling that what follows is the speaker's genuine assessment. Common in spoken and written registers. | [CORE] |
| 사실 (sasil) | 엄연한 사실 | eomyeonhan sasil | an undeniable fact, a plain fact, an incontrovertible fact | A fixed nominal collocation using 엄연한 (undeniable/plain/manifest) as an intensifying modifier. Used to assert that something is unambiguously factual and cannot be disputed. Common in argumentative and rhetorical contexts. | [CORE] |
| 사실 (sasil) | 사실과 다르다 | sasil-gwa dareuda | to differ from the facts, to be contrary to the facts | A standard construction used in legal, journalistic, and everyday contexts to characterize a claim as factually incorrect without necessarily implying deliberate deception. Appears in formal corrections and rebuttals. | [CORE] |
| 사실 (sasil) | 사실을 은폐하다 | sasil-eul eunpye hada | to conceal the facts, to cover up the facts | Verb-object collocation describing deliberate suppression of factual information. Common in journalistic, legal, and political discourse; carries a stronger implication of institutional or deliberate concealment than 사실을 숨기다. | [CORE] |
| 사실 (sasil) | 사실관계를 파악하다 | sasil gwangye-reul paakada | to grasp the factual circumstances, to establish the facts of the case | Verb-object collocation used in legal and journalistic contexts to describe the act of determining the factual basis of a situation. 사실관계 is documented in P1b; this collocation with 파악하다 is its most common verbal partner. | [CORE] |
| 진짜 (jinjja) | 진짜인지 가짜인지 모르다 | jinjja-inji gajja-inji moreuda | not knowing whether it is real or fake, unable to tell the genuine from the counterfeit | Fixed interrogative-embedded construction used to express uncertainty about the authenticity of an item, person, or claim. The paired 진짜/가짜 structure is formulaic. Common in everyday speech and consumer contexts. | [CORE] |
| 진짜 (jinjja) | 진짜 같다 | jinjja gatda | it seems real, it looks genuine, it appears to be the real thing, it appears authentic | Used to express the appearance of genuineness without full commitment to its being genuine. 같다 (to seem, to appear like) marks epistemic tentativeness. Common in everyday evaluative speech about objects, performances, and claims. The -같다 construction is productive with many nominal bases. | [CORE] |
| 진짜 (jinjja) | 진짜로 받아들이다 | jinjja-ro badadeulida | to take as genuine, to accept as real | Used to describe the cognitive act of treating something as authentic or true. Common in contexts of credulity, trust, or deliberate acceptance. The construction 진짜로 (as genuine/real) functions adverbially. Appears in contexts where the speaker notes that something false was mistakenly accepted as genuine. | [CORE] |
| 진짜 (jinjja) | 진짜 실력을 발휘하다 | jinjja sillyeok-eul balhwihada | to show one's true ability, to demonstrate one's real skill | Used to describe the display of genuine competence as opposed to performance or pretense. 진짜 functions as an attributive modifier emphasizing authenticity of the quality being displayed. Common in sports, professional, and educational contexts. | [CORE] |
| 진짜 (jinjja) | 이게 진짜야? | ige jinjjaya? | Is this real? Is this for real? | A highly frequent colloquial interrogative construction used to express surprise or disbelief and to question the authenticity or truth of something. Functions both as a genuine question and as an exclamation of surprise. Extremely common in spoken Korean. | [CORE] |
| 진짜 (jinjja) | 진짜 맞다 | jinjja matda | it's really true, that's genuinely correct | Colloquial emphatic collocation used to assert that something is genuinely the case. 진짜 functions as an adverbial intensifier modifying 맞다 (to be correct/right). Extremely common in informal spoken Korean. | [CORE] |
| 가짜 (gajja) | 가짜로 판명되다 | gajja-ro panmyeongdoeda | to be determined to be fake, to be found to be counterfeit | Used in legal, journalistic, and commercial contexts to describe the official or investigative determination that an item or claim is not genuine. 판명되다 (to be determined, to be found to be) marks an authoritative conclusion. | [CORE] |
| 가짜 (gajja) | 가짜를 진짜로 속이다 | gajja-reul jinjja-ro sogida | to pass off a fake as genuine, to deceive by presenting a counterfeit as real | Used in legal and everyday contexts to describe the act of fraudulent misrepresentation of an inauthentic item as genuine. The construction 가짜를 진짜로 (fake as real) is a fixed contrastive frame. Common in consumer fraud and art forgery contexts. | [CORE] |
| 가짜 (gajja) | 가짜 뉴스를 퍼뜨리다 | gajja nyuseu-reul peotteurida | to spread fake news, to disseminate false information | Used in contemporary media and political discourse to describe the deliberate circulation of fabricated or misleading news content. 퍼뜨리다 (to spread, to disseminate) is the standard verb in this construction. | [CORE] |
| 가짜 (gajja) | 가짜인 줄 알다 | gajja-in jul alda | to know that it is fake, to be aware that it is not genuine | Used to describe epistemic awareness of inauthenticity. The construction -인 줄 알다 (to know that something is ~) is a standard epistemic frame. Common in legal contexts where knowledge of falsity is relevant to culpability. | [CORE] |
| 가짜 (gajja) | 가짜인 줄 몰랐다 | gajja-in jul mollassda | I didn't know it was fake, I was unaware it was counterfeit | Used in legal and everyday contexts to assert ignorance of inauthenticity, often as a defense or explanation. The construction 인 줄 몰랐다 (didn't know that it was) is a productive syntactic pattern applied here to 가짜. | [CORE] |
| 가짜 (gajja) | 가짜 뉴스 | gajja nyuseu | fake news | Nominal collocation referring to deliberately false or misleading news content. Entered Korean public discourse prominently from approximately 2016–2017 onward, largely parallel to international usage. Now well-established in journalistic and political discourse. | [CORE] |
| 가짜 (gajja) | 진짜와 가짜를 구별하다 | jinjja wa gajja-reul gubyeolhada | to distinguish the genuine from the fake | Verb-object collocation framing the task of authenticity discrimination. The paired nominal structure 진짜와 가짜 (the genuine and the fake) is a fixed nominal pair that appears frequently in this and related constructions. | [CORE] |
| 정확 (jeonghwak) | 정확히 말하면 | jeonghwaki malhamyeon | to be precise, strictly speaking, to put it exactly | Discourse-framing construction used to introduce a more precise or corrective formulation of a claim. Functions as a precision marker at the beginning of a clause. Common in academic, journalistic, and everyday speech. Cross-referenced from P2a. | [CORE] |
| 정확 (jeonghwak) | 정확히 말하자면 | jeonghwaki malhajamyeon | to be precise, to put it exactly, strictly speaking | A fixed discourse-framing construction used to introduce a more precise or corrective formulation. Functions as a pragmatic marker signaling increased precision. Common across registers. | [CORE] |
| 정확 (jeonghwak) | 정확한 정보를 제공하다 | jeonghwakan jeongbo-reul jegonghada | to provide accurate information | Standard collocation in journalistic, administrative, public health, and public communication contexts. 정확한 (accurate, attributive form of 정확하다) modifies 정보 (information); 제공하다 (to provide) is the standard verb. The collocation 정확한 정보 is itself highly conventionalized (cross-referenced from P1b). | [CORE] |
| 정확 (jeonghwak) | 정확한 사실을 파악하다 | jeonghwakan sasil-eul paakada | to grasp the accurate facts, to ascertain the precise facts | Used in investigative and analytical contexts to describe the act of establishing what is precisely the case. 파악하다 (to grasp, to ascertain) implies active cognitive effort. Common in journalistic and legal discourse. | [CORE] |
| 정확 (jeonghwak) | 정확도가 높다 / 정확도가 낮다 | jeonghwakdo-ga nopda / jeonghwakdo-ga natda | to have high accuracy / to have low accuracy | Standard evaluative constructions for assessing the degree of accuracy of a measurement, test, or system. 정확도 (accuracy rate) combines with the evaluative predicates 높다 (high) and 낮다 (low). Common in scientific, technical, and testing contexts. | [CORE] |
| 정확 (jeonghwak) | 정확하게 짚어내다 | jeonghwakage jjipeoneda | to pinpoint accurately, to identify precisely | Used in analytical and [source text ends] | [CORE] |
