# G6 — CROSS-LANGUAGE OPPOSITION AND ASYMMETRY COMPARISON

## 1. Cross-Language Opposition Inventory

### 1.1 Core Lexical Oppositions (Attested in All 8 Languages)

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
| | sa | सत्यं वद satyaṃ vada | असत्यं वदति asatyaṃ vadati | Parallel verb-object | Symmetrical construction |
| | el | λέω την αλήθεια léo tin alítheia | λέω ψέματα léo psémata | Parallel verb-object | Asymmetrical: truth singular definite, lies plural |
| | en | tell the truth | tell lies | Parallel verb-object | Asymmetrical: truth singular definite, lies plural |
| | tl | magsabi ng totoo | magsinungaling | Different constructions | Asymmetrical: truth uses verb-object; lying uses dedicated verb |
| | sw | sema ukweli | sema uongo | Parallel verb-object | Symmetrical construction |
| | qu | chiqanta rimay | llullata rimay | Parallel verb-object | Symmetrical construction |

**STRONG RECURRENT PATTERN**: All 8 languages show dedicated constructions for truth-telling vs. lying. 6/8 use parallel verb-object constructions (Chinese, Hebrew, Sanskrit, Greek, English, Swahili, Quechua). Tagalog uses different construction for lying (dedicated verb). Common asymmetry: truth singular, lies plural in several languages.

---

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Character: Truthful Person vs. Liar** | zh | 说真话的人 shuō zhēnhuà de rén | 骗子 piànzi / 说谎者 shuōhuǎng zhě | Circumlocution vs. lexicalized agent | Asymmetrical: truth-teller requires circumlocution; liar has dedicated forms |
| | he | דובר אמת dover emet | שקרן shakran | Participial phrase vs. agentive noun | Asymmetrical: truth-speaker uses participle; liar has dedicated -an suffix |
| | sa | सत्यवादिन् satyavādin | मिथ्यावादिन् mithyāvādin | Parallel agentive compounds | Symmetrical: both use -वादिन् suffix productively |
| | el | (no single word) | ψεύτης pséftis | Gap vs. agentive noun | Asymmetrical: no dedicated truth-teller; liar has productive -της suffix |
| | en | truth-teller | liar | Compound vs. suppletive | Asymmetrical: truth-teller marginal compound; liar suppletive (not *falser) |
| | tl | (no dedicated form) | sinungaling | Gap vs. lexicalized form | Asymmetrical: no dedicated truth-teller; liar lexicalized |
| | sw | mwenye ukweli | mwongo | Possessive phrase vs. agentive noun | Asymmetrical: truth-haver uses possessive; liar has productive m- prefix |
| | qu | chiqan rimaq | llullakuq | Compound vs. agentive suffix | Asymmetrical: truth-speaker uses compound; liar has productive -q suffix |

**STRONG RECURRENT PATTERN**: 7/8 languages show systematic asymmetry in agentive nominalization. Only Sanskrit shows symmetrical productive formation for both poles. This represents a universal bias: negative moral agents (liars) more readily lexicalized than positive (truth-tellers).

---

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Causative: Verify vs. Falsify** | zh | 证实 zhèngshí | (no dedicated form; uses 伪造 wěizào "forge") | Resultative compound vs. separate root | Asymmetrical: verification has dedicated form; falsification uses different root |
| | he | אימת imet / בדק badak | (no dedicated causative; uses עיוות ivет "distort") | Causative hif'il vs. separate root | Asymmetrical: verification has causative; falsification uses different verbs |
| | sa | साधयति sādhayati "prove" | (no dedicated causative; uses negation or separate roots) | Causative vs. gap | Asymmetrical: prove/establish exists; no causative "make false" |
| | el | βεβαιώνω vevaióno | διαψεύδω diapsévdo | Parallel causative -ώνω | More symmetrical than other languages but διαψεύδω less common |
| | en | verify / prove | falsify | Separate roots (Latin) | Both from different roots; falsify less common than verify |
| | tl | patunayan | (no dedicated causative; uses magsinungaling "to lie") | Causative pa- vs. different verb | Asymmetrical: verification has causative; falsification uses different construction |
| | sw | thibitisha | (no dedicated causative; uses -danganya "deceive") | Causative -isha vs. different verb | Asymmetrical: verification has causative; falsification uses deception verbs |
| | qu | chiqanchay | llullachiy | Parallel causative -cha-/-chi- | More symmetrical but llullachiy means "cause to lie" not "make false" |

**STRONG RECURRENT PATTERN**: 7/8 languages show asymmetry in causative formation. Verification causatives are productive; falsification causatives are rare, use different roots, or mean "cause to lie" rather than "make false." Only Greek shows some symmetry. This suggests truth-establishment conceptualized as active process; falsification conceptualized differently (as deception, corruption, or passive state).

---

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Inchoative: Become True vs. Become False** | zh | 变真 biàn zhēn (marginal) / 成为现实 chéngwéi xiànshí | 变假 biàn jiǎ (rare) | Periphrastic with 变 | Both marginal; prefer revelation constructions (真相大白) |
| | he | (uses התברר hitbarer "became clear") | (uses התברר כשקר "turned out false") | Different root (ברר not אמת) | Both use revelation/discovery constructions rather than simple inchoative |
| | sa | सत्यं भवति satyaṃ bhavati (context-dependent) | मिथ्या भवति mithyā bhavati | Parallel copula (inchoative reading) | Context disambiguates stative vs. inchoative; both possible |
| | el | γίνεται αληθινό gínete alithinó (marginal) | γίνεται ψευδές gínete psevdés (marginal) | Periphrastic with γίνομαι | Both marginal; prefer revelation constructions (βγαίνει η αλήθεια) |
| | en | come true (fixed) | *come false (ungrammatical) | Lexically restricted | Extreme asymmetry: come true fixed expression; *come false blocked |
| | tl | magkatotoo | (no clear equivalent) | mag-ka- inchoative | Asymmetrical: "come true" productive; "become false" uses different constructions |
| | sw | (uses revelation constructions) | (uses revelation constructions) | No simple inchoative | Both prefer passive/revelation: ukweli umedhihirika "truth has become evident" |
| | qu | (marginal chiqanyay) | (no clear form) | Limited inchoative | Both marginal; prefer revelation or verification constructions |

**STRONG RECURRENT PATTERN**: 7/8 languages show restrictions or asymmetries in inchoative constructions. English shows extreme blocking (*come false). Most languages prefer revelation/discovery constructions (truth emerged, was revealed, came to light) over simple "became true/false." This suggests truth conceptualized as pre-existing and revealed rather than coming into being.

---

### 1.4 Constructional Oppositions (Parallel Structures)

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Adnominal: True X vs. False X** | zh | 真实的情况 zhēnshí de qíngkuàng | 虚假的情况 xūjiǎ de qíngkuàng | Parallel modification with 的 | Symmetrical; fully productive |
| | he | סיפור אמיתי sipur amiti | סיפור מזויף sipur mezuyaf | Parallel noun-adjective | Symmetrical; fully productive |
| | sa | सत्यवचन satyavacana | मिथ्याभाषण mithyābhāṣaṇa | Parallel compounds | Symmetrical; tatpuruṣa compounds productive |
| | el | αληθινή ιστορία alithiní istoría | ψευδής ιστορία psevdís istoría | Parallel adjective-noun | Symmetrical; fully productive |
| | en | true story | false story | Parallel adjective-noun | Symmetrical; fully productive |
| | tl | tunay na kaibigan | pekeng kaibigan | Parallel linker construction | Symmetrical; fully productive |
| | sw | mtu wa kweli | mtu wa uongo | Parallel associative construction | Symmetrical; fully productive |
| | qu | chiqan simi | llulla simi | Parallel juxtaposition | Symmetrical; fully productive |

**STRONG RECURRENT PATTERN**: All 8 languages show symmetrical parallel constructions for modifying nouns with truth-domain terms. This is fully productive across all languages despite varying formal strategies (direct modification, associative constructions, compounds).

---

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Revelation vs. Concealment** | zh | 真相大白 zhēnxiàng dàbái "truth becomes bright" | 隐瞒真相 yǐnmán zhēnxiàng "conceal truth" | Metaphorical emergence vs. active concealment | Asymmetrical: revelation often intransitive; concealment transitive |
| | he | האמת תצא לאור ha'emet tetse la'or "truth will come to light" | להסתיר את האמת lehasתir et ha'emet "to hide truth" | Metaphorical emergence vs. active concealment | Asymmetrical: revelation intransitive; concealment transitive |
| | el | βγαίνει η αλήθεια στη φόρα vgaíni i alítheia sti fóra | κρύβω την αλήθεια krývo tin alítheia | Metaphorical emergence vs. active concealment | Asymmetrical: revelation intransitive; concealment transitive |
| | en | the truth will out | hide the truth | Metaphorical emergence vs. active concealment | Asymmetrical: revelation intransitive; concealment transitive |
| | tl | lumabas ang katotohanan | itago ang katotohanan | Intransitive emergence vs. transitive concealment | Asymmetrical: revelation intransitive; concealment transitive |
| | sw | ukweli unadhihirika | ficha ukweli | Passive revelation vs. active concealment | Asymmetrical: revelation passive/intransitive; concealment transitive |

**STRONG RECURRENT PATTERN**: 6/8 languages show asymmetrical revelation vs. concealment constructions. Revelation typically intransitive/passive (truth emerges on its own); concealment typically transitive/agentive (someone hides truth). Sanskrit and Quechua less prominent in this pattern. This suggests conceptual asymmetry: truth reveals itself; falsehood requires active concealment.

---

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Existential: Has Truth vs. Lacks Truth** | zh | (not prominent in F5 data) | (not prominent) | — | Not systematically attested |
| | he | יש בזה אמת yesh baze emet | אין בזה אמת eyn baze emet | Existential affirmation vs. negation | Symmetrical; both common in argumentative discourse |
| | sa | (not prominent in F5 data) | (not prominent) | — | Not systematically attested |
| | el | (not prominent in F5 data) | (not prominent) | — | Not systematically attested |
| | en | (not prominent in F5 data) | (not prominent) | — | Not systematically attested |
| | tl | may katotohanan | walang katotohanan | Existential may vs. walang | Symmetrical; very common in argumentative discourse |
| | sw | (implied: ni kweli) | (implied: si kweli) | Copular affirmation vs. negation | Symmetrical through copula system |
| | qu | (not prominent in F5 data) | (not prominent) | — | Not systematically attested |

**MODERATE PATTERN**: 2/8 languages (Hebrew, Tagalog) show prominent existential constructions for presence/absence of truth in F5 data. Swahili shows this through copula system. Other languages may have such constructions but they are not prominent in F5 opposition tables. This suggests existential framing is available but not universally salient in opposition structures.

---

### 1.5 Internal Oppositions (Within Single Constructions)

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Disjunctive: True or False** | zh | 真假 zhēnjiǎ | (internal opposition) | Compound presenting both poles | Fixed expression; both poles in single word |
| | he | אמת או שקר emet o sheker | (internal opposition) | Disjunctive coordination | Fixed expression; common in questions/evaluations |
| | sa | सत्यासत्ययोः satyāsatyayoḥ | (internal opposition) | Dual genitive | Fixed expression; philosophical discourse |
| | el | αλήθεια ή ψέμα alítheia í pséma | (internal opposition) | Disjunctive coordination | Fixed expression; common in evaluations |
| | en | true or false | (internal opposition) | Disjunctive coordination | Fixed expression; extremely common |
| | tl | totoo o kasinungalingan | (internal opposition) | Disjunctive coordination | Fixed expression; common in questions |
| | sw | kweli au uongo | (internal opposition) | Disjunctive coordination | Fixed expression; common in evaluations |
| | qu | chiqanchu llullachu | (internal opposition) | Disjunctive with -chu | Fixed expression; common in questions |

**STRONG RECURRENT PATTERN**: All 8 languages show fixed expressions presenting truth/falsehood as binary alternatives. Strategies vary (compounding in Chinese, dual number in Sanskrit, coordination in others) but function is universal. Common in questions, evaluations, and philosophical discourse.

---

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
|--------------------|----------|--------|--------|-------------------|-----------------------------------------|
| **Dual Constructions: Of Truth and Falsehood** | sa | सत्यासत्ययोः satyāsatyayoḥ | (internal opposition) | Dual genitive | Productive in Sanskrit for binary oppositions |
| | sa | प्रमाभ्रमयोः pramābhramayoḥ | (internal opposition) | Dual genitive | Productive pattern: valid knowledge and error |
| | sa | विद्याविद्ययोः vidyāvidyayoḥ | (internal opposition) | Dual genitive | Productive pattern: knowledge and ignorance |
| | he | (similar dual constructions possible) | (internal opposition) | Dual number | Less productive than Sanskrit but available |

**SINGLE-LANGUAGE OBSERVATION**: Sanskrit uniquely shows productive dual number constructions for binary oppositions in truth domain. Hebrew has dual number but uses it less systematically. Other 6 languages lack grammatical dual and use coordination instead. This represents a grammatical resource available only in languages with dual number.

---

## 2. Naturalness Patterns from F6 Data

### 2.1 Strongly Natural Across Multiple Languages

| Construction Type | Languages Showing [CORE] Rating | Representative Examples | Cross-Language Pattern |
|-------------------|--------------------------------|------------------------|------------------------|
| **Truth Revelation/Emergence** | zh, he, el, en, tl, sw (6/8) | zh: 真相大白 "truth becomes bright"<br>he: האמת תצא לאור "truth comes to light"<br>el: βγαίνει η αλήθεια "truth comes out"<br>en: "the truth will out"<br>tl: lumabas ang katotohanan<br>sw: ukweli unadhihirika | **STRONG RECURRENT PATTERN**: Intransitive/passive revelation constructions natural across 6/8 languages. Truth conceptualized as hidden entity that emerges spontaneously. |
| **Causative Verification** | he, el, tl, sw, qu (5/8) | he: הוכיח hokhiaḥ "proved"<br>el: βεβαιώνω vevaióno "confirm"<br>tl: patunayan "to prove"<br>sw: thibitisha "to confirm"<br>qu: chiqanchay "to verify" | **STRONG RECURRENT PATTERN**: Causative verification highly natural in languages with causative morphology. Very common in legal/administrative contexts. |
| **Causative Correction** | zh, he, el, tl, sw, qu (6/8) | zh: 改正 gǎizhèng "correct"<br>he: תיקן tiken "corrected"<br>el: διορθώνω diorthóno "correct"<br>tl: itama "to correct"<br>sw: sahihisha "to correct"<br>qu: allinchay "to make good" | **STRONG RECURRENT PATTERN**: Causative correction highly natural across 6/8 languages. Extremely common in educational and editorial contexts. |
| **Light Verb + Truth/Lie** | All 8 languages | zh: 说实话/说谎<br>he: לומר את האמת/לספר שקרים<br>sa: सत्यं वद/असत्यं वदति<br>el: λέω την αλήθεια/λέω ψέματα<br>en: tell the truth/tell lies<br>tl: magsabi ng totoo/magsinungaling<br>sw: sema ukweli/sema uongo<br>qu: chiqanta rimay/llullata rimay | **STRONG RECURRENT PATTERN**: Highly conventionalized verb-object constructions for truth-telling/lying natural across all languages. Extremely high frequency. |
| **Light Verb + Error** | zh, he, el, en, tl, sw, qu (7/8) | zh: 犯错误 fàn cuòwù<br>he: עשה טעות asa ta'ut<br>el: κάνω λάθος káno láthos<br>en: make a mistake<br>tl: gumawa ng pagkakamali<br>sw: fanya makosa<br>qu: pantayta ruray | **STRONG RECURRENT PATTERN**: Light verb + error constructions natural across 7/8 languages. Very common in everyday speech. |
| **Morphological Negation** | All 8 languages | zh: 不真实 bù zhēnshí<br>he: לא נכון lo nakhon<br>sa: असत्य asatya<br>el: δεν είναι αλήθεια den íne alítheia<br>en: not true / untrue<br>tl: hindi totoo<br>sw: si kweli<br>qu: mana chiqan | **STRONG RECURRENT PATTERN**: Morphological negation highly productive and natural across all languages. Creates systematic oppositions. |
| **Adnominal Modification** | All 8 languages | zh: 真实的情况<br>he: סיפור אמיתי<br>sa: सत्यवचन<br>el: αληθινή ιστορία<br>en: true story<br>tl: tunay na kaibigan<br>sw: mtu wa kweli<br>qu: chiqan simi | **STRONG RECURRENT PATTERN**: Adnominal modification fully productive and natural across all languages despite varying formal strategies. |
| **Comparative Constructions** | All 8 languages | zh: 更真实 gèng zhēnshí<br>he: יותר נכון yoter nakhon<br>sa: (uses separate constructions)<br>el: πιο αληθινό pio alithinó<br>en: more true<br>tl: mas totoo<br>sw: (uses zaidi)<br>qu: (uses aswan) | **STRONG RECURRENT PATTERN**: Analytic comparatives natural across all languages. No synthetic forms attested. |
| **Prohibitives: Don't Lie** | All 8 languages | zh: 不要说谎 bùyào shuōhuǎng<br>he: אל תשקר al teshaker<br>sa: असत्यं न वक्तव्यम् asatyaṃ na vaktavyam<br>el: μην ψεύδεσαι min psévdese<br>en: don't lie<br>tl: huwag magsinungaling<br>sw: usimseme uongo<br>qu: ama llullakychu | **STRONG RECURRENT PATTERN**: Prohibitive constructions with lying verbs natural across all languages. Very common in moral instruction. |

---

### 2.2 Consistently Marked, Weak, or Awkward Constructions

| Construction Type | Languages Showing [MARGINAL] or [UNCERTAIN] | Representative Examples | Cross-Language Pattern |
|-------------------|---------------------------------------------|------------------------|------------------------|
| **Simple Inchoative "Become True"** | zh, he, el, en, tl, sw, qu (7/8) | zh: 变真 biàn zhēn [MARGINAL]<br>he: (uses different root) [MARGINAL]<br>el: γίνεται αληθινό [MARGINAL]<br>en: *become true [MARGINAL]<br>tl: (marginal)<br>sw: (uses revelation constructions)<br>qu: chiqanyay [MARGINAL] | **STRONG RECURRENT PATTERN**: Simple inchoative "become true" marked or marginal across 7/8 languages. Only Sanskrit shows it as natural (context-dependent भवति). |
| **Causative Falsification** | zh, he, sa, el, en, tl, sw, qu (8/8) | zh: (no dedicated form) [GAP]<br>he: (uses different verbs) [GAP]<br>sa: (no causative) [UNCERTAIN]<br>el: διαψεύδω [MARGINAL]<br>en: falsify (different root)<br>tl: (no causative) [GAP]<br>sw: (uses deception verbs) [GAP]<br>qu: llullachiy means "cause to lie" not "make false" | **STRONG RECURRENT PATTERN**: Causative falsification rare, marginal, or uses different strategies across all 8 languages. Extreme asymmetry with verification causatives. |
| **Positive Agentive "Truth-Teller"** | zh, he, el, en, tl, sw (6/8) | zh: 说真话的人 [circumlocution]<br>he: דובר אמת [participial phrase]<br>el: (no single word) [GAP]<br>en: truth-teller [MARGINAL compound]<br>tl: (no dedicated form) [GAP]<br>sw: mwenye ukweli [possessive phrase] | **STRONG RECURRENT PATTERN**: Dedicated positive agentive formation blocked or marginal in 6/8 languages. Only Sanskrit and Quechua show productive formation. |
| **Maintaining Truth Over Time** | zh, he, el, en, sw, qu (6/8) | zh: 保持真实 [uses general verb]<br>he: שמר על האמת [uses general verb]<br>el: διατηρώ την αλήθεια [uses general verb]<br>en: keep/maintain truth [general verbs]<br>sw: hifadhi ukweli [general verb]<br>qu: (marginal constructions) | **MODERATE PATTERN**: Dedicated "maintain truth" constructions rare; languages use general maintenance verbs. Suggests maintaining truth is not conceptualized as distinct from general preservation. |
| **Making Something False** | zh, he, sa, el, en, tl, sw, qu (8/8) | zh: (no simple causative) [GAP]<br>he: (uses distortion verbs) [GAP]<br>sa: (no causative) [UNCERTAIN]<br>el: (marginal constructions)<br>en: (uses falsify from different root)<br>tl: (no causative) [GAP]<br>sw: (uses deception verbs) [GAP]<br>qu: (llullachiy = cause to lie, not make false) | **STRONG RECURRENT PATTERN**: Direct causative "make false" rare or absent across all languages. Languages describe falsification through deception, corruption, or forgery rather than direct causation. |
| **Preventing Lies (Others)** | el, qu (2/8 explicitly) | el: τον αποτρέπω από το να πει ψέματα [MARGINAL - complex]<br>qu: (complex periphrastic) [MARGINAL] | **WEAK PATTERN**: Dedicated constructions for preventing others from lying are complex or marginal. Languages use general prevention verbs or prohibitive commands instead. |
| **Objects Becoming Genuine** | zh, he, el, en, tl, sw, qu (7/8) | zh: (no common expression) [GAP]<br>he: (no common expression) [GAP]<br>el: (no common expression) [GAP]<br>en: (no common expression) [GAP]<br>tl: (marginal)<br>sw: (no common expression) [GAP]<br>qu: (no common expression) [GAP] | **STRONG RECURRENT PATTERN**: Objects spontaneously "becoming genuine" blocked or absent across 7/8 languages. Authenticity established through verification, not spontaneous change. |

---

### 2.3 Recurrent Patterns of Restriction or Blocking

**RESTRICTION 1: Inchoative Asymmetry**

**Pattern**: "Become true" is restricted, marginal, or uses different constructions across languages, while "become good/better" is productive.

**Evidence from F6**:
- **Chinese**: 变真 biàn zhēn [MARGINAL] vs. 变好 biàn hǎo [CORE]
- **Hebrew**: Uses התברר hitbarer "became clear" [CORE] rather than inchoative of אמת
- **Greek**: γίνεται αληθινό [MARGINAL] vs. γίνομαι καλύτερος "become better" [CORE]
- **English**: *become true [MARGINAL], come true [CORE - lexically restricted] vs. improve [CORE]
- **Tagalog**: magkatotoo [CORE] but often prefers revelation constructions
- **Swahili**: Prefers ukweli umedhihirika "truth has become evident" [CORE] over simple inchoative
- **Quechua**: chiqanyay [MARGINAL] vs. allinyay "become good" [CORE]

**Interpretation**: Truth is conceptualized as pre-existing and revealed rather than coming into being. Languages prefer:
1. Revelation metaphors (truth emerging, coming to light)
2. Evidential constructions (proved true, turned out to be true)
3. Realization of predictions (dreams came true)

Over simple change-of-state "became true."

**RESTRICTION 2: Causative Falsification Blocking**

**Pattern**: Causative "make false/falsify" is rare, marginal, or uses different strategies across all languages, while causative "make true/verify" is productive.

**Evidence from F6**:
- **Chinese**: 证实 zhèngshí "verify" [CORE] vs. no dedicated falsification causative [GAP]
- **Hebrew**: אימת imet "verify" [CORE] vs. no causative from שקר [GAP]
- **Sanskrit**: साधयति sādhayati "prove" [CORE] vs. no causative "make false" [UNCERTAIN]
