# CLCA Protocol v3.4 — P4b Construction Usage & Constraints
# Language: Hebrew (he)

---

## Construction Usage Table

| Construction Type | Example | Transliteration | Translation | Naturalness Rating | Usage Notes | Attested Alternates |
| **6. ABSTRACT NOMINALIZATION** | אמינות | *ʾaminut* | "credibility, trustworthiness" | [CORE] | The *-ut* suffix is fully productive across truth-domain adjectives; *ʾaminut* is highly frequent in journalistic, legal, and academic registers. No register restriction. | Verbal nouns: *ziyyuf*, *diyuq*, *ḥiqquy* (piʿel pattern); *honaʾaʾh*, *ʾishur* (hifʿil pattern) |
| **6. ABSTRACT NOMINALIZATION** | מקוריות | *meqoriyut* | "originality, genuineness" | [CORE] | Attested in academic, legal (intellectual property), and critical discourse; the *-ut* suffix applies regularly to the adjectival base *meqori*. | See above |
| **7. AGENTIVE NOMINALIZATION** | שקרן | *shaqran* | "liar" | [CORE] | Highly frequent across registers; *shaqran* is the default term for a habitual liar and carries strong characterological implication. Not interchangeable with the active participle. | Active participle: *meshaqer* (act-based); *rammʾai*, *tsadqan* (*-an* pattern variants) |
| **7. AGENTIVE NOMINALIZATION** | מזייף | *mezayef* | "forger" | [CORE] | Common in legal and journalistic registers; the active participle form is used both predicatively and attributively. Implies a specific or ongoing act rather than a habitual character trait. | *-an* suffix forms (*shaqran*) for habitual/characterological sense |
| **8. TRUTH-PREDICATE FRAME** | האמת היא שהמצב החמיר | *ha-ʾemet hi she-ha-matsav heḥmir* | "the truth is that the situation has worsened" | [CORE] | Used in declarative contexts to introduce corrective or clarifying statements; frequent in journalistic, political, and conversational registers. Restricted to declarative illocutionary force. | *nakhon she-* (interrogative variant) |
| **8. TRUTH-PREDICATE FRAME** | נכון שאמרת שלא היית שם? | *nakhon she-ʾamarta she-lo hayita sham?* | "is it correct that you said you were not there?" | [CORE] | Attested specifically in interrogative contexts, particularly legal cross-examination; functions to confirm or challenge a prior assertion. Restricted to interrogative illocutionary force. | *ha-ʾemet hi she-* (declarative variant) |
| **9. ADVERBIAL TRUTH-FRAMING** | בכנות, אני לא יודע | *be-kanut, ʾani lo yodeʿa* | "honestly, I don't know" | [CORE] | Sentence-initial adverbial position is typical; functions as an epistemic or manner frame across registers. The pattern *be-* + abstract noun is fully productive in this domain. | *be-ʾemet*, *be-yosher*, *be-mirmah*, *be-diyuq* (parallel forms in the set) |
| **9. ADVERBIAL TRUTH-FRAMING** | בדיוק עשרה | *be-diyuq ʿasarah* | "exactly ten" | [CORE] | *Be-diyuq* has grammaticalized as a precision adverb and is among the most frequent items in this set; it is no longer restricted to truth-domain contexts and occurs freely as a quantificational modifier. | *be-kanut*, *be-ʾemet* (less grammaticalized members of the same pattern) |
| **10. VERBAL PERIPHRASIS** | לדבר אמת | *ledaber ʾemet* | "to tell the truth" | [CORE] | Fixed collocation; *ledaber ʾemet* is the standard idiomatic expression for truth-telling across registers. The indefinite noun (*ʾemet* without *ha-*) is obligatory in this collocation. | *leʿavvet et ha-ʾemet*; *legallot*, *laḥsof*, *lehastir*, *levarer*, *lesalef* + *ha-ʾemet* |
| **10. VERBAL PERIPHRASIS** | לעוות את האמת | *leʿavvet et ha-ʾemet* | "to distort the truth" | [CORE] | Frequent in journalistic and legal registers; the definite object (*ha-ʾemet* with *et*) is the expected form when referring to a specific truth. Part of a productive set of verbs taking *ha-ʾemet* as object. | *ledaber ʾemet* (indefinite variant); *legallot*, *laḥsof*, *lehastir*, *levarer*, *lesalef*, *liḥyot ʿim* + *ha-ʾemet* |

---

## Summary Note

All ten construction types identified in P4a receive a [CORE] rating. No construction in the attested data is restricted to marginal or uncertain status. Observable restrictions are internal to constructions rather than indicators of marginality: the *-an* / active participle distinction in agentive nominalization, the declarative / interrogative split in truth-predicate frames, the indefinite / definite contrast in verbal periphrasis, and the non-availability of a productive negative attributive prefix are all systematic constraints within otherwise fully productive patterns. The grammaticalization of *be-diyuq* relative to other members of the adverbial truth-framing set is the only case of differential entrenchment noted within a single construction type.
