# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Chinese (zh)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| 言行一致 (yán xíng yī zhì) | 言行不一 (yán xíng bù yī) | yán xíng yī zhì vs. yán xíng bù yī | "words match deeds, practice what one preaches" vs. "words don't match deeds, say one thing and do another" | This opposition contrasts consistency (一致 "unified, consistent") versus inconsistency (不一 "not unified") between words and actions. It functions similarly to 表里如一/表里不一 but focuses specifically on the speech-action relationship rather than general appearance-reality alignment. | Morphological (within fixed expression) | [CORE] |
| 真诚 (zhēnchéng) | 虚情假意 (xū qíng jiǎ yì) | zhēnchéng vs. xū qíng jiǎ yì | "sincere, genuine" vs. "hypocritical, insincere, false sentiments" | This opposition contrasts sincere emotions and intentions with hypocritical or insincere displays. The contrast is asymmetric in structure: 真诚 is a simple compound while 虚情假意 is a four-character expression combining 虚 "empty" and 假 "false" to intensify the sense of insincerity. | Lexical | [CORE] |
| 可靠 (kěkào) | 不可靠 (bù kěkào) | kěkào vs. bù kěkào | "reliable, dependable, trustworthy" vs. "unreliable, undependable, untrustworthy" | This morphological negation contrasts reliability with unreliability in sources, people, or information. The opposition is productive with derived forms (可靠性/不可靠性 "reliability/unreliability", 可靠度 "degree of reliability") and appears frequently in contexts of source evaluation and trust judgments. | Morphological | [CORE] |
| 准确 (zhǔnquè) | 不准确 (bù zhǔnquè) | zhǔnquè vs. bù zhǔnquè | "accurate, precise, exact" vs. "inaccurate, imprecise, inexact" | This morphological negation contrasts accuracy with inaccuracy in measurements, statements, or representations. The opposition is highly productive in technical and scientific contexts, with derived forms emphasizing measurability (准确度 "degree of accuracy", 准确性 "accuracy"). | Morphological | [CORE] |
| 正确 (zhèngquè) | 错误 (cuòwù) | zhèngquè vs. cuòwù | "correct, right, proper" vs. "error, mistake, wrong" | This compound-level opposition parallels the simple 对/错 contrast but with more formal register and broader normative implications. While 对/错 focuses on simple correctness, 正确/错误 often carries implications of proper versus improper positions in political, moral, and ideological contexts. | Lexical | [CORE] |
| 事实 (shìshí) | 谎言 (huǎngyán) | shìshí vs. huǎngyán | "fact, reality, truth" vs. "lie, falsehood, untruth" | This opposition contrasts objective factual reality with deliberate false statements intended to deceive. The contrast is between a noun denoting states of affairs (事实) and a noun denoting deceptive speech acts (谎言), representing the opposition between what is the case and what is falsely claimed to be the case. | Lexical | [CORE] |
| 真实 (zhēnshí) | 失真 (shīzhēn) | zhēnshí vs. shīzhēn | "real, true, authentic" vs. "distorted, lose fidelity" | This opposition contrasts authenticity with distortion or loss of fidelity, particularly in technical contexts of reproduction and transmission. The term 失真 (lit. "lose truth") specifically describes degradation of accuracy in representations, making this a specialized opposition within the broader truth domain. | Lexical | [CORE] |
| 华而不实 (huá ér bù shí) | 名副其实 (míng fù qí shí) | huá ér bù shí vs. míng fù qí shí | "showy but lacking substance" vs. "worthy of the name, live up to reputation" | This opposition contrasts superficial appearance without substance (华而不实) with genuine correspondence between name and reality (名副其实). Both are four-character expressions evaluating the relationship between surface and depth, appearance and actuality, but approach from opposite directions. | Lexical | [CORE] |
| 伪 (wěi) [within 去伪存真] | 真 (zhēn) [within 去伪存真] | qù wěi cún zhēn | "eliminate the false and retain the true" | This four-character expression contains an internal opposition between 伪 "false, counterfeit" and 真 "true, genuine", with the verbs 去 "remove" and 存 "preserve" marking the contrasting actions. The expression as a whole describes the analytical process of separating truth from falsehood. | Lexical (within fixed expression) | [CORE] |
| 假 (jiǎ) [within 以假乱真] | 真 (zhēn) [within 以假乱真] | yǐ jiǎ luàn zhēn | "pass off the fake as genuine, confuse the false with the true" | This four-character expression contains the fundamental 假/真 opposition, describing the act of making counterfeits so convincing they're mistaken for genuine items. The verb 乱 "confuse, disorder" marks the problematic blurring of the distinction between the two terms. | Lexical (within fixed expression) | [CORE] |
| 假 (jiǎ) [within 弄假成真] | 真 (zhēn) [within 弄假成真] | nòng jiǎ chéng zhēn | "what starts as pretense becomes real, fake becomes genuine" | This expression contains the 假/真 opposition but describes transformation from one state to the other (成 "become"), particularly in contexts where pretense or acting becomes reality. The opposition is dynamic rather than static, marking a process of change. | Lexical (within fixed expression) | [CORE] |
| 真 (zhēn) [within 真真假假] | 假 (jiǎ) [within 真真假假] | zhēn zhēn jiǎ jiǎ | "mix of truth and falsehood, hard to distinguish real from fake" | This reduplicated expression alternates the fundamental 真/假 opposition to describe situations where truth and falsehood are mixed or difficult to distinguish. The reduplication (真真假假) emphasizes the complexity and ambiguity of the mixture. | Lexical (within fixed expression) | [CORE] |
| 真 (zhēn) [within 半真半假] | 假 (jiǎ) [within 半真半假] | bàn zhēn bàn jiǎ | "half true and half false, partly true" | This expression contains the 真/假 opposition with the quantifier 半 "half" applied to each term, describing statements or situations that mix truth and falsehood in roughly equal proportions. The opposition is balanced and quantified. | Lexical (within fixed expression) | [CORE] |
| 真 (zhēn) [within 亦真亦假] | 假 (jiǎ) [within 亦真亦假] | yì zhēn yì jiǎ | "both true and false, ambiguous, hard to tell" | This literary expression uses 亦...亦... "both...and..." to frame the 真/假 opposition, describing ambiguous situations where something appears to be both true and false simultaneously. The construction emphasizes paradox or ambiguity rather than simple mixture. | Lexical (within fixed expression) | [CORE] |
| 真 (zhēn) [within 真伪莫辨] | 伪 (wěi) [within 真伪莫辨] | zhēn wěi mò biàn | "unable to distinguish true from false, hard to tell genuine from fake" | This expression contains an opposition between 真 and 伪 (a more formal/literary term for falseness than 假), with 莫辨 "cannot distinguish" marking the difficulty of determining which is which. Used in contexts of authentication and verification. | Lexical (within fixed expression) | [CORE] |
| 真 (zhēn) [within 真凭实据] | 实 (shí) [within 真凭实据] | zhēn píng shí jù | "solid evidence, conclusive proof" | This is not a true opposition but rather a reinforcing combination where 真 and 实 work together to emphasize genuine, solid evidence. Both terms align on the truth/reality side of the semantic domain, creating intensification rather than contrast. | N/A (reinforcing combination, not opposition) | [CORE] |
| 虚 (xū) [within 弄虚作假] | 假 (jiǎ) [within 弄虚作假] | nòng xū zuò jiǎ | "practice fraud, engage in deception, falsify" | This is not a true opposition but rather a reinforcing combination where 虚 and 假 both denote falseness, working together to emphasize fraudulent or deceptive practices. Both terms align on the false/deceptive side of the semantic domain. | N/A (reinforcing combination, not opposition) | [CORE] |
| 虚 (xū) [within 虚情假意] | 假 (jiǎ) [within 虚情假意] | xū qíng jiǎ yì | "hypocritical, insincere, false sentiments" | Similar to 弄虚作假, this is a reinforcing combination where 虚 modifies 情 "feelings" and 假 modifies 意 "intentions", both emphasizing insincerity and hypocrisy. The two terms work together rather than in opposition. | N/A (reinforcing combination, not opposition) | [CORE] |
| 真 (zhēn) [within 真才实学] | 实 (shí) [within 真才实学] | zhēn cái shí xué | "real talent and genuine learning, true ability" | This is a reinforcing combination where 真 modifies 才 "talent" and 实 modifies 学 "learning", both emphasizing genuine competence and substantial knowledge. The terms align rather than oppose. | N/A (reinforcing combination, not opposition) | [CORE] |
| 真 (zhēn) [within 真心实意] | 实 (shí) [within 真心实意] | zhēn xīn shí yì | "wholehearted sincerity, genuine and sincere" | This is a reinforcing combination where 真 modifies 心 "heart" and 实 modifies 意 "intention", both emphasizing complete sincerity. The terms work together to intensify meaning rather than contrast. | N/A (reinforcing combination, not opposition) | [CORE] |
| 真 (zhēn) [within 真情实感] | 实 (shí) [within 真情实感] | zhēn qíng shí gǎn | "genuine feelings and emotions, true sentiments" | This is a reinforcing combination where 真 modifies 情 "feelings" and 实 modifies 感 "emotions", both emphasizing authentic emotional expression. The terms align to create intensification. | N/A (reinforcing combination, not opposition) | [CORE] |
| 真 (zhēn) [within 真刀真枪] | N/A | zhēn dāo zhēn qiāng | "for real, in earnest, with real weapons" | This expression repeats 真 twice (真刀 "real knife", 真枪 "real spear") to emphasize doing something seriously or for real, not as practice or pretense. There is no internal opposition; the repetition creates emphasis. | N/A (repetition for emphasis, not opposition) | [CORE] |
| Subject + 是 (shì) + Truth-domain predicate | Subject + 不是 (bù shì) + Truth-domain predicate | zhè ge shuō fǎ shì zhēn de vs. zhè bù shì zhēn de | "This statement is true" vs. "This is not true" | This is a constructional opposition between affirmative and negative attribution, using the copula 是 and its negation 不是. The opposition is systematic and applies across all truth-domain predicates, representing the basic grammatical contrast between assertion and denial. | Constructional | [CORE] |
| Verb + Truth-domain complement (resultative) | Verb + 得/不得 + Truth-domain complement (potential) | shuō duì le vs. shuō de duì | "said correctly, got it right" vs. "can say correctly, be right in saying" | This constructional opposition contrasts achieved results (resultative) with potential or ability to achieve results (potential). The potential form inserts 得 (positive potential) or 不 (negative potential) between verb and complement, systematically deriving potential meanings from resultative constructions. | Constructional | [CORE] |
| Verb + 得 (de) + Truth-domain complement | Verb + 不 (bù) + Truth-domain complement | shuō de duì vs. shuō bù duì | "can say correctly" vs. "cannot say correctly" | This constructional opposition within the potential complement pattern contrasts positive potential (得) with negative potential (不), expressing ability versus inability to achieve a result. This is a systematic grammatical opposition applicable across all verb-complement combinations. | Constructional | [CORE] |
| 虚 (xū) [within 耳听为虚，眼见为实] | 实 (shí) [within 耳听为虚，眼见为实] | ěr tīng wéi xū, yǎn jiàn wéi shí | "hearing is uncertain, seeing is believing" | This proverb contains the 虚/实 opposition, contrasting the unreliability of hearsay (耳听为虚 "what the ear hears is empty/uncertain") with the reliability of direct observation (眼见为实 "what the eye sees is actual/solid"). The opposition emphasizes epistemological hierarchy between indirect and direct evidence. | Lexical (within proverb) | [CORE] |
| 名实相符 (míng shí xiāng fú) | 名实不符 (míng shí bù fú) | míng shí xiāng fú vs. míng shí bù fú | "name matches reality" vs. "name doesn't match reality" | This opposition contrasts correspondence (相符 "mutually conform") versus non-correspondence (不符 "not conform") between name/designation and actual reality. The negation is morphological (insertion of 不), creating a direct antonymic pair parallel to 名副其实/名不副实. | Morphological (within fixed expression) | [CORE] |
| 说真话 (shuō zhēn huà) | 说假话 (shuō jiǎ huà) / 说谎 (shuō huǎng) | shuō zhēn huà vs. shuō jiǎ huà / shuō huǎng | "tell the truth" vs. "tell lies" | This constructional opposition contrasts the act of telling truth with the act of lying, using parallel verb-object structures (说 "say" + 真话/假话 "true words/false words") or the compound verb 说谎 "tell lies". The opposition is between speech acts with opposite truth-values. | Constructional | [CORE] |
| 符合事实 (fú hé shì shí) | 不符合事实 (bù fú hé shì shí) | fú hé shì shí vs. bù fú hé shì shí | "conform to facts" vs. "not conform to facts" | This constructional opposition contrasts factual correspondence with factual non-correspondence using the verb 符合 "conform to" and its negation. This is a highly productive pattern in formal discourse for evaluating truth-value of claims against objective facts. | Constructional (morphological negation within construction) | [CORE] |
| 有根据 (yǒu gēn jù) | 没有根据 (méi yǒu gēn jù) | yǒu gēn jù vs. méi yǒu gēn jù | "have basis/grounds" vs. "groundless, without basis" | This constructional opposition contrasts presence (有) versus absence (没有) of evidential basis or grounds. The pattern is productive with various evidential nouns (根据 "basis", 证据 "evidence") and commonly used to criticize unsupported claims. | Constructional | [CORE] |
