# CLCA Protocol v3.2 — F1 VOCAB TABLE
# Language: Chinese (zh)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| 本质 | běnzhì | root/origin + quality = essence, nature | essence, nature, essential quality | Refers to the fundamental nature or essential quality of something as opposed to superficial attributes. Used in philosophical and analytical contexts to identify what something fundamentally is. | [CORE] |
| 客观 | kèguān | guest/object + observe = objective | objective, impartial | Describes objectivity in statements, judgments, or perspectives, emphasizing independence from subjective bias. Contrasted with 主观 (subjective) in evaluating reliability of claims. | [CORE] |
| 主观 | zhǔguān | master/subject + observe = subjective | subjective, personal | Describes subjective perspectives or judgments influenced by personal views rather than objective reality. Used to qualify the epistemic status of claims or to critique bias. | [CORE] |
| 真理 | zhēnlǐ | true + principle/reason = truth | truth, verity | Refers to fundamental truths or principles, often in philosophical, scientific, or ideological contexts. Carries weight of universal or objective truth rather than mere factual accuracy. | [CORE] |
| 谎言 | huǎngyán | lie/deceive + speech = lie | lie, falsehood, untruth | Refers to deliberately false statements intended to deceive. Clearly marks intentional dishonesty in speech, distinguished from mere error or mistake. | [CORE] |
| 欺骗 | qīpiàn | deceive + cheat = deceive, cheat | deceive, cheat, defraud | Describes acts of deception or fraud, emphasizing intentional misleading of others. Used for both verbal deception and deceptive actions across moral and legal contexts. | [CORE] |
| 准 | zhǔn | standard, accurate, allow | accurate, standard, correct | Indicates accuracy or correctness, often in informal speech as a shortened affirmation. Also used to mark something as meeting a standard or being permitted. | [CORE] |
| 像 | xiàng | resemble, be like, image | resemble, be like, seem | Indicates resemblance or similarity between things, used to evaluate how well something matches or represents something else. Common in comparisons and assessments of likeness. | [CORE] |
| 似 | sì | resemble, seem, similar | resemble, seem, similar to | Marks resemblance or apparent similarity, often with nuance of seeming or appearing to be something. Used in both concrete comparisons and epistemic qualifications. | [CORE] |
| 确实 | quèshí | firm/certain + actual = indeed, really | indeed, really, truly, certainly | Affirms the reality or truth of statements, emphasizing certainty and actuality. Used to strengthen claims or confirm that something is genuinely the case. | [CORE] |
| 的确 | díquè | [possessive marker] + exact/certain = indeed, really | indeed, really, certainly | Confirms or affirms the truth of statements, similar to 确实 but often used for emphasis or acknowledgment. Common in both spoken and written discourse to validate claims. | [CORE] |
| 真正 | zhēnzhèng | true + upright/correct = genuine, real | genuine, real, true, authentic | Emphasizes genuine or authentic nature of something, distinguishing it from imitations or superficial appearances. Used to mark what is truly or properly the case. | [CORE] |
| 名副其实 | míng fù qí shí | name + match + its + reality = live up to one's name | worthy of the name, live up to one's reputation | Fixed expression indicating that something's reality matches its name or reputation, evaluating correspondence between designation and actuality. Used when reality confirms expectations or claims. | [CORE] |
| 名不副实 | míng bù fù shí | name + not + match + reality = not live up to one's name | unworthy of the name, not live up to reputation | Fixed expression indicating mismatch between name/reputation and reality, marking failure of correspondence. Used critically when reality falls short of claims or expectations. | [CORE] |
| 真诚 | zhēnchéng | true + sincere = sincere, genuine | sincere, genuine, heartfelt | Describes sincere emotions, intentions, or attitudes where inner feelings match outward expression. Common in evaluating interpersonal relationships and moral character. | [CORE] |
| 真心 | zhēnxīn | true + heart = sincere heart, genuine intention | sincere, wholehearted, genuine | Emphasizes genuine feelings or intentions from the heart, often used adverbially (真心地) or as a noun describing sincere attitude. Common in everyday speech about emotions and intentions. | [CORE] |
| 真挚 | zhēnzhì | true + sincere/earnest = sincere, genuine | sincere, genuine, earnest | Describes deep sincerity in feelings or relationships, often in more formal or literary contexts. Used for evaluating the authenticity of emotions, friendships, or expressions. | [CORE] |
| 认真 | rènzhēn | recognize/serious + true = serious, earnest, conscientious | serious, earnest, conscientious, take seriously | Describes serious, careful, or conscientious attitude toward tasks or responsibilities. Extremely common in everyday speech about work ethic, study habits, and attention to detail. | [CORE] |
| 当真 | dàngzhēn | regard as + true = take seriously, take as real | take seriously, take as real, really mean it | Questions or affirms whether something should be taken seriously or literally. Common in conversational contexts to verify sincerity or seriousness of statements. | [CORE] |
| 真假 | zhēnjiǎ | true + false = true or false, authenticity | true or false, genuine or fake, authenticity | Refers to the distinction between genuine and fake, or the question of authenticity. Used when evaluating whether something is real or counterfeit, or discussing truth versus falsehood. | [CORE] |
| 真伪 | zhēnwěi | true + false/counterfeit = authenticity, genuineness | authenticity, genuineness, true or false | More formal term for distinguishing authentic from counterfeit, often used in contexts of document verification, art authentication, or formal investigation of claims. | [CORE] |
| 真切 | zhēnqiè | true +切 (切: cut, close, earnest) = vivid, distinct, genuine | vivid, distinct, genuine, real | Describes experiences, feelings, or perceptions that are vivid and genuine, felt or perceived clearly and authentically. Used for evaluating the reality and intensity of experiences. | [CORE] |
| 真情 | zhēnqíng | true + feeling/emotion = true feelings, genuine emotion | true feelings, genuine emotion, real sentiment | Refers to authentic emotions or feelings, often contrasted with pretense or superficiality. Common in discussions of relationships, artistic expression, and emotional authenticity. | [CORE] |
| 真知 | zhēnzhī | true + knowledge = true knowledge, genuine understanding | true knowledge, genuine understanding, real insight | Refers to genuine knowledge or understanding as opposed to superficial or false knowledge. Often appears in the phrase 真知灼见 (true knowledge and penetrating insight). Used in intellectual and educational contexts. | [CORE] |
| 真传 | zhēnchuán | true + transmit/tradition = authentic teaching, true transmission | authentic teaching, true transmission, genuine tradition | Refers to authentic transmission of knowledge, skills, or traditions, especially in martial arts, crafts, or traditional learning. Marks genuine lineage versus superficial or corrupted versions. | [CORE] |
| 真品 | zhēnpǐn | true + product/item = genuine article, authentic item | genuine article, authentic item, real thing | Refers to authentic products or items as opposed to counterfeits or imitations. Common in commercial contexts, art markets, and discussions of product authenticity. | [CORE] |
| 真迹 | zhēnjì | true + trace/mark = authentic work, original | authentic work, original (of calligraphy or painting) | Specifically refers to original works of calligraphy, painting, or writing by the actual artist/author, as opposed to copies or forgeries. Technical term in art authentication. | [CORE] |
| 真人 | zhēnrén | true + person = real person, Daoist immortal | real person, actual person; Daoist immortal/perfected person | Two distinct uses: (1) actual living person versus fictional character or representation; (2) in Daoist philosophy, an enlightened or perfected person who has realized their true nature. | [CORE] |
| 真空 | zhēnkōng | true + empty/void = vacuum, true emptiness | vacuum, true void | Scientific term for vacuum (空间真空); also Buddhist/philosophical term for ultimate emptiness or void. Technical usage in physics and philosophical usage in Buddhism. | [CORE] |
| 真丝 | zhēnsī | true + silk = real silk, pure silk | real silk, pure silk, genuine silk | Refers to genuine silk fabric as opposed to synthetic imitations. Common in textile and fashion contexts to mark authentic material composition. | [CORE] |
| 真金 | zhēnjīn | true + gold = real gold, pure gold | real gold, pure gold, genuine gold | Refers to genuine gold as opposed to fake or plated gold. Often appears in the saying 真金不怕火炼 (real gold fears no fire / genuine quality withstands testing). | [CORE] |
| 真本 | zhēnběn | true + book/edition = authentic edition, original text | authentic edition, original text, genuine copy | Refers to authentic or original editions of texts, as opposed to corrupted or altered versions. Used in textual scholarship and bibliography. | [CORE] |
| 真凭实据 | zhēn píng shí jù | true + evidence + actual + proof = solid evidence, conclusive proof | solid evidence, conclusive proof, hard facts | Fixed expression emphasizing concrete, reliable evidence. Common in legal, investigative, and argumentative contexts to stress the solidity of proof. | [CORE] |
| 货真价实 | huò zhēn jià shí | goods + true + price + actual = genuine goods at fair prices | genuine goods at fair prices, authentic and reasonably priced | Commercial expression guaranteeing both authenticity of products and fairness of pricing. Used in advertising and business contexts to assure quality and value. | [CORE] |
| 真才实学 | zhēn cái shí xué | true + talent + actual + learning = real talent and solid learning | real talent and genuine learning, true ability | Describes genuine competence and substantial knowledge, as opposed to superficial credentials or pretense. Used in evaluating qualifications and expertise. | [CORE] |
| 真刀真枪 | zhēn dāo zhēn qiāng | real + knife + real + spear = real swords and spears, for real | for real, in earnest, with real weapons/tools | Idiomatic expression meaning to do something seriously or for real, not as practice or pretense. Can be literal (actual weapons) or figurative (genuine effort). | [CORE] |
| 真情实感 | zhēn qíng shí gǎn | true + feeling + actual + emotion = genuine feelings and emotions | genuine feelings and emotions, true sentiments | Emphasizes authentic emotional expression, often in artistic or literary contexts. Used to evaluate sincerity of emotional content in works or personal expression. | [CORE] |
| 真心实意 | zhēn xīn shí yì | true + heart + actual + intention = wholehearted sincerity | wholehearted, sincere, genuine | Emphasizes complete sincerity of intentions and feelings. Common in everyday speech about genuine commitment or sincere attitudes toward others. | [CORE] |
| 真龙天子 | zhēn lóng tiān zǐ | true + dragon + heaven + son = true Son of Heaven, legitimate emperor | true/legitimate emperor, rightful ruler | Historical/literary term for the legitimate emperor, emphasizing rightful claim to throne. Used in historical narratives and traditional discourse about imperial legitimacy. | [MARGINAL] |
| 真身 | zhēnshēn | true + body = true body, actual person | true body, actual person, real self | Refers to one's actual physical presence (versus representation), or in Buddhist contexts, the true dharma body. Used when distinguishing actual presence from images or proxies. | [CORE] |
| 真言 | zhēnyán | true + words = true words, mantra | true words, truth, mantra | Can mean truthful words or, in Buddhist contexts, sacred mantras (Sanskrit: mantra). Used in religious contexts for sacred formulas and in general contexts for truthful speech. | [CORE] |
| 真谛 | zhēndì | true + principle/truth = true meaning, real truth | true meaning, real truth, essence | Refers to the true or essential meaning of something, often in philosophical or profound contexts. Used when discussing deep truths or fundamental principles. | [CORE] |
| 真率 | zhēnshuài | true + straightforward = frank, candid, natural | frank, candid, natural, unaffected | Describes frank, natural, unaffected manner or character. Often used in literary contexts to praise genuine, unpretentious expression or behavior. | [CORE] |
| 纯真 | chúnzhēn | pure + true = pure, innocent, naive | pure, innocent, naive, unspoiled | Describes innocent, unspoiled character or emotions, especially in children or uncorrupted states. Common in describing personality traits and emotional states. | [CORE] |
| 失真 | shīzhēn | lose + true = distorted, lose fidelity | distorted, lose fidelity, inaccurate | Technical term describing loss of accuracy or fidelity in reproduction, transmission, or representation. Common in audio/visual technology and information transmission contexts. | [CORE] |
| 逼真 | bīzhēn | press/force + true = lifelike, realistic, true to life | lifelike, realistic, vivid, true to life | Describes representations, imitations, or performances that closely resemble reality. Common in evaluating artistic representations, simulations, and performances. | [CORE] |
| 写真 | xiězhēn | write/depict + true = portrait, photograph | portrait, photograph, realistic depiction | Originally meant realistic portrait painting; now commonly means photograph, especially portrait photography. Used in photography and art contexts. | [CORE] |
| 实际 | shíjì | actual + boundary/limit = actual, practical, reality | actual, practical, realistic, in practice | Refers to actual circumstances or practical reality as opposed to theory or ideals. Extremely common in distinguishing what actually happens from what is planned or imagined. | [CORE] |
| 实在 | shízài | actual + exist/be = real, true, honest, really | real, true, honest, really, indeed | Multiple uses: (1) describes genuine, honest character; (2) emphasizes reality or actuality; (3) used adverbially to mean "really" or "truly." Very common in everyday speech. | [CORE] |
| 实践 | shíjiàn | actual + practice/tread = practice, put into practice | practice, put into practice, praxis | Refers to practical action or implementation as opposed to theory. Central term in Marxist philosophy and common in educational and professional contexts about applying knowledge. | [CORE] |
| 实现 | shíxiàn | actual + appear/manifest = realize, achieve, bring about | realize, achieve, bring about, implement | Describes bringing plans, goals, or potentials into actual reality. Common in contexts of goal achievement, policy implementation, and making abstract ideas concrete. | [CORE] |
| 实施 | shíshī | actual + carry out = implement, put into effect | implement, put into effect, carry out | Formal term for implementing policies, plans, or measures. Common in administrative, legal, and organizational contexts about executing decisions. | [CORE] |
| 实行 | shíxíng | actual + carry out = implement, practice, put into effect | implement, practice, put into effect, carry out | Similar to 实施 but slightly less formal; refers to putting policies or practices into actual operation. Common in discussing implementation of systems or methods. | [CORE] |
| 实验 | shíyàn | actual + test/examine = experiment, test | experiment, test, trial | Scientific or practical experimentation to test hypotheses or methods. Standard term in scientific, educational, and technical contexts for empirical testing. | [CORE] |
| 实习 | shíxí | actual + practice/study = internship, field work, practicum | internship, field work, practicum, practical training | Refers to practical training or internship where students or trainees gain hands-on experience. Common in educational and professional training contexts. | [CORE] |
| 实用 | shíyòng | actual + use = practical, pragmatic, functional | practical, pragmatic, functional, utilitarian | Describes practical utility or functionality of things. Common in evaluating whether something serves actual practical purposes versus being merely theoretical or decorative. | [CORE] |
| 实力 | shílì | actual + strength/power = actual strength, real capability | actual strength, real capability, substantial power | Refers to real, substantial power or capability as opposed to nominal or apparent strength. Common in military, economic, and competitive contexts. | [CORE] |
| 实质 | shízhì | actual + quality/substance = substance, essence, substantive | substance, essence, substantive, essential nature | Refers to the substantial or essential nature of something as opposed to superficial form. Common in analytical contexts distinguishing substance from appearance. | [CORE] |
| 实体 | shítǐ | actual + body/entity = entity, substance, physical object | entity, substance, physical object, concrete thing | Philosophical and general term for concrete entities or substances. Used in philosophy, business (实体店 = physical store vs. online), and general discourse about material reality. | [CORE] |
| 实物 | shíwù | actual + thing/object = physical object, material object, real thing | physical object, material object, real thing, goods in kind | Refers to actual physical objects as opposed to representations, descriptions, or monetary equivalents. Common in commercial and administrative contexts. | [CORE] |
| 实况 | shíkuàng | actual + situation = actual situation, live (broadcast) | actual situation, live broadcast, on-the-spot report | Refers to actual conditions or live reporting of events as they happen. Common in media contexts for live broadcasts and in general contexts for actual circumstances. | [CORE] |
| 实惠 | shíhuì | actual + benefit = tangible benefit, substantial, economical | tangible benefit, substantial, economical, good value | Describes practical benefits or good value, especially in commercial contexts. Common in everyday speech about getting real benefits or good deals. | [CORE] |
| 实证 | shízhèng | actual + evidence/proof = empirical evidence, positive proof | empirical evidence, positive proof, empirical verification | Refers to empirical evidence or verification through actual observation. Technical term in scientific and legal contexts; also refers to positivism (实证主义). | [CORE] |
| 实录 | shílù | actual + record = faithful record, veritable record | faithful record, veritable record, documentary | Refers to accurate, factual records of events. Used in historical documentation and modern documentary contexts to emphasize factual accuracy. | [CORE] |
| 实情 | shíqíng | actual + situation/feelings = actual situation, true state of affairs | actual situation, true state of affairs, real circumstances | Refers to the true or actual state of affairs, often what is hidden or not immediately apparent. Common in investigative and explanatory contexts. | [CORE] |
| 实例 | shílì | actual + example = concrete example, actual case | concrete example, actual case, real instance | Refers to concrete, real examples as opposed to hypothetical or abstract ones. Common in educational and argumentative contexts to illustrate points with real cases. | [CORE] |
| 实数 | shíshù | actual + number = real number, actual number | real number (mathematics), actual number/count | Mathematical term for real numbers; also refers to actual counts or quantities as opposed to estimates. Technical usage in mathematics and general usage for accurate counts. | [CORE] |
| 实心 | shíxīn | actual + heart/center = solid (not hollow), sincere | solid (not hollow), sincere, wholehearted | Two uses: (1) physically solid rather than hollow; (2) sincere or wholehearted in attitude. Used in both material descriptions and character evaluation. | [CORE] |
| 实地 | shídì | actual + ground/place = on the spot, on-site | on the spot, on-site, in the field | Refers to being at the actual location or conducting activities at the real site. Common in investigative, research, and inspection contexts. | [CORE] |
| 实足 | shízú | actual + sufficient/foot = full, complete, solid | full, complete, solid, genuine | Emphasizes completeness or full measure of something, often in commercial contexts about full weight or measure. Also describes solid, genuine quality. | [CORE] |
| 实打实 | shí dǎ shí | actual + hit/strike + actual = absolutely real, genuine, solid | absolutely real, genuine, solid, down-to-earth | Colloquial expression emphasizing genuine, solid, no-nonsense quality. Common in everyday speech about honest dealings or substantial quality. | [CORE] |
| 扎实 | zhāshi | pierce/firm + actual = solid, sturdy, sound | solid, sturdy, sound, well-grounded | Describes solid foundation, thorough work, or sound knowledge. Common in evaluating quality of work, learning, or construction. | [CORE] |
| 踏实 | tāshi | step/tread + actual = steady, dependable, at ease | steady, dependable, at ease, down-to-earth | Describes steady, reliable character or feeling secure and at ease. Common in personality descriptions and emotional states. | [CORE] |
| 老实 | lǎoshi | old + actual = honest, frank, well-behaved | honest, frank, well-behaved, simple | Describes honest, straightforward character, sometimes with connotation of being simple or naive. Very common in everyday character evaluation. | [CORE] |
| 朴实 | pǔshí | simple/plain + actual = simple, plain, down-to-earth | simple, plain, down-to-earth, unpretentious | Describes simple, unpretentious character or style. Common in evaluating personal character, artistic style, or lifestyle choices. | [CORE] |
| 充实 | chōngshí | fill + actual = substantial, rich, fulfilling | substantial, rich, fulfilling, enrich | Describes substantial content or fulfilling experience. Common in describing rich content, fulfilling life, or the act of enriching something. | [CORE] |
| 殷实 | yīnshí | abundant + actual = well-off, substantial, prosperous | well-off, substantial, prosperous, wealthy | Describes substantial wealth or prosperous circumstances, often of families or households. Used in describing economic well-being. | [CORE] |
| 翔实 | xiángshí | detailed/soar + actual = detailed and accurate, exhaustive | detailed and accurate, exhaustive, comprehensive | Describes detailed and accurate information or documentation. Common in academic and documentary contexts praising thoroughness and accuracy. | [CORE] |
| 平实 | píngshí | level/plain + actual = plain, simple, down-to-earth | plain, simple, down-to-earth, straightforward | Describes plain, straightforward style without embellishment. Common in evaluating writing style, speech, or artistic expression. | [CORE] |
| 厚实 | hòushí | thick + actual = thick, solid, substantial | thick, solid, substantial, sturdy | Describes physical thickness or solidity, and by extension, substantial quality or reliable character. Used for both material and personal evaluation. | [CORE] |
| 结实 | jiēshi | tie/knot + actual = sturdy, durable, strong | sturdy, durable, strong, robust | Describes physical sturdiness or durability of objects, or robust health of people. Common in everyday descriptions of build quality and physical condition. | [CORE] |
| 坚实 | jiānshí | firm + actual = solid, firm, substantial | solid, firm, substantial, strong | Describes solid foundation or firm basis, whether physical or metaphorical. Common in describing foundations, bases, or groundwork. | [CORE] |
| 假如 | jiǎrú | suppose + if = if, supposing, in case | if, supposing, in case | Conditional conjunction introducing hypothetical situations. Common in everyday speech and writing for conditional statements. | [CORE] |
| 假设 | jiǎshè | suppose + establish = suppose, assume, hypothesis | suppose, assume, hypothesis, hypothetical | Introduces suppositions or hypotheses, both in everyday reasoning and scientific contexts. Standard term for hypotheses in scientific method. | [CORE] |
| 假定 | jiǎdìng | suppose + fix/determine = assume, suppose, given that | assume, suppose, given that, presume | Similar to 假设 but often more formal; establishes assumptions or presuppositions. Common in logical, legal, and analytical contexts. | [CORE] |
| 假想 | jiǎxiǎng | suppose + think = imagine, suppose, hypothetical | imagine, suppose, hypothetical, imaginary | Refers to imagined or hypothetical scenarios, often in planning or strategic contexts (假想敌 = hypothetical enemy). Used for imagined situations. | [CORE] |
| 假装 | jiǎzhuāng | false +装 (pretend/dress up) = pretend, feign, fake | pretend, feign, fake, make believe | Describes deliberate pretense or feigning of states, emotions, or identities. Common in everyday speech about deceptive behavior or pretending. | [CORE] |
| 假冒 | jiǎmào | false + pretend/冒 (risk, falsely claim) = counterfeit, pass off as | counterfeit, pass off as, falsely claim to be | Describes counterfeiting or falsely claiming identity or origin. Common in commercial contexts about fake products (假冒伪劣 = counterfeit and shoddy). | [CORE] |
| 假造 | jiǎzào | false + make = fabricate, forge, counterfeit | fabricate, forge, counterfeit, fake | Describes fabrication or forgery of documents, evidence, or objects. Common in legal and investigative contexts about fraudulent creation. | [CORE] |
| 假借 | jiǎjiè | false + borrow = use as pretext, borrow falsely | use as pretext, borrow falsely, phonetic loan (linguistics) | Two uses: (1) using something as false pretext; (2) linguistic term for phonetic borrowing. Used in both deceptive contexts and linguistic analysis. | [CORE] |
| 假托 | jiǎtuō | false + entrust/托 (rely on, use as excuse) = use as pretext, falsely claim | use as pretext, falsely claim, attribute falsely | Describes falsely attributing something to someone or using false pretexts. Common in literary and historical contexts about false attribution. | [CORE] |
| 假意 | jiǎyì | false + intention = pretense, feigned intention | pretense, feigned intention, insincerely | Describes insincere or pretended intentions. Used when someone's stated intentions don't match their real motives. | [CORE] |
| 假象 | jiǎxiàng | false + appearance = false appearance, illusion | false appearance, illusion, semblance | Refers to misleading appearances that don't reflect reality. Common in analytical contexts about distinguishing appearance from reality. | [CORE] |
| 假话 | jiǎhuà | false + speech = lie, falsehood, untruth | lie, falsehood, untruth | Refers to false statements or lies. Common everyday term for dishonest speech, often contrasted with 真话 (truth). | [CORE] |
| 假证 | jiǎzhèng | false + certificate/evidence = false certificate, forged document | false certificate, forged document, fake ID | Refers to forged documents or false credentials. Common in legal and administrative contexts about fraudulent documentation. | [CORE] |
| 假牙 | jiǎyá | false + tooth = false tooth, dentures | false tooth, dentures, dental prosthesis | Medical/dental term for artificial teeth or dentures. Standard term in dental and medical contexts. | [CORE] |
| 假发 | jiǎfà | false + hair = wig, hairpiece, toupee | wig, hairpiece, toupee | Refers to artificial hair or wigs. Common term in fashion and theatrical contexts. | [CORE] |
| 假肢 | jiǎzhī | false + limb = artificial limb, prosthesis | artificial limb, prosthesis, prosthetic | Medical term for artificial limbs or prosthetics. Standard term in medical and rehabilitation contexts. | [CORE] |
| 假释 | jiǎshì | temporary + release = parole, release on parole | parole, release on parole | Legal term for parole or conditional release from prison. Standard term in criminal justice contexts. | [CORE] |
| 假期 | jiàqī | vacation + period = vacation, holiday, leave | vacation, holiday, leave | Refers to vacation time or holidays. Very common term for time off from work or school. Note: different tone (jiàqī) from other 假 compounds. | [CORE] |
| 假日 | jiàrì | vacation + day = holiday, day off | holiday, day off | Refers to holidays or days off. Common in scheduling and calendar contexts. Note: different tone (jiàrì). | [CORE] |
| 假条 | jiàtiáo | leave + slip = leave permit, excuse note | leave permit, excuse note, sick note | Written permission for absence from work or school. Common in administrative and educational contexts. Note: different tone (jiàtiáo). | [CORE] |
| 假公济私 | jiǎ gōng jì sī | false/borrow + public + help + private = use public office for private gain | use public office for private gain, abuse public position | Fixed expression criticizing abuse of public position for personal benefit. Common in political and ethical discourse about corruption. | [CORE] |
| 弄虚作假 | nòng xū zuò jiǎ | make + empty/false + do + false = practice fraud, engage in deception | practice fraud, engage in deception, falsify | Fixed expression describing fraudulent or deceptive practices. Common in criticizing dishonest behavior in various contexts. | [CORE] |
| 虚情假意 | xū qíng jiǎ yì | empty + feeling + false + intention = hypocritical, insincere | hypocritical, insincere, false sentiments | Fixed expression describing insincere emotions or hypocritical behavior. Common in evaluating authenticity of expressed feelings. | [CORE] |
| 假戏真做 | jiǎ xì zhēn zuò | false + play/drama + true + do = pretense becomes reality | pretense becomes reality, fake becomes real | Idiomatic expression describing situations where what starts as pretense becomes real, often in romantic contexts. Common in narrative and relationship contexts. | [CORE] |
| 真真假假 | zhēn zhēn jiǎ jiǎ | true true false false = mix of truth and falsehood, hard to distinguish | mix of truth and falsehood, hard to distinguish real from fake | Describes situations where truth and falsehood are mixed or hard to distinguish. Common in describing complex or ambiguous situations. | [CORE] |
| 假以时日 | jiǎ yǐ shí rì | give/lend + with + time + days = given time, in due course | given time, in due course, with time | Literary expression meaning "given sufficient time." Used in formal contexts to indicate that something will happen with time. | [CORE] |
| 不假思索 | bù jiǎ sī suǒ | not + borrow + think + search = without thinking, offhand | without thinking, offhand, spontaneously | Describes acting or speaking without deliberation. Common in describing spontaneous or unreflective responses. | [CORE] |
