# F3 — SEMANTIC GROUPS TABLE
# Language: Chinese (zh)

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
| GROUP 10: PRACTICAL IMPLEMENTATION AND ACTUALIZATION | Expressions describing the process of making plans, ideas, or potentials into actual reality, or evaluating whether something exists in practice versus theory. These terms appear in administrative, organizational, and policy contexts. Focus is on the transition from abstract to concrete, from plan to execution. | 实践 (shíjiàn), 实现 (shíxiàn), 实施 (shíshī), 实行 (shíxíng), 落实 (luòshí), 实事求是 (shí shì qiú shì), 脚踏实地 (jiǎo tà shí dì), 实践出真知 (shí jiàn chū zhēn zhī), 实践是检验真理的唯一标准 (shí jiàn shì jiǎn yàn zhēn lǐ de wéi yī biāo zhǔn), 实际 (shíjì), 实用 (shíyòng), 实际上 (shí jì shàng), 不实际 (bù shíjì) | 实际 (shíjì) — also appears in Group 1; 实 (shí) — appears across Groups 1, 9, 10, 11, 19 | Focus is on the transition from abstract to concrete, from plan to execution. |
| GROUP 11: PHYSICAL SOLIDITY AND MATERIAL PROPERTIES | Expressions describing physical density, structural integrity, or material composition of objects. These terms appear in descriptions of construction, manufacturing, and physical objects. While etymologically related to truth-domain terms through the morpheme 实, they function primarily in the material/physical domain rather than epistemic evaluation. | 实心 (shíxīn), 结实 (jiēshi), 厚实 (hòushí), 坚实 (jiānshí), 扎实 (zhāshi) | 实 (shí) — appears across Groups 1, 9, 10, 11, 19 | These terms share morphology with truth-domain expressions but function in a distinct semantic domain focused on physical properties. |
| GROUP 12: CHARACTER TRAITS AND PERSONAL QUALITIES | Expressions describing personality characteristics related to honesty, simplicity, reliability, or seriousness as enduring traits rather than specific acts. These terms appear in character evaluation and personality description. Distinguished from Group 5 (sincerity in expression) by focus on stable character traits rather than momentary alignment of inner/outer states. | 老实 (lǎoshi), 朴实 (pǔshí), 踏实 (tāshi), 认真 (rènzhēn), 真率 (zhēnshuài), 老老实实 (lǎolǎo shíshí), 认认真真 (rènrèn zhēnzhēn), 踏踏实实 (tàtà shíshí), 实实在在 (shíshí zàizài), 实在 (shízài), 诚实者 (chéngshízhě) | 实在 (shízài) — also appears in Groups 1 and 15; 认真 (rènzhēn) — also functions as evaluative term for work quality beyond truth-domain | Distinguished from Group 5 by focus on stable character traits rather than momentary alignment of inner/outer states. |
| GROUP 13: HYPOTHETICAL AND SUPPOSITIONAL REASONING | Expressions introducing hypothetical scenarios, assumptions, or conditional reasoning. These terms appear in logical argumentation, planning, and theoretical discussion. While using the morpheme 假 (false), they function to mark epistemic stance (hypothetical) rather than to evaluate truth-value. | 假如 (jiǎrú), 假设 (jiǎshè), 假定 (jiǎdìng), 假想 (jiǎxiǎng), 假如说 (jiǎ rú shuō), 假以时日 (jiǎ yǐ shí rì) | 假 (jiǎ) — also appears in Groups 4, 6, and prosthetic/artificial items | These expressions are semantically distinct from other 假-based terms that mark falsity or deception. |
| GROUP 14: ARTISTIC AND REPRESENTATIONAL REALISM | Expressions evaluating how realistically or vividly artistic representations, performances, or simulations capture reality. These terms appear in aesthetic evaluation, art criticism, and assessment of simulations. Focus is on verisimilitude and lifelike quality rather than factual truth. | 逼真 (bīzhēn), 写真 (xiězhēn), 真切 (zhēnqiè), 失真 (shīzhēn) | None noted | Focus is on verisimilitude and lifelike quality rather than factual truth. |
| GROUP 15: DISCOURSE MARKERS AND EMPHATIC EXPRESSIONS | Expressions functioning as discourse markers to introduce statements, emphasize truth-value, express surprise, or manage conversational flow. These terms appear in everyday speech to frame utterances or express speaker stance. Grammaticalized uses of truth-domain vocabulary. | 说真的 (shuō zhēn de), 说实话 (shuō shí huà), 老实说 (lǎo shí shuō), 说实在的 (shuō shí zài de), 实际上 (shí jì shàng), 事实上 (shì shí shàng), 真的吗？(zhēn de ma?), 当真 (dāng zhēn), 确实 (quèshí), 的确 (díquè), 真是的 (zhēn shì de), 对不对？(duì bù duì?) | 实在 (shízài) — also appears in Groups 1 and 12 | Grammaticalized uses of truth-domain vocabulary. |
| GROUP 16: EVIDENTIAL AND VERIFICATION PROCESSES | Expressions describing processes of investigating, verifying, confirming, or establishing facts through evidence. These terms appear in investigative, legal, and journalistic contexts. Focus is on the procedural aspects of establishing truth rather than the truth-value itself. | 证实 (zhèngshí), 核实 (héshí), 查实 (cháshí), 坐实 (zuòshí), 属实 (shǔshí), 查明真相 (chá míng zhēn xiàng), 弄清真相 (nòng qīng zhēn xiàng), 揭露真相 (jiē lù zhēn xiàng), 核实情况 (hé shí qíng kuàng), 证实消息 (zhèng shí xiāo xi), 真凭实据 (zhēn píng shí jù), 查无实据 (chá wú shí jù), 实证 (shízhèng), 实录 (shílù), 实例 (shílì) | None noted | Focus is on the procedural aspects of establishing truth rather than the truth-value itself. |
| GROUP 17: INTENSIFICATION AND EMPHASIS OF TRUTH-VALUE | Expressions that intensify or emphasize the degree of truth, certainty, or genuineness. These terms appear when speakers want to strengthen assertions or remove doubt. Often involve reduplication, hyperbolic imagery, or emphatic modifiers. | 千真万确 (qiān zhēn wàn què), 真真实实 (zhēnzhēn shíshí), 实打实 (shí dǎ shí), 真刀真枪 (zhēn dāo zhēn qiāng), 真金不怕火炼 (zhēn jīn bù pà huǒ liàn), 铁一般的事实 (tiě yī bān de shì shí), 不容置疑的事实 (bù róng zhì yí de shì shí), 完全正确 (wán quán zhèng què), 绝对正确 (jué duì zhèng què), 准确无误 (zhǔn què wú wù) | 真正 (zhēnzhèng) — can mark both authenticity (Group 4) and emphasis | Often involve reduplication, hyperbolic imagery, or emphatic modifiers. |
| GROUP 18: AMBIGUITY AND MIXED TRUTH-VALUE | Expressions describing situations where truth and falsehood are mixed, unclear, or difficult to distinguish. These terms appear when discussing complex situations, ambiguous evidence, or deliberate mixing of truth and lies. Focus is on the difficulty of determination rather than clear truth-value. | 真真假假 (zhēn zhēn jiǎ jiǎ), 半真半假 (bàn zhēn bàn jiǎ), 亦真亦假 (yì zhēn yì jiǎ), 真伪莫辨 (zhēn wěi mò biàn), 真假难辨 (zhēn jiǎ nán biàn), 假象 (jiǎxiàng) | None noted | Focus is on the difficulty of determination rather than clear truth-value. |
| GROUP 19: CONCRETE OBJECTS AND MATERIAL REALITY | Expressions referring to physical objects, material entities, or tangible reality as opposed to abstract concepts, representations, or monetary equivalents. These terms appear in commercial, administrative, and philosophical contexts distinguishing material from immaterial. | 实体 (shítǐ), 实物 (shíwù), 实数 (shíshù), 实体化 (shítǐhuà) | 实 (shí) — appears across Groups 1, 9, 10, 11, 19 | Distinguishing material from immaterial. |
| GROUP 20: FULFILLMENT AND ENRICHMENT | Expressions describing states of being fulfilled, enriched, or having substantial content, or the process of enriching something. These terms appear in describing life experiences, content quality, or psychological states. Extended from material substance to experiential richness. | 充实 (chōngshí), 殷实 (yīnshí), 实惠 (shíhuì) | None noted | Extended from material substance to experiential richness. |
| (Ungrouped Items) | Items that don't fit cleanly into established groups, often due to specialized, technical, or idiomatic usage. | 真理 (zhēnlǐ), 真知 (zhēnzhī), 真传 (zhēnchuán), 真人 (zhēnrén), 真空 (zhēnkōng), 真身 (zhēnshēn), 真言 (zhēnyán), 真谛 (zhēndì), 纯真 (chúnzhēn), 实况 (shíkuàng), 实验 (shíyàn), 实习 (shíxí), 实力 (shílì), 平实 (píngshí), 翔实 (xiángshí), 似 (sì), 像 (xiàng), 假借 (jiǎjiè), 假托 (jiǎtuō), 假释 (jiǎshì), 假期/假日/假条 (jiàqī/jiàrì/jiàtiáo), 不假思索 (bù jiǎ sī suǒ), 错综复杂 (cuò zōng fù zá), 阴差阳错 (yīn chā yáng cuò), 诚惶诚恐 (chéng huáng chéng kǒng) | None noted | Approximately 25 items don't fit cleanly into any group. Reasons include: fundamental philosophical/ideological truths (真理, 真谛), epistemological terms (真知), specialized religious/philosophical usage (真人, 真身, 真言, 真空), technical/media terms (实况, 实验, 实习), power/capability assessment (实力), stylistic evaluation (平实, 翔实), comparative/epistemic markers (似, 像), linguistic technical usage (假借), legal terms (假释), vacation/leave terms in different semantic domain (假期/假日/假条), idiomatic usage where morphemes have different meanings (不假思索, 错综复杂, 阴差阳错, 诚惶诚恐). |
