# F5 Opposition Table — Greek (el)

| Term A | Term B | Transliteration A | Transliteration B | Translation A | Translation B | Contrast Description | Contrast Type | Epistemic Status |
| ακυρώνω | βεβαιώνω | akyróno | veveóno | invalidate, cancel, annul | certify, confirm, assure | Lexical opposition between causative verbs of invalidation and certification. Contrasts removal of validity with establishment of certainty in legal/administrative contexts. | lexical | [CORE] |
| άσπρο ψέμα | μαύρο ψέμα | áspro pséma | mávro pséma | white lie | black lie, blatant lie | Constructional opposition using color metaphors to create severity scale for lies. Contrasts minor/harmless lies with serious/malicious lies. | constructional | [CORE] |
| ψεματάκι | (implied: μεγάλο ψέμα) | psematáki | — | little lie, fib | (big lie) | Constructional opposition between diminutive form minimizing severity and augmented form emphasizing severity. Contrasts minor lies with serious lies. | constructional | [UNCERTAIN] |
| ψεύτης | αληθολόγος | pséftis | alithológos | liar | truth-teller, truthful person | Lexical opposition between agent nouns for lying and truth-telling. Highly asymmetric: ψεύτης is core everyday term while αληθολόγος is marginal/literary. | lexical | [MARGINAL] |
| απατεώνας | (no positive equivalent) | apateónas | — | swindler, fraud, con artist | — | Agentive nominalization for deceptive persons lacks productive positive counterpart. This asymmetry reflects greater lexical elaboration of negative agents in truth domain. | lexical (asymmetric) | [CORE] (negative); [ABSENT] (positive) |
| ψευδομαρτυρία | (implied: αληθής κατάθεση) | psevdomartyría | — | false testimony, perjury | (true testimony) | Constructional opposition in legal domain between false and true testimony. Ψευδομαρτυρία is lexicalized compound while true testimony uses phrasal construction. | constructional (asymmetric) | [CORE] (false); [UNCERTAIN] (true) |
| ψευδής συναγερμός | (no positive equivalent) | psevdís synagermós | — | false alarm | — | Fixed phrase for false alarm lacks productive positive counterpart. Reflects tendency to lexicalize negative cases while leaving positive cases unmarked. | constructional (asymmetric) | [CORE] (false); [ABSENT] (positive) |
| στην αλήθεια | στο ψέμα | stin alítheia | sto pséma | in truth, actually | in the lie | Constructional opposition using prepositional phrases with truth nouns. Στην αλήθεια functions as discourse marker while στο ψέμα appears in specific idiomatic constructions. | constructional | [CORE] |
| ορθόδοξος | (implied: ετερόδοξος) | orthódoxos | — | orthodox, right-believing | (heterodox) | Morphological opposition in religious/ideological domain between correct belief and deviant belief. While ετερόδοξος is not explicitly documented, it is the standard antonym in religious discourse. | morphological | [UNCERTAIN] |
| ορθογραφία | ορθογραφικό λάθος | orthografía | orthografikó láthos | orthography, correct spelling | spelling mistake | Constructional opposition between correct spelling system and spelling errors. Contrasts normative standard with deviations from standard. | constructional | [CORE] |
| αληθοφανής | (no clear opposite) | alithofanís | — | apparently true, plausible, verisimilar | — | Term marking appearance of truth lacks productive opposite marking appearance of falsity. This may reflect that false appearance is unmarked or expressed through other means. | lexical (asymmetric) | [CORE] (positive); [ABSENT] (negative) |
| πραγματικός κόσμος | (implied: φανταστικός κόσμος) | pragmatikós kósmos | — | real world | (imaginary world) | Constructional opposition between reality and imagination. While φανταστικός κόσμος is not explicitly documented, the contrast is conventional in everyday discourse. | constructional | [UNCERTAIN] |
