# CLCA Protocol v3.4 — F4 Construction Table
# Language: Quechua (qu)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| ACCUSATIVE + VERB | llullata willakuy | llullata willakuy | to tell lies, to give false testimony | Unrestricted; common in narrative and legal contexts. | [CORE] |
| LOCATIVE CONSTRUCTIONS | chiqanpi kay | chiqanpi kay | to be in truth, to actually be | Metaphorical extension of locative; less frequent than basic attribution. Used for emphasis or philosophical discourse. | [MARGINAL] |
| LOCATIVE CONSTRUCTIONS | llullapi tiyay | llullapi tiyay | to dwell in lies, to live in falsehood | Poetic/metaphorical; suggests habitual state. Not common in everyday speech. | [MARGINAL] |
| DIRECTIONAL CONSTRUCTIONS | chiqanman kutiy | chiqanman kutiy | to return to truth | Metaphorical motion construction; used in moral/religious discourse. Less common than literal directionals. | [MARGINAL] |
| DIRECTIONAL CONSTRUCTIONS | llullaman rikch'ay | llullaman rikch'ay | to resemble lies, to appear false | Specialized with appearance verbs; restricted to evaluative contexts. | [MARGINAL] |
| ABLATIVE CONSTRUCTIONS | chiqamanta rimay | chiqamanta rimay | to speak from truth, to speak truly | Functions adverbially to characterize manner. Common with speech verbs; may stand alone as adverb. | [CORE] |
| ABLATIVE CONSTRUCTIONS | llullamanta | llullamanta | from lies, falsely | Productive adverbial use; unrestricted distribution. | [CORE] |
| PURPOSIVE CONSTRUCTIONS | chiqanpaq rimay | chiqanpaq rimay | to speak for truth | Standard purposive marking; common in justifications and moral discourse. May function independently as adverb. | [CORE] |
| PURPOSIVE CONSTRUCTIONS | allinpaq | allinpaq | for good, beneficially | Frequent adverbial use; unrestricted contexts. | [CORE] |
| EVIDENTIAL MARKING | chiqapmi | chiqapmi | it is truly so (I know directly) | Evidentials obligatory in main clauses. **-mi** marks direct knowledge; extremely common in assertions. | [CORE] |
| EVIDENTIAL MARKING | chiqapsi | chiqapsi | it is reportedly true | Reportative **-si** for hearsay; equally productive. All three evidentials (**-mi/-si/-cha**) combine freely with truth terms. | [CORE] |
| PROHIBITIVE CONSTRUCTIONS | ama llullakychu | ama llullakychu | don't lie | Standard prohibitive formula requiring both **ama** and **-chu**. Common in moral instruction, parental commands. | [CORE] |
| PROHIBITIVE CONSTRUCTIONS | ama pantaychu | ama pantaychu | don't make a mistake | Unrestricted; used with all action verbs in prohibitions. | [CORE] |
| SUBSTANTIVIZING WITH KAQ | chiqan kaq | chiqan kaq | that which is true, the real thing | Creates definite descriptions; common in contrasting authentic vs. counterfeit items. Takes full case paradigm. | [CORE] |
| SUBSTANTIVIZING WITH KAQ | llulla kaq | llulla kaq | that which is false, the fake | Parallel productivity; no restrictions observed. | [CORE] |
| DISJUNCTIVE QUESTIONS | allinchu mana allinchu | allinchu mana allinchu | good or bad? | Standard alternative question format. Used in deliberations and evaluative contexts. Affirmative-negative order typical. | [CORE] |
| DISJUNCTIVE QUESTIONS | chiqanchu llullachu | chiqanchu llullachu | true or false? | Equally common; unrestricted usage in questions. | [CORE] |
| LIMITATIVE CONSTRUCTIONS | chiqanlla | chiqanlla | only the truth, purely true | Emphatic exclusivity marker; common in assertions and oaths. Functions as intensifier. | [CORE] |
| LIMITATIVE CONSTRUCTIONS | allinlla | allinlla | just good, simply good | Productive across quality terms; everyday usage. | [CORE] |
| COMITATIVE CONSTRUCTIONS | chiqanwan kay | chiqanwan kay | to be with truth | Metaphorical extension; less common than instrumental reading. Used in formal/philosophical contexts. | [MARGINAL] |
| COMITATIVE CONSTRUCTIONS | llullawan | llullawan | with lies, by means of lies | Instrumental reading more common; describes methods. Unrestricted with action verbs. | [CORE] |
| DOUBLE EMPHASIS | chiqap k'ari | chiqap k'ari | truly indeed, really and truly | Stacking of emphatic elements common in strong assertions. May combine with evidentials for maximum emphasis. | [CORE] |
| DOUBLE EMPHASIS | k'arimi | k'arimi | truly indeed, it is certainly so | Emphatic + evidential combination; very frequent in emphatic speech. | [CORE] |
| PERCEPTION + TRUTH | chiqanta musyay | chiqanta musyay | to perceive the truth, to realize | Productive with all perception/cognition verbs (**musyay**, **riqsiy**, **rikuy**). Common in epistemic contexts. | [CORE] |
| PERCEPTION + TRUTH | llullata riqsiy | llullata riqsiy | to recognize lies, to identify falsehood | Unrestricted; frequent in evaluative and investigative contexts. | [CORE] |
