| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| **4. BECOME / INCHOATIVE (periphrastic)** | *(geçerli olmak, haklı olmak)* | *geçerli olmak / haklı olmak* | "to become valid / to be right" | Periphrastic *[adjective] + olmak* is the default strategy where morphological *-leş-* is not conventionalized. No example sentence was provided in P4a for this sub-pattern; rating based on the attested items cited in the notes. | [CORE] |
| **5. CAUSATIVE (morphological)** | Meşrulaştırmak | *meşrulaştırmak* | "to legitimize, to render legitimate" | The morphological *-laştır-* strategy is core for lexically licensed bases; common in political, legal, and academic discourse. | [CORE] |
| **5. CAUSATIVE (morphological)** | Şiddeti meşrulaştırmak mümkün değil. | *şiddeti meşrulaştırmak mümkün değil* | "It is not possible to legitimize violence." | Morphological *-leş-tir-* causative-inchoative is available only where *-leş-* is already conventionalized on the base. Infinitive form used here as subject nominal. Frequent in political and academic discourse; *meşrulaştırmak* is fully lexicalized. | [CORE] |
| **5. CAUSATIVE (morphological)** | Şiddeti meşrulaştırmak. | *Şiddeti meşrulaştırmak.* | "To legitimize violence." | The *-laş-tır-* chain is the standard causative strategy on adjective bases that have already undergone *-laş-* derivation. | [CORE] |
| **5. CAUSATIVE (periphrastic)** | Geçersiz kılmak | *geçersiz kılmak* | "to invalidate, to render void" | The periphrastic *kılmak* strategy is core and available for all adjectives; *kılmak* carries a formal or written register preference over colloquial alternatives. | [CORE] |
| **5. CAUSATIVE (periphrastic)** | Bu durum müdahaleyi haklı kılar. | *bu durum müdahaleyi haklı kılar* | "This situation justifies the intervention." | *Kılmak* as a light verb causative is restricted to formal, written, and literary registers; it is not typical in everyday spoken Turkish. The construction is attested and grammatical but stylistically marked. | [MARGINAL] |
| **5. CAUSATIVE / FACTITIVE (-la-)** | Haberi doğrulamak gerekiyor. | *Haberi doğrulamak gerekiyor.* | "The news needs to be verified." | *Doğrulamak* is the standard verb for fact-checking and verification across journalistic, legal, and everyday registers. The *-la-* factitive strategy is distinct from the *-laş-tır-* chain and applies directly to the adjective base. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (-lık)** | Doğruluk | *doğruluk* | "truthfulness, correctness, accuracy" | The *-lık* suffix (with vowel harmony variants) is the primary and productive nominalizer across all P1 items; attested for the full set listed in P4a notes. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (-lık)** | Güvenilirlik | *güvenilirlik* | "reliability, trustworthiness" | Layered forms (*güvenilir* + *-lik*) are fully productive; the Arabic-derived *-iyet* alternative (*meşruiyet*, *hakkaniyet*) is restricted to items of Arabic origin and carries a formal or legalistic register preference. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (-lık)** | Dürüstlük her zaman ödüllendirilmez. | *dürüstlük her zaman ödüllendirilmez* | "Honesty is not always rewarded." | *-lık/-lik/-luk/-lük* is the primary property-nominalization suffix across the truth domain; forms such as *doğruluk*, *yanlışlık*, *güvenilirlik*, *özgünlük* are fully lexicalized and in common use. Generic/gnomic statements with the nominalization as subject are a characteristic context. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (-lık)** | Dürüstlük en önemli erdemlerden biridir. | *Dürüstlük en önemli erdemlerden biridir.* | "Honesty is one of the most important virtues." | *-lık/-lik* nominalizations are fully productive across the truth domain and occur freely in all registers. Generic/gnomic statements with the nominalization as subject are a characteristic context. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (-lık)** | Pasaportunun geçerliliği sona erdi. | *Pasaportunun geçerliliği sona erdi.* | "The validity of his/her passport expired." | *Geçerlilik* (< *geçerli* + *-lik*) is the standard administrative/legal term for validity; the possessed form *geçerliliği* in genitive-possessive constructions is the typical syntactic frame. Double suffixation (*-li* + *-lik*) is regular and productive. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (verbal noun -ma)** | Doğrulama | *doğrulama* | "verification, confirmation" | Fully productive across the domain; frequent in legal, journalistic, and administrative registers as an action nominal. Distinct in meaning from the *-lık* abstract property nominal. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (verbal noun -ma)** | Yalanlama | *yalanlama* | "denial, refutation" | Same pattern; *yalanlama* is a standard term in press and legal contexts. The *-ma/-me* verbal noun series is among the most productive nominalizing strategies in Turkish. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (verbal noun -ma)** | Kimlik doğrulama zorunludur. | *kimlik doğrulama zorunludur* | "Identity verification is mandatory." | Verbal noun in *-ma/-me* nominalizes the process rather than the property; common in technical, administrative, and compound-noun contexts (*kimlik doğrulama*, *yanlışlama*). Distinct function from *-lık* nominalization. | [CORE] |
| **7. AGENTIVE NOMINALIZATION (-cı/-ci, noun-based)** | Yalancı | *yalancı* | "liar" | The *-cı* agentive on noun bases is core for habitual role agents; *yalancı* is a fully lexicalized common word with no register restriction. | [CORE] |
| **7. AGENTIVE NOMINALIZATION (-cı/-ci, noun-based)** | Yalancının mumu yatsıya kadar yanar. | *Yalancının mumu yatsıya kadar yanar.* | "A liar's candle burns only until evening." | *Yalancı* is fully lexicalized and occurs in proverbs, everyday speech, and formal contexts. The proverb frame is a fixed idiom; *yalancı* also occurs freely outside it. | [CORE] |
| **7. AGENTIVE NOMINALIZATION (-cı/-ci, deceptive)** | Sahteci mahkemede yargılandı. | *sahteci mahkemede yargılandı* | "The forger was tried in court." | Agentive *-ci* nouns are lexicalized on the deceptive/negative side of the domain (*sahteci*, *taklitçi*, *sahtekâr*); this asymmetry is a documented feature of the domain, not a gap in the analysis. | [CORE] |
| **7. AGENTIVE NOMINALIZATION (-cı/-ci, deceptive)** | Sahteci yakalandı. | *Sahteci yakalandı.* | "The forger was caught." | *Sahteci* is the standard term for a forger or counterfeiter in legal and journalistic contexts. The *-cı/-ci* suffix on nominal bases is productive; the alternative agentive *-yıcı/-yici* applies to verbal stems (*doğrulayıcı*) and is more restricted in everyday use. | [CORE] |
| **7. AGENTIVE NOMINALIZATION (-ıcı, verb-based participial)** | Yanıltıcı | *yanıltıcı* | "misleader, misleading agent" | The *-ıcı* participial agentive is core but functions more commonly as an adjective than as a pure agent noun; adjectival use (*yanıltıcı bilgi*, "misleading information") is more frequent than nominal use. | [CORE] |
| **7. AGENTIVE NOMINALIZATION (truth-telling, periphrastic)** | Doğruyu söyleyen biri bulmak zor. | *doğruyu söyleyen biri bulmak zor* | "It is difficult to find someone who tells the truth." | Participial relative clause (*söyleyen biri*) is the standard strategy for expressing "one who tells the truth"; no lexicalized agentive noun for this concept is in common use. The periphrastic form is natural and unrestricted. | [CORE] |
| **8. PROCESS NOMINALIZATION / FACTITIVE VERBALIZATION** | Doğrulama | *doğrulama* | "verification, confirmation" | Fully productive across the domain; frequent in legal, journalistic, and administrative registers as an action nominal. | [CORE] |
| **8. PROCESS NOMINALIZATION** | Yalanlama | *yalanlama* | "denial, refutation" | Same pattern; *yalanlama* is a standard term in press and legal contexts. The *-ma/-me* verbal noun series is among the most productive nominalizing strategies in Turkish. | [CORE] |
| **8. FACTITIVE VERBALIZATION (-la-)** | İddiayı kanıtlamak güçtür. | *iddiayı kanıtlamak güçtür* | "It is difficult to prove the claim." | *-la-/-le-* verbalizer on truth-domain nouns is highly productive; infinitive used as subject nominal is a standard construction. Passive (*kanıtlanmış*) and potential (*doğrulanabilir*) stacking onto this stem is fully attested. | [CORE] |
| **8. FACTITIVE VERBALIZATION (-la-)** | Hipotezi yanlışlamak mümkün olmalıdır. | *hipotezi yanlışlamak mümkün olmalıdır* | "It must be possible to falsify the hypothesis." | *Yanlışlamak* in the Popperian falsificationist sense is attested in academic and philosophical registers but is not a common everyday form; its use outside those registers would be marked. The construction itself is grammatical; the restriction is lexical and register-based. | [MARGINAL] |
| **9. ABILITY / POTENTIAL NOMINALIZATION** | Doğrulanabilirlik | *doğrulanabilirlik* | "verifiability" | Restricted to philosophical, scientific, and academic registers; not used in everyday speech. The layered morphological complexity (*passive + potential + aorist participial + nominalizer*) marks these as technical terms rather than general vocabulary. | [MARGINAL] |
| **9. ABILITY / POTENTIAL NOMINALIZATION** | Yanlışlanabilirlik | *yanlışlanabilirlik* | "falsifiability" | Same register restriction as *doğrulanabilirlik*; the pair directly encodes a philosophical distinction (logical positivism / Popperian falsificationism) and is confined to academic discourse on epistemology and philosophy of science. | [MARGINAL] |
| **9. CORRESPONDENCE POSTPOSITIONAL (aykırı)** | Gerçeğe aykırı beyan suç teşkil eder. | *gerçeğe aykırı beyan suç teşkil eder* | "A statement contrary to fact constitutes a crime." | *Gerçeğe aykırı* is a fixed legal phrase; the construction is fully productive in legal and administrative registers. Use outside formal registers is less common but not unattested. | [CORE] |
| **9. CORRESPONDENCE POSTPOSITIONAL (uygun)** | Gerçeğe uygun beyanda bulunmak zorundasınız. | *gerçeğe uygun beyanda bulunmak zorundasınız* | "You are required to make a statement conforming to fact." | *Gerçeğe uygun* is the positive-correspondence counterpart to *gerçeğe aykırı*; both are fixed in legal language. *Hakikate aykırı* is attested as a literary variant but is not the default form. | [CORE] |
| **9. PREDICATE OUTCOME CONSTRUCTION** | Tahmini doğru çıktı. | *Tahmini doğru çıktı.* | "His/her prediction turned out to be correct." | Common in conversational and journalistic registers; the construction is semantically restricted to retrospective truth-evaluation following a process of discovery. *Çıkmak* in this function is not interchangeable with other copular verbs. | [CORE] |
| **9. PREDICATE OUTCOME CONSTRUCTION** | Bu yalan çıktı. | *Bu yalan çıktı.* | "This turned out to be a lie." | Attested with *doğru*, *yanlış*, *yalan*, *sahte*, and *haklı*; the set of adjectives/nouns that enter this construction appears to be semantically restricted to truth-evaluation predicates. No extension to non-truth-domain adjectives is attested in P4a. | [CORE] |
| **10. SINCERITY / CORRECTION DISCOURSE MARKER** | Doğrusu, bilmiyorum. | *Doğrusu, bilmiyorum.* | "Honestly, I don't know." | Fully grammaticalized as a sentence-initial sincerity hedge; common across spoken and written registers. Functions as a discourse marker rather than a propositional predicate; the possessive form *doğrusu* is no longer compositionally interpreted in this use. | [CORE] |
| **10. SINCERITY / CORRECTION DISCOURSE MARKER** | Aslında öyle değil. | *Aslında öyle değil.* | "Actually, it's not like that." | *Aslında* is among the most frequent discourse markers in Turkish; used as a corrective or contrastive frame across all registers. Fully grammaticalized; the locative etymology (*asl-ında*, "in its origin") is not synchronically active. | [CORE] |
| **10. CONCESSIVE PARTIAL-TRUTH CONSTRUCTION** | Bu iddiada bir doğruluk payı var. | *Bu iddiada bir doğruluk payı var.* | "There is a grain of truth in this claim." | Frequent in argumentative, journalistic, and conversational registers as a hedging device. The locative frame specifying the claim under evaluation is obligatory; the nominal phrase *doğruluk payı* appears to be fixed. No parallel with *hakikat* or *gerçek* in this exact frame is attested in P4a. | [CORE] |
| **10. CONCESSIVE PARTIAL-TRUTH CONSTRUCTION (double-negative)** | Söylediklerinde doğruluk payı yok değil. | *Söylediklerinde doğruluk payı yok değil.* | "There is no denying a grain of truth in what he/she said." | The *yok değil* double-negative variant is a recognized hedging form in Turkish, softening the concession further; it is common in conversational and informal written registers. The construction is syntactically regular but pragmatically specialized. | [CORE] |
| **11. APPROXIMATION CONSTRUCTION** | Doğruya en yakın cevap | *doğruya en yakın cevap* | "the answer closest to correct" | Productive and compositional; the spatial metaphor (*yakın/uzak* + dative truth noun) is natural and unrestricted. Used in evaluative and epistemic contexts across registers. | [CORE] |
| **11. APPROXIMATION CONSTRUCTION** | Gerçekten uzak bir senaryo | *gerçekten uzak bir senaryo* | "a scenario far from reality" | Same spatial metaphor pattern; *gerçekten uzak* is a common collocation in journalistic and critical discourse. Note: *gerçekten* also functions as an adverb meaning "truly/really," creating a potential surface ambiguity that context resolves. | [CORE] |
| **12. CONTRASTIVE DISTINCTION CONSTRUCTION** | Yasal ama meşru değil. | *Yasal ama meşru değil.* | "Legal but not legitimate." | The *ama* concessive is the most frequent connector in this pattern; natural and common in legal, political, and philosophical discourse wherever paired concepts require explicit differentiation. | [CORE] |
| **12. CONTRASTIVE DISTINCTION CONSTRUCTION** | Yanıltıcı olmakla birlikte yanlış olmamak. | *Yanıltıcı olmakla birlikte yanlış olmamak.* | "To be misleading without being false." | The *olmakla birlikte* concessive is more formal and written than *ama*; this specific infinitival framing (*olmamak* as the second predicate) is characteristic of analytical or philosophical prose rather than conversational or journalistic usage. | [MARGINAL] |
| **13. LIGHT-VERB CONSTRUCTION (etmek)** | Bilgiyi teyit etmek gerekiyor. | *Bilgiyi teyit etmek gerekiyor.* | "The information needs to be confirmed." | The *[Arabic/Persian noun] + etmek* pattern is the standard verbal strategy for this vocabulary class across all registers. Passive *edilmek* is fully regular and frequent (*teyit edildi* — "was confirmed"). | [CORE] |
| **13. LIGHT-VERB CONSTRUCTION (etmek)** | Bunu hak etti. | *Bunu hak etti.* | "He/she deserved this." | *Hak etmek* is fully lexicalized and common across all registers. The object is typically accusative-marked; the construction is transitive. No passive counterpart (*hak edilmek*) is attested in P4a for this specific item. | [CORE] |
| **14. RIGHTS-DEPRIVATION / FULFILLMENT (yemek)** | Kimsenin hakkını yemem. | *Kimsenin hakkını yemem.* | "I will not deprive anyone of their due." | *Hakkını yemek* is a fully lexicalized idiom common in everyday speech and ethical/moral discourse. The possessive marking on *hakkını* is obligatory; bare *hak yemek* is not attested as idiomatic in P4a. | [CORE] |
| **14. RIGHTS-DEPRIVATION / FULFILLMENT (vermek)** | İşinin hakkını verdi. | *İşinin hakkını verdi.* | "He/she did justice to his/her work." | *Hakkını vermek* is fully lexicalized and common across registers; the genitive-possessive frame (*işinin hakkını*) specifying the domain of entitlement is a characteristic extension of the basic construction. The set of verbs entering this frame (*vermek*, *aramak*, *yemek*, *gözetmek*) appears closed in P4a. | [CORE] |
