# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Hebrew (he)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| תעודה מזויפת (te'uda mezuyefet) | תעודה אמיתית (te'uda amitit) [implied] | te'uda mezuyefet vs. te'uda amitit | forged document vs. genuine document | Lexical opposition in document authenticity. תעודה מזויפת is attested in P1b data as a legal term for falsified documents, implying contrast with authentic documents. | lexical | [CORE] |
| לחפש את האמת (lehapes et ha'emet) | לחשוף שקר (laḥsof sheker) | lehapes et ha'emet vs. laḥsof sheker | to seek the truth vs. to expose a lie | Constructional opposition in investigative actions. לחפש את האמת is attested in P2b data, while לחשוף שקר is attested in P1b data, representing complementary investigative activities. | constructional | [CORE] |
| להפיץ שקרים (lehafits shkarim) | לומר את האמת (lomar et ha'emet) | lehafits shkarim vs. lomar et ha'emet | to spread lies vs. to tell the truth | Constructional opposition in speech acts. Both constructions are attested (להפיץ שקרים in P1b, לומר את האמת in P2b), representing opposed communicative actions. | constructional | [CORE] |
| לתפוס במעשה שקר (litpos bema'ase sheker) | לגלות את האמת (legalot et ha'emet) | litpos bema'ase sheker vs. legalot et ha'emet | to catch in a lie vs. to discover the truth | Constructional opposition in discovery actions. Both constructions are attested in P2b data, representing different aspects of uncovering deception versus revealing truth. | constructional | [CORE] |
| לחיות בשקר (liḥyot besheker) | לחיות באמת (liḥyot be'emet) [implied] | liḥyot besheker vs. liḥyot be'emet | to live a lie vs. to live in truth | Constructional opposition in life conduct. לחיות בשקר is attested in P2b data, and the parallel construction with אמת follows standard Hebrew patterns. | constructional | [CORE] |
| חיי שקר (ḥayey sheker) | חיי אמת (ḥayey emet) [implied] | ḥayey sheker vs. ḥayey emet | life of lies vs. life of truth | Constructional opposition in life characterization. חיי שקר is attested in P1b data, and the parallel construction with אמת follows standard Hebrew construct state patterns. | constructional | [CORE] |
| אמירת שקר (amirat sheker) | אמירת אמת (amirat emet) [implied] | amirat sheker vs. amirat emet | telling a lie vs. telling the truth | Constructional opposition in speech act nominalizations. אמירת שקר is attested in P1b data as a formal expression for lying, and the parallel construction with אמת follows standard patterns. | constructional | [CORE] |
| דובר שקרים (dover shkarim) | דובר אמת (dover emet) [implied] | dover shkarim vs. dover emet | speaker of lies vs. speaker of truth | Constructional opposition in agent descriptions. דובר שקרים is attested in P1b data, and the parallel construction with אמת follows standard Hebrew participial patterns. | constructional | [CORE] |
| מסכת שקרים (masekhet shkarim) | (no clear opposite identified) | masekhet shkarim | web of lies | Metaphorical expression for interconnected falsehoods (attested in P1b). No clear opposite construction attested in the data (e.g., *מסכת אמיתות "web of truths" is not documented). | (no clear opposition identified) | N/A |
| שקר מתוחכם (sheker metuḥkam) | שקר פשוט (sheker pashut) [implied] | sheker metuḥkam vs. sheker pashut | sophisticated lie vs. simple lie | Lexical opposition between types of lies based on complexity. שקר מתוחכם is attested in P1b data, and the implied contrast with simple/unsophisticated lies follows standard Hebrew adjectival modification patterns. | lexical | [UNCERTAIN] |
| אמת נצחית (emet nitsḥit) | אמת זמנית (emet zmanit) [implied] | emet nitsḥit vs. emet zmanit | eternal truth vs. temporal truth | Lexical opposition between types of truth based on temporal scope. אמת נצחית is attested in P1b data, and the implied contrast with temporal/contingent truth follows standard philosophical distinctions. | lexical | [UNCERTAIN] |
| הוא משקר (hu meshaker) | הוא אומר את האמת (hu omer et ha'emet) [implied] | hu meshaker vs. hu omer et ha'emet | he is lying vs. he is telling the truth | Constructional opposition in speech act descriptions. הוא משקר is attested in P2b data, and the parallel construction with truth-telling follows standard Hebrew patterns. | constructional | [CORE] |
| אל תשקר (al teshaker) | אמור את האמת (emor et ha'emet) [implied] | al teshaker vs. emor et ha'emet | don't lie vs. tell the truth | Constructional opposition in imperative commands. אל תשקר is attested in P2b data, and the parallel positive command follows standard Hebrew imperative patterns. | constructional | [CORE] |
| למה לשקר? (lama leshaker?) | למה לא לומר את האמת? (lama lo lomar et ha'emet?) [implied] | lama leshaker? vs. lama lo lomar et ha'emet? | why lie? vs. why not tell the truth? | Constructional opposition in rhetorical questions. למה לשקר? is attested in P2b data, and the parallel question with truth-telling follows standard Hebrew interrogative patterns. | constructional | [CORE] |
| לאבד את האמונה (le'abed et ha'emuna) | לשמור על האמונה (lishmor al ha'emuna) [implied] | le'abed et ha'emuna vs. lishmor al ha'emuna | to lose faith vs. to keep/maintain faith | Constructional opposition in faith maintenance. לאבד את האמונה is attested in P2b data, and the parallel construction with preservation follows standard Hebrew patterns. | constructional | [CORE] |
| בתום לב ובאמונה (betom lev uve'emuna) | ברשעות ובמרמה (beris'ut uvemirma) [implied] | betom lev uve'emuna vs. beris'ut uvemirma | in good faith and sincerity vs. in wickedness and deceit | Constructional opposition in intention characterization. בתום לב ובאמונה is attested in P1b and P2b data as a legal/ethical expression, and the implied contrast with bad faith follows standard ethical oppositions. | constructional | [UNCERTAIN] |
