# CLCA Protocol v3.4 — F2b Constructions Table
# Language: English (en)

| Base Form | Construction | Example | Transliteration | Translation | Usage Notes | Status |
| real (via reality) | get a reality check | You need to get a reality check. | /ɡɛt ə riˈæləti tʃɛk/ | confront actual conditions, adjust expectations | Fixed verbal expression urging realistic assessment. Common in informal critical discourse. | [CORE] |
| real (via reality) | reality bites | Reality bites when you lose your job. | /riˈæləti baɪts/ | reality is harsh, actual conditions are difficult | Fixed expression acknowledging harsh reality. Informal register; popularized by 1990s film title. | [CORE] |
| real (via reality) | face reality | It's time to face reality. | /feɪs riˈæləti/ | acknowledge actual conditions, stop denying | Semi-fixed verbal expression urging acceptance of facts. Common in confrontational or counseling contexts. | [CORE] |
| real (via reality) | escape from reality | Video games offer an escape from reality. | /ɪˈskeɪp frəm riˈæləti/ | avoid actual conditions, seek distraction | Semi-fixed nominal phrase denoting avoidance of real-world concerns. Common in psychological and cultural discourse. | [CORE] |
| real (via reality) | virtual reality | The game uses virtual reality technology. | /ˈvɜːtʃuəl riˈæləti/ | computer-simulated environment | Fixed technical term denoting immersive computer simulation. Very common in technology contexts. | [CORE] |
| real (via reality) | augmented reality | The app uses augmented reality features. | /ɔːɡˈmɛntɪd riˈæləti/ | digital overlay on physical world | Fixed technical term denoting enhanced perception through digital information. Common in technology contexts. | [CORE] |
| genuine | the genuine article | This painting is the genuine article. | /ðə ˈdʒɛnjuɪn ˈɑːtɪkəl/ | authentic thing, real version | Fixed nominal phrase emphasizing authenticity. Common in evaluative and commercial contexts. | [CORE] |
| authentic | authentic experience | Tourists seek an authentic experience. | /ɔːˈθɛntɪk ɪkˈspɪəriəns/ | genuine cultural encounter | Semi-fixed collocation common in tourism and cultural discourse. Emphasizes non-commercialized or traditional experience. | [CORE] |
| accurate | accurate to within (X) | The measurement is accurate to within 0.1mm. | /ˈækjərət tə wɪˈðɪn/ | precise within specified margin | Semi-fixed prepositional phrase specifying precision tolerance. Common in technical and scientific contexts. | [CORE] |
| accurate | strictly accurate | That's not strictly accurate. | /ˈstrɪktli ˈækjərət/ | precisely correct in all details | Semi-fixed adverbial collocation emphasizing exactness. Common in careful or pedantic discourse. | [CORE] |
| correct | stand corrected | I stand corrected—you were right. | /stænd kəˈrɛktɪd/ | acknowledge one's error, accept correction | Fixed verbal expression conceding mistake. Common in formal and polite discourse. | [CORE] |
| correct | correct me if I'm wrong | Correct me if I'm wrong, but didn't you say the opposite? | /kəˈrɛkt mi ɪf aɪm rɒŋ/ | please point out any error (discourse marker) | Fixed discourse marker inviting correction while making assertion. Very common in conversational discourse. | [CORE] |
| correct | politically correct | That term isn't politically correct anymore. | /pəˈlɪtɪkli kəˈrɛkt/ | conforming to progressive language norms | Fixed adjectival phrase (often abbreviated PC) denoting language avoiding offense. Very common in cultural and political discourse. | [CORE] |
| right | get it right | Let me get this right—you're quitting? | /ɡɛt ɪt raɪt/ | understand correctly, do correctly | Semi-fixed verbal expression denoting correct understanding or execution. Very common across contexts. | [CORE] |
| right | set things right | I want to set things right between us. | /sɛt θɪŋz raɪt/ | correct problems, restore proper state | Semi-fixed verbal expression denoting correction or reconciliation. Common in interpersonal and narrative contexts. | [CORE] |
| right | put right | We need to put this right immediately. | /pʊt raɪt/ | correct, fix | Semi-fixed verbal expression denoting correction of error or problem. Common in practical contexts. | [CORE] |
| right | right you are | "Can you help me?" "Right you are!" | /raɪt juː ɑː/ | certainly, I agree (affirmative response) | Fixed response expression showing agreement or compliance. Somewhat dated or British English. | [MARGINAL] |
| right | serve someone right | It serves him right for being so careless. | /sɜːv ˈsʌmwʌn raɪt/ | be deserved punishment, be fitting consequence | Fixed verbal expression denoting deserved negative outcome. Common in moral evaluation. | [CORE] |
| right | in one's right mind | No one in their right mind would do that. | /ɪn wʌnz raɪt maɪnd/ | sane, thinking rationally | Fixed prepositional phrase denoting sanity or rationality. Very common in evaluative discourse. | [CORE] |
| right | right as rain | After some rest, I'll be right as rain. | /raɪt əz reɪn/ | perfectly well, in good condition | Fixed simile denoting good health or proper state. Somewhat informal or dated. | [CORE] |
| right | dead right | You're dead right about that. | /dɛd raɪt/ | absolutely correct | Fixed intensified form emphasizing complete correctness. Common in informal discourse. | [CORE] |
| right | bang on right / spot on right | Your analysis is bang on right. | /bæŋ ɒn raɪt/ | exactly correct | Fixed intensified form emphasizing precision. British English; informal register. | [MARGINAL] |
| right | right on the money | Your prediction was right on the money. | /raɪt ɒn ðə ˈmʌni/ | exactly correct, precisely accurate | Fixed prepositional phrase emphasizing precision. Common in informal evaluative discourse. | [CORE] |
| right | do right by (someone) | He always did right by his employees. | /duː raɪt baɪ/ | treat fairly, act justly toward | Semi-fixed verbal expression denoting fair treatment. Common in moral evaluation. | [CORE] |
| right | make it right | I made a mistake, but I'll make it right. | /meɪk ɪt raɪt/ | correct an error, provide compensation | Semi-fixed verbal expression denoting correction or restitution. Common in interpersonal and commercial contexts. | [CORE] |
| wrong | get it wrong | I got the date wrong. | /ɡɛt ɪt rɒŋ/ | make an error, misunderstand | Semi-fixed verbal expression denoting error or misunderstanding. Very common across contexts. | [CORE] |
| wrong | go wrong | Everything went wrong that day. | /ɡəʊ rɒŋ/ | fail, malfunction, turn out badly | Semi-fixed verbal expression denoting failure or malfunction. Very common in narrative and practical contexts. | [CORE] |
| wrong | do wrong | He admitted he had done wrong. | /duː rɒŋ/ | act immorally, commit offense | Semi-fixed verbal expression denoting immoral action. Common in moral discourse. | [CORE] |
| wrong | can't go wrong (with X) | You can't go wrong with chocolate cake. | /kɑːnt ɡəʊ rɒŋ wɪð/ | will certainly succeed, is a safe choice | Fixed expression recommending reliable option. Common in advice-giving contexts. | [CORE] |
| wrong | two wrongs don't make a right | Don't retaliate—two wrongs don't make a right. | /tuː rɒŋz dəʊnt meɪk ə raɪt/ | revenge doesn't justify wrongdoing (proverb) | Fixed proverbial expression about moral reciprocity. Common in moral instruction. | [CORE] |
| wrong | in the wrong | He was clearly in the wrong. | /ɪn ðə rɒŋ/ | at fault, morally culpable | Fixed prepositional phrase denoting fault or blame. Common in moral and legal evaluation. | [CORE] |
| wrong | get on the wrong side of (someone) | Don't get on the wrong side of the boss. | /ɡɛt ɒn ðə rɒŋ saɪd əv/ | antagonize, displease | Fixed verbal expression denoting creating enmity. Common in interpersonal contexts. | [CORE] |
| wrong | rub (someone) the wrong way | His attitude rubs me the wrong way. | /rʌb ðə rɒŋ weɪ/ | irritate, annoy | Fixed verbal expression denoting causing irritation. Common in interpersonal evaluation. | [CORE] |
| wrong | start off on the wrong foot | We started off on the wrong foot. | /stɑːt ɒf ɒn ðə rɒŋ fʊt/ | begin badly, make poor first impression | Fixed verbal expression denoting inauspicious beginning. Common in interpersonal and narrative contexts. | [CORE] |
| wrong | bark up the wrong tree | If you think I did it, you're barking up the wrong tree. | /bɑːk ʌp ðə rɒŋ triː/ | pursue mistaken course, accuse wrong person | Fixed idiomatic expression denoting misdirected effort. Common in informal discourse. | [CORE] |
| wrong | on the wrong track | Your investigation is on the wrong track. | /ɒn ðə rɒŋ træk/ | pursuing incorrect approach | Fixed prepositional phrase denoting misdirected effort. Common in evaluative and instructional contexts. | [CORE] |
| valid | no longer valid | This ticket is no longer valid. | /nəʊ ˈlɒŋɡər ˈvælɪd/ | expired, invalidated | Semi-fixed negative construction denoting expiration or invalidation. Common in legal and commercial contexts. | [CORE] |
| valid | remain valid | The contract remains valid until December. | /rɪˈmeɪn ˈvælɪd/ | continue to be in force | Semi-fixed verbal collocation denoting continued validity. Common in legal and formal contexts. | [CORE] |
| sound | safe and sound | The children arrived home safe and sound. | /seɪf ənd saʊnd/ | unharmed, in good condition | Fixed binomial expression denoting safety and wellbeing. Very common in narrative and reassurance contexts. | [CORE] |
| sound | of sound mind | The testator was of sound mind when signing. | /əv saʊnd maɪnd/ | mentally competent, sane | Fixed legal phrase denoting mental competence. Common in legal contexts, especially wills. | [CORE] |
| sound | sound in body and mind | He remained sound in body and mind. | /saʊnd ɪn ˈbɒdi ənd maɪnd/ | physically and mentally healthy | Fixed expression denoting complete health. Somewhat formal or archaic register. | [MARGINAL] |
| reliable | tried and reliable / tried and true | We use tried and reliable methods. | /traɪd ənd rɪˈlaɪəbəl/ | proven through experience | Semi-fixed binomial expression emphasizing proven reliability. "Tried and true" is more common variant. | [MARGINAL] |
| honest | to be honest | To be honest, I don't like it. | /tə bi ˈɒnɪst/ | frankly speaking, truthfully | Fixed discourse marker introducing frank statement. Very common in conversational discourse. | [CORE] |
| honest | honest to God / honest to goodness | Honest to God, I didn't know. | /ˈɒnɪst tə ɡɒd/ | truly, I swear (emphatic affirmation) | Fixed oath-like expression emphasizing truthfulness. Common in informal discourse. | [CORE] |
| honest | make an honest woman of (someone) | He finally made an honest woman of her. | /meɪk ən ˈɒnɪst ˈwʊmən əv/ | marry (archaic/humorous) | Fixed expression referring to marriage legitimizing relationship. Dated; now often used humorously. | [MARGINAL] |
| honest | honest broker | The UN acted as an honest broker in the negotiations. | /ˈɒnɪst ˈbrəʊkər/ | impartial mediator | Fixed nominal phrase denoting neutral intermediary. Common in political and diplomatic contexts. | [CORE] |
| honest | honest mistake | It was an honest mistake, not deliberate. | /ˈɒnɪst mɪˈsteɪk/ | unintentional error, innocent mistake | Semi-fixed collocation distinguishing innocent from deliberate error. Common in excuse-making contexts. | [CORE] |
| faithful | faithful to the original | The translation is faithful to the original. | /ˈfeɪθfəl tə ði əˈrɪdʒɪnəl/ | accurately representing the source | Semi-fixed prepositional phrase evaluating accuracy of reproduction. Common in translation and adaptation criticism. | [CORE] |
| faithful | yours faithfully | Yours faithfully, John Smith | /jɔːz ˈfeɪθfəli/ | (formal letter closing) | Fixed epistolary closing for formal letters to unknown recipients. British English convention. | [CORE] |
| fake | fake it till you make it | Just fake it till you make it. | /feɪk ɪt tɪl juː meɪk ɪt/ | pretend competence until achieving it (advice) | Fixed expression offering pragmatic advice about confidence. Common in motivational and business contexts. | [CORE] |
| fake | fake out | He faked out the defender with a quick move. | /feɪk aʊt/ | deceive through feint, trick | Phrasal verb denoting deception through misdirection. Common in sports and informal contexts. | [CORE] |
| fake | spot a fake | Experts can spot a fake immediately. | /spɒt ə feɪk/ | identify counterfeit, detect fraud | Semi-fixed verbal expression denoting detection of fraud. Common in commercial and art contexts. | [CORE] |
| spurious | spurious correlation | That's just a spurious correlation. | /ˈspjʊəriəs ˌkɒrəˈleɪʃən/ | false statistical relationship | Semi-fixed technical collocation denoting misleading statistical pattern. Common in academic and analytical contexts. | [CORE] |
| apt | apt to (do something) | He's apt to forget appointments. | /æpt tə/ | likely to, inclined to | Semi-fixed construction denoting tendency or likelihood. Common in descriptive and predictive contexts. | [CORE] |
| fitting | it is fitting that | It is fitting that we honor her memory. | /ɪt ɪz ˈfɪtɪŋ ðæt/ | it is appropriate that | Semi-fixed evaluative construction marking appropriateness. Somewhat formal register. | [CORE] |
| proper | prim and proper | She's always so prim and proper. | /prɪm ənd ˈprɒpər/ | excessively formal, overly correct | Fixed binomial expression describing excessive propriety. Common in character description, often mildly critical. | [CORE] |
| proper | good and proper | He told them off good and proper. | /ɡʊd ənd ˈprɒpər/ | thoroughly, completely | Fixed binomial intensifier emphasizing thoroughness. British English; informal register. | [MARGINAL] |
| legitimate | legitimate concern / question / complaint | That's a legitimate concern. | /lɪˈdʒɪtɪmət kənˈsɜːn/ | valid worry/issue | Semi-fixed collocation acknowledging validity of concern. Very common in evaluative discourse. | [CORE] |
| bona fide | bona fide offer / attempt / member | This is a bona fide offer, not a scam. | /ˌbəʊnə ˈfaɪdi/ | genuine, made in good faith | Fixed Latin phrase used attributively. Common in legal and commercial contexts. | [CORE] |
| veritable | a veritable (noun) | The garden was a veritable paradise. | /ə ˈvɛrɪtəbəl/ | a true/real (emphatic) | Semi-fixed construction using veritable as emphatic modifier. Somewhat literary or formal register. | [CORE] |
| so-called | the so-called (X) | The so-called experts were completely wrong. | /ðə ˈsəʊkɔːld/ | the supposedly named (skeptical) | Fixed skeptical construction questioning appropriateness of designation. Very common in critical discourse. | [CORE] |
