# CLCA Protocol v3.2 — F5 Opposition Table
# Language: English (en)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| fallible | infallible | /ˈfæləbəl/ vs. /ɪnˈfæləbəl/ | "capable of error" vs. "incapable of error" | Opposition marking susceptibility versus immunity to error. "Infallible" used in religious contexts (papal infallibility) and general reliability evaluation. | morphological (in- prefix negation) | [CORE] |
| apt | inept | /æpt/ vs. /ɪˈnɛpt/ | "fitting/suitable" vs. "unsuitable/lacking skill" | Opposition marking appropriateness and skill versus unsuitability and incompetence. "Inept" has shifted to emphasize lack of skill more than simple unfittingness. | morphological (in- prefix negation, via Latin) | [CORE] |
| rightful | wrongful | /ˈraɪtfəl/ vs. /ˈrɒŋfəl/ | "legitimate/proper" vs. "unjust/illegal" | Opposition emphasizing legitimate claim or proper entitlement versus unjust or illegal action. Common in legal contexts ("wrongful death," "wrongful termination"). | lexical (different roots + -ful suffix) | [CORE] |
| righteous | unrighteous | /ˈraɪtʃəs/ vs. /ʌnˈraɪtʃəs/ | "morally correct/virtuous" vs. "wicked" | Opposition marking moral correctness versus wickedness. "Unrighteous" primarily religious or archaic register; "righteous" also appears in "self-righteous" (excessive confidence in own virtue). | morphological (un- prefix negation) | [MARGINAL] (unrighteous is archaic/religious) |
| correctable | uncorrected | /kəˈrɛktəbəl/ vs. /ˌʌnkəˈrɛktɪd/ | "capable of being corrected" vs. "not yet corrected" | Opposition between potential for correction (capability) and actual state of not having been corrected. Different morphological formations (-able vs. -ed) mark different aspectual meanings. | morphological (different derivational patterns) | [CORE] |
| falsify | validate | /ˈfɔːlsɪfaɪ/ vs. /ˈvælɪdeɪt/ | "prove false/forge" vs. "confirm validity" | Opposition between making false or proving false versus confirming validity or soundness. Operates in both scientific (falsification of hypotheses) and legal (falsification of documents) domains. | lexical (different roots with causative morphology) | [CORE] |
| authenticate | counterfeit (verb) | /ɔːˈθɛntɪkeɪt/ vs. /ˈkaʊntərfɪt/ | "verify authenticity" vs. "produce fraudulent copy" | Opposition between verifying genuine origin versus producing fraudulent imitations. Common in contexts of document verification and art authentication. | lexical (different roots with causative/productive meanings) | [CORE] |
| realize | unrealized | /ˈrɪəlaɪz/ vs. /ˌʌnˈrɪəlaɪzd/ | "make actual/become aware" vs. "not achieved/not recognized" | Opposition between actualization or awareness versus lack of achievement or recognition. Operates in both causative (make real) and epistemic (become aware) senses. | morphological (un- prefix on participial form) | [CORE] |
| trust | distrust | /trʌst/ vs. /dɪsˈtrʌst/ | "confidence in reliability" vs. "lack of confidence" | Opposition marking confidence versus suspicion. "Distrust" and "mistrust" are near-synonyms, with "mistrust" sometimes implying misplaced or erroneous lack of trust. | morphological (dis- prefix negation) | [CORE] |
| trust | mistrust | /trʌst/ vs. /mɪsˈtrʌst/ | "confidence" vs. "suspicion/erroneous lack of trust" | Similar to trust/distrust opposition but "mistrust" can imply the lack of trust is misplaced or erroneous. Overlaps significantly with distrust. | morphological (mis- prefix negation) | [CORE] |
| reality | unreality | /riˈæləti/ vs. /ˌʌnrɪˈæləti/ | "actual existence" vs. "dreamlike quality/non-existence" | Opposition between actual existence or conditions versus dreamlike or non-existent quality. "Unreality" less common than "unreal," used in literary and philosophical contexts. | morphological (un- prefix negation) | [MARGINAL] (unreality is less frequent) |
| honesty | dishonesty | /ˈɒnɪsti/ vs. /dɪsˈɒnɪsti/ | "quality of being truthful" vs. "quality of being deceptive" | Opposition between character trait of truthfulness versus deception. Very common in moral discourse and character evaluation. | morphological (dis- prefix negation) | [CORE] |
| accuracy | inaccuracy | /ˈækjərəsi/ vs. /ɪnˈækjərəsi/ | "degree of precision" vs. "lack of precision/error" | Opposition marking degree of precision versus lack thereof. "Inaccuracy" can denote both the quality and specific instances of imprecision. | morphological (in- prefix negation) | [CORE] |
| validity | invalidity | /vəˈlɪdəti/ vs. /ˌɪnvəˈlɪdəti/ | "quality of being valid" vs. "lack of validity" | Opposition marking logical soundness or legal force versus lack thereof. Common in legal and logical contexts. | morphological (in- prefix negation) | [CORE] |
| authenticity | inauthenticity | /ˌɔːθɛnˈtɪsəti/ vs. /ˌɪnɔːθɛnˈtɪsəti/ | "quality of being authentic" vs. "lack of authenticity" | Opposition marking genuine origin versus lack thereof. Common in philosophical and cultural criticism. | morphological (in- prefix negation) | [CORE] |
| reliability | unreliability | /rɪˌlaɪəˈbɪləti/ vs. /ˌʌnrɪˌlaɪəˈbɪləti/ | "quality of being dependable" vs. "lack of dependability" | Opposition marking consistent dependability versus inconsistency. Common in evaluative and technical contexts. | morphological (un- prefix negation) | [CORE] |
| truthfulness | untruthfulness | /ˈtruːθfəlnəs/ vs. /ʌnˈtruːθfəlnəs/ | "quality of truth-telling" vs. "quality of lying" | Opposition marking habitual truth-telling versus lying. Less common than "honesty/dishonesty" but attested in character evaluation. | morphological (un- prefix negation) | [MARGINAL] (less frequent than honesty/dishonesty) |
| faithfulness | unfaithfulness | /ˈfeɪθfəlnəs/ vs. /ʌnˈfeɪθfəlnəs/ | "quality of loyalty/accuracy" vs. "disloyalty/inaccuracy" | Opposition spanning moral loyalty (faithful spouse) and representational accuracy (faithful translation). Common especially in relational contexts. | morphological (un- prefix negation) | [CORE] |
| correctness | incorrectness | /kəˈrɛktnəs/ vs. /ˌɪnkəˈrɛktnəs/ | "quality of being correct" vs. "quality of being incorrect" | Opposition marking conformity to standards versus deviation. "Correctness" prominent in "political correctness"; "incorrectness" less common than "error." | morphological (in- prefix negation) | [CORE] (correctness) / [MARGINAL] (incorrectness less frequent) |
| soundness | unsoundness | /ˈsaʊndnəs/ vs. /ʌnˈsaʊndnəs/ | "quality of being well-founded" vs. "quality of being flawed" | Opposition marking well-founded reasoning versus flawed reasoning. Common in logical and evaluative contexts; "unsoundness" less frequent. | morphological (un- prefix negation) | [CORE] (soundness) / [MARGINAL] (unsoundness less frequent) |
| truth | falsehood | /truːθ/ vs. /ˈfɔːlshʊd/ | "true statement/reality" vs. "false statement" | Opposition between true statements or reality versus false statements. "Falsehood" more formal than "lie," used in philosophical and formal discourse. | lexical (different root formations) | [CORE] |
| truth | untruth | /truːθ/ vs. /ʌnˈtruːθ/ | "true statement" vs. "false statement" | Opposition between true and false statements. "Untruth" somewhat formal or euphemistic alternative to "lie." | morphological (un- prefix negation) | [CORE] |
| falsity | truth (implied) | /ˈfɔːlsəti/ vs. /truːθ/ | "quality of being false" vs. "quality of being true" | Opposition between abstract qualities. "Falsity" denotes quality of being false or a false statement; more formal register than "falsehood." | lexical (different root formations) | [CORE] |
| Subject + BE + NOT + truth-adj | Subject + BE + negated-adj (un-/in-/dis-) | /hɪz kleɪm ɪz nɒt truː/ vs. /ðə ˈsɪɡnətʃər ɪz ˌɪnɔːˈθɛntɪk/ | "His claim does not correspond to facts" vs. "The signature is not genuine" | Opposition between two negation strategies: analytic (not + adjective) is neutral, while synthetic (prefixed form) often carries stronger implications. Some bases prefer one strategy ("dishonest" standard, "*not honest" marked). | constructional | [CORE] |
| Subject + PROVE + false | Subject + COME + true | /ðə ˈruːmər pruːvd fɔːls/ vs. /hɪz prɪˈdɪkʃənz keɪm truː/ | "The rumor was revealed to be untrue" vs. "His predictions were realized" | Opposition between revelation of falsity (prove false) and realization of truth/prediction (come true). Different verbs mark different aspectual meanings; "come true" is fixed expression not productive with other adjectives. | constructional | [CORE] |
| Subject + RING + true | Subject + RING + false | /hɪz ˌɛkspləˈneɪʃən rɪŋz truː/ vs. /hɪz əˈpɒlədʒi ræŋ fɔːls/ | "His explanation seems genuine" vs. "His apology seems insincere" | Fixed verbal expressions marking intuitive impression of authenticity versus inauthenticity. Symmetrical construction with opposite adjectives. | constructional | [CORE] |
| Subject + GET + it + right | Subject + GET + it + wrong | /lɛt miː ɡɛt ðɪs raɪt/ vs. /aɪ ɡɒt ðə deɪt rɒŋ/ | "Let me understand correctly" vs. "I made an error about the date" | Opposition between achieving correct understanding/execution versus making errors. Very common semi-fixed expressions across all contexts. | constructional | [CORE] |
| Subject + BE + in the right | Subject + BE + in the wrong | (not provided) vs. /hiː wəz ˈklɪəli ɪn ðə rɒŋ/ | "morally justified" vs. "at fault, morally culpable" | Fixed prepositional phrases marking moral justification versus fault. "In the wrong" explicitly attested; "in the right" implied through opposition. | constructional | [CORE] |
| Subject + DO + right + by (someone) | Subject + DO + wrong | /hiː ˈɔːlweɪz dɪd raɪt baɪ hɪz ɛmˈplɔɪiːz/ vs. /hiː ədˈmɪtɪd hiː həd dʌn rɒŋ/ | "He treated his employees fairly" vs. "He acted immorally" | Opposition between fair treatment (do right by) and immoral action (do wrong). Different constructional patterns for related moral concepts. | constructional | [CORE] |
| Subject + MAKE + it + right | Subject + GO + wrong | /aɪl meɪk ɪt raɪt/ vs. /ˈɛvrɪθɪŋ wɛnt rɒŋ/ | "I'll correct the error" vs. "Everything failed" | Opposition between correction/restitution (make right) and failure/malfunction (go wrong). Different verbs mark different aspectual meanings. | constructional | [CORE] |
| Subject + PROVE + object + right | Subject + PROVE + object + wrong | (not provided) vs. /ðeɪ pruːvd hɪm rɒŋ/ | "demonstrate correctness" vs. "demonstrate incorrectness" | Resultative construction showing demonstration of correctness versus incorrectness. Symmetrical pattern with opposite adjectives. | constructional | [CORE] |
| Subject + EXPOSE + object + as fake | Subject + AUTHENTICATE + object | /ʃiː ɪkˈspəʊzd ɪt əz feɪk/ vs. /ðə læb ɔːˈθɛntɪkeɪtɪd ðə ˈpeɪntɪŋ/ | "She revealed its counterfeit nature" vs. "The lab verified the painting's authenticity" | Opposition between unmasking deception (expose as fake) and verifying authenticity (authenticate). Different constructional strategies for opposite meanings. | constructional | [CORE] |
| false positive | false negative | /fɔːls ˈpɒzətɪv/ vs. /fɔːls ˈnɛɡətɪv/ | "erroneous positive result" vs. "erroneous negative result" | Technical opposition in testing contexts marking different types of errors. Symmetrical construction with opposite second elements. | constructional | [CORE] |
| Subject + VALIDATE + object | Subject + INVALIDATE + object | (implied through derivational data) vs. (implied through derivational data) | "confirm validity" vs. "nullify validity" | Opposition between confirming and nullifying validity. Morphologically related causative verbs with opposite meanings. | lexical/morphological (in- prefix on causative verb) | [CORE] |
| Subject + CORRECT + object | Subject + FALSIFY + object | /hiː kəˈrɛktɪd ði ˈɛrər/ vs. (implied) | "He fixed the error" vs. "He made false/forged" | Opposition between making correct and making false. Different causative verbs for opposite truth-domain actions. | lexical (different causative verbs) | [CORE] |
| aptitude | ineptitude | /ˈæptɪtjuːd/ vs. /ɪˈnɛptɪtjuːd/ | "natural ability/fitness" vs. "lack of skill/appropriateness" | Opposition between natural capacity versus lack thereof. "Aptitude" has specialized to "natural ability" while "ineptitude" retains broader sense of unsuitability. | morphological (in- prefix negation, via Latin) | [CORE] |
| rightness | wrongness | /ˈraɪtnəs/ vs. /ˈrɒŋnəs/ | "quality of being right" vs. "quality of being wrong" | Opposition marking quality of correctness versus incorrectness. Less common than specific terms like "correctness" or "justice"; both forms somewhat marginal. | lexical (different roots + -ness) | [MARGINAL] |
| righteousness | unrighteousness | /ˈraɪtʃəsnəs/ vs. /ʌnˈraɪtʃəsnəs/ | "moral correctness/virtue" vs. "wickedness" | Opposition marking moral virtue versus wickedness. Primarily religious register; "unrighteousness" archaic. | morphological (un- prefix negation) | [MARGINAL] (religious/archaic register) |
| self-righteous | (humble/modest, implied) | /ˌsɛlfˈraɪtʃəs/ vs. (not provided) | "excessively confident in own righteousness" vs. (implied opposite) | "Self-righteous" marks excessive confidence in one's own moral correctness. No direct morphological opposite attested; semantic opposition with humility/modesty implied through usage in character criticism. | lexical (implied semantic opposition) | [UNCERTAIN] (no explicit opposite attested) |
| Subject + BE + not + adj₁ | Subject + BE + adj₂ (corrective) | /ɪts nɒt fɔːls dʒʌst ˌɪnkəmˈpliːt/ | "The characterization as false is rejected; incomplete is more accurate" | Metalinguistic negation pattern rejecting one truth-domain characterization in favor of another, typically more nuanced one. Common in argumentative discourse; second term typically weakens or reframes first. | constructional | [CORE] |
| realism | surrealism | /ˈrɪəlɪzəm/ vs. /səˈrɪəlɪzəm/ | "emphasis on reality" vs. "emphasis on dreamlike/unconscious imagery" | Opposition between artistic/philosophical movements. "Realism" emphasizes accurate representation; "surrealism" emphasizes dreamlike quality. Different prefix (sur- = over/beyond) marks transcendence of reality. | morphological (sur- prefix vs. base) | [CORE] |
| real | surreal | /rɪəl/ vs. /səˈrɪəl/ | "actually existing" vs. "dreamlike, bizarre" | Opposition between actual existence and dreamlike quality. "Surreal" originally from artistic movement (Surrealism), now common for strange experiences. | morphological (sur- prefix) | [CORE] |
| reality | virtual reality | /riˈæləti/ vs. /ˈvɜːtʃuəl riˈæləti/ | "actual existence" vs. "computer-simulated environment" | Opposition between actual physical existence and computer simulation. "Virtual reality" is fixed technical term denoting immersive simulation. | constructional (modifier + head) | [CORE] |
| reality | augmented reality | /riˈæləti/ vs. /ɔːɡˈmɛntɪd riˈæləti/ | "actual existence" vs. "digital overlay on physical world" | Opposition between unmediated physical reality and digitally enhanced perception. "Augmented reality" is fixed technical term in technology contexts. | constructional (modifier + head) | [CORE] |
| in real life | in virtual reality (implied) | /ɪn ˈrɪəl laɪf/ vs. (implied) | "in actual experience" vs. "in simulated environment" | Prepositional phrases contrasting actual lived experience with simulated or digital experience. "In real life" very common; opposition with virtual contexts implied. | constructional | [CORE] |
| in the real world | (in theory/academia, implied) | /ɪn ðə ˈrɪəl wɜːld/ vs. (not provided) | "in practical conditions" vs. "in theoretical/academic contexts" | Fixed expression contrasting practical reality with theory or idealization. Opposition with theoretical/academic contexts implied through usage patterns. | constructional | [CORE] |
| Subject + BE + too good to be true | (no direct opposite) | /ði ˈɒfər siːmz tuː ɡʊd tə bi truː/ | "The offer is suspiciously attractive, likely false" | Fixed expression marking skepticism about apparently favorable situations. Implies opposition between appearance (too good) and likely reality (not true). No direct constructional opposite attested. | constructional (fixed expression) | [CORE] |
| Nothing could be further from the truth | (no direct opposite) | /ˈnʌθɪŋ kʊd bi ˈfɜːðər frəm ðə truːθ/ | "completely false, entirely wrong" | Fixed expression emphatically denying a claim. Marks maximal distance from truth. No direct constructional opposite (maximal proximity to truth) attested. | constructional (fixed expression) | [CORE] |
| Two wrongs don't make a right | (no variant with opposite meaning) | /tuː rɒŋz dəʊnt meɪk ə raɪt/ | "revenge doesn't justify wrongdoing (proverb)" | Fixed proverbial expression about moral reciprocity. Opposes "wrong" (immoral action) to "right" (moral justification) within single construction. No variant with opposite meaning attested. | constructional (proverb) | [CORE] |
