| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
| CAUSATIVE (OR ABSENCE) | **प्रमाणीकरणम्** | *pramāṇīkaraṇam* | “authentication / validation” | [MARGINAL] | More natural as a technical or lexicalized expression for validation/authentication than as evidence for a broad productive causative construction. Restricted mainly to formal, scholastic, or procedural contexts. |
| ABSTRACT NOMINALIZATION | **सत्यता** | *satyatā* | “truth / truthfulness” | [CORE] | A standard abstract formation, especially common in scholastic, ethical, and analytical registers. Alternate constructions attested in P4a: **-tva** formations and inherited family abstracts such as **prāmāṇya**. |
| ABSTRACT NOMINALIZATION | **यथार्थता** | *yathārthatā* | “accuracy / reality / truth” | [CORE] | Natural where accuracy, factuality, or correspondence to reality is being discussed in abstract terms. Variation depends on stem choice, with semantic nuance differing across **satya-, yathārtha-, pramāṇa** families. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **सत्यवादिन्** | *satyavādin* | “truth-speaker / truthful person” | [CORE] | A regular and idiomatic characterization term, especially in ethical, didactic, and narrative description. Alternate constructions attested in P4a: **-vādī**, **-bhāṣin**, and contrasting falsehood compounds such as **असत्यवादिन्**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **असत्यवादिन्** | *asatyavādin* | “speaker of falsehood / liar” | [CORE] | Natural as a personal characterization for habitual false speech. Usage is especially common in moral and narrative contexts, with variation in suffix choice as noted in P4a. |
| VERBAL COMPLEMENT WITH “SPEAK/SAY” | **सत्यं वद** | *satyaṃ vada* | “Speak the truth.” | [CORE] | One of the most basic and idiomatic constructions in the domain, especially in direct speech, injunction, and ethical instruction. Alternate constructions attested in P4a: use with **brū- / bhāṣ-**, and falsehood expressions such as **मिथ्या वदति**. |
| VERBAL COMPLEMENT WITH “SPEAK/SAY” | **मिथ्या वदति** | *mithyā vadati* | “He/she speaks falsely.” | [CORE] | Very natural for false speaking, with adverbial falsity forms especially common. Variation includes object-like neuter forms (**satyaṃ, asatyaṃ, anṛtaṃ**) and adverbials (**mithyā, mṛṣā**). |
| GENITIVE OF TRUTH / VALIDITY EVALUATION | **वाक्यस्य सत्यता** | *vākyasya satyatā* | “the truth of a statement” | [CORE] | A standard analytical pattern for evaluating the truth or correctness of some item, especially in commentary and formal discussion. Alternate constructions attested in P4a: **ज्ञानस्य प्रामाण्यम्** and similar genitive + abstract noun combinations. |
| GENITIVE OF TRUTH / VALIDITY EVALUATION | **ज्ञानस्य प्रामाण्यम्** | *jñānasya prāmāṇyam* | “the validity of cognition” | [CORE] | Especially natural in philosophical and epistemological contexts. More restricted in register than everyday truth statements, but fully idiomatic within scholastic prose. |
| INSTRUMENTAL OF MEANS / GROUNDS | **प्रमाणेन सिद्धम्** | *pramāṇena siddham* | “established by valid proof” | [CORE] | A very natural evidential pattern, especially in argumentation, philosophy, and commentary. Alternate constructions attested in P4a: broader instrumental use with **satya**, as in **सत्येन जयते**. |
| INSTRUMENTAL OF MEANS / GROUNDS | **सत्येन जयते** | *satyena jayate* | “One triumphs by truth.” | [CORE] | Natural in moral, rhetorical, or gnomic contexts where truth is construed as a means or basis. Compared with **pramāṇena**, this use is broader and less narrowly evidential. |
| ADVERBIAL ESSENTIAL/FACTUAL STANCE | **यथार्थतः** | *yathārthataḥ* | “in reality / as a matter of fact” | [CORE] | Common in analytical or expository prose to mark factual or real standpoint. Alternate constructions attested in P4a: instrumental adverbials and related forms such as **तत्त्वतः**. |
| ADVERBIAL ESSENTIAL/FACTUAL STANCE | **तत्त्वतः** | *tattvataḥ* | “truly / in principle / in reality” | [CORE] | Especially natural in philosophical or interpretive discourse, where essential or principled standpoint is being marked. Usage varies semantically between “in reality” and “in principle” depending on context. |
