1. **सत्य**  
   **Usage:** *Tathya* is used for something factual or in accordance with the case. It often applies to statements, reports, or descriptions judged for factual correctness rather than moral truthfulness.  
   **Epistemic status:** [CORE]

7. **यथार्थ**  
   **Transliteration:** yathārtha  
   **Literal meaning / morphology:** *yathā* “as, according to” + *artha* “thing, meaning, object” = “according to the object/fact”  
   **Typical English translations:** real, true, accurate, exact, actual  

   **Usage:** *Yathārtha* is widely used for what corresponds to reality or to the actual state of affairs. It can describe accurate representation, correct understanding, or the true nature of something in philosophical and literary usage.  
   **Epistemic status:** [CORE]

8. **यथार्थता**  
   **Transliteration:** yathārthatā  
   **Literal meaning / morphology:** *yathārtha* + abstract suffix *-tā*  
   **Typical English translations:** reality, accuracy, truth, exactness  

   **Usage:** *Yathārthatā* denotes the quality of being accurate or corresponding to reality. It is especially useful in reflective or analytical contexts, such as discussing the correctness of cognition, description, or representation.  
   **Epistemic status:** [CORE]

9. **सम्यक्**  
   **Transliteration:** samyak  
   **Literal meaning / morphology:** adverbial/adjectival form meaning “properly, rightly, correctly”  
   **Typical English translations:** correctly, properly, rightly, true  

   **Usage:** *Samyak* is common in philosophical, ethical, and general evaluative contexts for what is correct or proper. It can qualify knowledge, judgment, conduct, or method, often with a sense of rightness rather than mere factual truth.  
   **Epistemic status:** [CORE]

10. **सम्यक्त्व**  
    **Transliteration:** samyaktva  
    **Literal meaning / morphology:** *samyak* + abstract suffix *-tva*  
    **Typical English translations:** correctness, rightness, properness  

    **Usage:** *Samyaktva* refers to the state or quality of being correct or proper. It is especially at home in philosophical and scholastic discourse, where one evaluates whether a view, cognition, or practice is right.  
    **Epistemic status:** [MARGINAL]

11. **युक्त**  
    **Transliteration:** yukta  
    **Literal meaning / morphology:** past participle of √*yuj* “to join, yoke”; hence “joined, fitting”  
    **Typical English translations:** proper, appropriate, suitable, reasonable, correct  

    **Usage:** *Yukta* often means “fitting” or “appropriate,” and by extension “reasonable” or “correct.” It is used in argument, ethics, and practical judgment to assess whether a statement, action, or interpretation is well-founded or suitable.  
    **Epistemic status:** [CORE]

12. **उचित**  
    **Transliteration:** ucita  
    **Literal meaning / morphology:** established adjective meaning “fitting, suitable”  
    **Typical English translations:** proper, appropriate, fitting, right  

    **Usage:** *Ucita* is a common evaluative term for what is appropriate or proper in a given context. It is often applied to conduct, social behavior, legal or moral judgment, and sometimes to wording or representation.  
    **Epistemic status:** [CORE]

13. **न्याय्य**  
    **Transliteration:** nyāyya  
    **Literal meaning / morphology:** from *nyāya* “rule, method, justice, propriety” + adjectival suffix  
    **Typical English translations:** just, fair, proper, legitimate  

    **Usage:** *Nyāyya* is used for what is justifiable, fair, or in accordance with rule or justice. It is especially relevant in legal, ethical, and argumentative contexts where one evaluates rightness or legitimacy.  
    **Epistemic status:** [CORE]

14. **धर्म्य**  
    **Transliteration:** dharmya  
    **Literal meaning / morphology:** from *dharma* + adjectival suffix  
    **Typical English translations:** righteous, lawful, proper, just  

    **Usage:** *Dharmya* describes what accords with *dharma*, and so can evaluate conduct, judgment, or social action as right or lawful. It is common in moral and juridical contexts, often with a stronger normative force than simple factual correctness.  
    **Epistemic status:** [CORE]

15. **प्रमाण**  
    **Transliteration:** pramāṇa  
    **Literal meaning / morphology:** from prefix *pra-* + √*mā* “to measure”; “measure, standard, means of valid knowledge”  
    **Typical English translations:** proof, authority, valid means of knowledge, standard  

    **Usage:** *Pramāṇa* is central in philosophical Sanskrit for a reliable means of knowing, and by extension for proof or authoritative warrant. It is used when evaluating whether a cognition, claim, or conclusion is epistemically valid or well-grounded.  
    **Epistemic status:** [CORE]

16. **प्रमा**  
    **Transliteration:** pramā  
    **Literal meaning / morphology:** from the same root family as *pramāṇa*; “correct cognition”  
    **Typical English translations:** valid cognition, true knowledge  

    **Usage:** *Pramā* refers specifically to cognition that is true or valid. It is a technical but well-attested philosophical term used to distinguish correct knowledge from error or doubt.  
    **Epistemic status:** [CORE]

17. **प्रमाणिक**  
    **Transliteration:** pramāṇika  
    **Literal meaning / morphology:** from *pramāṇa* + suffix *-ika*  
    **Typical English translations:** authoritative, authentic, valid, trustworthy  

    **Usage:** *Pramāṇika* is used for persons, texts, statements, or evidence regarded as authoritative or reliable. It can also carry the sense of authenticity or trustworthiness in learned and evaluative contexts.  
    **Epistemic status:** [CORE]

18. **प्रामाण्य**  
    **Transliteration:** prāmāṇya  
    **Literal meaning / morphology:** abstract noun from *pramāṇa/pramāṇika* family  
    **Typical English translations:** validity, authority, trustworthiness  

    **Usage:** *Prāmāṇya* denotes the validity or authoritative status of a cognition, source, or statement. It is especially common in epistemological discussion about whether knowledge-claims are genuinely valid.  
    **Epistemic status:** [CORE]

19. **अप्रमाद**  
    **Transliteration:** apramāda  
    **Literal meaning / morphology:** privative *a-* + *pramāda* “carelessness, error, heedlessness”  
    **Typical English translations:** carefulness, vigilance, non-negligence, reliability  

    **Usage:** *Apramāda* primarily refers to careful, vigilant conduct rather than truth in a narrow sense. Still, it is relevant where reliability and correctness of action or judgment are evaluated, especially in ethical and religious discourse.  
    **Epistemic status:** [MARGINAL]

20. **मिथ्या**  
    **Transliteration:** mithyā  
    **Literal meaning / morphology:** adverbial/adjectival form meaning “wrongly, falsely”  
    **Typical English translations:** false, wrongly, erroneous, unreal  

    **Usage:** *Mithyā* is a standard term for falsity, error, or unreality, depending on context. It is used for false statements, mistaken cognition, and in philosophy for what lacks true or ultimate reality.  
    **Epistemic status:** [CORE]

21. **मृषा**  
    **Transliteration:** mṛṣā  
    **Literal meaning / morphology:** adverbial/adjectival form meaning “falsely, in vain”  
    **Typical English translations:** false, untrue, vain, deceptive  

    **Usage:** *Mṛṣā* is an established word for falsity or untruth, often in literary and ethical contexts. It commonly appears in expressions concerning false speech, lying, or statements that do not accord with fact.  
    **Epistemic status:** [CORE]

22. **असत्य**  
    **Transliteration:** asatya  
    **Literal meaning / morphology:** privative *a-* + *satya*  
    **Typical English translations:** false, untrue, not genuine  

    **Usage:** *Asatya* straightforwardly denotes what is not true. It is used for falsehood in speech, lack of truthfulness in persons, and sometimes for what is unreal or deceptive.  
    **Epistemic status:** [CORE]

23. **अनृत**  
    **Transliteration:** anṛta  
    **Literal meaning / morphology:** privative *an-* + *ṛta*  
    **Typical English translations:** falsehood, untruth, wrong  

    **Usage:** *Anṛta* is an old and important term for falsehood, especially in Vedic and classical moral-religious contexts. It often contrasts with *ṛta* or *satya* and is used for lying, untruth, or violation of right order.  
    **Epistemic status:** [CORE]

24. **सदृश**  
    **Transliteration:** sadṛśa  
    **Literal meaning / morphology:** “similar, resembling, corresponding”  
    **Typical English translations:** similar, like, resembling, corresponding  

    **Usage:** *Sadṛśa* is used when evaluating resemblance or likeness between things, persons, depictions, or descriptions. It can apply in aesthetic, descriptive, and philosophical contexts where correspondence in appearance or character matters.  
    **Epistemic status:** [CORE]

25. **तादृश**  
    **Transliteration:** tādṛśa  
    **Literal meaning / morphology:** *tādṛśa* “of such a kind, such-like”  
    **Typical English translations:** such, of that kind, like that  

    **Usage:** *Tādṛśa* often functions demonstratively, but it can also characterize something as being of a certain kind or matching a described type. Its evaluative role is weaker and more context-dependent than that of clearer truth-related terms.  
    **Epistemic status:** [MARGINAL]

26. **स्वरूप**  
    **Transliteration:** svarūpa  
    **Literal meaning / morphology:** *sva* “own” + *rūpa* “form”  
    **Typical English translations:** own nature, true form, essential nature  

    **Usage:** *Svarūpa* is widely used for the intrinsic or essential nature of something. It is especially common in philosophical and theological contexts where one asks what something fundamentally is, as distinct from appearance or misdescription.  
    **Epistemic status:** [CORE]

27. **तत्त्व**  
    **Transliteration:** tattva  
    **Literal meaning / morphology:** from *tat* “that” + abstract suffix *-tva*, literally “that-ness”  
    **Typical English translations:** reality, principle, truth, essence  

    **Usage:** *Tattva* refers to a fundamental principle, true state, or essential reality. It is very common in philosophical discourse for the real nature of things and can also imply doctrinal truth or correct understanding.  
    **Epistemic status:** [CORE]

28. **भूतार्थ**  
    **Transliteration:** bhūtārtha  
    **Literal meaning / morphology:** *bhūta* “actual, real, become” + *artha* “matter, object, meaning”  
    **Typical English translations:** real fact, actual state of affairs, true meaning  

    **Usage:** *Bhūtārtha* denotes what is factual or actually the case. It is used for accurate statement, real purport, or genuine fact, especially where one contrasts reality with fiction, exaggeration, or error.  
    **Epistemic status:** [CORE]
