| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
| यथार्थ | यथार्थवाद | yathārthavāda | *yathārtha* + *vāda* “doctrine, discourse” | realism | Used in philosophy and literary theory for realism or a realist doctrine. It extends from correspondence-truth into doctrinal and aesthetic usage. | [MARGINAL] |
| यथार्थ | यथार्थवादी | yathārthavādī | *yathārtha* + *vādī* | realist; one who speaks realistically | Used for philosophers, critics, or speakers committed to realism or factuality. It is more doctrinal than basic truth-evaluative vocabulary. | [MARGINAL] |
| यथार्थता | (no common derivation identified) |  |  |  | No common further derivation identified that is clearly based on *yathārthatā* itself rather than on *yathārtha*. |  |
| सम्यक् | सम्यक्त्व | samyaktva | *samyak* + abstract suffix *-tva* | correctness; rightness; properness | Refers to the state or quality of being correct or proper. It is especially used in philosophical and scholastic discourse. | [MARGINAL] |
| सम्यक् | (no common derivation identified) |  |  |  | No additional common derivation identified. |  |
| सम्यक्त्व | (no common derivation identified) |  |  |  | No common further derivation identified. |  |
| युक्त | (no common derivation identified) |  |  |  | No common derivation identified within the present truth-relevant lexical set. |  |
| उचित | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| न्याय्य | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| धर्म्य | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| प्रमाण | प्रमा | pramā | same root family as *pramāṇa* | valid cognition; true knowledge | A technical philosophical term for cognition that is true or veridical. It is central in epistemological discussion. | [CORE] |
| प्रमाण | प्रमाता | pramātā | from *pramā* + agentive suffix | knower; valid cognizer | Used in epistemology for the subject who possesses valid cognition. It commonly appears in discussions of the structure of knowledge. | [CORE] |
| प्रमाण | प्रमेय | prameya | from same root family; “that which is to be known” | object of valid knowledge; knowable object | A standard epistemological term paired with *pramāṇa* and *pramātā*. It is common in scholastic enumeration and analysis. | [CORE] |
| प्रमाण | प्रमिति | pramiti | from same root family | valid cognition; ascertainment | Used in philosophical and logical texts for determinate valid knowledge or ascertainment. It is technical but well established. | [CORE] |
| प्रमाण | प्रमाणिक | pramāṇika | *pramāṇa* + suffix *-ika* | authoritative; authentic; trustworthy | Used for texts, persons, documents, testimony, or evidence regarded as reliable or authoritative. It is common in learned evaluative contexts. | [CORE] |
| प्रमाण | प्रामाण्य | prāmāṇya | abstract noun from *pramāṇa* family | validity; authority; trustworthiness | A major epistemological term for the validity-status of cognition or testimony. It is central in philosophical debate. | [CORE] |
| प्रमाण | अप्रामाण्य | aprāmāṇya | privative *a-* + *prāmāṇya* | invalidity; lack of authority | Used in epistemology and debate for the failure of a cognition, source, or argument to count as valid. It is a standard technical antonym. | [CORE] |
| प्रमाण | प्रमाणता | pramāṇatā | *pramāṇa* + *-tā* | validity; status as proof or standard | Used in scholastic and philosophical prose for the condition of being a valid means or standard. It is closely related in use to *prāmāṇya*. | [CORE] |
| प्रमाण | प्रमाणत्व | pramāṇatva | *pramāṇa* + *-tva* | the state of being a pramāṇa; evidentiary validity | Common in technical philosophical argument, especially when discussing whether something qualifies as a valid means of knowledge. It is strongly scholastic in tone. | [CORE] |
| प्रमाण | प्रमाणभूत | pramāṇabhūta | *pramāṇa* + *bhūta* “being, become” | authoritative; serving as valid authority | Used of persons, texts, or statements treated as authoritative. It is common in scholastic and religious writing. | [CORE] |
| प्रमाण | प्रमाणवचन | pramāṇavacana | *pramāṇa* + *vacana* | authoritative statement | Used for a statement accepted as evidentially or doctrinally authoritative. It is common in commentary and debate. | [CORE] |
| प्रमाण | प्रमाणशास्त्र | pramāṇaśāstra | *pramāṇa* + *śāstra* “treatise, science” | science of valid knowledge; epistemological treatise | Used for the branch of philosophy dealing with means of valid cognition. It is especially associated with Nyāya and Buddhist traditions. | [CORE] |
| प्रमाण | प्रमाणसिद्ध | pramāṇasiddha | *pramāṇa* + *siddha* “established” | established by valid proof | Used in argument and commentary for a claim shown by accepted evidence or valid means of knowledge. It is a standard scholastic evaluative term. | [CORE] |
| प्रमाण | प्रमाणसिद्धि | pramāṇasiddhi | *pramāṇa* + *siddhi* “establishment, proof” | establishment by proof; proof of validity | Used in technical philosophical contexts for demonstration through valid means. It also appears in titles and chapter headings. | [CORE] |
| प्रमाण | प्रमाणतः | pramāṇataḥ | adverbial form from *pramāṇa* | by proof; authoritatively; on valid grounds | A common scholastic adverb in argumentation, indicating that something is established by valid evidence. It functions regularly in technical prose. | [CORE] |
| प्रमाण | प्रमाणीकृत | pramāṇīkṛta | “made authoritative, authenticated” | authenticated; validated | Used for documents, readings, claims, or procedures that have been confirmed or regularized as authoritative. It is common in administrative, textual, and technical contexts. | [CORE] |
| प्रमाण | प्रमाणीकरण | pramāṇīkaraṇa | *pramāṇī* + *karaṇa* “making” | authentication; validation | Refers to the act of validating or certifying something. It is common in administrative, textual, and technical usage. | [CORE] |
| प्रमाण | प्रमाणपत्र | pramāṇapatra | *pramāṇa* + *patra* “document” | certificate; documentary proof | Common in administrative and legal usage for a certificate or official document serving as proof. This is more documentary than philosophical. | [CORE] |
| प्रमाण | अप्रमाण | apramāṇa | privative *a-* + *pramāṇa* | not authoritative; invalid as proof | Used in philosophical and legal-style reasoning for what does not count as valid evidence or standard. It is a direct negative counterpart to *pramāṇa*. | [CORE] |
| प्रमाण | अप्रमाणिक | apramāṇika | *a-* + *pramāṇika* | unauthoritative; unreliable; inauthentic | Used for texts, claims, witnesses, or documents lacking accepted authority or authenticity. It is common in evaluative and polemical contexts. | [CORE] |
| प्रमा | प्रमाता | pramātā | *pramā* + agentive suffix | knower; valid cognizer | Used in epistemology for the subject who possesses valid cognition. It is a standard member of the *pramā* conceptual set. | [CORE] |
| प्रमा | प्रमिति | pramiti | from same root family | valid cognition; ascertainment | Used for determinate valid knowledge in philosophical and logical texts. It is technical and well established. | [CORE] |
| प्रमा | (no common derivation identified) |  |  |  | No additional common derivation identified specifically from *pramā* beyond the broader family already listed. |  |
| प्रमाणिक | प्रामाण्य | prāmāṇya | abstract noun from *pramāṇa/pramāṇika* family | validity; authority; trustworthiness | Denotes the validity or authoritative status of a cognition, source, or statement. It is especially common in epistemological discussion. | [CORE] |
| प्रमाणिक | अप्रमाणिक | apramāṇika | privative *a-* + *pramāṇika* | unauthoritative; unreliable; inauthentic | Used for persons, texts, or evidence lacking authority or authenticity. It is a standard negative counterpart. | [CORE] |
| प्रामाण्य | अप्रामाण्य | aprāmāṇya | privative *a-* + *prāmāṇya* | invalidity; lack of authority | Used in epistemology for the absence or failure of validity. It is a standard antonym in philosophical debate. | [CORE] |
| अप्रमाद | (no common derivation identified) |  |  |  | No common derivation identified within the present lexical field. |  |
| मिथ्या | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| मृषा | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| असत्य | असत्यवचन | asatyavacana | *asatya* + *vacana* | false statement; untruthful speech | Used for false utterance or lying, especially in ethical and juridical contexts. It is a direct counterpart to *satyavacana*. | [CORE] |
| असत्य | असत्यवादिन् | asatyavādin | *asatya* + *vādin* | speaker of falsehood; liar | Used for one who speaks falsely. It appears in moral, narrative, and polemical contexts. | [CORE] |
| अनृत | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| सदृश | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| तादृश | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| स्वरूप | (no common derivation identified) |  |  |  | No common derivation identified within the present truth-relevant lexical set. |  |
| तत्त्व | (no common derivation identified) |  |  |  | No common derivation identified. |  |
| भूतार्थ | भूतार्थवचन | bhūtārthavacana | *bhūtārtha* + *vacana* | statement of fact; truthful statement | Used for speech that states what is actually the case. It appears in learned and ethical contexts. | [CORE] |
| भूतार्थ | भूतार्थक | bhūtārthaka | *bhūtārtha* + suffix *-ka* | denoting actual fact; factual | Used in grammatical, exegetical, and scholastic contexts for expressions conveying actual fact rather than figurative or secondary meaning. Its use is narrower and more technical than *bhūtārtha* itself. | [MARGINAL] |
