# F4 Construction Table — Tamil (ta)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| EMPHATIC/INTENSIFYING CONSTRUCTIONS | உண்மையிலேயே | uṇmaiyi-l-ē-y-ē | truly indeed, really and truly | Characteristic Tamil particle stacking for emphasis. -ஏ primary emphatic; -ய்/-வ் euphonic connectors. Very common in colloquial speech for strong emphasis or insistence. | [CORE] |
| EMPHATIC/INTENSIFYING CONSTRUCTIONS (variant) | நிஜமாகவே | nijamāka-v-ē | really indeed | Alternative emphatic construction with நிஜம். Both forms extremely frequent. Particle stacking productive across adverbial bases. | [CORE] |
| COMPARATIVE CONSTRUCTIONS | உண்மையை விட | uṇmaiyai viṭa | more than truth, beyond truth | Less productive with truth-domain vocabulary than with gradable adjectives. Used primarily in emphatic or hyperbolic contexts. Truth-domain terms treated as categorical rather than gradable. | [MARGINAL] |
| CONDITIONAL CONSTRUCTIONS | உண்மையாக இருந்தால் | uṇmaiyāka iruntāl | if (it is) true | Standard conditional formation with இருந்தால் (conditional of இருக்கு "be"). Common in reasoning and argumentation contexts. | [CORE] |
| CONDITIONAL CONSTRUCTIONS (colloquial) | உண்மைன்னா | uṇmaiṉṉā | if true | Colloquial shortened form. Extremely frequent in everyday speech. Represents phonological reduction of என்றால் (eṉṟāl) "if (one says)." | [CORE] |
| MODAL NECESSITY CONSTRUCTIONS | உண்மையாக இருக்க வேண்டும் | uṇmaiyāka irukka vēṇṭum | must be true, should be true | Standard modal construction for necessity/obligation. வேண்டும் expresses both deontic ("should") and epistemic ("must") modality. Common in instructions and requirements. | [CORE] |
| MODAL POSSIBILITY CONSTRUCTIONS | உண்மையாக இருக்கலாம் | uṇmaiyāka irukkalām | may be true, might be true | Standard possibility modal with -லாம் suffix. Common in epistemic contexts expressing uncertainty or conjecture. | [CORE] |
| MODAL POSSIBILITY CONSTRUCTIONS (negative) | சாத்தியம் இல்லை | cāttiyam illai | (it is) not possible, impossible | Negative existential with சாத்தியம் "possibility" extremely common for impossibility. More frequent than negative modal forms. | [CORE] |
| EVIDENTIAL/APPEARANCE CONSTRUCTIONS | உண்மை என்று தெரிகிறது | uṇmai eṉṟu terikiṟatu | it appears to be true | Standard evidential construction with தெரி "appear, be visible, seem." என்று quotative/complementizer introduces complement. Common in inferential contexts. | [CORE] |
| EVIDENTIAL/APPEARANCE CONSTRUCTIONS (negative) | தெளிவாக தெரியவில்லை | teḷivāka teriyavillai | (it) doesn't appear clearly, (it's) not clear | Negative evidential with தெரியவில்லை "doesn't appear." Very frequent for expressing lack of clarity or uncertainty. | [CORE] |
| CONTRASTIVE DISJUNCTION | உண்மையா பொய்யா | uṇmaiyā poyyā | true or false? truth or lie? | Common construction for presenting binary alternatives in questions. Both elements take -ஆ interrogative particle. Extremely frequent in everyday evaluative speech and decision-making. | [CORE] |
| CONTRASTIVE DISJUNCTION (variant) | சரியா தப்பா | cariyā tappā | right or wrong? | Alternative binary pair. Both constructions equally productive. Used in moral/evaluative and correctness contexts respectively. | [CORE] |
| RESULTATIVE VERB CONSTRUCTIONS | உண்மை வெளிப்படு | uṇmai veḷippaṭu | truth comes out, is revealed | Resultative construction emphasizing change of state or emergence. வெளிப்படு "emerge, be revealed" particularly common with உண்மை. Frequent in narrative contexts. | [CORE] |
| RESULTATIVE VERB CONSTRUCTIONS (variant) | பொய் வெளியாகு | poy veḷiyāku | lie becomes exposed | Alternative resultative verb. Both வெளிப்படு and வெளியாகு productive. These are intransitive; causative counterparts use -உத்து suffix. | [CORE] |
| IDIOMATIC METAPHORICAL CONSTRUCTIONS | உண்மை வெளிச்சத்திற்கு வரு | uṇmai veḷiccattiṟku varu | truth comes to light | Semi-fixed idiomatic expression. வெளிச்சம் "light" metaphor for revelation common across languages. Frequent in narrative and journalistic contexts. | [CORE] |
| IDIOMATIC METAPHORICAL CONSTRUCTIONS (variant) | பொய் பிடிபடு | poy piṭipaṭu | lie is caught, discovered | Treats lies as physical objects that can be captured. பிடிபடு "be caught" common with பொய். Frequent in narrative and investigative contexts. | [CORE] |
| IMPERATIVE CONSTRUCTIONS | உண்மையைச் சொல்லு | uṇmaiyaic collu | Tell the truth! | Imperative is unmarked bare stem. Common in interrogation contexts and direct commands. Very frequent in confrontational or instructional speech. | [CORE] |
| IMPERATIVE CONSTRUCTIONS (variant) | சரி பார் | cari pār | Check (it)! Verify! | Alternative imperative with பார் "see, look." Common in instructions and verification requests. Both constructions extremely frequent. | [CORE] |
| DEGREE/EXTENT MODIFICATION | முழு உண்மை | muḻu uṇmai | the whole truth, complete truth | Limited productivity. முழு "whole" and பகுதி "partial" are main degree modifiers attested. Truth generally treated as categorical rather than gradable, limiting degree modification. | [MARGINAL] |
| DEGREE/EXTENT MODIFICATION (variant) | பகுதி உண்மை | pakuti uṇmai | partial truth, part of the truth | Restricted to specific contexts (e.g., legal, philosophical). Not freely productive. Degree modification generally incompatible with categorical nature of truth-domain terms. | [MARGINAL] |
| ABSTRACT QUALITY NOMINALIZATION WITH -இன்மை | உண்மையின்மை | uṇmaiyiṉmai | absence of truth, untruth | Less productive than -அற்ற negative adjectival pattern. இன்மை "absence" formal/literary. More common to use negative adjectives or simple negation than this abstract nominalization. | [MARGINAL] |
| RECIPROCAL CONSTRUCTIONS | (none attested) | — | — | No fixed reciprocal constructions involving truth-domain terms identified. While grammatically possible using -கொள் reflexive/reciprocal suffix, no idiomatic or frequent expressions emerged from data. | [UNCERTAIN] |
| BENEFACTIVE CONSTRUCTIONS | (none attested) | — | — | No fixed idiomatic benefactive expressions with truth-domain terms identified. Grammatically possible using dative + -ஆக/-காக "for the sake of," but no attested idiomatic expressions. | [UNCERTAIN] |
| INSTRUMENTAL CONSTRUCTIONS | (none attested) | — | — | No fixed instrumental constructions identified. Instrumental case -ஆல் can be used grammatically but no idiomatic "by means of truth" type expressions emerged from data. | [UNCERTAIN] |
