# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
| 13 | Ikertzaileak datuak egiaztatu ditu | ikertzaileak datuak egiaztatu ditu | [CORE] | Standard transitive causative. Most natural expression for verification. |
| 13 | Frogek teoria egiaztatu dute | frogek teoria egiaztatu dute | [CORE] | Same construction. Unrestricted usage. |
| 14 | Norbaitek dokumentua faltsutu du | norbaitek dokumentua faltsutu du | [CORE] | Standard transitive for falsification. Natural for documents/objects. |
| 14 | Testigoak lekukotza gezurtatu zuen | testigoak lekukotza gezurtatu zuen | [CORE] | Alternative verb gezurtatu for statements. Both fully productive. |
| 15 | Irakasleak akatsa zuzendu du | irakasleak akatsa zuzendu du | [CORE] | Standard transitive causative. Most natural expression for correction. |
| 15 | Zuzenketa-programak testua zuzendu du | zuzenketa-programak testua zuzendu du | [CORE] | Same construction. Unrestricted across contexts. |
| 16 | Aldaketak plana okertu du | aldaketak plana okertu du | [MARGINAL] | Transitive okertu less common than intransitive. Periphrastic alternatives preferred. |
| 17 | Kazetariak egia agerian jarri du | kazetariak egia agerian jarri du | [CORE] | Standard transitive for exposure. Highly productive and common. |
| 17 | Ikerketek gezurra agerian jarri dute | ikerketek gezurra agerian jarri dute | [CORE] | Same construction. Unrestricted usage. |
| 18 | Gobernuak egia ezkutatu du | gobernuak egia ezkutatu du | [CORE] | Standard transitive for hiding. Natural expression. |
| 18 | Norbaitek informazioa ezkutuan jarri zuen | norbaitek informazioa ezkutuan jarri zuen | [CORE] | Alternative construction parallel to agerian jarri. Both productive. |
| 19 | Adituak datua ziurtatu du | adituak datua ziurtatu du | [CORE] | Standard transitive for confirmation. Most natural expression. |
| 19 | Frogek teoria ziurtatu dute | frogek teoria ziurtatu dute | [CORE] | Same construction. Unrestricted usage. |
| 20 | Aurkikuntzak teoria zalantzan jarri du | aurkikuntzak teoria zalantzan jarri du | [CORE] | Standard transitive for creating doubt. Highly productive. |
| 20 | Testigantzak haren zintzotasuna zalantzan jarri zuen | testigantzak haren zintzotasuna zalantzan jarri zuen | [CORE] | Same construction. Fully productive. |
| 21 | Arauak aukerak berdindu ditu | arauak aukerak berdindu ditu | [CORE] | Standard transitive for equalization. Common in social contexts. |
| 21 | Jokalariak puntuazioa berdindu du | jokalariak puntuazioa berdindu du | [CORE] | Same construction. Common in sports contexts. |
| 22 | Enpresak produktua merkatura egokitu du | enpresak produktua merkatura egokitu du | [CORE] | Standard transitive for adaptation. Natural expression. |
| 22 | Arauak egoerara egokitu ditugu | arauak egoerara egokitu ditugu | [CORE] | Same construction. Unrestricted usage. |
| 23 | Batzordeak baldintzak zehaztu ditu | batzordeak baldintzak zehaztu ditu | [CORE] | Standard transitive for specification. Common in formal contexts. |
| 23 | Kontratuan xehetasunak zehaztu ditugu | kontratuan xehetasunak zehaztu ditugu | [CORE] | Same construction. Fully productive. |
| 24 | Teoria egia izaten jarraitu du | teoria egia izaten jarraitu du | [CORE] | Standard continuative construction. Natural expression. |
| 24 | Haren esana egiazko izaten jarraitu zen | haren esana egiazko izaten jarraitu zen | [CORE] | Same construction. Unrestricted usage. |
| 24 | Teoria egia da oraindik | teoria egia da oraindik | [CORE] | Simpler alternative with oraindik (still). Equally natural. |
| 25 | Albistea gezurra izaten jarraitu du | albistea gezurra izaten jarraitu du | [CORE] | Standard continuative construction. Natural expression. |
| 25 | Aitorpena gezurrezko izaten jarraitu zen | aitorpena gezurrezko izaten jarraitu zen | [CORE] | Same construction. Unrestricted usage. |
| 25 | Albistea gezurra da oraindik | albistea gezurra da oraindik | [CORE] | Simpler alternative. Equally natural. |
| 26 | Erantzuna zuzena izaten jarraitu du | erantzuna zuzena izaten jarraitu du | [CORE] | Standard continuative construction. Natural expression. |
| 26 | Metodoa zuzen jarraitu du | metodoa zuzen jarraitu du | [CORE] | Alternative without izaten. Both patterns productive. |
| 26 | Erantzuna zuzena da oraindik | erantzuna zuzena da oraindik | [CORE] | Simpler alternative. Equally natural. |
| 27 | Kalkulua okerra izaten jarraitu du | kalkulua okerra izaten jarraitu du | [CORE] | Standard continuative construction. Natural expression. |
| 27 | Planteamendua oker jarraitu zen | planteamendua oker jarraitu zen | [CORE] | Alternative without izaten. Both patterns productive. |
| 27 | Kalkulua okerra da oraindik | kalkulua okerra da oraindik | [CORE] | Simpler alternative. Equally natural. |
| 28 | Egia ezkutuan jarraitu du | egia ezkutuan jarraitu du | [CORE] | Standard continuative with locative. Natural expression. |
| 28 | Informazioa ezkutatuta jarraitu zen | informazioa ezkutatuta jarraitu zen | [CORE] | Alternative with participle. Both patterns productive. |
| 28 | Egia ezkutuan dago oraindik | egia ezkutuan dago oraindik | [CORE] | Simpler alternative. Equally natural. |
| 29 | Egia agerian jarraitu du | egia agerian jarraitu du | [CORE] | Standard continuative with locative. Natural expression. |
| 29 | Gezurra agerikoa izaten jarraitu zen | gezurra agerikoa izaten jarraitu zen | [CORE] | Alternative with adjective. Both patterns productive. |
| 29 | Egia agerian dago oraindik | egia agerian dago oraindik | [CORE] | Simpler alternative. Equally natural. |
| 30 | Datua ziurra izaten jarraitu du | datua ziurra izaten jarraitu du | [CORE] | Standard continuative construction. Natural expression. |
| 30 | Informazioa ziur jarraitu zen | informazioa ziur jarraitu zen | [CORE] | Alternative without izaten. Both patterns productive. |
| 30 | Datua ziurra da oraindik | datua ziurra da oraindik | [CORE] | Simpler alternative. Equally natural. |
| 31 | Teoria zalantzan jarraitu du | teoria zalantzan jarraitu du | [CORE] | Standard continuative with locative. Natural expression. |
| 31 | Haren zintzotasuna zalantzagarria izaten jarraitu zen | haren zintzotasuna zalantzagarria izaten jarraitu zen | [CORE] | Alternative with adjective. Both patterns productive. |
| 31 | Teoria zalantzan dago oraindik | teoria zalantzan dago oraindik | [CORE] | Simpler alternative. Equally natural. |
| 32 | Teoria egia izateari utzi dio | teoria egia izateari utzi dio | [CORE] | Standard cessative construction. Natural expression. |
| 32 | Haren esana egiazko izateari utzi zion | haren esana egiazko izateari utzi zion | [CORE] | Same construction. Unrestricted usage. |
| 32 | Teoria ez da gehiago egia | teoria ez da gehiago egia | [CORE] | Simpler alternative with gehiago (no longer). Equally natural. |
| 33 | Albistea gezurra izateari utzi dio | albistea gezurra izateari utzi dio | [CORE] | Standard cessative construction. Natural expression. |
| 33 | Albistea ez da gehiago gezurra | albistea ez da gehiago gezurra | [CORE] | Simpler alternative. Equally natural. |
| 34 | Gobernuak egiaren egiaztatzea eragotzi du | gobernuak egiaren egiaztatzea eragotzi du | [CORE] | Standard preventive construction. Natural expression. |
| 34 | Zentsura-k informazioaren egiaztatzea galarazi zuen | zentsura-k informazioaren egiaztatzea galarazi zuen | [CORE] | Alternative verb galarazi. Both fully productive. |
| 35 | Epaileek frogen egiaztatzea baimendu dute | epaileek frogen egiaztatzea baimendu dute | [CORE] | Standard permissive construction. Natural expression. |
| 35 | Agintariek datuen egiaztatzea onartu zuten | agintariek datuen egiaztatzea onartu zuten | [CORE] | Alternative verb onartu. Both fully productive. |
| 36 | Teknologiak datuen egiaztatzea erraztu du | teknologiak datuen egiaztatzea erraztu du | [CORE] | Standard facilitative construction. Natural expression. |
| 36 | Lekukoak egiaren egiaztatzea lagundu zuen | lekukoak egiaren egiaztatzea lagundu zuen | [CORE] | Alternative verb lagundu. Both fully productive. |
| 37 | Ezkutatzeak egiaren egiaztatzea zaildu du | ezkutatzeak egiaren egiaztatzea zaildu du | [CORE] | Standard hindering construction. Natural expression. |
| 37 | Trabak datuen egiaztatzea oztopatu dute | trabak datuen egiaztatzea oztopatu dute | [CORE] | Alternative verb oztopatu. Both fully productive. |
| 38 | Teoria pixkanaka egiaztatu da | teoria pixkanaka egiaztatu da | [CORE] | Standard gradual construction with adverb. Natural expression. |
| 38 | Susmo hura poliki-poliki egia bihurtu zen | susmo hura poliki-poliki egia bihurtu zen | [CORE] | Alternative adverb poliki-poliki. Both patterns productive. |
| 39 | Teoria bat-batean egiaztatu zen | teoria bat-batean egiaztatu zen | [CORE] | Standard sudden construction with adverb. Natural expression. |
| 39 | Albistea ustekabean egia bihurtu zen | albistea ustekabean egia bihurtu zen | [CORE] | Alternative adverb ustekabean. Both patterns productive. |
| 40 | Teoria neurri batean egiaztatu da | teoria neurri batean egiaztatu da | [CORE] | Standard partial construction. Natural expression. |
| 40 | Haren esana zati batean egia da | haren esana zati batean egia da | [CORE] | Alternative expression zati batean. Both patterns productive. |
