1. **உண்மை**  
   **Literal meaning / breakdown:** falsehood, lie, unreality  
   **Typical English translations:** false, lie, falsehood, fake  

   **Usage:** This is the basic Tamil word for falsehood or falsity. It is used for lying, false statements, deceptive appearances, and things judged not genuine or not corresponding to reality.  
   **Epistemic status:** [CORE]

8. **பொய்யான**  
   **Transliteration:** poyyāṉa  
   **Literal meaning / breakdown:** **பொய்** “falsehood” + adjectival **-ஆன**  
   **Typical English translations:** false, fake, untrue  

   **Usage:** This adjective is used for false claims, fake appearances, deceptive representations, or incorrect assertions. It is common in everyday speech and writing when explicitly rejecting the truth or genuineness of something.  
   **Epistemic status:** [CORE]

9. **சரி**  
   **Transliteration:** cari  
   **Literal meaning / breakdown:** conventional lexical item; often “right, proper, correct”  
   **Typical English translations:** correct, right, okay, proper  

   **Usage:** This is one of the most frequent colloquial and general words for correctness or rightness. It is used to evaluate answers, actions, procedures, and judgments, and can also mean “all right” in conversational use.  
   **Epistemic status:** [CORE]

10. **சரியான**  
    **Transliteration:** cariyāṉa  
    **Literal meaning / breakdown:** **சரி** “correct, proper” + adjectival **-ஆன**  
    **Typical English translations:** correct, proper, accurate, right  

    **Usage:** This adjective is widely used for correct answers, accurate information, proper method, or appropriate conduct. It applies across practical, moral, educational, and administrative contexts.  
    **Epistemic status:** [CORE]

11. **சரித்தன்மை**  
    **Transliteration:** carittaṉmai  
    **Literal meaning / breakdown:** **சரி** “correct” + **தன்மை** “quality, nature”  
    **Typical English translations:** correctness, validity, propriety  

    **Usage:** This noun refers to the quality of being correct or proper. It is more formal than சரி and appears in evaluative discussion of reasoning, procedure, interpretation, or conduct.  
    **Epistemic status:** [MARGINAL]

12. **தவறு**  
    **Transliteration:** tavaṟu  
    **Literal meaning / breakdown:** error, fault, wrong  
    **Typical English translations:** mistake, error, wrong, fault  

    **Usage:** This is a very common word for error or wrongness, used for factual mistakes, moral faults, and procedural errors. It can evaluate both statements and conduct, depending on context.  
    **Epistemic status:** [CORE]

13. **தவறான**  
    **Transliteration:** tavaṟāṉa  
    **Literal meaning / breakdown:** **தவறு** “error, wrong” + adjectival **-ஆன**  
    **Typical English translations:** wrong, incorrect, mistaken, erroneous  

    **Usage:** This adjective is used for incorrect information, mistaken assumptions, wrong decisions, or improper actions. It is common in education, media, administration, and ordinary conversation.  
    **Epistemic status:** [CORE]

14. **நிஜம்**  
    **Transliteration:** nijam  
    **Literal meaning / breakdown:** loanword of Indo-Aryan origin meaning “real, actual”  
    **Typical English translations:** real, true, actual  

    **Usage:** This word is common in spoken and written Tamil, especially in colloquial and mixed-register usage, for stressing that something is really the case. It often contrasts with imagination, rumor, exaggeration, or pretense.  
    **Epistemic status:** [CORE]

15. **நிஜமான**  
    **Transliteration:** nijamāṉa  
    **Literal meaning / breakdown:** **நிஜம்** “real, actual” + adjectival **-ஆன**  
    **Typical English translations:** real, genuine, actual  

    **Usage:** This adjective is used for real events, genuine articles, or actual conditions as opposed to fake, fictional, or merely apparent ones. It is especially common in everyday speech and popular media language.  
    **Epistemic status:** [CORE]

16. **உறுதி**  
    **Transliteration:** uṟuti  
    **Literal meaning / breakdown:** firmness, certainty, assurance  
    **Typical English translations:** certainty, assurance, confirmation, firmness  

    **Usage:** This word is used when something is established firmly or confirmed, including facts, decisions, and commitments. In evaluative contexts it often concerns reliability, certainty, or whether something has been verified.  
    **Epistemic status:** [CORE]

17. **உறுதியான**  
    **Transliteration:** uṟudiyāṉa  
    **Literal meaning / breakdown:** **உறுதி** “certainty, firmness” + adjectival **-ஆன**  
    **Typical English translations:** certain, firm, reliable, definite  

    **Usage:** This adjective can describe reliable evidence, definite information, firm conviction, or stable character. It is used both for epistemic certainty and for dependable or steady qualities in persons and things.  
    **Epistemic status:** [CORE]

18. **நம்பகமான**  
    **Transliteration:** nampakamāṉa  
    **Literal meaning / breakdown:** from **நம்பு** “to trust, believe” + **-கம் / -க** nominal formation + adjectival **-ஆன**  
    **Typical English translations:** reliable, trustworthy, credible  

    **Usage:** This is a standard modern adjective for evaluating whether a source, person, report, or system can be trusted. It is common in journalism, administration, technology, and everyday judgments about dependability.  
    **Epistemic status:** [CORE]

19. **நம்பகத்தன்மை**  
    **Transliteration:** nampakattaṉmai  
    **Literal meaning / breakdown:** **நம்பக** “trustworthy, reliable” + **தன்மை** “quality”  
    **Typical English translations:** reliability, trustworthiness, credibility  

    **Usage:** This noun is used in formal contexts to assess the reliability of testimony, institutions, data, devices, or persons. It is especially common in bureaucratic, academic, and media-related evaluation.  
    **Epistemic status:** [CORE]

20. **ஒத்த**  
    **Transliteration:** otta  
    **Literal meaning / breakdown:** from verb **ஒத்து** “to match, agree, correspond”  
    **Typical English translations:** similar, matching, corresponding, fitting  

    **Usage:** This adjective is used when one thing resembles or corresponds to another in form, content, or pattern. It can be used for likeness in appearance, agreement between accounts, or conformity to a model.  
    **Epistemic status:** [CORE]

21. **ஒற்றுமை**  
    **Transliteration:** oṟṟumai  
    **Literal meaning / breakdown:** from **ஒற்று / ஒத்து** “to agree, match” + **-மை** abstract suffix  
    **Typical English translations:** similarity, agreement, correspondence, consistency  

    **Usage:** This noun refers to likeness, agreement, or consistency between things. It is used in comparing statements, texts, representations, and observed facts, as well as in broader senses of unity.  
    **Epistemic status:** [CORE]

22. **போலி**  
    **Transliteration:** pōli  
    **Literal meaning / breakdown:** fake, imitation, counterfeit  
    **Typical English translations:** fake, counterfeit, bogus, sham  

    **Usage:** This word is used for objects, documents, identities, and sometimes claims that are not genuine. It is common in legal, commercial, and everyday contexts involving forgery, imitation, or deceptive representation.  
    **Epistemic status:** [CORE]

23. **அசல்**  
    **Transliteration:** asal  
    **Literal meaning / breakdown:** original, genuine  
    **Typical English translations:** original, authentic, genuine  

    **Usage:** This word is widely used for an original or authentic item as opposed to a copy or fake. It is especially common in commerce, media, and everyday talk about documents, products, artworks, and source versions.  
    **Epistemic status:** [CORE]

24. **மூலம்**  
    **Transliteration:** mūlam  
    **Literal meaning / breakdown:** source, origin, root  
    **Typical English translations:** source, original, basis, origin  

    **Usage:** In evaluative contexts this word can refer to the original source or underlying basis of a text, claim, or object. It is often relevant when judging authenticity, derivation, or whether something reflects its source accurately.  
    **Epistemic status:** [CORE]

25. **நீதி**  
    **Transliteration:** nīti  
    **Literal meaning / breakdown:** justice, rightness, moral order  
    **Typical English translations:** justice, fairness, rightness  

    **Usage:** This is a major term for moral and legal rightness. It is used when evaluating actions, judgments, laws, and social arrangements in terms of what is just or ethically proper.  
    **Epistemic status:** [CORE]

26. **நியாயம்**  
    **Transliteration:** niyāyam  
    **Literal meaning / breakdown:** justice, reasonableness, fairness, logical propriety  
    **Typical English translations:** fairness, justice, reason, justification  

    **Usage:** This word is very common in evaluating whether something is fair, reasonable, or justified. It can apply to arguments, decisions, prices, punishments, and interpersonal conduct, bridging logical and moral assessment.  
    **Epistemic status:** [CORE]

27. **தர்மம்**  
    **Transliteration:** tarmam  
    **Literal meaning / breakdown:** dharma; moral duty, righteousness, proper order  
    **Typical English translations:** righteousness, duty, moral law, dharma  

    **Usage:** This term is used in religious, ethical, and cultural discourse for what is morally right or proper according to duty or righteous order. It is less neutral than சரி or நியாயம் and often carries traditional or philosophical weight.  
    **Epistemic status:** [CORE]

28. **தத்துவம்**  
    **Transliteration:** tattuvam  
    **Literal meaning / breakdown:** principle, essential nature, philosophical truth  
    **Typical English translations:** principle, essence, philosophy, fundamental nature  

    **Usage:** This word is used in philosophy and religion for the essential principle or fundamental nature of something. In broader usage it can also refer to an underlying doctrine or core truth behind appearances.  
    **Epistemic status:** [CORE]

29. **சாரம்**  
    **Transliteration:** cāram  
    **Literal meaning / breakdown:** essence, extract, core substance  
    **Typical English translations:** essence, substance, gist  

    **Usage:** This word refers to the essential substance or core content of something. It is used when distinguishing what is fundamental from what is superficial, including in literary, philosophical, and argumentative contexts.  
    **Epistemic status:** [CORE]

30. **உருவகம்**  
    **Transliteration:** uruvakam  
    **Literal meaning / breakdown:** figurative representation, metaphorical form  
    **Typical English translations:** metaphor, figurative representation  

    **Usage:** This term belongs mainly to literary and rhetorical evaluation, where one may assess how a representation resembles or stands for something else. It is relevant when discussing likeness, representation, and the relation between appearance and intended meaning.  
    **Epistemic status:** [MARGINAL]
