| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
| 12 | செய்தியை உறுதி செய். | ceytiyai uṟuti cey. | confirm / establish as certain; epistemic/procedural, not ontological | These constructions do not literally mean “make true.” Rather, they mean: confirm; establish firmly; verify as certain. So the causation here is epistemic/procedural, not ontological. |
| 13 | தகவலை உறுதிப்படுத்து. | takavalai uṟuti paṭuttu. | confirm / establish as certain; epistemic/procedural, not ontological | These constructions do not literally mean “make true.” Rather, they mean: confirm; establish firmly; verify as certain. So the causation here is epistemic/procedural, not ontological. |
| 14 | அவர்கள் தகவலை உறுதி செய்தார்கள். | avarkaḷ takavalai uṟuti ceytārkaḷ. | confirm / establish as certain; epistemic/procedural, not ontological | These constructions do not literally mean “make true.” Rather, they mean: confirm; establish firmly; verify as certain. So the causation here is epistemic/procedural, not ontological. |
| 15 | உண்மை வெளிவருகிறது. | uṇmai veḷivarukiṟatu. | clearly given; no single dedicated causative expression is strongly established for “make the truth come out” | The context clearly gives: **உண்மை வெளிவரு**, **உண்மை தெரியவரு**. But a directly attested causative counterpart like “bring out the truth” is **not clearly provided in the context**. |
| 16 | உண்மையை மறை. | uṇmaiyai maṟai. | dynamic expression involving truth vocabulary; encodes active concealment of truth | This is a dynamic expression involving truth vocabulary, but in the opposite direction from revelation. It encodes active concealment of truth. It contrasts with: **உண்மை வெளிவரு**, **உண்மை தெரியவரு**, **உண்மையை ஒப்பு கொள்**, **உண்மையை ஏற்று கொள்**. |
| 17 | அவர்கள் உண்மையை மறைத்தார்கள். | avarkaḷ uṇmaiyai maṟaittārkaḷ. | dynamic expression involving truth vocabulary; encodes active concealment of truth | This is a dynamic expression involving truth vocabulary, but in the opposite direction from revelation. It encodes active concealment of truth. It contrasts with: **உண்மை வெளிவரு**, **உண்மை தெரியவரு**, **உண்மையை ஒப்பு கொள்**, **உண்மையை ஏற்று கொள்**. |
| 18 | உண்மையை மறைக்காதே. | uṇmaiyai maṟaikkātē. | dynamic expression involving truth vocabulary; encodes active concealment of truth | This is a dynamic expression involving truth vocabulary, but in the opposite direction from revelation. It encodes active concealment of truth. It contrasts with: **உண்மை வெளிவரு**, **உண்மை தெரியவரு**, **உண்மையை ஒப்பு கொள்**, **உண்மையை ஏற்று கொள்**. |
| 19 | அவன் உண்மையை ஒப்பு கொண்டான். | avaṉ uṇmaiyai oppu koṇṭāṉ. | encode a change in acknowledgment/acceptance/knowledge state, not truth itself changing | These do not mean that truth itself changes. Instead, they encode a change in: acknowledgment; acceptance; knowledge state. So Tamil often handles “truth dynamics” through changes in access to truth, not only changes in truth-status itself. |
| 20 | அவள் உண்மையை ஏற்று கொண்டாள். | avaḷ uṇmaiyai ēṟṟu koṇṭāḷ. | encode a change in acknowledgment/acceptance/knowledge state, not truth itself changing | These do not mean that truth itself changes. Instead, they encode a change in: acknowledgment; acceptance; knowledge state. So Tamil often handles “truth dynamics” through changes in access to truth, not only changes in truth-status itself. |
| 21 | அவர்கள் உண்மை தெரிந்து கொண்டார்கள். | avarkaḷ uṇmai terintu koṇṭārkaḷ. | encode a change in acknowledgment/acceptance/knowledge state, not truth itself changing | These do not mean that truth itself changes. Instead, they encode a change in: acknowledgment; acceptance; knowledge state. So Tamil often handles “truth dynamics” through changes in access to truth, not only changes in truth-status itself. |
| 22 | அது நம்பகத்தன்மையை இழந்தது. | atu nampakattaṉmaiyai iḻantatu. | clearest dynamic expression here is loss | The clearest dynamic expression here is loss: **நம்பகத்தன்மையை இழக்கு** = “lose credibility”. A direct common expression in the context for “cause X to become reliable” is **not clearly identified**. |
| 23 | நம்பகமான ஆதாரம் வேண்டும். | nampakamāṉa ātāram vēṇṭum. | evaluative establishment; dynamic positive causation not equally clear in the provided material | The clearest dynamic expression here is loss: **நம்பகத்தன்மையை இழக்கு** = “lose credibility”. A direct common expression in the context for “cause X to become reliable” is **not clearly identified**. So: dynamic negative change is clearly attested; dynamic positive causation is not equally clear in the provided material. |
| 24 | அது மூலத்துடன் ஒத்துப் போகிறது. | atu mūlattuṭaṉ ottup pōkiṟatu. | important in the truth-related domain; encode dynamic or relational fit rather than truth in a narrow sense | These expressions encode dynamic or relational fit rather than truth in a narrow sense. Still, they are important in the truth-related domain because they describe: matching; correspondence; consistency with a source or account. |
| 25 | இது அதுடன் ஒத்துவரவில்லை. | itu atuṭaṉ ottuvaravillai. | important in the truth-related domain; encode dynamic or relational fit rather than truth in a narrow sense | These expressions encode dynamic or relational fit rather than truth in a narrow sense. Still, they are important in the truth-related domain because they describe: matching; correspondence; consistency with a source or account. |
| 26 | இவற்றுக்கு ஒற்றுமை இல்லை. | ivaṟṟukku oṟṟumai illai. | important in the truth-related domain; encode dynamic or relational fit rather than truth in a narrow sense | These expressions encode dynamic or relational fit rather than truth in a narrow sense. Still, they are important in the truth-related domain because they describe: matching; correspondence; consistency with a source or account. |
| 27 | அவன் மெய்யுணர்வு அடைந்தான். | avaṉ meyyuṇarvu aṭaintāṉ. | Tamil often encodes truth dynamics as attainment/realization/insight/grasping essential meaning | With **மெய்**-based vocabulary, Tamil often encodes truth dynamics as: attainment; realization; insight; grasping essential meaning. This is distinct from everyday factual truth expressions built on **உண்மை**. |
| 28 | அவர்கள் மெய்ஞ்ஞானம் பெற்றார்கள். | avarkaḷ meyññāṉam peṟṟārkaḷ. | Tamil often encodes truth dynamics as attainment/realization/insight/grasping essential meaning | With **மெய்**-based vocabulary, Tamil often encodes truth dynamics as: attainment; realization; insight; grasping essential meaning. This is distinct from everyday factual truth expressions built on **உண்மை**. |
| 29 | மெய்ப்பொருள் காண வேண்டும். | meypporuḷ kāṇa vēṇṭum. | Tamil often encodes truth dynamics as attainment/realization/insight/grasping essential meaning | With **மெய்**-based vocabulary, Tamil often encodes truth dynamics as: attainment; realization; insight; grasping essential meaning. This is distinct from everyday factual truth expressions built on **உண்மை**. |
| 30 | — | — | No common expression clearly identified | From the provided context, Tamil does **not** show a strongly established common expression meaning exactly: “make X true”. Instead, the language in the dataset prefers more specific constructions such as: **உறுதி செய் / உறுதிப்படுத்து** = confirm, establish as certain; **சரிசெய்** = make correct / fix; **உண்மை வெளிவரு** = truth comes out; **உண்மை தெரியவரு** = truth becomes known. |
| 31 | — | — | No common expression clearly identified | Although **தவறு** and **தவறான** are well attested for error and wrongness, the context does **not** clearly provide a common dynamic construction parallel to: **சரி ஆகு**; **பொய்யாகி போ**. Instead, wrongness is more often expressed through: static evaluation: **தவறு**, **தவறான**; action/fault expressions: **தவறு செய்**, **தவறு பண்ணு**; negative correctness: **சரியில்லை**, **சரி வரவில்லை**. |
