# CLCA Protocol v3.4 — F4 Construction Table
# Language: English (en)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| truth-domain root + -er/-or | a liar | a liar | "one who habitually tells falsehoods" | Limited productivity in truth domain. "Liar" is the most common and well-established form. | [CORE] |
| Compound forms | a truth-teller | a truth-teller | "one who habitually tells the truth" | Productive but less frequent than simple forms. Used when no established lexical item exists. | [MARGINAL] |
| Degree adverb + truth-domain adjective | completely true | completely true | "true to the fullest degree" | Fully productive with gradable truth-domain adjectives. Some adjectives resist gradation due to absolute semantics (true, false). | [CORE] |
| Comparative/superlative forms | more accurate than the previous version | more accurate than the previous version | "having greater accuracy compared to the previous version" | Analytic comparison (more/most) for polysyllabic adjectives; synthetic (-er/-est) for monosyllabic. Some truth-domain adjectives resist comparison. | [CORE] |
| Epistemic verb + truth-domain predication | The claim seems true. | The claim seems true. | "Based on available evidence, the claim appears to correspond to reality." | Raising verbs (seem, appear, prove) allow epistemic hedging or strengthening. Fully productive with all truth-domain adjectives. | [CORE] |
| Modal auxiliary + BE + truth-domain adjective | This must be authentic. | This must be authentic. | "Based on strong evidence, I conclude this is authentic." | Modal auxiliaries express varying degrees of certainty. Productive across all truth-domain adjectives without restriction. | [CORE] |
| Verb + Object + truth-domain adjective | They proved the theory correct. | They proved the theory correct. | "They demonstrated that the theory was correct." | Used with verbs of proving, finding, considering, judging. The adjective describes the resultant state of the object. | [CORE] |
| Verb + Object + truth-domain adjective | I consider his account reliable. | I consider his account reliable. | "I judge his account to be reliable." | Same construction with evaluative verbs. Emphasizes speaker's judgment rather than objective demonstration. | [CORE] |
| X + BE + more/less + adjective + than + Y | This account is more accurate than that one. | This account is more accurate than that one. | "This account has greater accuracy compared to that one." | Standard analytic comparison for polysyllabic adjectives. Fully productive with gradable truth-domain adjectives. | [CORE] |
| X + BE + as + adjective + as + Y | His testimony is as truthful as hers. | His testimony is as truthful as hers. | "His testimony has equal truthfulness to hers." | Equality comparison construction. Productive with all gradable truth-domain adjectives. | [CORE] |
| X + BE + adjective-er + than + Y | — | — | — | Synthetic comparison rare with truth-domain adjectives. Forms like "truer," "falser" are attested but uncommon due to absolute semantics. | [MARGINAL] |
| BE + Subject + truth-domain adjective? | Is this statement true? | Is this statement true? | "Does this statement correspond to reality?" | Standard yes/no question formation through subject-auxiliary inversion. Fully productive without restrictions. | [CORE] |
| WH-word + BE + Subject + truth-domain adjective? | How accurate is this measurement? | How accurate is this measurement? | "To what degree does this measurement correspond to the actual value?" | Information questions with wh-words in initial position. Particularly common with "how" for degree questions with gradable adjectives. | [CORE] |
| It + BE + truth-domain adjective + that-clause | It is true that he left early. | It is true that he left early. | "The proposition 'he left early' corresponds to reality." | Extremely common construction for focusing on truth-domain evaluation of propositions. Used across all registers. | [CORE] |
| What + BE + truth-domain adjective + BE + clause | What is true is that we made mistakes. | What is true is that we made mistakes. | "The true proposition is that we made mistakes." | Less common than it-clefts but fully grammatical. Emphasizes the content of the true/false proposition rather than the evaluation itself. | [MARGINAL] |
| Verb particle combinations | The story turned out to be false. | The story turned out to be false. | "The story was discovered/proved to be false." | Idiomatic phrasal verbs expressing truth-domain concepts. More colloquial than single-word equivalents. Common in spoken English. | [CORE] |
| Verb particle combinations | His alibi didn't hold up. | His alibi didn't hold up. | "His alibi was not validated/proved false." | Same construction type. Highly productive in informal registers. Particles contribute aspectual or directional meaning. | [CORE] |
| Subject + BE + truth-domain noun | That's the truth. | That's the truth. | "That corresponds to reality." | Common construction using nouns rather than adjectives. Requires appropriate articles/determiners with count nouns. | [CORE] |
| Subject + BE + a/the + truth-domain noun | His statement is a lie. | His statement is a lie. | "His statement is a falsehood." | Same construction with count nouns requiring articles. Some concepts more naturally expressed as nouns than adjectives. | [CORE] |
| Truth-domain adverb + clause/sentence | Honestly, I don't know. | Honestly, I don't know. | "Speaking honestly, I don't know." | Sentence-initial adverbs function as discourse markers indicating speaker stance. Common in spoken and informal written English. | [CORE] |
| Subject + truth-domain adverb + verb | She answered truthfully. | She answered truthfully. | "She answered in a truthful manner." | Manner adverbs modifying verbs directly. Standard adverbial modification without restrictions. | [CORE] |
| Subject + come true | Her dreams finally came true. | Her dreams finally came true. | "Her dreams were realized, became reality" | Describes wishes, predictions, or dreams being actualized in reality. Common in narrative and everyday speech about hopes and expectations. | [CORE] |
| Subject + hold true | This principle holds true across all cases. | This principle holds true across all cases. | "This principle remains valid, continues to apply, is accurate" | Evaluates statements, principles, or patterns as remaining accurate across contexts or time. Used in analytical and explanatory discourse. | [CORE] |
| Subject + ring true | His explanation rings true. | His explanation rings true. | "His explanation seems genuine, sounds believable, feels authentic" | Evaluates statements or accounts as seeming genuine or believable based on intuitive assessment. Common in evaluative discourse about credibility. | [CORE] |
| true to form | True to form, he arrived late. | True to form, he arrived late. | "as expected, characteristically, predictably" | Evaluates behavior or events as consistent with established patterns or character. Common in narrative and descriptive contexts. | [CORE] |
| true to life | The film is remarkably true to life. | The film is remarkably true to life. | "realistic, lifelike, authentic" | Evaluates artistic representations, descriptions, or portrayals as accurately reflecting reality. Used in aesthetic and literary criticism. | [CORE] |
| true to one's word | She was true to her word and returned the money. | She was true to her word and returned the money. | "keeping promises, reliable, trustworthy" | Evaluates persons as fulfilling their promises or commitments. Used in moral and practical evaluation of character. | [CORE] |
| true to oneself | He remained true to himself despite the pressure. | He remained true to himself despite the pressure. | "authentic, maintaining one's principles, not compromising one's values" | Evaluates persons as maintaining their authentic identity or principles. Common in moral and personal development discourse. | [CORE] |
| too good to be true | The offer seemed too good to be true. | The offer seemed too good to be true. | "suspiciously attractive, unlikely to be genuine" | Expresses skepticism about claims or offers that seem unrealistically favorable. Common in everyday evaluative discourse. | [CORE] |
| if truth be told | If truth be told, I never liked him. | If truth be told, I never liked him. | "to be honest, frankly speaking, actually" | Discourse marker introducing a frank or honest admission, often contradicting previous statements or appearances. Somewhat formal or literary. | [CORE] |
| truth be told | Truth be told, we made several mistakes. | Truth be told, we made several mistakes. | "to be honest, frankly speaking, actually" | Discourse marker introducing a frank or honest admission. More common than "if truth be told" in contemporary usage. | [CORE] |
| in truth | In truth, the situation was far worse. | In truth, the situation was far worse. | "actually, in fact, truly" | Formal or literary expression emphasizing the truth of a statement. Used to introduce corrections or clarifications. | [CORE] |
| the truth of the matter | The truth of the matter is that we failed. | The truth of the matter is that we failed. | "the actual facts, what really happened, the reality" | Phrase introducing a frank statement of facts, often after discussion or speculation. Common in explanatory discourse. | [CORE] |
| tell the truth | I'm going to tell you the truth. | I'm going to tell you the truth. | "speak honestly, be truthful, reveal facts" | Refers to the act of speaking truthfully. Extremely common across all registers. | [CORE] |
| speak the truth | He always speaks the truth, no matter the cost. | He always speaks the truth, no matter the cost. | "be truthful, tell the truth, be honest" | Refers to habitual or principled truthfulness. Slightly more formal than "tell the truth." | [CORE] |
| moment of truth | This is the moment of truth. | This is the moment of truth. | "critical moment, decisive point, time of testing" | Refers to the point when something is tested or revealed. From bullfighting; used in narrative and dramatic contexts. | [CORE] |
| the truth will out | Don't worry—the truth will out eventually. | Don't worry—the truth will out eventually. | "the truth will be revealed, facts will emerge" | Proverbial expression asserting that truth eventually becomes known. Somewhat archaic or literary; "will out" is archaic verb usage. | [CORE] |
| nothing could be further from the truth | He claims I'm lazy, but nothing could be further from the truth. | He claims I'm lazy, but nothing could be further from the truth. | "completely false, entirely wrong, the opposite is true" | Strong denial emphasizing that a claim is completely false. Common in argumentative and defensive discourse. | [CORE] |
| to tell (you) the truth | To tell you the truth, I don't really care. | To tell you the truth, I don't really care. | "honestly, frankly, to be honest" | Discourse marker introducing a frank statement, often admitting something previously concealed. Very common in conversational English. | [CORE] |
| the plain truth | The plain truth is that we can't afford it. | The plain truth is that we can't afford it. | "the simple facts, the unvarnished truth, the straightforward reality" | Emphasizes straightforward, unembellished truth. Common in explanatory discourse. | [CORE] |
| the honest truth | I'm telling you the honest truth. | I'm telling you the honest truth. | "the complete truth, the real facts, genuine truth" | Emphasizes sincerity and completeness of truth-telling. Common in conversational contexts where credibility is at stake. | [CORE] |
| the whole truth | Tell me the whole truth, not just part of it. | Tell me the whole truth, not just part of it. | "complete truth, all the facts, nothing concealed" | Emphasizes completeness of truth, often in contrast to partial disclosure. Common in legal contexts ("the truth, the whole truth, and nothing but the truth"). | [CORE] |
| a grain of truth | There's a grain of truth in what he says. | There's a grain of truth in what he says. | "a small amount of truth, some truth, a kernel of truth" | Acknowledges partial truth in otherwise false or exaggerated claims. Common in evaluative discourse. | [CORE] |
| a kernel of truth | Even the wildest rumors often contain a kernel of truth. | Even the wildest rumors often contain a kernel of truth. | "a small amount of truth, some truth, a grain of truth" | Acknowledges partial truth in otherwise false or exaggerated claims. Synonymous with "grain of truth." | [CORE] |
| home truth | It's time someone told him a few home truths. | It's time someone told him a few home truths. | "uncomfortable truth, harsh reality, frank statement" | Refers to truths that are uncomfortable or unwelcome, especially about oneself. British usage; common in personal and critical contexts. | [CORE] |
| gospel truth | He believes everything she says as gospel truth. | He believes everything she says as gospel truth. | "absolute truth, unquestionable fact, complete truth" | Refers to statements accepted as absolutely true. Religious origin; used in everyday speech to emphasize complete certainty or reliability. | [CORE] |
| Subject + ring false | His apology rang false. | His apology rang false. | "seem insincere, sound untrue, feel wrong" | Evaluates statements or accounts as seeming insincere or unbelievable. Opposite of "ring true"; common in evaluative discourse. | [CORE] |
| bear false witness | You shall not bear false witness against your neighbor. | You shall not bear false witness against your neighbor. | "lie under oath, give false testimony, perjure" | Biblical and legal expression for giving false testimony. Used in religious, legal, and moral contexts. | [CORE] |
| false alarm | It turned out to be a false alarm. | It turned out to be a false alarm. | "mistaken warning, unfounded alert, unnecessary panic" | Refers to warnings or alerts that prove to be mistaken or unnecessary. Common in everyday speech and emergency/security contexts. | [CORE] |
| false start | After several false starts, the project finally got underway. | After several false starts, the project finally got underway. | "premature start, invalid beginning, failed attempt" | Technical term in racing for starting before the signal; also used metaphorically for failed or premature beginnings. Common in sports and project contexts. | [CORE] |
| false move | One false move and the whole plan will collapse. | One false move and the whole plan will collapse. | "wrong action, mistake, misstep" | Refers to an action that causes problems or danger. Common in threatening or tense situations. | [CORE] |
| false step | A false step now could ruin everything. | A false step now could ruin everything. | "misstep, error, wrong action" | Refers to a mistake or error in judgment or action. Used metaphorically for social, professional, or moral errors. | [CORE] |
| false note | The cheerful ending struck a false note. | The cheerful ending struck a false note. | "wrong tone, jarring element, discordant element" | Musical term for incorrect pitch; metaphorically used for elements that seem wrong or inappropriate. Used in aesthetic and social evaluation. | [CORE] |
| false pretenses / false pretences | He obtained the money under false pretenses. | He obtained the money under false pretenses. | "deceptive claims, fraudulent representations, lies" | Legal and everyday term for deceptive claims made to obtain something. Common in legal contexts and the phrase "under false pretenses." | [CORE] |
| under false pretenses / under false pretences | She entered the building under false pretenses. | She entered the building under false pretenses. | "by deception, through fraud, by lying" | Describes obtaining something or gaining access through deception. Common in legal and narrative contexts. | [CORE] |
| false positive | The test gave a false positive result. | The test gave a false positive result. | "incorrect positive result, erroneous detection, mistaken identification" | Technical term in testing and diagnostics for results incorrectly indicating presence of a condition. Used in medical, scientific, and technical contexts. | [CORE] |
| false negative | The scan produced a false negative. | The scan produced a false negative. | "incorrect negative result, missed detection, failure to identify" | Technical term in testing and diagnostics for results incorrectly indicating absence of a condition. Used in medical, scientific, and technical contexts. | [CORE] |
| false friend | Beware of false friends who only appear when they need something. | Beware of false friends who only appear when they need something. | "disloyal friend, betrayer; (linguistics) false cognate" | Describes persons who appear friendly but are disloyal. Also technical term in linguistics for words in different languages that appear similar but have different meanings. | [CORE] |
| false economy | Buying cheap tools is a false economy. | Buying cheap tools is a false economy. | "penny-wise pound-foolish, short-sighted saving, apparent saving that costs more" | Refers to apparent savings that result in greater costs later. Common in financial and practical advice contexts. | [CORE] |
| false modesty | His claims of incompetence are just false modesty. | His claims of incompetence are just false modesty. | "feigned humility, insincere self-deprecation, fake modesty" | Describes insincere displays of humility, often concealing pride. Used in social and moral evaluation of behavior. | [CORE] |
| false dawn | The peace talks proved to be a false dawn. | The peace talks proved to be a false dawn. | "illusory improvement, premature hope, deceptive sign of progress" | Astronomical term for pre-dawn light; metaphorically used for apparent improvements that don't last. Used in political and analytical contexts. | [CORE] |
| false imprisonment | He sued for false imprisonment. | He sued for false imprisonment. | "unlawful detention, wrongful confinement, illegal restraint" | Legal term for unlawfully restraining someone's freedom of movement. Technical term in criminal and tort law. | [CORE] |
| false arrest | The victim filed a claim for false arrest. | The victim filed a claim for false arrest. | "unlawful arrest, wrongful detention, arrest without proper authority" | Legal term for arrest without proper legal authority. Used in legal contexts, especially civil rights cases. | [CORE] |
| false consciousness | Marxists argue that workers suffer from false consciousness. | Marxists argue that workers suffer from false consciousness. | "mistaken awareness, ideological delusion, misperception of interests" | Marxist term for misperception of one's social or economic interests. Technical term in political philosophy and sociology. | [MARGINAL] |
| false flag | Some believe the attack was a false flag operation. | Some believe the attack was a false flag operation. | "deceptive operation, covert action disguised as enemy action" | Military and political term for operations designed to appear as if carried out by another party. Used in discussions of espionage and conspiracy theories. | [CORE] |
| sail under false colors / sail under false colours | The spy ship was sailing under false colors. | The spy ship was sailing under false colors. | "deceive about identity, pretend to be something else, misrepresent oneself" | Naval term for flying another nation's flag; used metaphorically for deception about identity or intentions. Somewhat literary or formal. | [CORE] |
| get it right | Let me try again—I'll get it right this time. | Let me try again—I'll get it right this time. | "do correctly, achieve accuracy, succeed" | Phrasal expression for achieving correctness or accuracy. Common in instructional and evaluative contexts. | [CORE] |
| set right | We need to set the record right. | We need to set the record right. | "correct, rectify, fix, clarify" | Phrasal verb meaning to correct errors or injustices. Used in practical and moral contexts. | [CORE] |
| put right | I'll put things right between us. | I'll put things right between us. | "correct, fix, rectify, repair" | Phrasal verb meaning to correct or repair. British usage more common than American; used in practical and relational contexts. | [CORE] |
| make right | He tried to make right what he had done wrong. | He tried to make right what he had done wrong. | "correct, rectify, compensate for, amend" | Phrasal expression for correcting wrongs or making amends. Used in moral and practical contexts. | [CORE] |
| in the right | I know I'm in the right on this issue. | I know I'm in the right on this issue. | "correct, justified, having justice on one's side" | Expression indicating moral or factual correctness in a dispute. Used in moral and legal evaluation. | [CORE] |
| right as rain | After a good night's sleep, I felt right as rain. | After a good night's sleep, I felt right as rain. | "perfectly fine, completely well, in good health" | Idiomatic expression indicating perfect health or condition. British origin; used in informal contexts. | [CORE] |
| all right / alright | Everything's all right now. | Everything's all right now. | "acceptable, satisfactory, okay, fine" | Expression indicating acceptability, agreement, or well-being. Extremely common in everyday speech; "alright" spelling controversial but widespread. | [CORE] |
| do right by | He always tried to do right by his employees. | He always tried to do right by his employees. | "treat fairly, act justly toward, fulfill obligations to" | Expression for treating someone fairly or fulfilling obligations. Common in moral and relational contexts. | [CORE] |
| serve someone right | He failed the test, and it serves him right for not studying. | He failed the test, and it serves him right for not studying. | "be deserved punishment, be just deserts, be appropriate consequence" | Expression indicating that someone deserves a negative outcome. Common in moral judgment contexts. | [CORE] |
| right away | I'll do it right away. | I'll do it right away. | "immediately, at once, without delay" | Adverbial expression indicating immediate action. Very common across all registers. | [CORE] |
| right now | I need an answer right now. | I need an answer right now. | "immediately, at this moment, currently" | Adverbial expression indicating the present moment or immediate action. Very common across all registers. | [CORE] |
| right here | The answer is right here in front of you. | The answer is right here in front of you. | "in this exact location, precisely here" | Adverbial expression emphasizing precise location. Very common in everyday speech. | [CORE] |
| right there | Put it right there on the table. | Put it right there on the table. | "in that exact location, precisely there" | Adverbial expression emphasizing precise location. Very common in everyday speech. | [CORE] |
| the right thing | I know it's hard, but it's the right thing to do. | I know it's hard, but it's the right thing to do. | "the moral action, the correct choice, the proper course" | Refers to the morally or practically correct action. Common in moral deliberation contexts. | [CORE] |
| do the right thing | In the end, she did the right thing and confessed. | In the end, she did the right thing and confessed. | "act morally, make the correct choice, act properly" | Expression for taking the morally correct action. Very common in moral discourse. | [CORE] |
| on the right track | Your analysis is on the right track. | Your analysis is on the right track. | "proceeding correctly, heading in the right direction, making progress" | Metaphorical expression for being on course toward a goal or correct understanding. Common in evaluative and encouraging contexts. | [CORE] |
| on the right side of | He wants to stay on the right side of the law. | He wants to stay on the right side of the law. | "in compliance with, in favor with, not violating" | Expression indicating compliance or favorable position relative to law, history, age limits, etc. Common in legal and social contexts. | [CORE] |
| in one's right mind | No one in their right mind would do that. | No one in their right mind would do that. | "sane, rational, thinking clearly" | Expression indicating sanity or rationality. Common in evaluative contexts, often in negative constructions. | [CORE] |
| put/set to rights | We need to put the accounts to rights. | We need to put the accounts to rights. | "correct, fix, organize properly, restore order" | Expression for correcting or organizing something properly. British usage; somewhat formal. | [CORE] |
| go wrong | Everything that could go wrong did go wrong. | Everything that could go wrong did go wrong. | "fail, malfunction, err, turn out badly" | Phrasal verb indicating failure or error. Common in everyday speech about plans, machines, or actions. | [CORE] |
| get wrong | I think you've got the wrong idea. | I think you've got the wrong idea. | "misunderstand, err about, mistake, misinterpret" | Phrasal verb indicating error or misunderstanding. Common in everyday speech and writing. | [CORE] |
| in the wrong | He admitted he was in the wrong. | He admitted he was in the wrong. | "incorrect, at fault, unjustified, mistaken" | Expression indicating moral or factual incorrectness in a dispute. Used in moral and legal evaluation. | [CORE] |
| do wrong | He knows he did wrong. | He knows he did wrong. | "act immorally, commit an offense, behave badly" | Expression for committing immoral or improper actions. Common in moral contexts. | [CORE] |
| do someone wrong | I feel like I've done her wrong. | I feel like I've done her wrong. | "treat unfairly, harm, injure, wrong someone" | Expression for treating someone unfairly or causing harm. Common in moral and relational contexts. | [CORE] |
| get on the wrong side of | You don't want to get on the wrong side of him. | You don't want to get on the wrong side of him. | "antagonize, offend, make an enemy of" | Expression for antagonizing or offending someone. Common in social and professional contexts. | [CORE] |
| on the wrong side of | She's on the wrong side of forty now. | She's on the wrong side of forty now. | "beyond (an age), in violation of, opposed to" | Expression indicating being beyond a threshold (especially age) or in violation of something. Common in social and legal contexts. | [CORE] |
| rub someone the wrong way | His attitude really rubs me the wrong way. | His attitude really rubs me the wrong way. | "irritate, annoy, offend" | Idiomatic expression for irritating or annoying someone. Common in everyday speech. | [CORE] |
| get off on the wrong foot | We got off on the wrong foot, but we're friends now. | We got off on the wrong foot, but we're friends now. | "start badly, begin poorly, make a bad first impression" | Idiomatic expression for starting a relationship or endeavor badly. Common in social and professional contexts. | [CORE] |
| take the wrong way | Don't take this the wrong way, but... | Don't take this the wrong way, but... | "misinterpret, misunderstand, be offended by" | Expression warning against misinterpretation, often preceding potentially offensive statements. Common in conversational contexts. | [CORE] |
| two wrongs don't make a right | You can't justify revenge—two wrongs don't make a right. | You can't justify revenge—two wrongs don't make a right. | "retaliation doesn't justify wrongdoing, responding to wrong with wrong is still wrong" | Proverbial expression asserting that responding to wrongdoing with more wrongdoing is not justified. Common in moral discourse. | [CORE] |
| what's wrong with | What's wrong with this picture? | What's wrong with this picture? | "what is the problem with, what is incorrect about" | Question format for identifying problems or errors. Very common in everyday speech and problem-solving contexts. | [CORE] |
| stand corrected | I stand corrected—you were right all along. | I stand corrected—you were right all along. | "acknowledge error, accept correction, admit mistake" | Formal expression for acknowledging that one was wrong and accepting correction. Common in formal and polite discourse. | [CORE] |
| correct me if I'm wrong | Correct me if I'm wrong, but didn't we meet last year? | Correct me if I'm wrong, but didn't we meet last year? | "please tell me if I'm mistaken, I believe (but am not certain)" | Polite formula inviting correction while making a tentative statement. Common in conversational and formal contexts. | [CORE] |
| politically correct | Some people worry too much about being politically correct. | Some people worry too much about being politically correct. | "conforming to progressive social norms, avoiding offensive language" | Describes language or behavior conforming to progressive social standards. Often abbreviated "PC"; used in social and political discourse, sometimes pejoratively. | [CORE] |
| the genuine article | This painting is the genuine article, not a reproduction. | This painting is the genuine article, not a reproduction. | "the real thing, an authentic example, not a fake" | Expression emphasizing authenticity, especially of objects. Common in commercial and aesthetic contexts. | [CORE] |
| for real | Are you for real? / Is this for real? | Are you for real? / Is this for real? | "genuine, serious, not joking; actually happening" | Informal expression questioning or asserting genuineness or seriousness. Very common in conversational English. | [CORE] |
| get real | Get real—that's never going to happen. | Get real—that's never going to happen. | "be realistic, face reality, stop being naive" | Imperative expression urging someone to be realistic. Common in informal, often confrontational contexts. | [CORE] |
| keep it real | He always keeps it real with his fans. | He always keeps it real with his fans. | "be authentic, stay true to oneself, be honest" | Expression encouraging authenticity and honesty. Common in informal and youth contexts, especially hip-hop culture. | [CORE] |
| the real thing | This isn't a copy—it's the real thing. | This isn't a copy—it's the real thing. | "genuine article, authentic example, not a substitute" | Expression emphasizing authenticity or genuineness. Common in commercial and everyday contexts. | [CORE] |
| the real deal | She's not just talented—she's the real deal. | She's not just talented—she's the real deal. | "genuine article, authentic example, truly excellent" | Informal expression emphasizing authenticity or excellence. Common in informal and commercial contexts. | [CORE] |
| in real life | I know her online, but I've never met her in real life. | I know her online, but I've never met her in real life. | "in actual reality, in the physical world, not virtually" | Expression distinguishing actual reality from virtual, fictional, or hypothetical contexts. Very common, especially in digital age. Often abbreviated "IRL." | [CORE] |
| in real time | We can track the package in real time. | We can track the package in real time. | "as it happens, simultaneously, without delay" | Technical expression for simultaneous occurrence or processing. Common in computing, broadcasting, and everyday contexts. | [CORE] |
| real world | That theory doesn't work in the real world. | That theory doesn't work in the real world. | "actual reality, practical reality, outside academia/theory" | Expression contrasting practical reality with theory, academia, or sheltered environments. Common in practical and critical contexts. | [CORE] |
| for real though | For real though, we need to talk about this. | For real though, we need to talk about this. | "seriously, in all seriousness, joking aside" | Informal discourse marker shifting to serious tone. Common in conversational English, especially among younger speakers. | [CORE] |
| no longer valid | This ticket is no longer valid. | This ticket is no longer valid. | "expired, invalid, not acceptable anymore" | Expression indicating that something has expired or become invalid. Common in legal, commercial, and administrative contexts. | [CORE] |
| safe and sound | The children arrived home safe and sound. | The children arrived home safe and sound. | "unharmed, in good condition, without injury" | Fixed expression indicating safety and well-being. Very common in contexts of return or arrival after potential danger. | [CORE] |
| of sound mind | The will was made when she was of sound mind. | The will was made when she was of sound mind. | "sane, mentally competent, rational" | Legal and formal expression for mental competence. Common in legal contexts, especially wills and contracts. | [CORE] |
| faithful to | The film is faithful to the original novel. | The film is faithful to the original novel. | "accurate to, true to, loyal to" | Expression indicating accuracy of reproduction or loyalty. Common in aesthetic and personal contexts. | [CORE] |
| yours faithfully | (letter closing) Yours faithfully, John Smith | (letter closing) Yours faithfully, John Smith | "(formal letter closing)" | Formal letter closing used in British English when recipient's name is not used in salutation. Conventional in business correspondence. | [CORE] |
| to be honest | To be honest, I don't think it's a good idea. | To be honest, I don't think it's a good idea. | "frankly, truthfully, in truth" | Discourse marker introducing a frank statement, often admitting something. Very common in conversational English. | [CORE] |
| honest to God / honest to goodness | Honest to God, I didn't know about it. | Honest to God, I didn't know about it. | "truly, really, I swear" | Emphatic expression asserting truthfulness. "Honest to God" more emphatic; "honest to goodness" euphemistic. Common in informal speech. | [CORE] |
| make an honest woman of | He finally made an honest woman of her by proposing. | He finally made an honest woman of her by proposing. | "marry (a woman one has been living with)" | Dated expression for marrying a woman, especially after cohabitation. Now often used humorously or ironically. | [CORE] |
| yours sincerely | (letter closing) Yours sincerely, Jane Doe | (letter closing) Yours sincerely, Jane Doe | "(formal letter closing)" | Formal letter closing used in British English when recipient's name is used in salutation. Conventional in business correspondence. American English typically uses "Sincerely" or "Sincerely yours." | [CORE] |
| legitimate question | That's a legitimate question. | That's a legitimate question. | "valid question, reasonable question, fair question" | Expression validating a question as reasonable or appropriate. Common in discussion and debate contexts. | [CORE] |
| legitimate concern | You raise a legitimate concern. | You raise a legitimate concern. | "valid concern, reasonable worry, justified anxiety" | Expression validating a concern as reasonable. Common in discussion and professional contexts. | [CORE] |
| spurious correlation | The study found only spurious correlations. | The study found only spurious correlations. | "false correlation, misleading correlation, coincidental relationship" | Technical term in statistics for correlations that appear meaningful but are actually coincidental or caused by confounding variables. Used in scientific and analytical contexts. | [CORE] |
| apt to | He's apt to forget things. | He's apt to forget things. | "likely to, prone to, inclined to" | Expression indicating tendency or likelihood. Common in descriptive contexts about habitual behavior. | [CORE] |
| if I'm not mistaken | If I'm not mistaken, we've met before. | If I'm not mistaken, we've met before. | "if I remember correctly, unless I'm wrong, I believe" | Hedging expression introducing a tentative statement. Common in polite and formal discourse. | [CORE] |
| unless I'm mistaken | Unless I'm mistaken, the meeting is tomorrow. | Unless I'm mistaken, the meeting is tomorrow. | "if I'm not wrong, I believe, as far as I know" | Hedging expression introducing a tentative statement. Synonymous with "if I'm not mistaken." | [CORE] |
