# CLCA Protocol v3.2 — F5 Opposition Table
# Language: English (en)

| Term A | Term B | Transliteration | Translation A | Translation B | Contrast Description | Contrast Type | Epistemic Status |
| sound | unsound | N/A | sound, valid, reliable | unsound, not sound, unreliable | Morphological negation using un- prefix. Applies to arguments (logically valid with true premises), structures (physically intact), and judgments (reliable). | morphological | [CORE] |
| reliable | unreliable | N/A | reliable, dependable, consistent | unreliable, not reliable, undependable | Morphological negation using un- prefix. Emphasizes consistency of performance over time. | morphological | [CORE] |
| faithful | unfaithful | N/A | faithful, accurate, loyal | unfaithful, not faithful, disloyal | Morphological negation using un- prefix. Applies to accuracy of reproduction and personal loyalty. | morphological | [CORE] |
| truthful | untruthful | N/A | truthful, honest, veracious | untruthful, not truthful, dishonest | Morphological negation using un- prefix. Evaluates persons or statements as habitually telling truth or not. | morphological | [CORE] |
| honest | dishonest | N/A | honest, truthful, upright | dishonest, not honest, untruthful | Morphological negation using dis- prefix. Emphasizes moral character and intention beyond mere factual accuracy. | morphological | [CORE] |
| sincere | insincere | N/A | sincere, genuine, honest | insincere, not sincere, hypocritical | Morphological negation using in- prefix. Evaluates alignment between inner states and outward expressions. | morphological | [CORE] |
| legitimate | illegitimate | N/A | legitimate, lawful, valid | illegitimate, not legitimate, unlawful | Morphological negation using il- (variant of in-). Evaluates conformity to law or accepted standards. | morphological | [CORE] |
| rightful | wrongful | N/A | rightful, legitimate, proper | wrongful, unjust, improper | Lexical opposition derived from "right" and "wrong" with -ful suffix. Common in legal contexts for claims, ownership, and actions. | lexical | [CORE] |
| righteous | unrighteous | N/A | righteous, morally right, virtuous | unrighteous, not righteous, immoral | Morphological negation using un- prefix. Primarily used in religious and moral contexts for character evaluation. | morphological | [CORE] |
| realistic | unrealistic | N/A | realistic, practical, lifelike | unrealistic, not realistic, impractical | Morphological negation using un- prefix. Evaluates expectations, plans, or representations as practical or impractical. | morphological | [CORE] |
| truth | untruth | N/A | truth, true statement, veracity | untruth, false statement, falsehood | Morphological negation using un- prefix applied to nominal form. Less common than "falsehood" or "lie" in contemporary usage. | morphological | [CORE] |
| truth | falsehood | N/A | truth, true statement, veracity | falsehood, false statement, lie | Lexical opposition between nominal forms. "Falsehood" is more formal than "lie" but less common than "untruth." | lexical | [CORE] |
| truth | lie | N/A | truth, true statement | lie, false statement, deliberate untruth | Lexical opposition with "lie" emphasizing deliberate deception. Most common everyday term for false statements. | lexical | [CORE] |
| honesty | dishonesty | N/A | honesty, truthfulness, integrity | dishonesty, untruthfulness, fraud | Morphological negation using dis- prefix applied to nominal form. Fundamental opposition in moral discourse. | morphological | [CORE] |
| sincerity | insincerity | N/A | sincerity, genuineness, honesty | insincerity, lack of sincerity, hypocrisy | Morphological negation using in- prefix applied to nominal form. Evaluates alignment between inner states and expressions. | morphological | [CORE] |
| legitimacy | illegitimacy | N/A | legitimacy, lawfulness, validity | illegitimacy, unlawfulness, invalidity | Morphological negation using il- prefix applied to nominal form. Common in legal and political contexts. | morphological | [CORE] |
| validity | invalidity | N/A | validity, soundness, legitimacy | invalidity, lack of validity, unsoundness | Morphological negation using in- prefix applied to nominal form. Used in logical, legal, and technical contexts. | morphological | [CORE] |
| accuracy | inaccuracy | N/A | accuracy, precision, exactness | inaccuracy, lack of accuracy, imprecision | Morphological negation using in- prefix applied to nominal form. Emphasizes precision in measurement and description. | morphological | [CORE] |
| authenticity | inauthenticity | N/A | authenticity, genuineness | inauthenticity, lack of authenticity, fakeness | Morphological negation using in- prefix applied to nominal form. Common in aesthetic, cultural, and philosophical contexts. | morphological | [CORE] |
| reality | unreality | N/A | reality, actual existence, the real world | unreality, lack of reality, dreamlike state | Morphological negation using un- prefix applied to nominal form. Contrasts actual world with imagination or illusion. | morphological | [CORE] |
| reliability | unreliability | N/A | reliability, dependability, consistency | unreliability, lack of reliability, undependability | Morphological negation using un- prefix applied to nominal form. Emphasizes consistency of performance. | morphological | [CORE] |
| faithfulness | unfaithfulness | N/A | faithfulness, loyalty, accuracy | unfaithfulness, disloyalty, infidelity | Morphological negation using un- prefix applied to nominal form. Applies to both loyalty and accuracy of reproduction. | morphological | [CORE] |
| truthfulness | untruthfulness | N/A | truthfulness, honesty, veracity | untruthfulness, dishonesty, mendacity | Morphological negation using un- prefix applied to nominal form. Evaluates habitual truth-telling character. | morphological | [CORE] |
| correctness | incorrectness | N/A | correctness, accuracy, propriety | incorrectness, inaccuracy, impropriety | Morphological negation using in- prefix applied to nominal form. Used in epistemic, social, and political contexts. | morphological | [CORE] |
| rightness | wrongness | N/A | rightness, correctness, propriety | wrongness, incorrectness, impropriety | Lexical opposition between nominal forms derived from "right" and "wrong." Used in moral and epistemic evaluation. | lexical | [CORE] |
| righteousness | unrighteousness | N/A | righteousness, moral virtue, justice | unrighteousness, moral vice, injustice | Morphological negation using un- prefix applied to nominal form. Primarily religious and moral contexts. | morphological | [CORE] |
| soundness | unsoundness | N/A | soundness, reliability, validity | unsoundness, unreliability, invalidity | Morphological negation using un- prefix applied to nominal form. Used in logical, structural, and financial contexts. | morphological | [CORE] |
| ring true | ring false | N/A | seem genuine, sound believable | seem insincere, sound untrue | Constructional opposition using same verb "ring" with contrasting adjectives. Evaluates intuitive sense of genuineness or deception. | constructional | [CORE] |
| in the right | in the wrong | N/A | correct, justified, having justice on one's side | incorrect, at fault, unjustified | Constructional opposition using same prepositional frame with contrasting adjectives. Used in moral and legal evaluation. | constructional | [CORE] |
| get it right | get it wrong | N/A | do correctly, achieve accuracy | err, make a mistake | Constructional opposition using same phrasal verb with contrasting adjectives. Common in instructional and evaluative contexts. | constructional | [CORE] |
| do right | do wrong | N/A | act morally, behave properly | act immorally, behave improperly | Constructional opposition using same verb with contrasting adjectives. Used in moral evaluation of actions. | constructional | [CORE] |
| validate | invalidate | N/A | make valid, confirm, verify | make invalid, nullify, disprove | Morphological negation using in- prefix applied to verbal form. Causative verbs for making something valid or invalid. | morphological | [CORE] |
| authenticate | (no clear opposition identified) | N/A | verify as authentic, prove genuine | — | No morphologically or lexically related opposition attested in data. Concept of "making inauthentic" not lexicalized as *"inauthenticate." | — | — |
| realize | (no clear opposition identified) | N/A | make real, achieve; become aware of | — | No morphologically or lexically related opposition attested in data. Concept of "making unreal" not lexicalized as *"unrealize." | — | — |
| true positive | false positive | N/A | correct positive result | incorrect positive result, erroneous detection | Technical opposition in diagnostic contexts. "True" vs. "false" modifies "positive" to distinguish correct from incorrect positive results. | constructional | [CORE] |
| true negative | false negative | N/A | correct negative result | incorrect negative result, missed detection | Technical opposition in diagnostic contexts. "True" vs. "false" modifies "negative" to distinguish correct from incorrect negative results. | constructional | [CORE] |
| Subject + BE + truth-domain adjective | Subject + BE + NEG + truth-domain adjective | N/A | (positive attribution) | (negative attribution via analytic negation) | Constructional opposition between positive attribution and analytic negation using "not." Fully productive across all truth-domain adjectives. | constructional | [CORE] |
| Subject + BE + adjective | Subject + BE + negative-prefixed adjective | N/A | (positive attribution) | (negative attribution via synthetic negation) | Constructional opposition between positive attribution and synthetic negation using negative prefixes (un-, in-, dis-). Lexically restricted to adjectives that permit negative prefixation. | constructional | [CORE] |
| veracious | mendacious | N/A | truthful, accurate, honest | lying, untruthful, dishonest | Lexical opposition between formal/literary terms for truthfulness and lying. Both from Latin roots; primarily formal register. | lexical | [MARGINAL] |
| veracity | mendacity | N/A | truthfulness, accuracy | untruthfulness, lying | Lexical opposition between nominal forms. "Veracity" more common than "veracious"; both terms primarily formal register. | lexical | [MARGINAL] |
| bona fide | (no clear opposition identified) | N/A | genuine, authentic, in good faith | — | No morphologically or lexically related opposition attested in data. Latin phrase functions as fixed expression without productive negation. | — | — |
| apt | inapt | N/A | fitting, appropriate, suitable | not apt, inappropriate, unsuitable | Morphological negation using in- prefix. Less common than "inappropriate" but attested in formal usage. | morphological | [CORE] |
| correctable | (no clear opposition identified) | N/A | capable of being corrected, fixable | — | No morphologically related opposition attested in data. Concept of "not correctable" expressed as "uncorrectable" or "incorrigible" (different root). | — | — |
| realizable | unrealizable | N/A | capable of being realized, achievable | not realizable, unachievable | Morphological negation using un- prefix. Evaluates goals or plans as achievable or unachievable. | morphological | [CORE] |
| falsifiable | unfalsifiable | N/A | capable of being proven false, testable | not falsifiable, not testable | Morphological negation using un- prefix. Technical term in philosophy of science for testability of hypotheses. | morphological | [MARGINAL] |
| authenticated | unauthenticated | N/A | verified as authentic | not verified, not authenticated | Morphological negation using un- prefix applied to past participle. Describes items not yet verified as authentic. | morphological | [CORE] |
| corrected | uncorrected | N/A | amended, fixed | not corrected, not amended | Morphological negation using un- prefix applied to past participle. Common in editorial contexts ("uncorrected proof"). | morphological | [CORE] |
