# F2b CONSTRUCTIONS TABLE

| Base Form | Construction | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| true | home truth | It's time someone told him a few home truths. | N/A | uncomfortable truth, harsh reality, frank statement | Refers to truths that are uncomfortable or unwelcome, especially about oneself. British usage; common in personal and critical contexts. | [CORE] |
| true | gospel truth | He believes everything she says as gospel truth. | N/A | absolute truth, unquestionable fact, complete truth | Refers to statements accepted as absolutely true. Religious origin; used in everyday speech to emphasize complete certainty or reliability. | [CORE] |
| false | ring false | His apology rang false. | N/A | seem insincere, sound untrue, feel wrong | Evaluates statements or accounts as seeming insincere or unbelievable. Opposite of "ring true"; common in evaluative discourse. | [CORE] |
| false | bear false witness | You shall not bear false witness against your neighbor. | N/A | lie under oath, give false testimony, perjure | Biblical and legal expression for giving false testimony. Used in religious, legal, and moral contexts. | [CORE] |
| false | false alarm | It turned out to be a false alarm. | N/A | mistaken warning, unfounded alert, unnecessary panic | Refers to warnings or alerts that prove to be mistaken or unnecessary. Common in everyday speech and emergency/security contexts. | [CORE] |
| false | false start | After several false starts, the project finally got underway. | N/A | premature start, invalid beginning, failed attempt | Technical term in racing for starting before the signal; also used metaphorically for failed or premature beginnings. Common in sports and project contexts. | [CORE] |
| false | false move | One false move and the whole plan will collapse. | N/A | wrong action, mistake, misstep | Refers to an action that causes problems or danger. Common in threatening or tense situations. | [CORE] |
| false | false step | A false step now could ruin everything. | N/A | misstep, error, wrong action | Refers to a mistake or error in judgment or action. Used metaphorically for social, professional, or moral errors. | [CORE] |
| false | false note | The cheerful ending struck a false note. | N/A | wrong tone, jarring element, discordant element | Musical term for incorrect pitch; metaphorically used for elements that seem wrong or inappropriate. Used in aesthetic and social evaluation. | [CORE] |
| false | false pretenses / false pretences | He obtained the money under false pretenses. | N/A | deceptive claims, fraudulent representations, lies | Legal and everyday term for deceptive claims made to obtain something. Common in legal contexts and the phrase "under false pretenses." | [CORE] |
| false | under false pretenses / under false pretences | She entered the building under false pretenses. | N/A | by deception, through fraud, by lying | Describes obtaining something or gaining access through deception. Common in legal and narrative contexts. | [CORE] |
| false | false positive | The test gave a false positive result. | N/A | incorrect positive result, erroneous detection, mistaken identification | Technical term in testing and diagnostics for results incorrectly indicating presence of a condition. Used in medical, scientific, and technical contexts. | [CORE] |
| false | false negative | The scan produced a false negative. | N/A | incorrect negative result, missed detection, failure to identify | Technical term in testing and diagnostics for results incorrectly indicating absence of a condition. Used in medical, scientific, and technical contexts. | [CORE] |
| false | false friend | Beware of false friends who only appear when they need something. | N/A | disloyal friend, betrayer; (linguistics) false cognate | Describes persons who appear friendly but are disloyal. Also technical term in linguistics for words in different languages that appear similar but have different meanings. | [CORE] |
| false | false economy | Buying cheap tools is a false economy. | N/A | penny-wise pound-foolish, short-sighted saving, apparent saving that costs more | Refers to apparent savings that result in greater costs later. Common in financial and practical advice contexts. | [CORE] |
| false | false modesty | His claims of incompetence are just false modesty. | N/A | feigned humility, insincere self-deprecation, fake modesty | Describes insincere displays of humility, often concealing pride. Used in social and moral evaluation of behavior. | [CORE] |
| false | false dawn | The peace talks proved to be a false dawn. | N/A | illusory improvement, premature hope, deceptive sign of progress | Astronomical term for pre-dawn light; metaphorically used for apparent improvements that don't last. Used in political and analytical contexts. | [CORE] |
| false | false imprisonment | He sued for false imprisonment. | N/A | unlawful detention, wrongful confinement, illegal restraint | Legal term for unlawfully restraining someone's freedom of movement. Technical term in criminal and tort law. | [CORE] |
| false | false arrest | The victim filed a claim for false arrest. | N/A | unlawful arrest, wrongful detention, arrest without proper authority | Legal term for arrest without proper legal authority. Used in legal contexts, especially civil rights cases. | [CORE] |
| false | false consciousness | Marxists argue that workers suffer from false consciousness. | N/A | mistaken awareness, ideological delusion, misperception of interests | Marxist term for misperception of one's social or economic interests. Technical term in political philosophy and sociology. | [MARGINAL] |
| false | false flag | Some believe the attack was a false flag operation. | N/A | deceptive operation, covert action disguised as enemy action | Military and political term for operations designed to appear as if carried out by another party. Used in discussions of espionage and conspiracy theories. | [CORE] |
| false | sail under false colors / sail under false colours | The spy ship was sailing under false colors. | N/A | deceive about identity, pretend to be something else, misrepresent oneself | Naval term for flying another nation's flag; used metaphorically for deception about identity or intentions. Somewhat literary or formal. | [CORE] |
| right | get it right | Let me try again—I'll get it right this time. | N/A | do correctly, achieve accuracy, succeed | Phrasal expression for achieving correctness or accuracy. Common in instructional and evaluative contexts. | [CORE] |
| right | set right | We need to set the record right. | N/A | correct, rectify, fix, clarify | Phrasal verb meaning to correct errors or injustices. Used in practical and moral contexts. | [CORE] |
| right | put right | I'll put things right between us. | N/A | correct, fix, rectify, repair | Phrasal verb meaning to correct or repair. British usage more common than American; used in practical and relational contexts. | [CORE] |
| right | make right | He tried to make right what he had done wrong. | N/A | correct, rectify, compensate for, amend | Phrasal expression for correcting wrongs or making amends. Used in moral and practical contexts. | [CORE] |
| right | in the right | I know I'm in the right on this issue. | N/A | correct, justified, having justice on one's side | Expression indicating moral or factual correctness in a dispute. Used in moral and legal evaluation. | [CORE] |
| right | right as rain | After a good night's sleep, I felt right as rain. | N/A | perfectly fine, completely well, in good health | Idiomatic expression indicating perfect health or condition. British origin; used in informal contexts. | [CORE] |
| right | all right / alright | Everything's all right now. | N/A | acceptable, satisfactory, okay, fine | Expression indicating acceptability, agreement, or well-being. Extremely common in everyday speech; "alright" spelling controversial but widespread. | [CORE] |
| right | do right by | He always tried to do right by his employees. | N/A | treat fairly, act justly toward, fulfill obligations to | Expression for treating someone fairly or fulfilling obligations. Common in moral and relational contexts. | [CORE] |
| right | serve someone right | He failed the test, and it serves him right for not studying. | N/A | be deserved punishment, be just deserts, be appropriate consequence | Expression indicating that someone deserves a negative outcome. Common in moral judgment contexts. | [CORE] |
| right | right away | I'll do it right away. | N/A | immediately, at once, without delay | Adverbial expression indicating immediate action. Very common across all registers. | [CORE] |
| right | right now | I need an answer right now. | N/A | immediately, at this moment, currently | Adverbial expression indicating the present moment or immediate action. Very common across all registers. | [CORE] |
| right | right here | The answer is right here in front of you. | N/A | in this exact location, precisely here | Adverbial expression emphasizing precise location. Very common in everyday speech. | [CORE] |
| right | right there | Put it right there on the table. | N/A | in that exact location, precisely there | Adverbial expression emphasizing precise location. Very common in everyday speech. | [CORE] |
| right | the right thing | I know it's hard, but it's the right thing to do. | N/A | the moral action, the correct choice, the proper course | Refers to the morally or practically correct action. Common in moral deliberation contexts. | [CORE] |
| right | do the right thing | In the end, she did the right thing and confessed. | N/A | act morally, make the correct choice, act properly | Expression for taking the morally correct action. Very common in moral discourse. | [CORE] |
| right | on the right track | Your analysis is on the right track. | N/A | proceeding correctly, heading in the right direction, making progress | Metaphorical expression for being on course toward a goal or correct understanding. Common in evaluative and encouraging contexts. | [CORE] |
| right | on the right side of | He wants to stay on the right side of the law. | N/A | in compliance with, in favor with, not violating | Expression indicating compliance or favorable position relative to law, history, age limits, etc. Common in legal and social contexts. | [CORE] |
| right | in one's right mind | No one in their right mind would do that. | N/A | sane, rational, thinking clearly | Expression indicating sanity or rationality. Common in evaluative contexts, often in negative constructions. | [CORE] |
| right | put/set to rights | We need to put the accounts to rights. | N/A | correct, fix, organize properly, restore order | Expression for correcting or organizing something properly. British usage; somewhat formal. | [CORE] |
| wrong | go wrong | Everything that could go wrong did go wrong. | N/A | fail, malfunction, err, turn out badly | Phrasal verb indicating failure or error. Common in everyday speech about plans, machines, or actions. | [CORE] |
| wrong | get wrong | I think you've got the wrong idea. | N/A | misunderstand, err about, mistake, misinterpret | Phrasal verb indicating error or misunderstanding. Common in everyday speech and writing. | [CORE] |
| wrong | in the wrong | He admitted he was in the wrong. | N/A | incorrect, at fault, unjustified, mistaken | Expression indicating moral or factual incorrectness in a dispute. Used in moral and legal evaluation. | [CORE] |
| wrong | do wrong | He knows he did wrong. | N/A | act immorally, commit an offense, behave badly | Expression for committing immoral or improper actions. Common in moral contexts. | [CORE] |
| wrong | do someone wrong | I feel like I've done her wrong. | N/A | treat unfairly, harm, injure, wrong someone | Expression for treating someone unfairly or causing harm. Common in moral and relational contexts. | [CORE] |
| wrong | get on the wrong side of | You don't want to get on the wrong side of him. | N/A | antagonize, offend, make an enemy of | Expression for antagonizing or offending someone. Common in social and professional contexts. | [CORE] |
| wrong | on the wrong side of | She's on the wrong side of forty now. | N/A | beyond (an age), in violation of, opposed to | Expression indicating being beyond a threshold (especially age) or in violation of something. Common in social and legal contexts. | [CORE] |
| wrong | rub someone the wrong way | His attitude really rubs me the wrong way. | N/A | irritate, annoy, offend | Idiomatic expression for irritating or annoying someone. Common in everyday speech. | [CORE] |
| wrong | get off on the wrong foot | We got off on the wrong foot, but we're friends now. | N/A | start badly, begin poorly, make a bad first impression | Idiomatic expression for starting a relationship or endeavor badly. Common in social and professional contexts. | [CORE] |
| wrong | take the wrong way | Don't take this the wrong way, but... | N/A | misinterpret, misunderstand, be offended by | Expression warning against misinterpretation, often preceding potentially offensive statements. Common in conversational contexts. | [CORE] |
| wrong | two wrongs don't make a right | You can't justify revenge—two wrongs don't make a right. | N/A | retaliation doesn't justify wrongdoing, responding to wrong with wrong is still wrong | Proverbial expression asserting that responding to wrongdoing with more wrongdoing is not justified. Common in moral discourse. | [CORE] |
| wrong | what's wrong with | What's wrong with this picture? | N/A | what is the problem with, what is incorrect about | Question format for identifying problems or errors. Very common in everyday speech and problem-solving contexts. | [CORE] |
| correct | stand corrected | I stand corrected—you were right all along. | N/A | acknowledge error, accept correction, admit mistake | Formal expression for acknowledging that one was wrong and accepting correction. Common in formal and polite discourse. | [CORE] |
| correct | correct me if I'm wrong | Correct me if I'm wrong, but didn't we meet last year? | N/A | please tell me if I'm mistaken, I believe (but am not certain) | Polite formula inviting correction while making a tentative statement. Common in conversational and formal contexts. | [CORE] |
| correct | politically correct | Some people worry too much about being politically correct. | N/A | conforming to progressive social norms, avoiding offensive language | Describes language or behavior conforming to progressive social standards. Often abbreviated "PC"; used in social and political discourse, sometimes pejoratively. | [CORE] |
| genuine | the genuine article | This painting is the genuine article, not a reproduction. | N/A | the real thing, an authentic example, not a fake | Expression emphasizing authenticity, especially of objects. Common in commercial and aesthetic contexts. | [CORE] |
| real | for real | Are you for real? / Is this for real? | N/A | genuine, serious, not joking; actually happening | Informal expression questioning or asserting genuineness or seriousness. Very common in conversational English. | [CORE] |
| real | get real | Get real—that's never going to happen. | N/A | be realistic, face reality, stop being naive | Imperative expression urging someone to be realistic. Common in informal, often confrontational contexts. | [CORE] |
| real | keep it real | He always keeps it real with his fans. | N/A | be authentic, stay true to oneself, be honest | Expression encouraging authenticity and honesty. Common in informal and youth contexts, especially hip-hop culture. | [CORE] |
| real | the real thing | This isn't a copy—it's the real thing. | N/A | genuine article, authentic example, not a substitute | Expression emphasizing authenticity or genuineness. Common in commercial and everyday contexts. | [CORE] |
| real | the real deal | She's not just talented—she's the real deal. | N/A | genuine article, authentic example, truly excellent | Informal expression emphasizing authenticity or excellence. Common in informal and commercial contexts. | [CORE] |
| real | in real life | I know her online, but I've never met her in real life. | N/A | in actual reality, in the physical world, not virtually | Expression distinguishing actual reality from virtual, fictional, or hypothetical contexts. Very common, especially in digital age. Often abbreviated "IRL." | [CORE] |
| real | in real time | We can track the package in real time. | N/A | as it happens, simultaneously, without delay | Technical expression for simultaneous occurrence or processing. Common in computing, broadcasting, and everyday contexts. | [CORE] |
| real | real world | That theory doesn't work in the real world. | N/A | actual reality, practical reality, outside academia/theory | Expression contrasting practical reality with theory, academia, or sheltered environments. Common in practical and critical contexts. | [CORE] |
| real | for real though | For real though, we need to talk about this. | N/A | seriously, in all seriousness, joking aside | Informal discourse marker shifting to serious tone. Common in conversational English, especially among younger speakers. | [CORE] |
| valid | no longer valid | This ticket is no longer valid. | N/A | expired, invalid, not acceptable anymore | Expression indicating that something has expired or become invalid. Common in legal, commercial, and administrative contexts. | [CORE] |
| sound | safe and sound | The children arrived home safe and sound. | N/A | unharmed, in good condition, without injury | Fixed expression indicating safety and well-being. Very common in contexts of return or arrival after potential danger. | [CORE] |
| sound | of sound mind | The will was made when she was of sound mind. | N/A | sane, mentally competent, rational | Legal and formal expression for mental competence. Common in legal contexts, especially wills and contracts. | [CORE] |
| faithful | faithful to | The film is faithful to the original novel. | N/A | accurate to, true to, loyal to | Expression indicating accuracy of reproduction or loyalty. Common in aesthetic and personal contexts. | [CORE] |
| faithful | yours faithfully | (letter closing) Yours faithfully, John Smith | N/A | (formal letter closing) | Formal letter closing used in British English when recipient's name is not used in salutation. Conventional in business correspondence. | [CORE] |
| honest | to be honest | To be honest, I don't think it's a good idea. | N/A | frankly, truthfully, in truth | Discourse marker introducing a frank statement, often admitting something. Very common in conversational English. | [CORE] |
| honest | honest to God / honest to goodness | Honest to God, I didn't know about it. | N/A | truly, really, I swear | Emphatic expression asserting truthfulness. "Honest to God" more emphatic; "honest to goodness" euphemistic. Common in informal speech. | [CORE] |
| honest | make an honest woman of | He finally made an honest woman of her by proposing. | N/A | marry (a woman one has been living with) | Dated expression for marrying a woman, especially after cohabitation. Now often used humorously or ironically. | [CORE] |
| sincere | yours sincerely | (letter closing) Yours sincerely, Jane Doe | N/A | (formal letter closing) | Formal letter closing used in British English when recipient's name is used in salutation. Conventional in business correspondence. American English typically uses "Sincerely" or "Sincerely yours." | [CORE] |
| legitimate | legitimate question | That's a legitimate question. | N/A | valid question, reasonable question, fair question | Expression validating a question as reasonable or appropriate. Common in discussion and debate contexts. | [CORE] |
| legitimate | legitimate concern | You raise a legitimate concern. | N/A | valid concern, reasonable worry, justified anxiety | Expression validating a concern as reasonable. Common in discussion and professional contexts. | [CORE] |
| spurious | spurious correlation | The study found only spurious correlations. | N/A | false correlation, misleading correlation, coincidental relationship | Technical term in statistics for correlations that appear meaningful but are actually coincidental or caused by confounding variables. Used in scientific and analytical contexts. | [CORE] |
| apt | apt to | He's apt to forget things. | N/A | likely to, prone to, inclined to | Expression indicating tendency or likelihood. Common in descriptive contexts about habitual behavior. | [CORE] |
| mistaken | if I'm not mistaken | If I'm not mistaken, we've met before. | N/A | if I remember correctly, unless I'm wrong, I believe | Hedging expression introducing a tentative statement. Common in polite and formal discourse. | [CORE] |
| mistaken | unless I'm mistaken | Unless I'm mistaken, the meeting is tomorrow. | N/A | if I'm not wrong, I believe, as far as I know | Hedging expression introducing a tentative statement. Synonymous with "if I'm not mistaken." | [CORE] |
