# F5 Opposition Table — Yoruba (yo)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| gidi | kì í ṣe gidi | gidi / kì í ṣe gidi | genuine, real / not genuine, not real | gidi affirms authenticity, while kì í ṣe gidi denies it using the emphatic negative copula. This opposition distinguishes genuine instances from fakes or imitations. | morphological | [CORE] |
| òtítọ́ ni | irọ́ ni | òtítọ́ ni / irọ́ ni | it is truth / it is a lie | Both are emphatic copular constructions using the focus marker ni, but with opposite predicates. These are fixed expressions used for strong assertions and denials. | lexical | [CORE] |
| jẹ́ òtítọ́ | jẹ́ irọ́ | jẹ́ òtítọ́ / jẹ́ irọ́ | to be truth, be true / to be a lie, be false | Both use the copular verb jẹ́ with opposite predicates. These constructions identify something as true versus false. | lexical | [CORE] |
| ó yẹ kí o sọ òtítọ́ | kò yẹ kí o purọ́ | ó yẹ kí o sọ òtítọ́ / kò yẹ kí o purọ́ | you should tell the truth / you should not lie | Both use the deontic modal construction with yẹ "be fitting," but the first is affirmative obligation with truthful speech, while the second is negative obligation (prohibition) with lying. This represents both lexical opposition (sọ òtítọ́ vs. purọ́) and morphological negation (ó yẹ vs. kò yẹ). | lexical and morphological | [CORE] |
| fi òtítọ́ hàn | ṣe àṣírí | fi òtítọ́ hàn / ṣe àṣírí | reveal the truth / keep secret, conceal | fi òtítọ́ hàn (literally "use truth show") describes making truth visible, while ṣe àṣírí describes hiding information. These represent opposite actions regarding disclosure. | lexical | [CORE] |
| ìbámu | kò bá mu | ìbámu / kò bá mu | agreement, correspondence / does not correspond, does not agree | ìbámu (nominal) and its verbal form bá mu express correspondence or agreement between things, while kò bá mu negates this, indicating lack of correspondence. This is morphological negation of the correspondence predicate. | morphological | [CORE] |
| jọra | kò jọra | jọra / kò jọra | to resemble, be similar / to not resemble, not be similar | jọra expresses similarity or resemblance, while kò jọra negates it. This is standard morphological negation of the resemblance predicate. | morphological | [CORE] |
| olódodo | aláìṣe òdodo | olódodo / aláìṣe òdodo | righteous person / unrighteous person | olódodo uses the possessive prefix oní- to characterize someone who has righteousness, while aláìṣe òdodo uses the negative possessive oní-àì- to characterize someone who does not do righteousness. This is morphological opposition in agentive nominalization. | morphological | [CORE] |
| oníwà | aláìníwà | oníwà / aláìníwà | one who has character / one without character | oníwà characterizes persons by possession of (good) character, while aláìníwà characterizes persons by lack of proper character, using the negative possessive prefix. This is morphological negation in character attribution. | morphological | [CORE] |
| ṣe bẹ́ẹ̀ | kò ṣe bẹ́ẹ̀ | ṣe bẹ́ẹ̀ / kò ṣe bẹ́ẹ̀ | to be so, be the case / to not be so, not be the case | ṣe bẹ́ẹ̀ affirms that something is the case, while kò ṣe bẹ́ẹ̀ denies it. This is morphological negation of the "being-the-case" construction. | morphological | [CORE] |
| ó jẹ́ bẹ́ẹ̀ | kò jẹ́ bẹ́ẹ̀ | ó jẹ́ bẹ́ẹ̀ / kò jẹ́ bẹ́ẹ̀ | it is so / it is not so | ó jẹ́ bẹ́ẹ̀ affirms that something is the case using the copular verb jẹ́, while kò jẹ́ bẹ́ẹ̀ negates it. This is morphological negation of the copular affirmation. | morphological | [CORE] |
| X jẹ́ Y | X kì í ṣe Y | X jẹ́ Y / X kì í ṣe Y | X is Y / X is not Y | These are the two primary copular constructions for attribution: jẹ́ for positive attribution and kì í ṣe for emphatic negative attribution. This is a constructional opposition between affirmative and negative copula. | constructional | [CORE] |
| Y ni X | Y kọ́ | Y ni X / Y kọ́ | X is Y (emphatic) / it's not Y (emphatic negative) | Both are focus constructions, but Y ni X affirms with the focus copula ni, while Y kọ́ denies with the negative focus marker kọ́. This is constructional opposition in focus marking. | constructional | [CORE] |
| sọ òtítọ́! | má purọ́! | sọ òtítọ́! / má purọ́! | tell the truth! / don't lie! | Both are imperative constructions, but the first is a positive command to speak truthfully, while the second is a negative command (prohibition) against lying. This combines lexical opposition (òtítọ́ vs. purọ́) with constructional opposition (positive vs. negative imperative). | lexical and constructional | [CORE] |
| òtítọ́ àti òdodo | irọ́ àti ẹ̀tàn | òtítọ́ àti òdodo / irọ́ àti ẹ̀tàn | truth and righteousness / lies and deception | These are coordinated pairs representing opposite moral poles. The first combines factual truth with moral righteousness, while the second combines falsehood with deliberate deception. This is lexical opposition in fixed coordinate expressions. | lexical | [CORE] |
| irọ́ kékeré | irọ́ ńlá | irọ́ kékeré / irọ́ ńlá | small lie, white lie / big lie, serious falsehood | Both modify irọ́ "lie" with size adjectives to indicate degree of seriousness. This is lexical opposition using the antonyms kékeré "small" and ńlá "big" to create a scalar contrast. | lexical | [CORE] |
| àṣìṣe kékeré | àṣìṣe ńlá | àṣìṣe kékeré / àṣìṣe ńlá | small error, minor mistake / big error, major mistake | Both modify àṣìṣe "error" with size adjectives to indicate magnitude. This is lexical opposition using kékeré "small" and ńlá "big" to create a scalar contrast in error severity. | lexical | [CORE] |
| gbàgbọ́ láì rí | gbàgbọ́ lẹ́yìn tí o rí | gbàgbọ́ láì rí / gbàgbọ́ lẹ́yìn tí o rí | believe without seeing / believe after seeing | The first describes faith without direct evidence (using negative manner láì rí "without seeing"), while the second describes belief based on observation. This is constructional opposition in manner modification. | constructional | [CORE] for first term, [MARGINAL] for second |
| ní òtítọ́ | ní irọ́ | ní òtítọ́ / ní irọ́ | truthfully, with truth / falsely, with falsehood | Both are manner adverbials using ní "with/in" plus noun, but with opposite predicates. These describe the manner in which actions are performed. | lexical | [CORE] |
| pẹ̀lú òtítọ́ | pẹ̀lú irọ́ | pẹ̀lú òtítọ́ / pẹ̀lú irọ́ | with truth, truthfully / with lies, with falsehood | Both are prepositional phrases using pẹ̀lú "with" plus noun, indicating accompaniment by truth versus falsehood. These are alternative manner expressions to the ní constructions. | lexical | [CORE] |
| tọ́ lọ | tọ́ wá | tọ́ lọ / tọ́ wá | go straight / come straight | Both involve straight/direct movement, but with opposite directional verbs lọ "go" and wá "come." This is lexical opposition in directional serialization. | lexical | [CORE] |
| ìgbàgbọ́ | àìgbàgbọ́ | ìgbàgbọ́ / àìgbàgbọ́ | belief, faith / unbelief, lack of faith | ìgbàgbọ́ is the abstract nominal for belief, while àìgbàgbọ́ uses the negative prefix àì- to create the nominal for lack of belief. This is morphological negation in abstract nominalization. | morphological | [CORE] |
| ìtọ́ | àìtọ́ | ìtọ́ / àìtọ́ | correctness, straightness / incorrectness, untruth | ìtọ́ is the abstract nominal for correctness, while àìtọ́ uses the negative prefix àì- to create the nominal for incorrectness. This is morphological negation in abstract nominalization. | morphological | [CORE] |
| ìṣe òdodo | àṣìṣe | ìṣe òdodo / àṣìṣe | righteous deed / error, wrongdoing | ìṣe òdodo (literally "deed of righteousness") describes morally correct actions, while àṣìṣe (using negative prefix à-ṣì-) describes errors or wrongs. This combines lexical and morphological opposition. | lexical and morphological | [CORE] |
| òtítọ́ wà nínú rẹ̀ | kò sí irọ́ nínú rẹ̀ | òtítọ́ wà nínú rẹ̀ / kò sí irọ́ nínú rẹ̀ | there is truth in him/her / there is no lie in him/her | Both are existential/locative constructions describing character, but the first affirms presence of truth (using wà "exist"), while the second denies presence of falsehood (using kò sí "not exist"). This combines lexical opposition (òtítọ́ vs. irọ́) with constructional opposition (positive vs. negative existential). | lexical and constructional | [CORE] |
| tọ́ púpọ̀ | tọ́ díẹ̀ | tọ́ púpọ̀ / tọ́ díẹ̀ | very correct, quite true / somewhat correct, partly right | Both modify tọ́ "be correct" with degree modifiers, but púpọ̀ "much/very" intensifies while díẹ̀ "a little" diminishes. This is lexical opposition in degree modification creating a scalar contrast. | lexical | [CORE] |
| ìjẹ́rìí tọ́ | ìjẹ́rìí irọ́ | ìjẹ́rìí tọ́ / ìjẹ́rìí irọ́ | true testimony / false testimony | Both modify ìjẹ́rìí "testimony" with opposite truth-value predicates. This is lexical opposition in adnominal modification, common in legal contexts. | lexical | [CORE] |
| ọ̀rọ̀ tọ́ | ọ̀rọ̀ irọ́ | ọ̀rọ̀ tọ́ / ọ̀rọ̀ irọ́ | true statement / false statement | Both modify ọ̀rọ̀ "word/statement" with opposite truth-value predicates. This is lexical opposition in adnominal modification, very common in discourse evaluation. | lexical | [CORE] |
| ọ̀nà tọ́ | ọ̀nà àìtọ́ | ọ̀nà tọ́ / ọ̀nà àìtọ́ | straight path, correct way / wrong path, incorrect way | Both modify ọ̀nà "path/way" with opposite correctness predicates. This is lexical opposition using tọ́ "correct" versus àìtọ́ "incorrect" (morphologically negated form). | lexical and morphological | [CORE] |
| òtítọ́-inú | irọ́ inú | òtítọ́-inú / irọ́ inú | sincerity, inner truth / inner falsehood, insincerity | Both are compounds with inú "inside/heart," but with opposite truth-value predicates. These describe inner states of genuineness versus deception. | lexical | [CORE] |
| tọ́ ọkàn | (no clear opposition identified) | tọ́ ọkàn | be sincere, have a straight heart | While tọ́ ọkàn "straight heart" describes sincerity, no explicit opposite construction with irọ́ or àìtọ́ modifying ọkàn "heart" is attested in the data. The concept would be expressed periphrastically. | N/A | N/A |
| bí ó tọ́ | bí ó kò tọ́ | bí ó tọ́ / bí ó kò tọ́ | as it should be, correctly / as it should not be, incorrectly | Both are manner constructions using bí "as/like," but the first affirms correctness while the second negates it. This is morphological negation in manner expressions. | morphological | [CORE] |
| mú irọ́ | gbà irọ́ | mú irọ́ / gbà irọ́ | catch in a lie, expose falsehood / accept a lie, believe a falsehood | Both involve irọ́ "lie" as object, but mú "catch/seize" describes detecting deception while gbà "accept/receive" describes being deceived. This is lexical opposition in verb choice. | lexical | [CORE] |
| gbà ìjẹ́rìí | kọ ìjẹ́rìí | gbà ìjẹ́rìí / kọ ìjẹ́rìí | accept testimony / reject testimony | Both involve ìjẹ́rìí "testimony" as object, but gbà "accept" describes believing evidence while kọ "reject" describes refusing it. This is lexical opposition in verb choice, common in legal contexts. | lexical | [CORE] |
| Òtítọ́ dára jù irọ́ lọ | Irọ́ kò tó òtítọ́ | Òtítọ́ dára jù irọ́ lọ / Irọ́ kò tó òtítọ́ | Truth is better than lies / Lies don't measure up to truth | Both are comparative constructions contrasting òtítọ́ and irọ́, but the first uses the superiority construction jù...lọ "exceed...go" while the second uses the inferiority construction kò tó "not reach." This is constructional opposition in comparative strategies. | constructional | [CORE] |
