# G5 — Cross-Language Construction Comparison

## 1. Recurring Constructional Functions

Working from the F4 tables across all eight languages, the following constructional functions recur with sufficient cross-language evidence to warrant comparison. These are identified inductively from the data, not imposed from a prior schema.

**Function 1: Attributing a truth-domain property to a subject** — stating that something is true, false, correct, genuine, etc.

**Function 2: Denying a truth-domain property** — stating that something is not true, not correct, not genuine, etc.

**Function 3: Modifying a noun with a truth-domain term** — using a truth-domain adjective or noun to characterize another noun (true story, false document, honest person).

**Function 4: Expressing change of state toward truth or correctness** — describing something becoming true, becoming real, coming to be correct.

**Function 5: Expressing change of state away from truth or correctness** — describing something becoming false, becoming wrong, being revealed as fake.

**Function 6: Causing a truth-domain state** — making something true, verifying, authenticating, correcting, falsifying.

**Function 7: Forming abstract nouns from truth-domain roots** — creating nominals that refer to the quality or state itself (truth, correctness, authenticity).

**Function 8: Forming agent nouns from truth-domain roots** — creating nominals that refer to persons characterized by truth-related behavior (liar, honest person).

**Function 9: Asking whether something has a truth-domain property** — yes/no questions about truth, correctness, genuineness.

**Function 10: Intensifying or emphasizing a truth-domain property** — expressing that something is very true, absolutely correct, completely genuine.

**Function 11: Comparing truth-domain properties** — expressing that one thing is more true, more accurate, or as genuine as another.

**Function 12: Expressing obligation or permission regarding truth** — stating that one should tell the truth, must not lie, is allowed to correct.

**Function 13: Marking the epistemic source of a truth claim** — indicating whether the speaker knows something directly, by report, or by inference.

**Function 14: Using truth-domain terms as discourse markers** — pragmatic uses that frame statements as honest, express surprise, or seek confirmation.

**Function 15: Expressing that truth is revealed or concealed** — constructions for uncovering, discovering, hiding, or exposing truth.

---

## 2. Comparison Table

| Constructional Function | Common Realization Patterns | Languages | Notes on Variation, Restrictions, or Gaps |
| **10. Intensifying or emphasizing a truth-domain property** | Degree adverb; reduplication; emphatic particle; fixed expression | All 8 | **zh**: 很/非常/极其 + adjective (很真实, 非常正确); AABB reduplication (实实在在); emphatic 真 as adverb (真诚实). **he**: לחלוטין (completely, ברור לחלוטין); גמור (complete, שקר גמור); emphatic construction (אמת לאמיתה). **sa**: eva particle (satyam eva = truth alone/truly); kabisa (completely, in Swahili); emphatic stacking (chiqap k'ari in Quechua). **el**: λχλοτιν (completely, ברור לחלוטין); kabisa (completely); emphatic stacking. **en**: absolutely, completely, entirely + adjective; fixed expressions (the naked truth, dead right). **tl**: Reduplication (totoong-totoo, tunay na tunay, tama-tama); sobrang + adjective (sobrang totoo); emphatic particle nga (totoo nga, tama nga). **sw**: kabisa (completely, kweli kabisa, sahihi kabisa); sana (very, kweli sana); reduplication marginal and informal (kweli kweli). **qu**: Emphatic particles chiqap and k'ari; stacking (chiqap k'ari); limitative -lla (chiqanlla = only the truth). Tagalog has the most productive reduplication pattern for intensification. Quechua uses particle stacking rather than degree adverbs. Swahili's kabisa is the most frequent intensifier in the corpus for this function. |
| **11. Comparing truth-domain properties** | Analytic comparative (more + adjective); equative construction | All 8 | **zh**: X 比 Y 更真实 (X more-than Y more authentic); X 和 Y 一样真 (X and Y equally true); standard comparative syntax. **he**: יותר נכון (more correct); הכי מדויק (most precise); analytic only, no synthetic forms. **sa**: No dedicated comparative construction documented in F4; comparison expressed through other means. **el**: πιο + adjective (πιο αληθινός); superlative with ο πιο (ο πιο ακριβής); analytic only. **en**: more + adjective (more accurate); as + adjective + as (as honest as); analytic for most forms; synthetic for short adjectives (truer, righter). **tl**: mas + adjective (mas totoo, mas tama); pinaka- superlative (pinakatotoo, pinakatama). **sw**: No dedicated comparative construction documented in F4 for truth-domain terms specifically. **qu**: No dedicated comparative construction documented in F4. All languages with documented comparative constructions use analytic forms (more + adjective) rather than synthetic forms. Tagalog's pinaka- superlative prefix is the most morphologically integrated comparative device in the corpus. |
| **12. Expressing obligation or permission regarding truth** | Modal verb + truth-domain predicate; optative/subjunctive; imperative | All 8 | **zh**: 应该 (should) + truth-domain predicate (应该说实话); 必须 (must) + predicate (必须面对事实); standard modal syntax. **he**: צריך/חייב + infinitive; imperative (אמור את האמת); prohibitive (אל תשקר). **sa**: Optative mood (satyaṃ brūyāt = one should speak truth); gerundive (asatyaṃ na vaktavyam = falsehood should not be spoken); imperative (satyaṃ vada = speak truth!). **el**: πρέπει να + subjunctive (πρέπει να πει την αλήθεια); imperative (πες την αλήθεια). **en**: should/must + infinitive (should tell the truth, must face the facts); imperative (tell the truth). **tl**: Imperative forms (patunayan mo, itama mo); prohibitive ama + -chu (ama llullakychu = don't lie). **sw**: Imperative (sema ukweli); subjunctive (lazima aseme ukweli). **qu**: Imperative (chiqanta rimay = speak the truth); prohibitive ama + -chu (ama llullakychu = don't lie). Sanskrit's optative mood is the most grammaticalized form for expressing moral obligation in the corpus. Quechua and Tagalog share the ama + -chu prohibitive pattern. |
| **13. Marking the epistemic source of a truth claim** | Obligatory evidential suffix; optional epistemic adverb; reportative construction | Strongly: qu; moderately: zh, he, el, en, sw; weakly: sa, tl | **zh**: 据说 (reportedly), 听说 (I heard); optional reportative markers, not grammatically obligatory. **he**: כנראה (apparently), לפי מה שנאמר (according to what was said); optional. **sa**: No dedicated evidential system; pramāṇa framework distinguishes knowledge sources conceptually but not grammatically in main clauses. **el**: Apparently, reportedly; optional. **en**: apparently, reportedly, allegedly; optional. **tl**: No dedicated evidential system documented in F4. **sw**: No dedicated evidential system documented in F4. **qu**: -mi (direct knowledge), -si (reportative/hearsay), -cha (conjectural); obligatory in main clauses; attaches directly to truth-domain predicates (chiqapmi, llullasi, allincha). Quechua is unique in the corpus: evidential marking is grammatically obligatory, not optional. In all other languages, epistemic source is expressed through optional lexical items or adverbs. This is a structural difference, not merely a difference in degree of lexicalization. |
| **14. Using truth-domain terms as discourse markers** | Fixed phrase introducing frank statement; surprise marker; confirmation-seeking tag | All 8 | **zh**: 说真的 (honestly speaking), 说实话 (to be honest), 老实说 (frankly), 坦白说 (candidly); highly grammaticalized. **he**: באמת? (really?, surprise), להיות כנה (to be honest, discourse frame), האמת היא ש... (the truth is that...). **sa**: satyam (truly, emphatic particle); less clearly grammaticalized as a discourse marker. **el**: αλήθεια? (really?, surprise marker), πραγματικά (really/basically), ουσιαστικά (basically/essentially). **en**: to be honest, to tell the truth, honestly speaking, truth be told; highly grammaticalized. **tl**: sa totoo lang (to be honest), totoo lang (honestly), totóhanán (seriously/for real). **sw**: kwa kweli (truly, emphatic), kwa hakika (certainly); less grammaticalized than zh or en forms. **qu**: chiqap (truly, emphatic particle), k'ari (truly, emphatic — marked as marginal). In all languages where this is attested, the forms have undergone some degree of pragmatic grammaticalization beyond their literal truth-evaluating function. Greek αλήθεια? and Tagalog sa totoo lang are the most grammaticalized. Sanskrit is the weakest case. |
| **15. Expressing that truth is revealed or concealed** | Metaphorical verb of revelation/concealment + truth as object; passive revelation construction | Strongly: he, el, en, tl, sw; moderately: zh, sa; weakly: qu | **zh**: 揭露真相 (reveal+truth), 查明真相 (investigate+truth), 隐瞒真相 (conceal+truth), 真相大白 (truth+becomes-clear); productive collocations. **he**: גילה את האמת (revealed the truth), חשף את האמת (exposed the truth), הסתיר את האמת (hid the truth), האמת תצא לאור (the truth will come to light); truth conceptualized as a hidden object. **sa**: ukweli umedhihirika (truth has become evident); gundua ukweli (discover truth); ficha ukweli (hide truth). **el**: βγαίνει η αλήθεια στη φόρα (truth comes to the surface), αποκαλύπτεται η αλήθεια (truth is revealed), κρύβω την αλήθεια (hide the truth); highly idiomatic. **en**: the truth came to light, reveal the truth, hide the truth, the truth will out; productive. **tl**: ilantad (to expose/reveal), ilihim (to hide/conceal), lantád na (already exposed), inililihim (is being hidden); dedicated verbal forms. **sw**: gundua ukweli (discover truth), ficha ukweli (hide truth), ukweli umedhihirika (truth has become evident). **qu**: chiqanta musyay (perceive the truth), riqsiy (to recognize); appearance verbs (rikch'ay, rikch'akuy) rather than revelation/concealment verbs. The spatial/container metaphor for truth (truth as a hidden object that can be revealed or concealed) is most developed in he, el, en, tl, sw. It is present but less elaborated in zh and sa. Quechua handles this function through perception and appearance verbs rather than through revelation/concealment constructions, suggesting a different conceptual organization. |

---

## 3. Narrative Analysis

### Recurring Cross-Language Constructional Patterns

**Attribution via copula is universal but structurally diverse.** Every language uses some form of copular construction to attribute truth-domain properties to subjects, but the structural details vary considerably. Hebrew and Tagalog use zero copula in present tense as the default; Swahili uses an invariant copula (ni/si) that does not agree with noun class; Chinese requires a nominalizer particle (的) with monosyllabic adjectives; Quechua attaches evidential suffixes to the predicate. Despite these differences, the basic function — predicating a truth-domain property of a subject — is realized in all eight languages through a construction that places the truth-domain term in predicate position.

**Morphological negation and syntactic negation coexist in most languages.** In six of the eight languages (zh, he, sa, el, en, tl), both strategies are available: a negative particle can be added to the copular construction (syntactic negation), or a negative prefix can be attached to the adjective itself (morphological negation). The two strategies are not always interchangeable: in English, "dishonest" and "not honest" have slightly different pragmatic weights; in Chinese, 不是真的 (copular negation) emphasizes categorical denial while 不真实 (direct negation) focuses on the property. Sanskrit's a-/an- privative is the most productive morphological negation device in the corpus, generating fully lexicalized antonyms (asatya, adharma, avidyā) that have their own derivational families. Swahili and Quechua rely primarily on syntactic negation (si, mana) without productive morphological negation of truth-domain adjectives.

**Compounding truth-domain roots with speech verbs is the most consistent constructional pattern across all eight languages.** The construction [truth-domain term + verb of speaking] — whether realized as a compound (zh 说实话), a light verb construction (en tell the truth), an accusative + verb construction (qu chiqanta rimay), or a verb-object collocation (sw sema ukweli) — is attested in every language and is among the most frequent constructions in each language's F4 table. This reflects the fundamental connection between truth and speech acts: the most basic way to express truth-related behavior in all eight languages is through a construction that combines a truth-domain term with a verb of speaking or telling.

**Discourse marker grammaticalization from truth terms is attested in at least seven languages.** The pattern of recruiting truth-domain vocabulary for pragmatic discourse management — introducing frank statements, expressing surprise, seeking confirmation — is documented in zh, he, el, en, tl, sw, and qu. Sanskrit is the weakest case. The degree of grammaticalization varies: Greek αλήθεια? and Tagalog sa totoo lang are highly grammaticalized and no longer compositionally transparent in their discourse marker uses; Chinese 说真的 and Swahili kwa kweli are more compositional. In all cases, the forms have undergone some pragmatic shift beyond their literal truth-evaluating function.

**The agent noun asymmetry (liar lexicalized; truth-teller not) is consistent across all eight languages.** This is the most consistent constructional gap in the corpus. In every language, there is a lexicalized agent noun for "liar" or "deceiver" (zh 骗子, he שקרן, sa mithyāvādin, el ψεύτης, en liar, tl sinungaling, sw mwongo, qu llullakuq). In at least five languages (zh, he, el, en, sw), there is no single derived word for "truth-teller"; the function requires a compound or periphrastic construction. Sanskrit and Quechua have the most productive compound patterns for both positive and negative agents (satyavādin/mithyāvādin, chiqan rimaq/llullakuq), but even in these languages the positive agent is a compound rather than a simple derived form.

### Important Asymmetries, Substitutions, and Restrictions

**The inchoative asymmetry is the most consistent constructional asymmetry in the corpus.** Constructions expressing positive change toward truth or correctness (becoming true, coming true, being verified) are more readily lexicalized and more grammatically natural than constructions expressing negative change (becoming false, turning out to be wrong). English "come true" is a fixed expression that does not extend to *come false. Quechua's -ya- inchoative (allinyay = become good) has no attested parallel for deterioration. Hebrew's התברר (it became clear/turned out to be true) is the standard inchoative for truth-revelation; no parallel form for "turning out to be false" is as grammaticalized. Greek has dedicated verbs for disproof (διαψεύδεται) and invalidation (ακυρώνεται) that partially fill this gap, but these are not parallel inchoative forms. This asymmetry is documented across Sino-Tibetan (zh), Indo-European (en, el, he), Quechuan (qu), and Austronesian (tl).

**The causative asymmetry parallels the inchoative asymmetry.** Causative constructions for establishing truth, verifying, or correcting are well-attested in all eight languages. Causative constructions for making false or causing falsity are more restricted. English "make X true" is largely ungrammatical; dedicated verbs (falsify, forge) are required for the negative direction. Quechua chiqanchay (verify/authenticate) is attested; no parallel *llullachay (make false) is documented. Hebrew has no common direct causative "to make X true" or "to make X false." The negative causative function is typically filled by deception verbs (deceive, forge, falsify) rather than by direct causatives of the falsity adjective. This substitution — deception verbs replacing direct causatives of falsity — is consistent across multiple unrelated families.

**Swahili's invariant copula (ni/si) substitutes for the agreement-based copular constructions found in other languages.** In all other languages in the corpus, the copular construction shows some form of agreement, class sensitivity, or structural variation depending on the subject. Swahili's ni/si is invariant across all noun classes, making it the most structurally simple copular construction in the corpus for this function. This simplicity does not reduce expressive capacity but does mean that the copular construction carries no information about the noun class of the subject.

**Quechua's obligatory evidential suffixes substitute for the optional epistemic adverbs found in other languages.** In all other languages, epistemic source (whether the speaker knows something directly, by report, or by inference) is expressed through optional lexical items (Chinese 据说, Hebrew כנראה, English apparently). In Quechua, this information is grammatically obligatory: every main-clause assertion about truth must be marked for its epistemic source through the -mi/-si/-cha suffixes. This is not merely a more grammaticalized version of the same strategy; it is a structural difference in how the language organizes truth claims. The function of marking epistemic source is present in all languages but is realized through fundamentally different means in Quechua.

**Sanskrit's tatpuruṣa compounding substitutes for the analytic adnominal modification found in other languages.** While all languages use some form of adjective-noun construction for adnominal modification, Sanskrit strongly prefers compound formation (satyavacana, mithyājñāna, samyagdṛṣṭi) over analytic constructions (satya + genitive + vacana). The F4 table notes that the genitive construction is less common than the compound and marks a different semantic relationship. This preference for compounding is more extreme in Sanskrit than in any other language in the corpus.

**Chinese resultative verb compounds are a unique substitution for the periphrastic causative constructions found in other languages.** In all other languages, causation of truth-domain states is expressed through dedicated causative verbs (en verify, authenticate), causative morphology (sw -isha, qu -cha-), or periphrastic constructions (he הוכיח + object). Chinese uses resultative verb compounds where truth-domain roots (正, 实, 真) function as resultative complements indicating the achieved state: 改正 (change+correct = correct), 落实 (settle+solid = implement), 证实 (prove+real = verify). This strategy — using truth-domain roots as resultative complements rather than as the main verb — is not documented in any other language in the corpus.

### Cases Where a Function Is Weakly Expressed, Constructionally Indirect, or Absent

**Function 13 (marking epistemic source) is weakly expressed in most languages.** Only Quechua has grammatically obligatory epistemic source marking. In all other languages, this function is expressed through optional lexical items that are not specifically integrated into the truth-domain constructional system. Sanskrit's pramāṇa framework distinguishes knowledge sources conceptually but does not grammatically mark them in main-clause assertions. Tagalog and Swahili have no documented evidential system in their F4 tables.

**Function 5 (expressing change of state away from truth) is constructionally indirect in most languages.** As noted above, this function is typically expressed through negated inchoatives, periphrastic constructions, or dedicated verbs of disproof rather than through parallel inchoative forms. Greek is the language with the most dedicated constructions for this function (διαψεύδεται = is disproven, ακυρώνεται = is invalidated), but even these are not parallel to the positive inchoative forms.

**Function 15 (expressing that truth is revealed or concealed) is absent or marginal in Quechua.** While this function is well-developed in he, el, en, tl, and sw — where truth is conceptualized as a hidden object that can be revealed or concealed — Quechua handles the related function through perception and appearance verbs (rikch'ay = to appear/seem, musyay = to perceive/realize) rather than through revelation/concealment constructions. This suggests a different conceptual organization: in Quechua, the relevant contrast is between accurate and inaccurate perception rather than between hidden and revealed truth.

**Function 11 (comparing truth-domain properties) is weakly documented in sa, sw, and qu.** The F4 tables for Sanskrit, Swahili, and Quechua do not include dedicated comparative constructions for truth-domain terms. This may reflect a gap in the data rather than a genuine absence of comparative constructions in these languages, but it cannot be confirmed from the available F4 evidence.

**The pseudo-X compound function (evaluating false claims to category membership) is present only in Greek.** The Greek ψευδ- prefix generates a distinct constructional pattern for evaluating whether something falsely claims to belong to a legitimate category (ψευδοεπιστήμη = pseudoscience, ψευδοδημοκρατία = pseudo-democracy). While other languages have some equivalent compounds (English pseudoscience, Chinese 伪科学), none generates them as systematically from a single prefix that is also the root for "lie/false." This constructional function — using the falsity root to evaluate category membership claims — is not documented as a productive pattern in any other language in the corpus.
