| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| αλήθεια (*alíthia*) | κατά βάθος η αλήθεια είναι ότι… | katá vathos i alíthia íne óti… | Deep down, the truth is that… | A compound discourse frame combining the depth-metaphor (κατά βάθος = deep down) with the truth-framing construction. Used to introduce a frank assessment of an underlying reality. Common in spoken and written Greek. | [CORE] |
| αλήθεια (*alíthia*) | με την αλήθεια στο στόμα | me tin alíthia sto stóma | with the truth on one's lips; speaking truthfully | A fixed prepositional phrase used to describe someone who speaks frankly and truthfully. Used in everyday and literary registers to characterize a person's manner of speaking. | [MARGINAL] |
| αλήθεια (*alíthia*) | Αυτή είναι η αλήθεια. | Aftí íne i alíthia. | That is the truth. / That's the truth of it. | A fixed assertive construction used to close a statement with an emphatic truth-claim. Functions as a discourse-closing or emphatic-assertion device. Common in everyday speech and formal discourse. | [CORE] |
| αλήθεια (*alíthia*) | Δεν υπάρχει μία αλήθεια. | Dhen ipárchi mía alíthia. | There is no single truth. / Truth is not one. | A fixed philosophical or relativist assertion used in academic, journalistic, and everyday discourse to challenge the idea of a single objective truth. Functions as a recognized argumentative formula in contemporary discourse. | [CORE] |
| αλήθεια (*alíthia*) | η δική μου αλήθεια | i dhikí mu alíthia | my truth, my own truth | A construction used in contemporary discourse — particularly in psychological, therapeutic, and social media registers — to assert a personal or subjective truth. Reflects a relativist framing of truth as individually constituted. Common in contemporary spoken and written Greek. | [CORE] |
| αλήθεια (*alíthia*) | Η αλήθεια είναι σχετική. | I alíthia íne schetikí. | Truth is relative. | A fixed philosophical assertion used in academic and everyday discourse to express relativism about truth. Functions as a recognized argumentative formula. Common in contemporary discourse. | [CORE] |
| αλήθεια (*alíthia*) | Κρύβει την αλήθεια. | Krívi tin alíthia. | He/she is hiding the truth. | Transitive construction with αλήθεια as direct object of κρύβω (to hide). Very common in everyday speech, journalism, and legal contexts to accuse someone of concealing true information. | [CORE] |
| αλήθεια (*alíthia*) | Αποκάλυψε την αλήθεια. | Apokálipse tin alíthia. | He/she revealed the truth. | Transitive construction with αλήθεια as direct object of αποκαλύπτω (to reveal, uncover). Common across all registers. The verb αποκαλύπτω etymologically echoes the Greek concept of truth as unconcealment (αλήθεια), making this a semantically resonant pairing. | [CORE] |
| αλήθεια (*alíthia*) | Δεν αντέχει την αλήθεια. | Den andéhi tin alíthia. | He/she cannot bear the truth. | Construction treating αλήθεια as an object of emotional endurance. Used in everyday and literary registers to describe a person's psychological resistance to confronting true but unpleasant facts. | [CORE] |
| αλήθεια (*alíthia*) | Η αλήθεια είναι πάντα σχετική. | I alíthia íne pánda shetikí. | Truth is always relative. | Predicative construction used in philosophical, cultural, and everyday discourse to assert relativism about truth. Common in informal philosophical discussion and journalistic commentary. | [CORE] |
| αλήθεια (*alíthia*) | Δεν υπάρχει μία και μόνη αλήθεια. | Den ipárhi mía ke móni alíthia. | There is no single truth. / There is not one and only one truth. | A construction used in philosophical, political, and cultural discourse to deny the existence of a single authoritative truth. Common in discussions of pluralism, relativism, and post-truth discourse. | [CORE] |
| αλήθεια (*alíthia*) | Έχει το θάρρος της αλήθειας. | Éhi to tháros tis alíthias. | He/she has the courage of truth. / He/she has the courage to tell the truth. | A construction pairing αλήθεια with θάρρος (courage) in a genitive relationship. Used in moral and journalistic discourse to praise someone who speaks truth despite personal risk or social pressure. | [CORE] |
| αλήθεια (*alíthia*) | Στο όνομα της αλήθειας | Sto ónoma tis alíthias | In the name of truth | A prepositional construction used in rhetorical and moral discourse to invoke truth as a justifying principle for an action or statement. Common in journalism, political speech, and formal argumentation. | [CORE] |
| αλήθεια (*alíthia*) | λέω την αλήθεια στα μούτρα κάποιου | léo tin alíthia sta mútra kápiu | to tell someone the truth to their face; to say something bluntly to someone's face | A colloquial idiomatic construction combining truth-telling with the idiom στα μούτρα (literally "in the face/snout"), indicating directness or bluntness. Used in everyday speech to describe frank, unsparing honesty. | [CORE] |
| αλήθεια (*alíthia*) | η αλήθεια βγαίνει στο φως | i alíthia vgéni sto fos | the truth comes to light; the truth comes out | A fixed idiomatic construction using the verb βγαίνω (to come out) and the noun φως (light). Used in everyday, journalistic, and literary registers to describe the eventual revelation of a hidden truth. | [CORE] |
| αλήθεια (*alíthia*) | η αλήθεια είναι στη μέση | i alíthia íne sti mési | the truth is in the middle; the truth lies somewhere between the two positions | A proverbial construction expressing the view that truth is found between two extreme positions. Used in everyday and journalistic registers when mediating between conflicting accounts. | [CORE] |
| αλήθεια (*alíthia*) | κρύβω την αλήθεια | krívo tin alíthia | to hide the truth, to conceal the truth | A common verbal construction used across all registers to describe the deliberate concealment of true information. Contrasts with λέω την αλήθεια. | [CORE] |
| αλήθεια (*alíthia*) | αποκαλύπτω την αλήθεια | apokalípto tin alíthia | to reveal the truth, to uncover the truth | A common verbal construction used in journalistic, legal, and everyday registers to describe the act of bringing hidden truth to light. | [CORE] |
| αλήθεια (*alíthia*) | παραμορφώνω την αλήθεια | paramorfonó tin alíthia | to distort the truth, to twist the truth | Used in journalistic and political registers to describe the deliberate misrepresentation of facts while maintaining a surface appearance of truth-telling. | [CORE] |
| αλήθεια (*alíthia*) | στρεβλώνω την αλήθεια | strevlóno tin alíthia | to distort the truth, to warp the truth | Functionally similar to παραμορφώνω την αλήθεια but with a slightly stronger connotation of deliberate warping or bending. Used in formal and journalistic registers. | [CORE] |
| αλήθεια (*alíthia*) | υπηρετώ την αλήθεια | ipiretó tin alíthia | to serve the truth; to be in the service of truth | A formal construction used in journalistic, academic, and moral discourse to describe a commitment to truth as a value. Carries an elevated or idealistic register. | [CORE] |
| αλήθεια (*alíthia*) | αντιμετωπίζω την αλήθεια | andimetopízo tin alíthia | to face the truth, to confront the truth | Used in everyday and psychological registers to describe the act of accepting or acknowledging a difficult reality. Common in therapeutic and self-help discourse. | [CORE] |
| αλήθεια (*alíthia*) | για να λέμε την αλήθεια | ya na léme tin alíthia | to tell the truth; to be honest; if we're being honest | A fixed discourse marker used to introduce a candid or qualifying statement, often one that contradicts or complicates what has just been said. Extremely common in everyday speech as a hedging or framing device. | [CORE] |
| αλήθεια (*alíthia*) | αν θέλεις την αλήθεια | an thélis tin alíthia | if you want the truth; if you want my honest opinion | A colloquial conditional construction used to preface a frank or potentially unwelcome statement. Functions as a softening or framing device in everyday conversation. | [CORE] |
| αλήθεια (*alíthia*) | χωρίς να κρύβω την αλήθεια | chorís na krívo tin alíthia | without hiding the truth; frankly; honestly | A participial construction used as a discourse marker to signal candor. Used in formal and everyday registers. | [CORE] |
| αλήθεια (*alíthia*) | η αλήθεια πονάει | i alíthia ponái | the truth hurts | A fixed proverbial construction used in everyday speech to acknowledge that honest statements can be painful. Functionally equivalent to the English "the truth hurts." | [CORE] |
| αλήθεια (*alíthia*) | η αλήθεια είναι σχετική | i alíthia íne schetikí | truth is relative | A philosophical and everyday construction used to express relativism about truth. Common in informal philosophical discussion and everyday argumentation. | [CORE] |
| αληθινός (*alithinós*) | αληθινός φίλος | alithinós fílos | true friend, genuine friend | A common collocation used to distinguish a genuine, loyal friend from a superficial acquaintance. Already documented in P1b. Functions as a recognized evaluative collocation in everyday speech and proverbial expressions. | [CORE] |
| αληθινός (*alithinós*) | αληθινή ιστορία | alithiní istoría | true story, real story | Used to label narratives as based on actual events rather than fiction. Already documented in P1b. The phrase "βασισμένο σε αληθινή ιστορία" (based on a true story) is a recognized formula in film and journalism. | [CORE] |
| αληθινός (*alithinós*) | αληθινός εαυτός | alithinós eftós | true self, authentic self | Used in psychological, philosophical, and popular discourse to refer to a person's genuine identity. Already documented in P1b. Common in self-help and therapeutic registers. | [CORE] |
| αληθινός (*alithinós*) | αληθινός Θεός | alithinós Theós | the true God | Used in Christian theological and liturgical discourse to distinguish the God of Christian faith from false gods. Already documented in P1b. Appears in the Nicene Creed and other liturgical texts as a fixed formula. | [CORE] |
| αληθινός (*alithinós*) | Είναι αληθινό αυτό; | Íne alithinó aftó? | Is this true? / Is this real? | A common interrogative construction used in everyday speech to question the truth or reality of a claim or situation. Fully compositional but functions as a canonical truth-questioning formula. | [CORE] |
| αληθινός (*alithinός*) | αληθινή αγάπη | alithiní agápi | true love, real love | A common collocation used in everyday, literary, and popular cultural contexts to describe genuine romantic love. Parallel to αληθής αγάπη but more colloquial. Common in song lyrics, film, and everyday speech. | [CORE] |
| αληθινός (*alithinós*) | Βασισμένο σε αληθινή ιστορία | Vasizméno se alithiní istoría | Based on a true story | A fixed formula used in film, television, and publishing to indicate that a narrative is based on actual events. Functions as a recognized genre-marking phrase. Extremely common in contemporary media. | [CORE] |
| αληθινός (*alithinós*) | Αυτό είναι αληθινό. | Aftó íne alithinó. | This is true. | (Translation field present in source as incomplete; entry preserved as attested.) | [CORE] |
