| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| **3. ADNOMINAL MODIFICATION** — Adjective + prepositional scope phrase | נָכוֹן לְהַיּוֹם | *nakhon le-hayom* | "correct as of today" | Productive formula in administrative and journalistic registers; specifies temporal scope of a truth-claim. Restricted to contexts where temporal validity is at issue. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — Noun + *shel*-genitive | גַּרְעִין שֶׁל אֱמֶת | *garʿin shel ʾemet* | "a kernel of truth" | Common in argumentative and evaluative discourse; the *shel*-phrase modifies quantity or degree of truth. Also attested: חֲצִי אֱמֶת ("half-truth"). | [CORE] |
| **4. BECOME / INCHOATIVE** — *hafakh le-* periphrastic | הַמָּקוֹר הָפַךְ לְלֹא אָמִין | *ha-maqor hafakh le-lo ʾamin* | "The source became unreliable" | *hafakh le-* is the general inchoative strategy and is common across registers; *nimtsa* + predicate adjective is more specifically associated with legal and evaluative discourse, recording a change in assessed status. No dedicated inchoative morphology exists for truth-domain adjectives; construction is compositional and not lexicalized. | [CORE] |
| **4. BECOME / INCHOATIVE** — *hafakh le-* with nominal complement | זֶה הָפַךְ לֶאֱמֶת | *ze hafakh le-ʾemet* | "this became truth / this turned out to be true" | Periphrastic inchoative; used across registers. Standard periphrastic pattern; applies to both nominal and adjectival complements. Restricted to contexts of change-of-state; not used for stable properties. | [CORE] |
| **4. BECOME / INCHOATIVE** — *hafakh le-* with adjectival complement | הַחוֹזֶה הָפַךְ לְבָטֵל | *ha-ḥoze hafakh le-batel* | "the contract became void" | Standard periphrastic pattern; applies to both nominal and adjectival complements. Restricted to contexts of change-of-state; not used for stable properties. | [CORE] |
| **4. BECOME / INCHOATIVE** — Hitpaʿel binyan | הָאֵמוּן הִתְעַרְעֵר | *ha-ʾimun hitʿarer* | "the trust was shaken / eroded" | Natural and idiomatic; *hitʿarer* with *ʾimun* is a well-established collocation in journalistic and political discourse. Hitpaʿel binyan carries inchoative force productively. | [CORE] |
| **4. BECOME / INCHOATIVE** — Intransitive verb with abstract noun subject | הַסָּפֵק גָּדַל | *ha-safek gadal* | "the doubt grew" | Common in narrative and journalistic registers; intransitive verb *gadal* with abstract noun subject is a natural Hebrew pattern. Less morphologically marked than hitpaʿel forms. | [CORE] |
| **5. CAUSATIVE** — Hifʿil binyan | לְהַצְדִּיק | *lehatsdiq* | "to justify / to declare righteous / to vindicate" | The Hif'il causative/declarative is productive only for roots with an attested Hif'il in this domain (e.g., צ-ד-ק, כ-ש-ר); roots such as ד-י-ק and ז-י-פ do not have a productive Hif'il here, and no Hif'il causative is in common use for *ʾemet* or *sheqer* directly. Coverage across the domain is therefore uneven. Common in legal, ethical, and argumentative registers. The Hifʿil form is the standard and expected pattern; no productive alternate morphological causative is attested for this domain. | [MARGINAL] |
| **5. CAUSATIVE** — Hifʿil binyan | לְהַטְעוֹת | *lehatʿot* | "to mislead, to cause to err" | Morphological causative via Hifʿil binyan; highly productive and idiomatic. Operates primarily on persons (causing someone to err, believe, be justified) rather than on propositions. | [CORE] |
| **5. CAUSATIVE** — Lexicalized Hifʿil | לְהַאֲמִין | *lehaʾamin* | "to believe" | The standard verb for belief across all registers; the causative sense ("to cause to believe") is not available from this form and must be expressed periphrastically. Lexicalization has obscured the morphological causative meaning. | [CORE] |
| **5. CAUSATIVE** — Lexicalized form | לְאַשֵּׁר | *leʾasher* | "to confirm, to authorize" | Frequent in administrative, legal, and journalistic registers; the range of meanings (confirm, authorize, approve) reflects lexicalization across contexts. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** — Adj + *-ut* suffix | אֲמִינוּת | *ʾaminut* | "reliability, credibility, trustworthiness" | The *-ut* suffix is the most consistently productive nominalization process across all adjectival bases in this domain and is unrestricted in register; highly frequent in journalistic, legal, and academic registers. The prefix אִי- combines productively with *-ut* forms to yield negated abstracts, attested specifically in formal and legal registers. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** — Adj + *-ut* suffix | מְקוֹרִיּוּת | *meqoriyut* | "originality, genuineness" | Attested in academic, legal (intellectual property), and critical discourse; the *-ut* suffix applies regularly to the adjectival base *meqori*. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** — Adj + *-ut* suffix | סְבִירוּת | *sevirut* | "reasonableness" | Highly regular and productive; attested across the full range of truth-domain adjectives (מְהֵימָנוּת, עַקְבִּיּוּת, אֲמִתִּיּוּת, תִּקִינוּת, הֲגוּנוּת, יְשָׁרוּת). No observable register restriction. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** — Root + *-an* suffix | שַׁקְרָן | *shaqran* | "liar, habitual liar" | The *-an* agentive suffix is attested in this domain for *shaqran* / *shaqranit*; highly frequent across registers; *shaqran* is the default term for a habitual liar and carries strong characterological implication. Not interchangeable with the active participle. The *-an* pattern is productive for negative or characterological evaluations; no symmetric positive agentive (e.g., "truth-teller") is lexicalized with *-an*; positive function is served periphrastically. The *-an* agentives productively generate further *-anut* abstracts (שַׁקְרָנוּת, דַּיְקָנוּת). | [MARGINAL] |
| **7. AGENTIVE NOMINALIZATION** — Root + *-an* suffix | דַּיְקָן | *dayqan* | "a precise/meticulous person, stickler for accuracy" | Common in everyday and evaluative registers; *-an* agentives productively generate further *-anut* abstracts (שַׁקְרָנוּת, דַּיְקָנוּת). Restricted to characterological, habitual meanings rather than single-event agency. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** — Active participle | מְזַיֵּף | *mezayef* | "forger" | Common in legal and journalistic registers; the active participle form is used both predicatively and attributively. Implies a specific or ongoing act rather than a habitual character trait. The active participle construction (*dover ʾemet*, *mezayyef*, *medayyeq*) is the general agentive strategy for other items: no *-an* agentive is available and is more broadly productive. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** — Active participle | מַאֲמִין | *maʾamin* | "believer, one who trusts/believes" | Attested as an alternate agentive form in this domain. | [MARGINAL] |
| **8. PREPOSITIONAL ADVERBIAL** — *be-* + truth-domain noun | בֶּאֱמֶת | *beʾemet* | "truly, really, honestly, in truth" | The *be-* + abstract noun pattern is highly productive in this domain and is the primary strategy for adverbializing truth-domain nominals; *beʾemet* in particular has grammaticalized as a sincerity and intensifier marker across colloquial and formal registers alike. Has acquired pragmatic functions (discourse particle, sincerity marker) beyond its compositional meaning; exceptionally high token frequency in everyday speech. | [CORE] |
| **8. PREPOSITIONAL ADVERBIAL** — *be-* + truth-domain noun | בְּכַנּוּת | *be-kanut* | "sincerely, honestly, frankly" | Common as sincerity marker and manner adverbial in spoken and written registers. Pattern is compositional but several items (especially *beʾemet*, *bediyyuq*) have pragmaticized beyond compositional meaning. Sentence-initial adverbial position is typical; functions as an epistemic or manner frame across registers. | [CORE] |
| **8. PREPOSITIONAL ADVERBIAL** — *be-* + truth-domain noun (grammaticalized) | בְּדִיּוּק | *bediyyuq* | "exactly, precisely" | *Be-diyuq* has grammaticalized as a precision adverb and is among the most frequent items in this set; it is no longer restricted to truth-domain contexts and occurs freely as a quantificational modifier. More grammaticalized than other members of the same pattern. | [CORE] |
| **8. PREPOSITIONAL ADVERBIAL** — *be-* + truth-domain noun | בְּדִיּוּק עֲשָׂרָה | *be-diyuq ʿasarah* | "exactly ten" | *Be-diyuq* has grammaticalized as a precision adverb and is among the most frequent items in this set; it is no longer restricted to truth-domain contexts and occurs freely as a quantificational modifier. | [CORE] |
| **9. CONCESSIVE / EPISTEMIC FRAME** — Truth-adjective + *she-* clause | נָכוֹן שֶׁהוּא צוֹדֵק, אֲבָל... | *nakhon she-hu tsodeq, aval...* | "It is true that he is right, but..." | This construction is a discourse-level concessive marker used specifically to manage epistemic stance in argumentation; it is structurally distinct from simple attribution in that it embeds a full clause and is characteristically followed by a counterpoint. Among the most frequent discourse patterns in spoken and written Hebrew argumentation; functions specifically as a concessive frame acknowledging a true premise before a counterpoint. Strongly associated with the adversative connector אֲבָל. Restricted to argumentative and evaluative discourse contexts. | [CORE] |
| **9. CONCESSIVE / EPISTEMIC FRAME** — Truth-adjective + *she-* clause | נָכוֹן שֶׁהוּא נִיסָּה, אֲבָל... | *nakhon she-hu nissa, ʾaval...* | "It is true that he tried, but..." | Among the most frequent discourse patterns in spoken and written Hebrew argumentation; functions specifically as a concessive frame acknowledging a true premise before a counterpoint. Strongly associated with the adversative connector אֲבָל. | [CORE] |
| **9. CONCESSIVE / EPISTEMIC FRAME** — Truth-adjective + *she-* clause (interrogative) | נָכוֹן שֶׁאָמַרְתָּ שֶׁלֹּא הָיִיתָ שָׁם? | *nakhon she-ʾamarta she-lo hayita sham?* | "is it correct that you said you were not there?" | Attested specifically in interrogative contexts, particularly legal cross-examination; functions to confirm or challenge a prior assertion. Restricted to interrogative illocutionary force. | [CORE] |
| **9. CONCESSIVE / EPISTEMIC FRAME** — Epistemic frame | סָבִיר שֶׁהַמַּצָּב יִשְׁתַּנֶּה | *savir she-ha-matsav yishtanneh* | "It is reasonable that the situation will change" | Common in analytical, journalistic, and formal registers; functions as epistemic frame rather than concessive frame. Productive with נָכוֹן, סָבִיר, and similar truth-domain adjectives. | [CORE] |
| **10. TRUTH-PREDICATE FRAME** — Declarative | הָאֱמֶת הִיא שֶׁהַמַּצָּב הֶחְמִיר | *ha-ʾemet hi she-ha-matsav heḥmir* | "the truth is that the situation has worsened" | Used in declarative contexts to introduce corrective or clarifying statements; frequent in journalistic, political, and conversational registers. Restricted to declarative illocutionary force. | [CORE] |
| **11. VERBAL PERIPHRASIS** — Verb + *ʾemet* (indefinite) | לְדַבֵּר אֱמֶת | *ledaber ʾemet* | "to tell the truth" | Fixed collocation; *ledaber ʾemet* is the standard idiomatic expression for truth-telling across registers. The indefinite noun (*ʾemet* without *ha-*) is obligatory in this collocation. | [CORE] |
| **11. VERBAL PERIPHRASIS** — Verb + *ha-ʾemet* (definite) | לְעַוֵּת אֶת הָאֱמֶת | *leʿavvet et ha-ʾemet* | "to distort the truth" | Frequent in journalistic and legal registers; the definite object (*ha-ʾemet* with *et*) is the expected form when referring to a specific truth. Part of a productive set of verbs taking *ha-ʾemet* as object. | [CORE] |
