| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| חוּקִי (*ḥuqi*) | אִי-חוּקִיּוּת (*ʾi-ḥuqiyyut*) | *ḥuqi* / *ʾi-ḥuqiyyut* | legal, lawful / illegality, unlawfulness | This opposition is asymmetric: *ḥuqi* is an adjective while *ʾi-ḥuqiyyut* is an abstract noun formed by the *ʾi-* prefix on the *-ut* nominalization. P2a (item 19.2) documents *ʾi-ḥuqiyyut* as used "in legal and administrative discourse to describe the quality of being illegal or unlawful." The *ʾi-* prefix on *-ut* nominals is documented in P4b as productive specifically in formal and legal registers. | morphological (negation via *ʾi-* prefix on nominalization) | [CORE] |
| לֶגִיטִימִי (*legitimi*) | בִּלְתִּי לֶגִיטִימִי (*bilti legitimi*) | *legitimi* / *bilti legitimi* | legitimate / illegitimate, not legitimate | P2a (item 20.3) documents *bilti legitimi* as "the adjectival negation used to describe something as lacking legitimacy" and as "the direct antonym of *legitimi*." The *bilti* negator is used here rather than *lo*, consistent with the formal register of the loanword. | morphological (negation) | [CORE] |
| לֶגִיטִימִיּוּת (*legitimiyyut*) | אִי-לֶגִיטִימִיּוּת (*ʾi-legitimiyyut*) | *legitimiyyut* / *ʾi-legitimiyyut* | legitimacy / illegitimacy, lack of legitimacy | P2a (item 20.2) documents *ʾi-legitimiyyut* as used "in political and legal discourse to describe the absence of legitimacy in a claim, authority, or action." This is a nominalized opposition, parallel to the *ḥuqiyyut* / *ʾi-ḥuqiyyut* pair (Opposition 19), using the productive *ʾi-* prefix on the *-ut* abstract noun. | morphological (negation via *ʾi-* prefix) | [CORE] |
| תָּקֵף (*taqef*) | לֹא תָּקֵף (*lo taqef*) | *taqef* / *lo taqef* | valid, in force / invalid, expired | P2a (item 21.2) documents *lo taqef* as "the standard negated form used in legal and administrative contexts to describe a document, license, or decision that is no longer valid or has expired." P2b (Constructions 15.6 and 15.3) documents *taqef ʿad* as specifying the boundary of validity, while *lo taqef* evaluates a document as having passed that boundary. The opposition is between current legal validity and its absence or lapse. | morphological (negation) | [CORE] |
| תָּקֵף (*taqef*) | בָּטֵל (*batel*) | *taqef* / *batel* | valid, in force, legally binding / null, void, invalid, annulled | P1 explicitly identifies these as contrasting terms (*batel* is described as contrasting with *taqef*), and P3 Group 7 describes them as "direct antonyms within this group." The opposition is central to legal and administrative discourse. | lexical | [CORE] |
| תָּקִין (*taqin*) | לֹא תָּקִין (*lo taqin*) | *taqin* / *lo taqin* | proper, in order, functioning correctly / not in order, not functioning properly | P2a (item 18.3) documents *lo taqin* as "the negated adjectival form used in everyday and formal contexts to describe something that is not functioning as it should or does not meet required standards." The opposition evaluates conformity to a procedural or technical standard rather than moral rightness. | morphological (negation) | [CORE] |
| תְּקִינוּת (*teqinut*) | אִי-תְּקִינוּת (*ʾi-teqinut*) | *teqinut* / *ʾi-teqinut* | proper functioning, regularity / improper functioning, irregularity, non-compliance | P2a (item 18.2) and P2a (item 14.2) document *ʾi-teqinut* as used "in administrative, legal, and technical contexts to describe a failure to meet required standards of proper functioning or procedure" and in "administrative and regulatory discourse to evaluate procedural non-compliance." This is the nominalized form of the *taqin* / *lo taqin* opposition, used in more formal registers. | morphological (negation via *ʾi-* prefix) | [CORE] |
| סָבִיר (*savir*) | בִּלְתִּי סָבִיר (*bilti savir*) | *savir* / *bilti savir* | reasonable, plausible / unreasonable, implausible | P2a (item 30.3) documents *bilti savir* as "the adjectival negation used to describe something as unreasonable or implausible" and as "the direct antonym of *savir*." The opposition is central in legal discourse, particularly in Israeli administrative law. | morphological (negation) | [CORE] |
| סְבִירוּת (*sevirut*) | אִי-סְבִירוּת (*ʾi-sevirut*) | *sevirut* / *ʾi-sevirut* | reasonableness / unreasonableness | P2a (item 30.2) and P2a (item 17.2) and P3 Group 11 document *ʾi-sevirut* as used "in legal and administrative discourse to describe a decision or action that fails to meet the standard of reasonableness." P2a notes that *ʾi-sevirut qitsunit* (extreme unreasonableness) "is a key standard in Israeli administrative law for judicial review of government decisions." Courts may strike down decisions on grounds of *ʾi-sevirut*. This nominalized opposition has acquired particular institutional salience beyond the adjectival pair. | morphological (negation via *ʾi-* prefix) | [CORE] |
| דִּיּוּק (*diyyuq*) | אִי-דִּיּוּק (*ʾi-diyyuq*) | *diyyuq* / *ʾi-diyyuq* | precision, exactness / imprecision, inaccuracy | P2a (item 4.4) and P2a (item 4.6) document *ʾi-diyyuq* as used "in formal and written Hebrew" and "in scientific, journalistic, and legal contexts to describe the absence of precision in a statement, measurement, or representation." The opposition is between the presence and absence of exactness, evaluated in academic, legal, and journalistic contexts. | morphological (negation via *ʾi-* prefix) | [CORE] |
| מְדוּיָּק (*meduyaq*) | לֹא מְדוּיָּק (*lo meduyaq*) | *meduyaq* / *lo meduyaq* | precise, accurate / not precise, inaccurate | P2b (item 4.2) documents *lo meduyaq* as "the standard negated form used to describe a statement, measurement, or representation that lacks precision." This is the adjectival-level opposition corresponding to the nominalized *diyyuq* / *ʾi-diyyuq* pair (Opposition 28). | morphological (negation) | [CORE] |
| מְדֻיָּק (*meduyaq*) | מְעֻרְפָּל (*meʿurpal*) | *meduyaq* / *meʿurpal* | accurate, precise, exact / vague | P1 item 4 explicitly lists *meʿurpal* as a contrast term for *meduyaq* ("Contrasts with מעורפל (meʿurpal, 'vague')"). The opposition concerns the degree of specificity and exactness in a representation. | lexical | [CORE] |
| מְדֻיָּק (*meduyaq*) | מְשֻׁעָר (*meshuʿar*) | *meduyaq* / *meshuʿar* | accurate, precise, exact / approximate | P1 item 4 explicitly lists *meshuʿar* as a contrast term for *meduyaq* ("Contrasts with... משוער (meshuʿar, 'approximate')"). The opposition concerns the degree of exactness versus approximation in a measurement or description. | lexical | [CORE] |
| צַדִּיק (*tsaddiq*) | רָשָׁע (*rashaʿ*) | *tsaddiq* / *rashaʿ* | righteous person / wicked person | The fixed phrase *tsaddiq ve-rashaʿ* (the righteous and the wicked) is documented in P1b (Root צ-ד-ק, item 16) as "a fixed binary phrase used in biblical, rabbinic, and moral discourse to describe the fundamental moral division" between those who conform to righteous standards and those who do not. The opposition is lexical and the two terms define the poles of a moral binary. | lexical | [CORE] |
| אֱמֶת אוֹבְּיֶקְטִיבִית (*ʾemet obyektivit*) | אֱמֶת סוּבְּיֶקְטִיבִית (*ʾemet subyektivit*) | *ʾemet obyektivit* / *ʾemet subyektivit* | objective truth / subjective truth | These are documented in P1b (Root א-מ-ת, items 29–30) as contrasting collocations: *ʾemet subyektivit* describes "truth that holds from a particular perspective or for a particular subject," while *ʾemet obyektivit* describes "truth that holds independently of any particular perspective or subject." P1b explicitly states that the two "contrast" with each other. | lexical (constructional collocations) | [CORE] |
| אֱמוּנָה עִוֶּרֶת (*ʾemuna ʿiveret*) | אֱמוּנָה אֲמִתִּית (*ʾemuna ʾamitit*) | *ʾemuna ʿiveret* / *ʾemuna ʾamitit* | blind faith / genuine faith | P1b (Root א-מ-נ, item 25) explicitly contrasts *ʾemunat shaʾv* (false/misplaced belief) with *ʾemuna ʾamitit* (genuine faith), and item 26 documents *ʾemuna ʿiveret* (blind faith) as carrying "a negative evaluative connotation." The opposition is between faith held without examination and faith that is genuinely grounded; the contrast is stated in P1b. | lexical (constructional collocations) | [MARGINAL] |
| אֱמוּנַת שָׁוְא (*ʾemunat shaʾv*) | אֱמוּנָה אֲמִתִּית (*ʾemuna ʾamitit*) | *ʾemunat shaʾv* / *ʾemuna ʾamitit* | false belief, vain faith, misplaced trust / genuine faith | P1b (Root א-מ-נ, item 25) explicitly states that *ʾemunat shaʾv* "contrasts with *ʾemuna ʾamitit* (genuine faith)." The opposition is between belief or trust that is unfounded or misplaced and belief that is genuinely warranted. | lexical (constructional collocations) | [MARGINAL] |
| חֲצִי אֱמֶת (*ḥatsi ʾemet*) | אֱמֶת (*ʾemet*) | *ḥatsi ʾemet* / *ʾemet* | half-truth / truth | (Opposition 36 — entry ends mid-sentence in source; content preserved as given) | (no clear opposition identified) | (no clear opposition identified) |
