| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| *baliogabea eta indarrik gabea* | *baliozkoa izaten jarraitu* | N/A | null and void, invalid and without force / to remain valid, to continue to be valid | P2b documents both constructions in legal contexts. The first asserts complete nullity; the second asserts ongoing validity. The contrast is between the termination of legal standing and its continuation. | constructional | [CORE] |
| *fidagarri* / *fidagarria* | *fidaezin* | N/A | trustworthy; reliable / untrustworthy; unreliable | P1 and P2a document *fidaezin* as one of the negative counterparts to *fidagarri*, formed by replacing the positive potential suffix *-garri* ("worthy of") with the negative potential suffix *-ezin* ("impossible to"). The opposition is morphological, realized through suffix alternation on the same verbal base *fida-*. | morphological | [CORE] |
| *fidagarri* / *fidagarria* | *fidagaitz* / *fidagaitza* | fidagarria / fidagaitza | trustworthy; reliable / untrustworthy; hard to trust | P1 and P2a document *fidagaitz* as a second negative counterpart to *fidagarri*, formed with the suffix *-gaitz* ("difficult, resistant") rather than *-ezin* ("impossible"). P2a notes that *fidagaitz* is "slightly less absolute than *fidaezin* in its negative evaluation," indicating a scalar rather than binary opposition between the two negative forms. P4a notes that the antonym of *-garri* adjectivals in this domain is preferentially formed with *-gaitz* rather than *-gabe*. | morphological | [CORE] |
| *fidagarria* | *ez-fidagarria* | N/A | reliable, trustworthy / unreliable, untrustworthy | *ez-fidagarria* is documented in P2a as the lexical negation of *fidagarria* using the *ez-* prefix. The pair is used in journalistic and legal contexts to evaluate the reliability of sources and information. The syntactic negation *ez da fidagarria* is also attested as an alternate form of the same contrast. | morphological | [CORE] |
| *sinesgarri* / *sinesgarria* | *sinesgaitz* / *sineskaitza* | sinesgarria / sineskaitza | believable; credible; plausible / unbelievable; hard to believe; implausible | P2a documents *sinesgaitz* as the negative counterpart to *sinesgarri*, formed with *-gaitz* ("difficult") on the same verbal base *sines-*. P1 names *sineskaitza* as the stated contrast form for *sinesgarria*, with P2a documenting the formation: *sines-* root + *-kaitz* (variant of *-gaitz*). The opposition is morphological, realized through suffix alternation (*-garri* vs. *-gaitz*/*-kaitz*) on the same base. | morphological | [CORE] |
| *sinesgarria* | *ez-sinesgarria* | N/A | credible, believable / incredible, unbelievable, implausible | *ez-sinesgarria* is documented in P2a as the lexical negation of *sinesgarria* using the *ez-* prefix, parallel to the *fidagarria*/*ez-fidagarria* pair (Opposition 21). Both use the same *-garri* suffix and the same *ez-* negation strategy, making this a morphologically parallel opposition. | morphological | [CORE] |
| *sinesgarritasuna irabazi* | *sinesgarritasuna galdu* | N/A | to gain credibility; to earn believability / to lose credibility; to forfeit believability | P2b documents both verbal constructions as attested collocations with *sinesgarritasuna* (credibility). The opposition is constructional, realized through the contrasting verbs *irabazi* (to earn, to gain) and *galdu* (to lose) within the same nominal frame. Both are used in political and institutional contexts to describe the building and erosion of credibility over time. | constructional | [CORE] |
| *frogagarria* | *frogaezina* | frogagarria / frogaezina | provable, demonstrable / unprovable, impossible to prove | P2a documents both forms from the *froga-* root. *Frogagarria* uses the *-garri* potential suffix; *frogaezina* uses the *ezin* impossibility marker. P4a notes that *ezin* constructions express impossibility specifically and are not fully interchangeable with *-gaitz* forms, so this contrast differs structurally from the *-garri*/*-gaitz* pairs. | morphological | [CORE] |
| *frogagarria* | *frogatugabea* / *frogarik gabe* | N/A | provable, demonstrable / unproven, without proof | *frogagarria* characterizes a claim as capable of being proven, while *frogatugabea* and *frogarik gabe* characterize claims that have not been or cannot be proven. The contrast is between potential provability and actual absence of proof; the two negative forms use different morphological strategies (*-gabe* suffix vs. partitive *-rik* + postposition *gabe*). | morphological | [CORE] |
| *zilegi* / *zilegia* | *legez kanpokoa* | zilegi / legez kanpokoa | lawful, permissible / illegal, outside the law | P2a and P2b document that *zilegi* has no standard single-word antonym formed with *-gabe* or *-gaitz*; the functional antonym is the periphrastic *legez kanpokoa* (outside the law). This is an asymmetric opposition where one side is a single adjective and the other is a multi-word construction. | lexical | [CORE] |
| *zilegi* / *zilegia* | *ez-zilegia* | N/A | lawful, permissible / unlawful, impermissible | *ez-zilegia* is documented in P2a as the negated antonym of *zilegia*, formed by the *ez-* prefix. The pair is used in legal and ethical discourse to assert or deny permissibility of actions. The construction *zilegi da* / *ez da zilegi* also instantiates this contrast at the predicative level. | morphological | [CORE] |
| *zilegitasuna zalantzan jarri* | *zilegitasuna aitortu* | N/A | to call legitimacy into question / to acknowledge legitimacy | P2b documents both constructions. Both use *zilegitasuna* as object with opposing verbs (*zalantzan jarri*, to put in doubt; *aitortu*, to acknowledge). The contrast is between challenging and recognizing legitimacy. | constructional | [CORE] |
| *jatorrizkoa* | *kopiakoa* | jatorrizkoa / kopiakoa | original, source / copy, reproduction | P1 explicitly states that *jatorrizkoa* contrasts with *kopiakoa*. The pair appears in fixed constructions (*kopia eta jatorrizkoa*; *jatorrizkoa eta kopia*) and in the description of *kopiakoa* as implicitly contrasting with *jatorrizkoa*. | lexical | [CORE] |
| *autentikoa* / *benetakoa* | *faltsua* | N/A | authentic, genuine / false, fake, counterfeit | In the domain of object and document authenticity (P3 Group 3), *autentikoa* and *benetakoa* function as the positive poles and *faltsua* as the negative pole. This is documented in P1 and P3 Group 3, where *faltsua* is identified as the primary antonym for object-authenticity. The contrast is asymmetric: two positive terms contrast with one negative term, and the two positive terms differ in register (*autentikoa* more formal, *benetakoa* more everyday). | lexical | [CORE] |
| *autentifikatu* / *egiaztatu* | *faltsifikatu* | N/A | to authenticate / to certify as verified — vs. — to falsify, to forge | In legal and administrative contexts, *autentifikatu* and *egiaztatu* are used to certify genuineness or verify facts, while *faltsifikatu* denotes the deliberate act of forgery or falsification. The contrast is between acts that establish or confirm authenticity and acts that destroy or fabricate it. The pair is documented in P3 Group 3 and Group 12. | lexical | [CORE] |
| *fidagarri* (source evaluation) | *sinesgarri* (content evaluation) | N/A | trustworthy; reliable (of a source) / believable; credible; plausible (of content or a claim) | P1 explicitly documents this as a usage distinction: "*fidagarri* evaluates the source; *sinesgarri* evaluates the content or claim." P3 reiterates this in Group 6. The opposition is lexical and domain-internal: both adjectives evaluate credibility, but they apply to different aspects of the same evaluative situation. They are not interchangeable in their typical collocations. | lexical | [CORE] |
| *egiaztatu* (factual verification emphasis) | *ziurtatu* (assurance/confirmation emphasis) | N/A | to verify; to authenticate; to confirm (factual content) / to certify; to assure; to make sure; to confirm (formal assurance) | P1 and P2a document this as a usage distinction within the certification domain: "*egiaztatu* focuses on confirming factual content, while *ziurtatu* emphasizes assurance rather than verification of factual content." P3 notes both in Group 3 while preserving the distinction. The opposition is lexical and gradient rather than binary. | lexical | [CORE] |
| *egiazko* (factual correspondence emphasis) | *benetako* (sincerity/non-artificiality emphasis) | N/A | true; genuine; real; authentic (factual correspondence) / genuine; real; authentic; true (sincerity, non-artificiality) | P1 explicitly documents this as a usage distinction: "*benetako* more strongly emphasizes sincerity and non-artificiality rather than factual correspondence." P3 assigns *egiazko* primarily to Group 1 (propositional truth) and *benetako* primarily to Group 8 (genuineness of persons, relationships, feelings). The opposition is lexical and gradient, not binary. | lexical | [CORE] |
| *egiazkotasun* | *benetakotasun* | N/A | truthfulness; veracity; genuineness (factual) / authenticity; genuineness; realness (sincerity, non-artificiality) | P1 documents both abstract nominals and explicitly distinguishes their usage domains: *egiazkotasun* appears in philosophical and formal discourse about truth as a property; *benetakotasun* is "more common in literary, philosophical, and cultural discourse" and "emphasizes sincerity and non-artificiality." The distinction parallels that between *egiazko* and *benetako* (Opposition 35) at the abstract nominal level. | lexical | [MARGINAL] |
| *egiazko* (indefinite attributive, prenominal) | *egiazkoa* (definite, predicative or standalone nominal) | N/A | true, genuine (attributive modifier) / the true one, the genuine one (predicative or nominal) | This morphological alternation is documented in P1b, P2a, and P4a as a systematic positional contrast: the indefinite form *egiazko* is obligatory in prenominal attributive position, while the definite form *egiazkoa* appears in predicative or standalone nominal positions. The same alternation applies across the domain (*gezurrezko*/*gezurrezkoa*, *benetako*/*benetakoa*, *itxurazko*/*itxurazko*). This is a morphological alternation encoding syntactic position, not a semantic opposition. | morphological | [CORE] |
| *ziurtasun* | *ziurtasun eza* / *ziurtasun falta* | N/A | certainty / uncertainty; lack of certainty | P1b and P2b document *ziurtasun eza* ("lack of certainty") and *ziurtasun falta* ("deficiency of assurance") as nominal constructions expressing the absence of the state named by *ziurtasun*. The opposition is morphological in that *eza* (lack, absence) and *falta* (lack, deficiency) negate the base nominal, and constructional in that the contrast is realized through postposed negating elements rather than through a prefixed or suffixed form. | morphological | [CORE] |
| *ziur* (certain, full certainty) | *ziurrenik* (probably, hedged probability) | N/A | certain; sure / probably; most likely; in all likelihood | (Opposition 39 text was cut off in source; no complete description available) | (not specified) | (not specified) |
