| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
| 16 | Maalaus osoittautui väärennökseksi. | Maalaus osoittautui väärennökseksi. | [CORE] | Frequent in legal, art-authentication, and investigative contexts. |
| 17 | Väite osoittautui vääräksi. | Väite osoittautui vääräksi. | [CORE] | The primary construction for expressing that something proves to have a truth-domain property; common in journalistic, legal, and academic registers. |
| 18 | Ennuste toteutui. | Ennuste toteutui. | [CORE] | Restricted to propositions with a prospective or intentional character: predictions, plans, wishes, hopes. |
| 19 | Ennuste todentui. | Ennuste todentui. | [MARGINAL] | Restricted to subjects that are predictions, expectations, or hypotheses; less frequent than the translative construction; more characteristic of written registers. |
| 20 | (aitoutua) | (aitoutua) | [MARGINAL] | Attested but marginal; not productively available across the truth-domain adjective class. |
| 21 | Todisteet tekivät väitteen uskottavaksi. | Todisteet tekivät väitteen uskottavaksi. | [CORE] | Productive general-purpose causative; common in argumentative, journalistic, and academic prose. |
| 22 | Hän väärensi asiakirjan. | Hän väärensi asiakirjan. | [CORE] | Lexicalized; *väärentää* is fully established and common in legal and administrative contexts. |
| 23 | Hän väärensi passin. | Hän väärensi passin. | [CORE] | Standard legal and administrative term for document or object forgery; implies intent. |
| 24 | Todistaja väärensi asiakirjan. | Todistaja väärensi asiakirjan. | [CORE] | *Väärentää* is the standard legal and journalistic term for forgery and falsification. |
| 25 | Monopoli vääristää kilpailua. | Monopoli vääristää kilpailua. | [CORE] | Standard in economic, political, and analytical registers for distortion or skewing; does not necessarily imply intent. |
| 26 | Viranomaiset todensivat henkilöllisyyden. | Viranomaiset todensivat henkilöllisyyden. | [CORE] | *Todentaa* is standard in official, legal, and administrative contexts for verification and authentication. |
| 27 | Lähteen luotettavuus on kyseenalainen. | Lähteen luotettavuus on kyseenalainen. | [CORE] | The *-uus/-yys* nominalizer is the primary and productive pattern for truth-domain quality nouns; common across all formal registers. |
| 28 | Menettelyn asianmukaisuus tarkistettiin. | Menettelyn asianmukaisuus tarkistettiin. | [CORE] | Especially frequent in administrative, legal, and bureaucratic discourse. |
| 29 | tarkkuus | tarkkuus | [CORE] | Fully productive across the domain; used in technical, scientific, administrative, and everyday registers. |
| 30 | totuudenmukaisuus | totuudenmukaisuus | [CORE] | Compound adjective nominalized as a unit; common in formal, legal, and academic registers. |
| 31 | totuus | totuus | [CORE] | Highly frequent across all registers; *totuus* is the primary abstract noun for truth in Finnish. |
| 32 | todistaminen | todistaminen | [CORE] | The *-minen* nominalization is fully productive and occurs across registers; used for process and event reference. |
| 33 | väärentäminen | väärentäminen | [CORE] | Fully productive on all verbs; used in legal language to name criminal acts and in administrative language to name processes. |
| 34 | todentaminen | todentaminen | [CORE] | Common in technical and administrative registers, including digital security contexts. |
| 35 | Hän on luotettava todistaja. | Hän on luotettava todistaja. | [CORE] | *Todistaja* is fully lexicalized and common across legal, everyday, and journalistic registers. |
| 36 | Asiakirjojen väärentäjä pidätettiin. | Asiakirjojen väärentäjä pidätettiin. | [CORE] | *Väärentäjä* is lexicalized and common in legal and journalistic contexts. |
| 37 | todistus | todistus | [CORE] | Highly productive as a compounding base in legal vocabulary; used across legal, administrative, and everyday registers. |
| 38 | väärennös | väärennös | [CORE] | Standard legal and everyday term for the product of forgery. |
| 39 | Notaari todistaa kopion oikeaksi. | Notaari todistaa kopion oikeaksi. | [CORE] | Standard in notarial, legal, and official administrative registers. |
| 40 | Tutkimus todisti teorian vääräksi. | Tutkimus todisti teorian vääräksi. | [CORE] | Common in scientific and academic registers for reporting the outcome of research. |
| 41 | Tuomioistuin julisti sopimuksen pätemättömäksi. | Tuomioistuin julisti sopimuksen pätemättömäksi. | [CORE] | Characteristic of legal and official registers. |
| 42 | Asiantuntija todisti maalauksen aidoksi. | Asiantuntija todisti maalauksen aidoksi. | [CORE] | Common in authentication, legal, and journalistic contexts. |
| 43 | Pidän selitystä uskottavana. | Pidän selitystä uskottavana. | [CORE] | Productive across truth-domain adjectives; common in spoken, journalistic, and academic registers. |
| 44 | Tuomari piti todistajaa luotettavana. | Tuomari piti todistajaa luotettavana. | [CORE] | Standard in legal, journalistic, and evaluative contexts for expressing a stable attributed judgment. |
| 45 | Hän piti väitettä virheellisenä. | Hän piti väitettä virheellisenä. | [CORE] | Common across written registers for epistemic evaluation. |
| 46 | Viranomainen katsoi todistuksen päteväksi. | Viranomainen katsoi todistuksen päteväksi. | [CORE] | Productive but register-restricted: most frequent in legal, administrative, and official discourse. |
| 47 | Ymmärsit minut väärin. | Ymmärsit minut väärin. | [CORE] | Fully productive with verbs of cognition and communication; common across all registers including spoken Finnish. |
| 48 | Vastasit oikein. | Vastasit oikein. | [CORE] | Common in instructional, evaluative, and everyday contexts. |
| 49 | Suunnitelma ei vastaa todellisuutta. | Suunnitelma ei vastaa todellisuutta. | [CORE] | Standard construction for asserting or denying correspondence between a representation and reality. |
| 50 | Kuvaus vastaa totuutta. | Kuvaus vastaa totuutta. | [CORE] | Productive with *todellisuus* and *totuus* as partitive complements; frequent in evaluative and argumentative discourse. |
| 51 | totuudenmukainen | totuudenmukainen | [CORE] | Productive compounding pattern; common in legal, journalistic, and formal registers. |
| 52 | todenmukainen | todenmukainen | [CORE] | Used in literary, journalistic, and everyday registers to describe realistic or verisimilar representation. |
| 53 | Olit oikeassa. | Olit oikeassa. | [CORE] | The standard everyday construction for attributing epistemic correctness to a person; frequent across all spoken and written registers. |
| 54 | Olen väärässä. | Olen väärässä. | [CORE] | Equally frequent and idiomatic; used for personal epistemic attribution rather than propositional truth attribution. |
