| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| *oikeaoppinen* | *vääräoppinen* | oikeaoppinen / vääräoppinen | orthodox, doctrinally correct / heretical, heterodox, doctrinally incorrect | The context documents these as direct contrasts in religious and ideological contexts, formed by substituting *oikea* (right/correct) with *väärä* (wrong/false) on the same second element *-oppinen* (doctrine-holding). The context notes *oikeaoppinen* can be used ironically. The CONTEXT also notes that *oikeaoppinen* involves "doctrinal conformity, which may involve ideological or religious rather than factual correctness, and can carry ironic connotations," distinguishing it from the factual or normative correctness of *oikea*. Both are documented in P1b and P2a and are used in religious and historical contexts. | lexical (parallel compound formation) | [CORE] |
| *oikeaoppisuus* | *vääräoppisuus* | oikeaoppisuus / vääräoppisuus | orthodoxy, doctrinal correctness / heresy, heterodoxy, doctrinal incorrectness | These are the abstract nominal forms corresponding to the adjectival opposition in Opposition 10, formed by *-uus* suffixation on each compound adjective. Both are documented in P1b and P2a and used in religious and intellectual discourse. | lexical (parallel compound formation) | [CORE] |
| *oikea* | *väärä* | oikea / väärä | right, correct, genuine / wrong, false, incorrect, counterfeit | The CONTEXT explicitly pairs these as antonyms in normative and evaluative contexts (*oikea vastaus* / *väärä vastaus*; *olla oikeassa* / *olla väärässä*). *Oikea* evaluates conformity to a standard or norm; *väärä* evaluates deviation from it. The context documents these as the primary adjectival opposition in the domain, covering both epistemic correctness (*oikea vastaus* vs. *väärä vastaus*) and inauthenticity (*väärä seteli* — counterfeit banknote). The CONTEXT explicitly documents *oikein vai väärin* ("right or wrong") as a contrastive pair. The opposition is noted as covering multiple semantic dimensions simultaneously. | lexical | [CORE] |
| *olla oikeassa* | *olla väärässä* | olla oikeassa / olla väärässä | to be right / to be wrong | These are the standard periphrastic constructions for asserting that a person's belief or claim is correct or incorrect respectively. The CONTEXT explicitly identifies *olla väärässä* as "the direct antonym of *olla oikeassa*" and notes both are very high frequency across all registers. They are lexicalized inessive constructions using *olla* (to be) with *oikeassa* (inessive of *oikea*) and *väärässä* (inessive of *väärä*) respectively; the inessive case is lexicalized in both forms and does not carry its usual locative meaning. Documented in P2b and P4a Construction 10. | constructional | [CORE] |
| *oikein* | *väärin* | oikein / väärin | correctly, rightly / wrongly, incorrectly | These are the adverbial forms of *oikea* and *väärä* respectively, documented as a contrastive pair (*oikein vai väärin* — "right or wrong") in P2b. Both combine productively with verbs: *tehdä oikein* ("to do correctly/rightly") contrasts with *tehdä väärin* ("to do wrong/incorrectly"). *Väärin* is additionally highly productive in forming misaction compounds (*ymmärtää väärin*, *tulkita väärin*, *käyttää väärin*), a productivity not paralleled by *oikein*. The CONTEXT notes in P4a that this construction type "covers semantic ground handled by English *mis-* prefixation." | lexical | [CORE] |
| *tehdä oikein* | *tehdä väärin* | tehdä oikein / tehdä väärin | to do right, to do correctly / to do wrong, to do incorrectly | These verb-adverb constructions using *tehdä* (to do) with *oikein* and *väärin* respectively form a contrastive pair documented in both P2b and P4a. They operate in both procedural (doing something correctly) and moral (doing the right/wrong thing) senses, with the moral sense more prominent for *tehdä väärin*. | constructional | [CORE] |
| *oikea* (evaluative: *oikea vastaus*) | *oikeaoppinen* (doctrinal: *oikeaoppinen tulkinta*) | N/A | the correct answer / an orthodox interpretation | The CONTEXT notes that *oikeaoppinen* (orthodox) involves "doctrinal conformity, which may involve ideological or religious rather than factual correctness, and can carry ironic connotations," distinguishing it from the factual or normative correctness of *oikea*. Both derive from the same root but operate in different evaluative domains. | lexical (compound-internal) | [CORE] |
| *oikea* (correctness/identity use: *oikea vastaus*, *oikea henkilö*) | *oikea* (directional use: *käänny oikealle*) | N/A | the correct answer, the right person / turn right | The CONTEXT explicitly flags the directional use of *oikea* (*käänny oikealle* — "turn right") as a peripheral extension "with no evaluative or truth-related content," contrasting with its evaluative and identificatory uses. This is a constructional contrast within the same lexical item. | constructional | [CORE] |
| *oikeellisuus* | *totuus* | N/A | correctness (conformity to a rule) / truth (correspondence to fact) | The context explicitly distinguishes these: *oikeellisuus* emphasizes conformity to a rule or norm rather than correspondence to fact, while *totuus* denotes the property of being factually the case. This distinction is stated directly in P1. | lexical | [CORE] |
| *väärä* (factual/propositional: *väärä vastaus*) | *väärä* (spatial/physical: *väärässä asennossa*) | N/A | a wrong answer / in a crooked/wrong position | The CONTEXT explicitly flags the spatial/physical use of *väärä* (*väärässä asennossa* — "in a crooked/wrong position") as a peripheral extension where "the root appears in a physical orientation or posture context," distinct from its evaluative uses in propositional and normative domains. | constructional | [CORE] |
| *vääristymä* (systematic deviation, unintentional: *kognitiivinen vääristymä*) | *vääristely* (deliberate distortion: *historian vääristely*) | N/A | cognitive bias, distortion (unintentional) / distortion of history (deliberate) | The CONTEXT explicitly distinguishes these in P3: *vääristymä* is placed in Group 10 (accuracy evaluation) as "systematic deviation rather than deliberate falsification," while *vääristely* is placed in Group 7 (deliberate misrepresentation). Both derive from the *väärä* root but differ in whether intent is implied. | lexical | [CORE] |
| *väärentää* | *vääristellä* | N/A | to forge, to falsify, to counterfeit / to distort, to misrepresent, to twist | The context explicitly distinguishes these two verbal derivations from *väärä*: *väärentää* denotes producing a counterfeit object and implies deliberate fraudulent intent; *vääristellä* denotes systematic or repeated distortion of facts or representations and does not necessarily imply intent or a specific fraudulent product. | lexical | [CORE] |
| *väärentää* | *vääristää* | N/A | to forge, to counterfeit (producing a fraudulent object) / to distort, to warp, to skew (distorting something) | The context documents both as causative derivations from *väärä* but distinguishes them: *väärentää* produces a counterfeit object (implying intent and a specific fraudulent product), while *vääristää* denotes distortion of competition, images, or data (not necessarily implying intent). This semantic distinction is noted as morphologically encoded. | lexical | [CORE] |
| *väärentää* | *todentaa* | väärentää / todentaa | to falsify, to forge / to verify, to authenticate | *Väärentää* denotes the deliberate act of making something false or counterfeit; *todentaa* denotes the act of confirming that something is real, correct, or authentic. Both are morphological causatives built on roots from the truth domain but they encode opposite directions of action relative to authenticity. Their opposition is supported by their roles in P3 Group 4 (forgery) and Group 2 (verification) respectively, and by their shared relevance to authentication contexts. | lexical | [CORE] |
| *vääristää* | *tarkistaa* | N/A | to distort, to misrepresent / to check, to verify | *Vääristää* denotes the act of distorting facts or representations; *tarkistaa* denotes the act of examining something to determine whether it is accurate or correct. These appear as functionally opposed processes in journalistic and administrative discourse documented in the CONTEXT. The CONTEXT places them in overlapping groups (Groups 4 and 5 in P3). | lexical | [CORE] |
| *tarkistaa* | *tarkastaa* | N/A | to check, to verify (everyday) / to inspect, to audit (formal, official) | The context explicitly documents a register-based distinction between these two verbal derivations from *tarkka*: *tarkistaa* is used for routine checking and verification in everyday contexts, while *tarkastaa* implies an authoritative or institutional inspection. The distinction is described as semantic and register-based rather than purely morphological. | lexical | [CORE] |
| *tarkistus* | *tarkastus* | N/A | check, verification (everyday) / inspection, audit (formal, official) | The nominal pair corresponding to *tarkistaa* / *tarkastaa*, carrying the same register distinction: *tarkistus* for routine checking, *tarkastus* for formal or authoritative inspection. | lexical | [CORE] |
| *todentaa* (to verify/authenticate: administrative/technical) | *tarkistaa* (to check/verify: administrative/procedural) | N/A | to verify, to authenticate / to check, to verify, to inspect | The CONTEXT documents both verbs in verification roles but notes different primary contexts: *todentaa* is used for confirming that something is real or authentic (*todentaa henkilöllisyys* — "to verify identity"; *kaksivaiheinen todennus* — "two-factor authentication"), while *tarkistaa* is used for checking whether something is accurate or in order (*tarkistaa tiedot* — "to check the information"; *tarkistaa passi* — "to check the passport"). The CONTEXT places them in overlapping groups (Groups 4 and 5 in P3). | lexical | [CORE] |
| *aito* | *epäaito* | aito / epäaito | genuine, authentic / inauthentic, not genuine | *Aito* asserts that something is genuine rather than an imitation or counterfeit; *epäaito* is its direct morphological negation. The CONTEXT documents both as P1 items and notes that *epäaito* generates its own nominal *epäaitous* (inauthenticity). The context further notes that *epäaito* is used more in philosophical and personal identity contexts (existential inauthenticity) than in object-authentication contexts, where *väärennös* or *väärä* are more common; this asymmetry in domain of use distinguishes this opposition from a simple logical negation pair. | morphological | [CORE] |
| *aitous* | *epäaitous* | aitous / epäaitous | authenticity, genuineness / inauthenticity, lack of genuineness | These are the abstract nominal forms corresponding to the adjectival opposition in Opposition 28. Both are documented in P2a. The context notes *epäaitous* is less frequent than *epäaito* itself. The same domain asymmetry noted for *aito* / *epäaito* applies: *epäaitous* is more characteristic of philosophical and cultural commentary on personal identity than of legal or commercial authentication contexts. | morphological | [CORE] |
| *aito* | *väärennös* | aito / väärennös | genuine / forgery, counterfeit | The CONTEXT explicitly states that *väärennös* "contrasts with *aito* (genuine) and *alkuperäinen* (original)." *Aito* asserts non-counterfeit status; *väärennös* names the product of deliberate falsification that lacks that status. The fixed contrastive phrase *aito vai väärennös* ("genuine or a forgery") is used in art authentication, legal, and journalistic contexts. Unlike *jäljitelmä*, *väärennös* implies deliberate fraudulent production. The opposition is between an adjective and a noun, making it structurally asymmetric. | lexical | [CORE] |
| *aito* | *jäljitelmä* | aito / jäljitelmä | genuine / imitation, copy, replica | The CONTEXT notes that *aito* "contrasts with *väärennös* (forgery) and *jäljitelmä* (imitation)." *Jäljitelmä* denotes a copy or imitation without necessarily implying deliberate fraud, whereas *väärennös* implies deliberate falsification. The context explicitly documents *jäljitelmä* as contrasting with *aito* and *alkuperäinen*, denoting an object made to resemble another with an implication that it lacks the value or status of the original. The opposition is used in aesthetic and commercial contexts to distinguish originals from copies. | lexical | [CORE] |
| *aito* (non-counterfeit status) | *alkuperäinen* (temporal/genealogical priority) | N/A | genuine (not a fake) / original (the first version) | The CONTEXT explicitly distinguishes these in P3 Group 3: "*aito* asserts non-counterfeit status, while *alkuperäinen* asserts temporal priority (being the first version)." They are frequently paired (*aito ja alkuperäinen*) precisely because they cover adjacent but distinct concerns. This is a contrast between two positive terms in the same semantic neighbourhood rather than a binary opposition. | lexical | [CORE] |
| *alkuperäinen* | *väärennös* | väärennös / alkuperäinen | original / forgery, counterfeit, fake | The CONTEXT explicitly identifies *väärennös* as contrasting with *alkuperäinen* (original). *Alkuperäinen* asserts temporal and genealogical priority (being the first or source version); *väärennös* names a derivative produced by deliberate falsification. The contrast between *väärennös* and an original is the conceptual basis for the entire forgery domain. | lexical | [CORE] |
| *alkuperäinen* | *kopio* | N/A | original / copy, duplicate, reproduction | The context documents *alkuperäinen* and *kopio* as contrasting in administrative and legal contexts (*toimita alkuperäinen asiakirja, ei kopiota* — submit the original document, not a copy). *Kopio* is noted as a neutral term without inherent implication of inauthenticity. | lexical | [CORE] |
| *alkuperäinen* | *jäljitelmä* | N/A | original / imitation, replica | The context explicitly documents *jäljitelmä* as contrasting with *alkuperäinen* (as well as with *aito*), with *jäljitelmä* denoting a reproduction that lacks the status of the original. | lexical | [CORE] |
| *kopio* | *jäljitelmä* | N/A | copy (neutral) / imitation (with implication of lesser status) | The context explicitly distinguishes these two: *kopio* is a neutral term for a reproduction that does not inherently imply deception, while *jäljitelmä* carries an implication that the object lacks the value or status of the original. | lexical | [CORE] |
| *kopio* | *väärennös* | N/A | copy (neutral) / forgery, counterfeit (implying fraudulent intent) | The context explicitly distinguishes *kopio* (neutral copy, no inherent deception) from *väärennös* (the product of forgery, implying fraudulent intent). This distinction is noted as standard in Finnish legal language. | lexical | [CORE] |
| *luotettava* | *epäluotettava* | luotettava / epäluotettava | reliable, trustworthy / unreliable, untrustworthy | *Luotettava* asserts that something or someone can be depended upon; *epäluotettava* is its direct morphological negation formed by *epä-* prefixation. The CONTEXT documents both and notes that *epäluotettava* is common across all registers. Both are documented with parallel derivational forms (*luotettavuus* / *epäluotettavuus*; *luotettavasti* / *epäluotettavasti*) and parallel constructions (*pitää luotettavana* / *pitää epäluotettavana*; *osoittautua luotettavaksi* / *osoittautua epäluotettavaksi*). The pair is used in evaluations of sources, witnesses, and information across legal, journalistic, and scientific registers. | morphological | [CORE] |
