# F2a Derivational Table

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Epistemic Status |
| სუბიექტური (subiek't'uri) "subjective, personal" | სუბიექტურად | subiek't'urad | subiek't'ur- (subjective) + -ad (adverbial suffix) | subjectively, personally | [CORE] |
| სუბიექტური (subiek't'uri) "subjective, personal" | სუბიექტურობა | subiek't'uroba | subiek't'ur- (subjective) + -oba (abstract noun suffix) | subjectivity | [CORE] |
| რეალური (realuri) "real, actual" | რეალურად | realurad | realur- (real) + -ad (adverbial suffix) | really, actually, in reality | [CORE] |
| რეალური (realuri) "real, actual" | რეალობა | realoba | real- (real) + -oba (abstract noun suffix) | reality | [CORE] |
| რეალური (realuri) "real, actual" | რეალიზაცია | realizatsia | real- (real) + -izatsia (borrowed suffix for process/action) | realization, implementation | [CORE] |
| რეალური (realuri) "real, actual" | რეალიზება | realizeba | real- (real) + -izeb- (causative) + -a (noun suffix) | realization, implementation, fulfillment | [CORE] |
| ავთენტური (avt'ent'uri) "authentic, genuine" | ავთენტურად | avt'ent'urad | avt'ent'ur- (authentic) + -ad (adverbial suffix) | authentically, genuinely | [CORE] |
| ავთენტური (avt'ent'uri) "authentic, genuine" | ავთენტურობა | avt'ent'uroba | avt'ent'ur- (authentic) + -oba (abstract noun suffix) | authenticity, genuineness | [CORE] |
| მსგავსი (msgavsi) "similar, resembling" | მსგავსება | msgavseba | msgavs- (similar) + -eba (abstract noun suffix) | similarity, resemblance, likeness | [CORE] |
| მსგავსი (msgavsi) "similar, resembling" | მსგავსად | msgavsad | msgavs- (similar) + -ad (adverbial suffix) | similarly, likewise, in like manner | [CORE] |
| მსგავსი (msgavsi) "similar, resembling" | გამსგავსება | gamsgavseba | ga- (preverb) + msgavs- (similar) + -eba (verbal noun suffix) | assimilation, making similar | [CORE] |
| ზედაპირული (zedap'iruli) "superficial, surface-level" | ზედაპირულად | zedap'irulad | zedap'irul- (superficial) + -ad (adverbial suffix) | superficially, on the surface | [CORE] |
| ზედაპირული (zedap'iruli) "superficial, surface-level" | ზედაპირულობა | zedap'iruloba | zedap'irul- (superficial) + -oba (abstract noun suffix) | superficiality, shallowness | [CORE] |
| ზედაპირული (zedap'iruli) "superficial, surface-level" | ზედაპირი | zedap'iri | zeda- (upper, above) + p'ir- (face, surface) + -i | surface, exterior | [CORE] |
| არსებითი (arsebiti) "essential, substantial" | არსებითად | arsebitad | arsebit- (essential) + -ad (adverbial suffix) | essentially, substantially, fundamentally | [CORE] |
| არსებითი (arsebiti) "essential, substantial" | არსებითობა | arsebitoba | arsebit- (essential) + -oba (abstract noun suffix) | essentiality, substantiality | [CORE] |
| არსებითი (arsebiti) "essential, substantial" | არსება | arseba | ars- (be, exist) + -eba (noun suffix) | being, existence, essence, creature | [CORE] |
| არსებითი (arsebiti) "essential, substantial" | არსებობა | arseboba | arseb- (exist) + -oba (abstract noun suffix) | existence, being | [CORE] |
| ფიქტიური (pik't'iuri) "fictitious, fictional" | ფიქტიურად | pik't'iurad | pik't'iur- (fictitious) + -ad (adverbial suffix) | fictitiously, fictionally | [CORE] |
| ფიქტიური (pik't'iuri) "fictitious, fictional" | ფიქცია | pik'tsia | Borrowed from Latin/European languages | fiction | [CORE] |
| საეჭვო (saech'vo) "doubtful, questionable, dubious" | საეჭვოდ | saech'vod | saech'vo (doubtful) + -d (adverbial suffix variant) | doubtfully, dubiously, questionably | [CORE] |
| საეჭვო (saech'vo) "doubtful, questionable, dubious" | ეჭვი | ech'vi | Root form | doubt, suspicion | [CORE] |
| საეჭვო (saech'vo) "doubtful, questionable, dubious" | ეჭვიანობა | ech'vianoba | ech'v- (doubt) + -ian- (adjectival) + -oba (abstract noun) | suspiciousness, doubtfulness, skepticism | [CORE] |
| საეჭვო (saech'vo) "doubtful, questionable, dubious" | ეჭვიანი | ech'viani | ech'v- (doubt) + -ian- (adjectival) + -i | suspicious, doubtful, skeptical | [CORE] |
| საეჭვო (saech'vo) "doubtful, questionable, dubious" | დაეჭვება | daech'veba | da- (preverb) + ech'v- (doubt) + -eba (verbal noun suffix) | suspecting, doubting | [CORE] |
| დამაჯერებელი (damajerebeli) "convincing, believable" | დამაჯერებლად | damajereblad | damajerebel- (convincing) + -ad (adverbial suffix) | convincingly, believably, credibly | [CORE] |
| დამაჯერებელი (damajerebeli) "convincing, believable" | დამაჯერებლობა | damajerebloba | damajerebel- (convincing) + -oba (abstract noun suffix) | convincingness, believability, credibility | [CORE] |
| დამაჯერებელი (damajerebeli) "convincing, believable" | ჯერება | jereba | jer- (believe) + -eba (verbal noun suffix) | believing, belief | [CORE] |
| დამაჯერებელი (damajerebeli) "convincing, believable" | დარწმუნება | darats'muneba | da- (preverb) + rats'mun- (convince) + -eba (verbal noun suffix) | convincing, persuasion, assurance | [CORE] |
| ბუნებრივი (bunebrivi) "natural, genuine" | ბუნებრივად | bunebrivad | bunebriv- (natural) + -ad (adverbial suffix) | naturally, genuinely | [CORE] |
| ბუნებრივი (bunebrivi) "natural, genuine" | ბუნება | buneba | bun- (nature root) + -eba (noun suffix) | nature, character | [CORE] |
| ბუნებრივი (bunebrivi) "natural, genuine" | ბუნებრიობა | bunebrioba | bunebriv- (natural) + -oba (abstract noun suffix) | naturalness, genuineness | [CORE] |
| ხელოვნური (khelovnuri) "artificial, man-made" | ხელოვნურად | khelovnurad | khelovnur- (artificial) + -ad (adverbial suffix) | artificially, synthetically | [CORE] |
| ხელოვნური (khelovnuri) "artificial, man-made" | ხელოვნება | khelovneba | khelovn- (art/craft) + -eba (noun suffix) | art, craft, skill | [CORE] |
| ხელოვნური (khelovnuri) "artificial, man-made" | ხელოვნურობა | khelovnuroba | khelovnur- (artificial) + -oba (abstract noun suffix) | artificiality, affectedness | [CORE] |
| გულწრფელი (gults'rpeli) "sincere, honest" | გულწრფელად | gults'rpelad | gults'rpel- (sincere) + -ad (adverbial suffix) | sincerely, honestly, genuinely | [CORE] |
| გულწრფელი (gults'rpeli) "sincere, honest" | გულწრფელობა | gults'rpeloba | gults'rpel- (sincere) + -oba (abstract noun suffix) | sincerity, honesty, genuineness | [CORE] |
| გულწრფელი (gults'rpeli) "sincere, honest" | გული | guli | Root form | heart | [CORE] |
| ლიცემერი (lits'emeri) "hypocritical, two-faced" | ლიცემერად | lits'emerad | lits'emer- (hypocritical) + -ad (adverbial suffix) | hypocritically, insincerely | [CORE] |
| ლიცემერი (lits'emeri) "hypocritical, two-faced" | ლიცემერება | lits'emereba | lits'emer- (hypocritical) + -eba (abstract noun suffix) | hypocrisy, insincerity | [CORE] |
| მოჩვენებითი (moch'venebiti) "apparent, seeming" | მოჩვენებითად | moch'venebitad | moch'venebit- (apparent) + -ad (adverbial suffix) | apparently, seemingly, ostensibly | [CORE] |
| მოჩვენებითი (moch'venebiti) "apparent, seeming" | მოჩვენება | moch'veneba | mo- (preverb) + ch'ven- (appear) + -eba (verbal noun suffix) | appearance, apparition, seeming | [CORE] |
| მოჩვენებითი (moch'venebiti) "apparent, seeming" | ჩვენება | ch'veneba | ch'ven- (appear/show) + -eba (verbal noun suffix) | appearance, manifestation, showing | [CORE] |
| ნაღდი (naghdi) "cash, real, genuine" | ნაღდად | naghdad | naghd- (cash/real) + -ad (adverbial suffix) | in cash, actually, really | [CORE] |
| ნაღდი (naghdi) "cash, real, genuine" | ნაღდი ფული | naghdi puli | naghdi (cash) + puli (money) | cash money, ready money | [CORE] |
