# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Georgian (ka)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| მცდარი | mts'dari | erroneous, mistaken | wrong, erroneous, mistaken, false | Describes statements or beliefs that are incorrect or mistaken, often without implying deliberate deception. Used for errors in judgment, false beliefs, or incorrect information. | [CORE] |
| ადეკვატური | adek'vat'uri | adequate (borrowed from Latin via Russian) | adequate, appropriate, fitting | Used to evaluate whether something corresponds appropriately to requirements or reality. Common in formal and educated speech to assess the suitability or appropriateness of responses or representations. | [CORE] |
| ობიექტური | obiek't'uri | objective (borrowed from European languages) | objective, impartial | Used in formal contexts to describe evaluations or representations that are unbiased and correspond to reality independent of personal views. Common in academic, legal, and journalistic discourse. | [CORE] |
| სუბიექტური | subiek't'uri | subjective (borrowed from European languages) | subjective, personal | Describes evaluations or perceptions that depend on personal perspective rather than objective reality. Used in formal discourse to characterize opinions or interpretations as personal rather than factual. | [CORE] |
| რეალური | realuri | real (borrowed from European languages) | real, actual | Used to emphasize that something exists in reality or is actually the case. Common in both everyday and formal speech to distinguish real situations from imagined or hypothetical ones. | [CORE] |
| ავთენტური | avt'ent'uri | authentic (borrowed from European languages) | authentic, genuine | Used particularly in cultural, artistic, and historical contexts to describe genuine or original items. More formal than namdvili and often used for cultural artifacts or historical documents. | [CORE] |
| მსგავსი | msgavsi | similar, resembling | similar, like, resembling | Describes resemblance or similarity between things. Used to evaluate how closely something corresponds to or resembles something else. | [CORE] |
| ზედაპირული | zedap'iruli | superficial (from zedap'iri "surface") | superficial, surface-level, shallow | Used to characterize evaluations, knowledge, or resemblances as shallow or not penetrating to the essence. Implies that something appears one way on the surface but may be different in reality. | [CORE] |
| არსებითი | arsebiti | essential, substantial (from arseba "being, essence") | essential, substantial, fundamental | Describes what is fundamental or essential to something's nature. Used to distinguish core characteristics from superficial or accidental features. | [CORE] |
| ფიქტიური | pik't'iuri | fictitious (borrowed from European languages) | fictitious, fictional, invented | Describes things that are invented or do not correspond to reality. Used for fictional characters, fabricated stories, or invented facts. | [CORE] |
| საეჭვო | saech'vo | doubtful, questionable (from ეჭვი ech'vi "doubt") | doubtful, questionable, dubious, suspicious | Used to express doubt about the reliability, truthfulness, or genuineness of something. Indicates that something raises questions or cannot be fully trusted. | [CORE] |
| დამაჯერებელი | damajerebeli | convincing, believable (from ჯერა jera "to believe") | convincing, believable, credible, plausible | Describes statements, evidence, or representations that are persuasive or worthy of belief. Used to evaluate whether something is credible enough to be accepted as true. | [CORE] |
| უტყუარი | ut'q'uari | infallible, unerring (u- negative prefix + t'q'uari "lying") | infallible, unerring, unfailing | Describes sources, methods, or persons that do not err or deceive. Used to characterize something as completely reliable or incapable of being wrong. | [MARGINAL] |
| ბუნებრივი | bunebrivi | natural (from buneba "nature") | natural, genuine, authentic | Used to describe things that are natural rather than artificial, or behavior that is genuine rather than affected. Implies correspondence to nature or authentic character. | [CORE] |
| ხელოვნური | khelovnuri | artificial (from khelovneba "art") | artificial, man-made, synthetic | Describes things that are made by humans rather than natural, or behavior that is affected rather than genuine. Often contrasted with bunebrivi to distinguish authentic from fabricated. | [CORE] |
| გულწრფელი | gults'rpeli | sincere (literally "pure-hearted": guli "heart" + ts'rpeli "pure") | sincere, honest, genuine | Describes persons or expressions as genuinely felt and not deceptive. Used to evaluate whether someone's words or actions reflect their true feelings and intentions. | [CORE] |
| ლიცემერი | lits'emeri | hypocritical (from lits'emera "hypocrisy") | hypocritical, two-faced, insincere | Describes persons or behavior that pretends to virtues or beliefs not actually held. Used to characterize insincerity or discrepancy between professed and actual values. | [CORE] |
| უტყუარად | ut'q'uarad | infallibly, certainly (adverbial form of ut'q'uari) | certainly, surely, without fail | Used adverbially to emphasize that something is certainly true or will definitely happen. Expresses strong confidence in the reliability or truth of a statement. | [MARGINAL] |
| მოჩვენებითი | moch'venebiti | apparent, seeming (from ch'vena "appearance") | apparent, seeming, ostensible | Describes things as they appear rather than as they truly are. Used to distinguish surface appearance from underlying reality. | [CORE] |
| ნაღდი | naghdi | cash, real (in context: genuine, actual) | real, actual, genuine, cash | While primarily meaning "cash," also used metaphorically to emphasize that something is real, actual, or genuine rather than theoretical or promised. Common in colloquial speech to stress authenticity. | [CORE] |
| მართებული | mart'ebuli | mart'- (right) + -ebul- (participle suffix) + -i (adjective) | justified, well-founded, legitimate | Used in formal and legal contexts to describe claims, demands, or actions that are justified or have legitimate grounds. Common in administrative and argumentative discourse to evaluate whether something is warranted. | [CORE] |
| გამართლება | gamart'leba | ga- (preverb) + mart'l- (right) + -eba (verbal noun suffix) | justification, vindication, excuse | Used to refer to the act of justifying oneself or providing reasons for actions. Common in moral, legal, and everyday contexts when explaining or defending behavior or claims. | [CORE] |
| გაამართლა | gamart'la | ga- (preverb) + -a- (version vowel) + mart'l- (right) + -a (aorist suffix) | to justify, to vindicate, to acquit | Verb meaning to prove someone right, to justify an action, or to acquit in legal contexts. Used when someone's position is validated or when legal innocence is established. | [CORE] |
| მართლმსაჯულება | mart'lmsajuleba | mart'l- (right) + msajul- (judge) + -eba (noun suffix) | justice, jurisprudence | Formal term for the justice system or the administration of justice. Used in legal, political, and philosophical discourse to refer to judicial processes and the concept of justice. | [CORE] |
| სამართალი | samart'ali | sa- (nominalizing prefix) + mart'al- (right) + -i (noun suffix) | law, justice, legal system | The standard term for law in Georgian. Used in all legal contexts, from everyday references to laws to formal legal discourse. Also refers to the concept of justice and legal rights. | [CORE] |
| სამართლებრივი | samart'lebrivi | samart'l- (law) + -ebr- (manner suffix) + -iv- (adjectival) + -i | legal, juridical | Adjective describing things pertaining to law. Used in formal and administrative contexts to characterize legal aspects, legal frameworks, or juridical matters. | [CORE] |
| უსამართლობა | usamart'loba | u- (negative prefix) + samart'l- (law/justice) + -oba (abstract noun suffix) | injustice, unlawfulness | Used to describe situations or actions that are unjust or contrary to law. Common in moral and legal discourse to characterize unfair treatment or illegal acts. | [CORE] |
| მართლაც | mart'lats | mart'l- (right/true) + -ats (emphatic particle) | really, truly, indeed | Adverb used to emphasize the truth or reality of a statement. Very common in everyday speech to affirm that something is genuinely the case or to express agreement. | [CORE] |
| მართლზომიერი | mart'lzomieri | mart'l- (right) + zom- (measure) + -ier- (adjectival) + -i | moderate, temperate, reasonable | Used to describe behavior, opinions, or actions that are moderate and reasonable. Common in evaluating character or political positions as balanced rather than extreme. | [CORE] |
| მართლმადიდებელი | mart'lmadidebeli | mart'l- (right) + madidebel- (glorifying) + -i | Orthodox (Christian) | Specifically refers to Orthodox Christianity, particularly the Georgian Orthodox Church. Used in religious contexts to distinguish Orthodox faith from other Christian denominations. | [CORE] |
| მართლწერა | mart'lts'era | mart'l- (right) + ts'er- (write) + -a (noun suffix) | orthography, correct spelling | Technical term for correct spelling and writing conventions. Used in educational and linguistic contexts to refer to spelling rules and orthographic standards. | [CORE] |
| მართლწერის წესები | mart'lts'eris ts'esebi | mart'lts'er- (orthography) + -is (genitive) + ts'es- (rule) + -eb- (plural) + -i | spelling rules, orthographic rules | Refers to the formal rules governing correct spelling and writing. Used in educational materials and linguistic discussions. | [CORE] |
| მართლმეტყველება | mart'lmet'q'veleba | mart'l- (right) + met'q'vel- (speaking) + -eba (noun suffix) | correct speech, proper pronunciation | Refers to correct pronunciation and proper speech. Used in educational and linguistic contexts, particularly in language instruction. | [MARGINAL] |
| მართებს | mart'ebs | mart'- (right) + -eb- (thematic suffix) + -s (3rd person) | it is fitting, it is proper, it befits | Impersonal verb used to express that something is appropriate or fitting. Common in evaluating whether actions or statements are proper in given circumstances. | [CORE] |
| არ მართებს | ar mart'ebs | ar (negation) + mart'ebs (it befits) | it is not fitting, it is improper | Negative form used to express that something is inappropriate or improper. Common in moral and social evaluation of behavior. | [CORE] |
| მართლმოსაუბრე | mart'lmosaubre | mart'l- (right/true) + mosaubre (speaker/interlocutor) | truth-teller, honest speaker | Describes a person who speaks truthfully and honestly. Used in character evaluation to praise someone's honesty in speech. | [MARGINAL] |
| მართალია | mart'alia | mart'al- (right/true) + -ia (predicative copula) | it is true, it is correct | Predicative form used to affirm that a statement is true or correct. Very common in everyday speech when agreeing with or confirming statements. | [CORE] |
| მართალია, მაგრამ... | mart'alia, magram... | mart'alia (it is true) + magram (but) | it's true, but... / granted, but... | Fixed phrase used to concede a point while introducing a contrasting consideration. Common in argumentative discourse and everyday conversation. | [CORE] |
| მართლა | mart'la | mart'l- (true) + -a (adverbial suffix) | truly, really | Adverb used to emphasize truth or reality, often in questions or exclamations. Very common in colloquial speech to express surprise or seek confirmation. | [CORE] |
| მართლა? | mart'la? | mart'la (truly) + ? (question intonation) | really? is that true? | Interrogative form expressing surprise or seeking confirmation. Extremely common in everyday conversation when reacting to unexpected information. | [CORE] |
| მართალს ვიტყვი | mart'als vit'q'vi | mart'al- (true) + -s (dative) + v- (1st person) + it'q'vi (I will say) | to tell the truth, honestly speaking | Fixed phrase used to introduce a frank or honest statement. Common in conversation when emphasizing sincerity or admitting something. | [CORE] |
| მართალი გული | mart'ali guli | mart'ali (righteous) + guli (heart) | righteous heart, honest heart | Phrase describing moral integrity and honesty of character. Used in moral and religious discourse to characterize virtuous persons. | [CORE] |
| მართლის თქმა | mart'lis t'q'ma | mart'l- (truth) + -is (genitive) + t'q'ma (saying) | truth-telling, speaking the truth | Refers to the act of telling the truth. Used in moral discourse and everyday contexts when discussing honesty in speech. | [CORE] |
| მართლის მთქმელი | mart'lis mt'q'meli | mart'l- (truth) + -is (genitive) + mt'q'mel- (sayer) + -i | truth-teller, one who speaks truth | Formal or literary term for someone who tells the truth. Used in character descriptions and moral evaluations. | [MARGINAL] |
| გამართლებული | gamart'lebuli | ga- (preverb) + mart'l- (right) + -ebul- (participle) + -i | justified, vindicated, acquitted | Participle describing someone or something that has been justified or proven right. Common in legal contexts for acquittal and in general discourse for vindication. | [CORE] |
| ნამდვილად | namdvilad | namdvil- (real/genuine) + -ad (adverbial suffix) | really, truly, genuinely, actually | Adverb used to emphasize that something is really or genuinely the case. Very common in everyday speech to affirm reality or express strong agreement. | [CORE] |
| ნამდვილობა | namdviloba | namdvil- (real/genuine) + -oba (abstract noun suffix) | reality, genuineness, authenticity | Abstract noun referring to the quality of being real or genuine. Used in philosophical discourse and in practical contexts when discussing authenticity of objects or truth of situations. | [CORE] |
| ნამდვილი სახე | namdvili sakhe | namdvili (real) + sakhe (face/appearance) | true face, real appearance, true nature | Phrase referring to the true nature or character of something or someone, as opposed to false appearances. Used when revealing or discussing underlying reality. | [CORE] |
| ნამდვილი ბუნება | namdvili buneba | namdvili (real) + buneba (nature) | true nature, real character | Refers to the essential or true nature of something. Used in philosophical and everyday contexts to distinguish genuine character from superficial appearances. | [CORE] |
| ნამდვილი მეგობარი | namdvili megobari | namdvili (real/true) + megobari (friend) | true friend, real friend | Common phrase describing a genuine friend as opposed to a fair-weather friend. Used in everyday speech to characterize the quality of friendships. | [CORE] |
| ნამდვილი სიყვარული | namdvili siq'varuli | namdvili (real/true) + siq'varuli (love) | true love, real love | Phrase describing genuine love as opposed to infatuation or false affection. Common in romantic and literary contexts. | [CORE] |
| ნამდვილი ხელოვნება | namdvili khelovneba | namdvili (real/true) + khelovneba (art) | true art, genuine art | Used in aesthetic discourse to distinguish genuine artistic achievement from mere craft or pretension. Common in art criticism and cultural discussions. | [CORE] |
| ნამდვილი ღირებულება | namdvili ghirebuleba | namdvili (real/true) + ghirebuleba (value/worth) | true value, real worth | Refers to the genuine value of something as opposed to apparent or market value. Used in economic, moral, and general evaluative contexts. | [CORE] |
| ნამდვილი მიზეზი | namdvili mizezi | namdvili (real/true) + mizezi (reason/cause) | real reason, true cause | Refers to the actual reason or cause behind something, as opposed to stated or apparent reasons. Common in explanatory and investigative contexts. | [CORE] |
| ნამდვილი პიროვნება | namdvili p'irovneba | namdvili (real/genuine) + p'irovneba (personality/personhood) | genuine personality, authentic person, real character | Describes someone with authentic character or genuine personality. Used in character evaluation to praise authenticity and lack of pretense. | [CORE] |
| ნამდვილი ისტორია | namdvili ist'oria | namdvili (real/true) + ist'oria (story/history) | true story, real history | Phrase used to emphasize that a narrative is factual rather than fictional. Common in everyday storytelling and historical discourse. | [CORE] |
| ნამდვილი ფაქტი | namdvili pakt'i | namdvili (real) + pakt'i (fact) | real fact, actual fact | Emphasizes that something is a genuine fact. Used in argumentative and informational contexts to stress factuality. | [CORE] |
| ნამდვილი სურათი | namdvili surati | namdvili (real/true) + surati (picture/image) | true picture, real image, accurate representation | Refers to an accurate representation or true understanding of a situation. Used both literally for authentic images and metaphorically for accurate understanding. | [CORE] |
| ნამდვილი ვითარება | namdvili vitareba | namdvili (real/true) + vitareba (situation) | real situation, actual state of affairs | Refers to the true state of affairs as opposed to appearances or claims. Common in analytical and investigative contexts. | [CORE] |
| ნამდვილი სახელი | namdvili sakheli | namdvili (real) + sakheli (name) | real name, true name | Refers to someone's actual name as opposed to a pseudonym or alias. Used in identification contexts and when revealing true identity. | [CORE] |
| ნამდვილი ოსტატი | namdvili ost'at'i | namdvili (real/true) + ost'at'i (master/craftsman) | true master, genuine expert | Describes someone with genuine mastery of a craft or skill. Used in evaluating expertise and distinguishing true masters from pretenders. | [CORE] |
| ნამდვილი ქართველი | namdvili kartveli | namdvili (real/true) + kartveli (Georgian person) | true Georgian, real Georgian | Used to describe someone who embodies Georgian cultural values and identity. Can be used both seriously and ironically in discussions of national identity. | [CORE] |
| ტყუილად | t'q'uilad | t'q'uil- (lie) + -ad (adverbial suffix) | in vain, for nothing, falsely | Adverb meaning that something is done without result or purpose, or that something is false. Common in everyday speech to express that effort was wasted or that something is untrue. | [CORE] |
| ტყუილი არ არის | t'q'uili ar aris | t'q'uili (lie) + ar (not) + aris (is) | it's not a lie, it's true | Phrase used to affirm that something is true, often in response to skepticism. Common in everyday conversation when defending the truth of a statement. | [CORE] |
| ტყუილის თქმა | t'q'uilis t'q'ma | t'q'uil- (lie) + -is (genitive) + t'q'ma (saying) | lying, telling lies | Refers to the act of lying. Used in moral discourse and everyday contexts when discussing dishonesty. | [CORE] |
| მოტყუება | mot'q'ueba | mo- (preverb) + t'q'u- (lie/deceive) + -eba (verbal noun suffix) | deception, deceiving, cheating | Refers to the act of deceiving or cheating someone. Common in moral, legal, and everyday contexts when discussing dishonest behavior. | [CORE] |
| მოტყუებული | mot'q'uebuli | mo- (preverb) + t'q'u- (deceive) + -ebul- (participle) + -i | deceived, cheated, fooled | Participle describing someone who has been deceived or fooled. Common in describing victims of deception or those who have been misled. | [CORE] |
| მატყუარა | mat'q'uara | ma- (nominalizing prefix) + t'q'u- (lie) + -ar- (agent suffix) + -a | liar, deceiver | Noun describing a person who habitually lies or deceives. Used in moral judgment and character evaluation, often as an insult. | [CORE] |
| მატყუარებელი | mat'q'uarebeli | ma- (nominalizing prefix) + t'q'u- (lie) + -ar- (agent) + -ebel- (causative) + -i | deceiver, one who deceives | More formal or literary term for someone who deceives. Used in formal discourse and literary contexts to describe deceivers. | [MARGINAL] |
| თვითმოტყუება | tvitmot'q'ueba | tvit- (self) + mo- (preverb) + t'q'u- (deceive) + -eba (noun suffix) | self-deception | Refers to the act of deceiving oneself. Used in psychological and philosophical discourse to describe denial or false beliefs about oneself. | [CORE] |
| ტყუილუბრალოდ | t'q'uilubralod | t'q'uil- (lie/vain) + ubralod (simply) | simply for nothing, just in vain, pointlessly | Emphatic adverb meaning that something is done completely without purpose or result. Common in colloquial speech to express frustration about wasted effort. | [CORE] |
| ტყუილად ხომ არ... | t'q'uilad khom ar... | t'q'uilad (in vain) + khom (particle) + ar (not) | it's not for nothing that..., surely not in vain... | Rhetorical phrase used to suggest that something has purpose or meaning. Common in argumentative discourse to justify actions or claims. | [CORE] |
| ტყუილად მეტყველება | t'q'uilad met'q'veleba | t'q'uilad (falsely/in vain) + met'q'veleba (speaking) | speaking falsely, lying, empty talk | Formal or literary phrase for lying or speaking without truth. Used in moral and religious discourse. | [MARGINAL] |
| ტყუილად დაფიცება | t'q'uilad dapits'eba | t'q'uilad (falsely) + dapits'eba (swearing/oath) | false oath, perjury | Legal and religious term for swearing falsely or committing perjury. Used in legal contexts and religious commandments. | [CORE] |
| ტყუილად არ ვიტყვი | t'q'uilad ar vit'q'vi | t'q'uilad (falsely) + ar (not) + v- (1st person) + it'q'vi (I say) | I'm not lying, I speak truly | Fixed phrase used to emphasize that one is telling the truth. Common in everyday conversation when asserting honesty. | [CORE] |
| ტყუილის გამო | t'q'uilis gamo | t'q'uil- (lie) + -is (genitive) + gamo (because of) | because of a lie, due to falsehood | Phrase indicating that something happened as a result of lying or deception. Used in explanatory contexts. | [CORE] |
| ტყუილის ამხელა | t'q'uilis amkhela | t'q'uil- (lie) + -is (genitive) + amkhela (revealer/exposer) | exposer of lies, one who reveals falsehood | Describes someone who exposes lies or reveals truth. Used in moral discourse and when praising truth-tellers. | [MARGINAL] |
| უტყუარობა | ut'q'uaroba | u- (negative prefix) + t'q'u- (lie) + -ar- + -oba (abstract noun) | infallibility, unerringness, truthfulness | Abstract noun referring to the quality of being infallible or always truthful. Used in formal and religious discourse. | [MARGINAL] |
| ტყუილი ფიცი | t'q'uili pits'i | t'q'uili (false) + pits'i (oath) | false oath, perjury | Legal and religious term for a false oath. Used in legal proceedings and religious contexts regarding oath-taking. | [CORE] |
| ტყუილი დაპირება | t'q'uili dap'ireba | t'q'uili (false) + dap'ireba (promise) | false promise, empty promise | Describes a promise that is not kept or was never intended to be kept. Common in everyday and political discourse. | [CORE] |
| ტყუილი იმედი | t'q'uili imedi | t'q'uili (false) + imedi (hope) | false hope, vain hope | Describes hope that is unfounded or will not be realized. Used in emotional and evaluative contexts. | [CORE] |
| ტყუილი სიხარული | t'q'uili sikharuli | t'q'uili (false) + sikharuli (joy) | false joy, feigned happiness | Describes joy that is not genuine or is based on false premises. Used in emotional and moral evaluation. | [CORE] |
