# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Georgian (ka)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| რეალური (realuri) | მოჩვენებითი (moch'venebiti) | realuri vs. moch'venebiti | real/actual vs. apparent/seeming | Lexical opposition between actual reality and mere appearance. რეალური emphasizes what actually exists or is the case (რეალური სიტუაცია "real situation"), while მოჩვენებითი marks what only appears to be the case but may not be (მოჩვენებითი სიმართლე "apparent truth"). | lexical | [CORE] |
| არსებითი (arsebiti) | ზედაპირული (zedap'iruli) | arsebiti vs. zedap'iruli | essential/substantial vs. superficial | Lexical opposition between depth and superficiality in analysis or resemblance. არსებითი indicates what is fundamental or essential to something's nature (არსებითი განსხვავება "essential difference"), while ზედაპირული marks what is shallow or surface-level (ზედაპირული მსგავსება "superficial resemblance"). | lexical | [CORE] |
| ზუსტი (zusti) | უზუსტობა (uzustoba) | zusti vs. uzustoba | precise/exact vs. imprecision/inaccuracy | Morphological opposition through negation prefix უ- (u-). ზუსტი indicates precision and exactness, while უზუსტობა (formed with negative prefix + abstract noun suffix) denotes lack of precision or accuracy. | morphological | [CORE] |
| სამართლიანი (samart'liani) | უსამართლობა (usamart'loba) | samart'liani vs. usamart'loba | just/fair vs. injustice | Morphological opposition through negation prefix უ- (u-). სამართლიანი indicates justice and fairness, while უსამართლობა (formed with negative prefix on the related noun სამართალი "law/justice") denotes injustice or unlawfulness. | morphological | [CORE] |
| ადეკვატური (adek'vat'uri) | არაადეკვატური (araadek'vat'uri) | adek'vat'uri vs. araadek'vat'uri | adequate/appropriate vs. inadequate/inappropriate | Morphological opposition through negation prefix არა- (ara-). ადეკვატური indicates adequacy or appropriateness, while არაადეკვატური (formed with negative prefix) marks inadequacy or inappropriateness. | morphological | [CORE] |
| ტყუილი (t'q'uili) | უტყუარი (ut'q'uari) | t'q'uili vs. ut'q'uari | lie vs. infallible/unerring | Morphological opposition through negation prefix უ- (u-). ტყუილი means lie or falsehood, while უტყუარი (formed with negative prefix) indicates inability to lie or err, hence infallibility or complete reliability. | morphological | [CORE] |
| NP + არის (aris) + ADJECTIVE | NP + არ არის (ar aris) + ADJECTIVE | aris vs. ar aris | is vs. is not | Constructional opposition through standard negation. The affirmative copular construction (ეს მართალია "this is true") contrasts with the negated form using particle არ (ar) before the copula (ეს არ არის მართალი "this is not true"). | constructional | [CORE] |
| არა X, არამედ Y | (implicit affirmation of X) | ara X, aramed Y | not X, but Y | Constructional opposition for explicit correction or contrast. This construction (არა მცდარია, არამედ მართალია "it's not false, but true") creates a binary opposition by rejecting one alternative and asserting another. | constructional | [CORE] |
| სიმართლეს ამბობს (simart'les ambobs) | ტყუილს ამბობს (t'q'uils ambobs) | simart'les ambobs vs. t'q'uils ambobs | tells the truth vs. tells lies | Constructional opposition using parallel metalinguistic predicates with dative case. The same verb ამბობს (ambobs) "says/tells" combines with either სიმართლე "truth" or ტყუილი "lie" in dative case to create opposing speech act descriptions. | constructional | [CORE] |
| ნამდვილი სახე (namdvili sakhe) | მოჩვენებითი სახე (implicit) | namdvili sakhe vs. moch'venebiti sakhe | true face/nature vs. apparent face/nature | Constructional opposition through contrasting adjectives modifying the same noun. ნამდვილი სახე "true face/real nature" contrasts with the potential construction მოჩვენებითი სახე "apparent face/seeming nature" to distinguish underlying reality from surface appearance. | constructional | [CORE] |
| ნამდვილი ისტორია (namdvili ist'oria) | ფიქტიური ისტორია (pik't'iuri ist'oria) | namdvili ist'oria vs. pik't'iuri ist'oria | true story vs. fictional story | Constructional opposition through contrasting adjectives modifying the same noun. ნამდვილი ისტორია "true story" emphasizes factual basis, while ფიქტიური ისტორია "fictional story" marks invented narrative content. | constructional | [CORE] |
| ობიექტური რეალობა (obiek't'uri realoba) | სუბიექტური აღქმა (subiek't'uri aghkma) | obiek't'uri realoba vs. subiek't'uri aghkma | objective reality vs. subjective perception | Constructional opposition pairing contrasting adjectives with semantically appropriate nouns. ობიექტური რეალობა "objective reality" represents reality independent of perception, while სუბიექტური აღქმა "subjective perception" represents personal perspective-dependent experience. | constructional | [CORE] |
| სწორი პასუხი (sts'ori p'asukhi) | მცდარი პასუხი (implicit) | sts'ori p'asukhi vs. mts'dari p'asukhi | correct answer vs. wrong answer | Constructional opposition through contrasting adjectives modifying the same noun. სწორი პასუხი "correct answer" is the standard phrase for right answers in educational contexts, implicitly contrasting with მცდარი პასუხი "wrong answer." | constructional | [CORE] |
| სანდო წყარო (sando ts'q'aro) | საეჭვო წყარო (saech'vo ts'q'aro) | sando ts'q'aro vs. saech'vo ts'q'aro | reliable source vs. dubious source | Constructional opposition through contrasting adjectives modifying the same noun. სანდო წყარო "reliable source" indicates trustworthy information sources, while საეჭვო წყარო "dubious source" marks questionable or unreliable sources. | constructional | [CORE] |
| ბუნებრივი ქცევა (bunebrivi ktseva) | ხელოვნური ქცევა (khelovnuri ktseva) | bunebrivi ktseva vs. khelovnuri ktseva | natural/genuine behavior vs. artificial/affected behavior | Constructional opposition through contrasting adjectives modifying the same noun. ბუნებრივი ქცევა "natural behavior" indicates genuine, unaffected conduct, while ხელოვნური ქცევა "artificial behavior" marks affected or insincere behavior. | constructional | [CORE] |
| გულწრფელი სიყვარული (gults'rpeli siq'varuli) | ტყუილი სიყვარული (implicit) | gults'rpeli siq'varuli vs. t'q'uili siq'varuli | sincere love vs. false love | Constructional opposition through contrasting adjectives modifying the same noun. გულწრფელი სიყვარული "sincere love" indicates genuine affection, while the potential construction ტყუილი სიყვარული would mark false or feigned love. | constructional | [CORE] |
| ნაღდი ფული (naghdi puli) | (credit/non-cash payment - no single lexical opposite) | naghdi puli | cash money | ნაღდი ფული "cash money" contrasts with various non-cash payment methods in commercial contexts, but Georgian lacks a single lexical opposite. The opposition is primarily contextual rather than having a fixed lexical counterpart. | lexical | [MARGINAL] |
| დამაჯერებელი მტკიცებულება (damajerebeli mt'k'itsebuleba) | (unconvincing evidence - no fixed phrase) | damajerebeli mt'k'itsebuleba | convincing evidence | დამაჯერებელი მტკიცებულება "convincing evidence" implies contrast with unconvincing or weak evidence, but Georgian does not have an equally fixed phrase for the negative pole. The opposition exists conceptually but lacks symmetric lexicalization. | constructional | [MARGINAL] |
| ავთენტური ნამუშევარი (avt'ent'uri namushevarი) | ყალბი ნამუშევარი (q'albi namushevarი) | avt'ent'uri namushevarი vs. q'albi namushevarი | authentic work vs. counterfeit work | Constructional opposition in art historical and cultural contexts. ავთენტური ნამუშევარი "authentic work" indicates original artwork or genuine cultural artifact, while ყალბი ნამუშევარი "counterfeit work" marks forgeries or fakes. | constructional | [CORE] |
| რეალური ცხოვრება (realuri tskhovreba) | (fictional life/fantasy - no single fixed phrase) | realuri tskhovreba | real life | რეალური ცხოვრება "real life" contrasts with fiction, fantasy, or imagination, but Georgian lacks a single equally fixed phrase for the opposing concept. The opposition is clear contextually but asymmetrically lexicalized. | constructional | [MARGINAL] |
| ზედაპირული ცოდნა (zedap'iruli tsodna) | ღრმა ცოდნა (ghrma tsodna) | zedap'iruli tsodna vs. ghrma tsodna | superficial knowledge vs. deep knowledge | Constructional opposition in educational and evaluative contexts. ზედაპირული ცოდნა "superficial knowledge" indicates shallow understanding, while ღრმა ცოდნა "deep knowledge" marks profound or thorough understanding. | constructional | [CORE] |
